enzyme,reaction,label,ecnumber,difficulty,fake_ecnumber,structure_index
29,0,0,1.14.15.4,-1,/,-1
31,0,0,1.14.15.4,-1,/,-1
36,0,0,1.14.15.4,-1,/,-1
46,0,0,1.14.15.4,-1,,-1
64,0,0,1.14.15.4,-1,/,-1
97,0,0,1.14.15.4,1,1.-.-.-,-1
122,0,0,1.14.15.4,-1,,-1
130,0,0,1.14.15.4,-1,,-1
186,0,0,1.14.15.4,1,1.-.-.-,-1
225,0,0,1.14.15.4,2,1.14.14.127,-1
231,0,0,1.14.15.4,-1,/,-1
251,0,0,1.14.15.4,-1,,-1
265,0,0,1.14.15.4,2,1.14.99.-,-1
299,0,0,1.14.15.4,-1,,-1
305,0,0,1.14.15.4,2,1.14.14.174,-1
321,0,0,1.14.15.4; 1.14.15.5,2,1.14.14.82,-1
372,0,0,1.14.15.4,-1,,-1
407,0,0,1.14.15.4; 1.14.15.5,-1,,-1
408,0,0,1.14.15.4,-1,,-1
437,0,0,1.14.15.4,1,1.-.-.-,-1
454,0,0,1.14.15.4,0,4.2.1.92,-1
477,0,0,1.14.15.4,-1,/,-1
547,0,0,1.14.15.4,-1,,-1
552,0,0,1.14.15.4; 1.14.15.5,-1,,-1
601,0,0,1.14.15.4,-1,,-1
683,0,0,1.14.15.4,2,1.14.14.166,-1
721,0,0,1.14.15.4; 1.14.15.5,0,4.2.1.92,-1
745,0,0,1.14.15.4,2,1.14.14.24,-1
762,0,0,1.14.15.4,2,1.14.14.45,-1
776,0,0,1.14.15.4,2,1.14.14.1,-1
831,0,0,1.14.15.4,2,1.14.14.14,-1
834,0,0,1.14.15.4,2,1.14.14.1,-1
841,0,1,1.14.15.4,0,,-1
842,0,1,1.14.15.4,0,,-1
843,0,1,1.14.15.4,0,,-1
854,0,1,1.14.15.4,0,,-1
870,0,1,1.14.15.4; 1.14.15.5,0,,-1
871,0,1,1.14.15.4,0,,-1
903,0,0,1.14.15.4,2,1.14.14.32,-1
909,0,0,1.14.15.4,-1,,-1
937,0,0,1.14.15.4,2,1.14.14.91,-1
941,0,0,1.14.15.4,-1,,-1
956,0,0,1.14.15.4,-1,,-1
960,0,0,1.14.15.4,2,1.14.19.76,-1
965,0,0,1.14.15.4,2,1.14.14.82,-1
977,0,0,1.14.15.4,2,1.14.14.-,-1
1019,0,0,1.14.15.4,0,4.2.1.B9,-1
1039,0,0,1.14.15.4,2,1.14.14.36,-1
1052,0,0,1.14.15.4,1,1.6.2.4,-1
1099,0,0,1.14.15.4,2,1.14.14.86,-1
