Substrate Index,Enzyme Index,Label,Dock Index,positive_reactions
1,4,0,-1,-1
1,26,0,-1,-1
1,53,0,-1,-1
1,73,0,-1,-1
1,83,0,-1,-1
1,125,0,-1,-1
1,143,0,-1,-1
1,161,0,-1,-1
1,180,0,-1,-1
1,247,0,-1,-1
1,264,0,-1,-1
1,272,0,-1,-1
1,310,0,-1,-1
1,355,0,-1,-1
1,369,0,-1,-1
1,451,0,-1,-1
1,498,0,-1,-1
1,520,0,-1,-1
1,522,0,-1,-1
1,552,0,-1,-1
1,597,0,-1,-1
1,598,1,-1,1
1,619,0,-1,-1
1,655,0,-1,-1
1,673,1,-1,1
1,675,1,-1,1
1,680,0,-1,-1
1,718,0,-1,-1
1,721,0,-1,-1
1,754,0,-1,-1
1,756,0,-1,-1
1,808,0,-1,-1
1,810,0,-1,-1
1,821,0,-1,-1
1,825,1,-1,1
1,826,1,-1,1
1,838,0,-1,-1
1,845,0,-1,-1
1,882,0,-1,-1
1,895,0,-1,-1
1,912,0,-1,-1
1,913,0,-1,-1
1,930,1,-1,1
1,939,0,-1,-1
1,949,1,-1,1
1,953,0,-1,-1
1,954,0,-1,-1
1,963,0,-1,-1
1,968,0,-1,-1
1,972,0,-1,-1
1,984,1,-1,1
1,986,1,-1,1
1,998,0,-1,-1
1,1010,0,-1,-1
1,1019,0,-1,-1
1,1024,0,-1,-1
1,1036,0,-1,-1
1,1042,0,-1,-1
1,1047,0,-1,-1
1,1053,1,-1,1
1,1059,0,-1,-1
1,1068,0,-1,-1
1,1076,0,-1,-1
1,1088,0,-1,-1
1,1099,0,-1,-1
1,1105,0,-1,-1
1,1112,1,-1,1
1,1115,0,-1,-1
1,1152,0,-1,-1
1,1159,0,-1,-1
1,1174,1,-1,1
1,1198,0,-1,-1
1,1202,1,-1,1
1,1233,0,-1,-1
1,1278,0,-1,-1
1,1286,0,-1,-1
1,1297,0,-1,-1
1,1299,0,-1,-1
1,1333,1,-1,1
1,1405,0,-1,-1
1,1428,0,-1,-1
1,1432,0,-1,-1
1,1452,0,-1,-1
1,1469,0,-1,-1
1,1493,0,-1,-1
1,1498,0,-1,-1
1,1518,0,-1,-1
1,1524,0,-1,-1
1,1537,0,-1,-1
1,1564,0,-1,-1
1,1621,0,-1,-1
3,8,0,-1,-1
3,63,0,-1,-1
3,179,0,-1,-1
3,196,0,-1,-1
3,273,0,-1,-1
3,308,0,-1,-1
3,510,0,-1,-1
3,598,1,-1,3
3,602,0,-1,-1
3,644,0,-1,-1
3,673,1,-1,3
3,675,1,-1,3
3,688,0,-1,-1
3,735,0,-1,-1
3,764,0,-1,-1
3,765,0,-1,-1
3,793,0,-1,-1
3,799,0,-1,-1
3,800,0,-1,-1
3,826,1,-1,3
3,836,0,-1,-1
3,838,0,-1,-1
3,882,0,-1,-1
3,901,0,-1,-1
3,936,0,-1,-1
3,985,0,-1,-1
3,986,1,-1,3
3,998,0,-1,-1
3,1028,0,-1,-1
3,1085,0,-1,-1
3,1112,1,-1,3
3,1128,0,-1,-1
3,1174,0,-1,-1
3,1203,0,-1,-1
3,1208,0,-1,-1
3,1211,0,-1,-1
3,1234,0,-1,-1
3,1255,0,-1,-1
3,1259,0,-1,-1
3,1298,0,-1,-1
3,1345,0,-1,-1
3,1391,0,-1,-1
3,1400,0,-1,-1
3,1412,0,-1,-1
3,1418,0,-1,-1
3,1456,0,-1,-1
3,1609,0,-1,-1
5,96,0,-1,-1
5,133,0,-1,-1
5,161,0,-1,-1
5,252,0,-1,-1
5,432,0,-1,-1
5,552,0,-1,-1
5,679,1,-1,5
5,728,0,-1,-1
5,739,1,-1,5
5,796,0,-1,-1
5,808,0,-1,-1
5,813,0,-1,-1
5,838,0,-1,-1
5,875,0,-1,-1
5,965,0,-1,-1
5,979,0,-1,-1
5,1009,0,-1,-1
5,1015,0,-1,-1
5,1299,0,-1,-1
5,1363,0,-1,-1
5,1390,0,-1,-1
7,113,0,-1,-1
7,252,0,-1,-1
7,265,0,-1,-1
7,510,0,-1,-1
7,674,0,-1,-1
7,701,0,-1,-1
7,793,0,-1,-1
7,838,0,-1,-1
7,961,0,-1,-1
7,1113,0,-1,-1
7,1253,0,-1,-1
7,1376,1,-1,7
7,1397,0,-1,-1
7,1576,0,-1,-1
9,94,0,-1,-1
9,102,0,-1,-1
9,136,0,-1,-1
9,140,0,-1,-1
9,218,0,-1,-1
9,373,0,-1,-1
9,399,0,-1,-1
9,429,0,-1,-1
9,450,0,-1,-1
9,472,0,-1,-1
9,500,0,-1,-1
9,552,0,-1,-1
9,556,0,-1,-1
9,595,1,-1,9
9,620,0,-1,-1
9,666,0,-1,-1
9,703,0,-1,-1
9,728,0,-1,-1
9,838,0,-1,-1
9,905,0,-1,-1
9,907,1,-1,9
9,930,0,-1,-1
9,933,0,-1,-1
9,948,0,-1,-1
9,960,1,-1,9
9,1003,0,-1,-1
9,1078,0,-1,-1
9,1092,0,-1,-1
9,1095,1,-1,9
9,1147,0,-1,-1
9,1158,0,-1,-1
9,1259,0,-1,-1
9,1283,0,-1,-1
9,1360,1,-1,9
9,1404,0,-1,-1
9,1453,0,-1,-1
9,1518,0,-1,-1
9,1534,0,-1,-1
11,42,0,-1,-1
11,114,0,-1,-1
11,134,0,-1,-1
11,143,0,-1,-1
11,166,0,-1,-1
11,320,1,-1,11
11,533,0,-1,-1
11,581,0,-1,-1
11,621,0,-1,-1
11,636,0,-1,-1
11,703,0,-1,-1
11,725,1,-1,11
11,730,0,-1,-1
11,746,0,-1,-1
11,794,0,-1,-1
11,838,0,-1,-1
11,846,0,-1,-1
11,849,0,-1,-1
11,857,0,-1,-1
11,865,0,-1,-1
11,885,1,-1,11
11,954,0,-1,-1
11,1109,0,-1,-1
11,1230,0,-1,-1
11,1250,0,-1,-1
11,1306,0,-1,-1
11,1434,0,-1,-1
11,1441,0,-1,-1
11,1519,0,-1,-1
11,1554,0,-1,-1
15,71,0,-1,-1
15,296,0,-1,-1
15,365,0,-1,-1
15,367,0,-1,-1
15,405,0,-1,-1
15,526,0,-1,-1
15,572,0,-1,-1
15,593,0,-1,-1
15,739,0,-1,-1
15,779,1,-1,15
15,838,0,-1,-1
15,916,0,-1,-1
15,1098,0,-1,-1
15,1112,0,-1,-1
15,1369,0,-1,-1
15,1396,0,-1,-1
15,1438,0,-1,-1
17,44,0,-1,-1
17,78,0,-1,-1
17,161,0,-1,-1
17,283,0,-1,-1
17,321,0,-1,-1
17,593,0,-1,-1
17,675,0,-1,-1
17,683,0,-1,-1
17,697,1,-1,17
17,768,0,-1,-1
17,780,0,-1,-1
17,838,0,-1,-1
17,884,1,-1,17
17,922,0,-1,-1
17,936,0,-1,-1
17,969,0,-1,-1
17,1026,0,-1,-1
17,1189,0,-1,-1
17,1190,0,-1,-1
17,1222,0,-1,-1
17,1302,0,-1,-1
17,1325,0,-1,-1
17,1340,0,-1,-1
17,1373,0,-1,-1
17,1416,0,-1,-1
17,1564,1,-1,17
19,179,0,-1,-1
19,210,0,-1,-1
