global_compound_id,source,source_compound_id,source_smiles,source_name,canonical_smiles,standard_inchikey,structure_parse_status
CMP_G000001,S3_P450Rdb,1040,C12C(C3C(C(CC3)*)(C)CC1)CCC4C2(CCCC4)C,A Steroid,*C1CCC2C3CCC4CCCCC4(C)C3CCC12C,,ok
CMP_G000002,S3_P450Rdb,546,C12C([C@]3(C(C(CC3)*)(C)CC1)C)CCC4C2(CCCC4)C,A 14Alpha-Methyl Steroid,*C1CC[C@@]2(C)C3CCC4CCCCC4(C)C3CCC12C,,ok
CMP_G000003,S3_P450Rdb,548,CC12CCC3C(CCC4CCCCC34C)[C@@]1(CCC2[*])C=O,A 14alpha-formyl steroid,*C1CC[C@@]2(C=O)C3CCC4CCCCC4(C)C3CCC12C,,ok
CMP_G000004,S3_P450Rdb,547,C12C([C@]3(C(C(CC3)*)(C)CC1)CO)CCC4C2(CCCC4)C,A 14alpha-hydroxymethyl steroid,*C1CC[C@@]2(CO)C3CCC4CCCCC4(C)C3CCC12C,,ok
CMP_G000005,S3_P450Rdb,602,[O-]C(=O)C[*],"A 1,2-Saturated Fatty Acid",*CC(=O)[O-],,ok
CMP_G000006,S3_P450Rdb,601,[O-]C(=O)CC[*],"2,3-Saturated Fatty Acid",*CCC(=O)[O-],,ok
CMP_G000007,S3_P450Rdb,1402,C1(C(CCC1=O)CC(N[C@H](C([O-])=O)*)=O)C/C=C\CC,A Jasmonyl-L-Amino Acid,*[C@H](NC(=O)CC1CCC(=O)C1C/C=C\CC)C(=O)[O-],,ok
CMP_G000008,S3_P450Rdb,1432,C1(C(CCC1=O)CC(N[C@H](C([O-])=O)*)=O)C/C=C\CCO,A 12-Hydroxyjasmonyl-L-Alpha-Amino Acid,*[C@H](NC(=O)CC1CCC(=O)C1C/C=C\CCO)C(=O)[O-],,ok
CMP_G000009,S3_P450Rdb,36,*[H],An Organic Molecule,*[H],,ok
CMP_G000010,S3_P450Rdb,529,O1C2=C(C(C(C1C3=C(C(=C(C(=C3*)*)*)*)*)*)=O)C(=C(C(=C2*)*)*)*,A Flavanone,*c1c(*)c(*)c(C2Oc3c(*)c(*)c(*)c(*)c3C(=O)C2*)c(*)c1*,,ok
CMP_G000011,S3_P450Rdb,379,C1(=C(C(=C(C2=C1OC(=C(C2=O)*)C3=C(C(=C(C(=C3*)*)*)[H])*)*)*)*)*,A 3��-Unsubstituted Flavone,*c1cc(*)c(-c2oc3c(*)c(*)c(*)c(*)c3c(=O)c2*)c(*)c1*,,ok
CMP_G000012,S3_P450Rdb,378,O1C2=C(C(C(C1(C3=C(C=C(C=C3*)*)*)*)(*)*)=O)C(=C(C(=C2*)*)*)*,"A 3��,5��-Unsubstituted Flavanone",*c1cc(*)c(C2(*)Oc3c(*)c(*)c(*)c(*)c3C(=O)C2(*)*)c(*)c1,,ok
CMP_G000013,S3_P450Rdb,1090,C12=C(C(=C(C(=C2C(C(=C(O1)*)C=3C(=C(C(=C(C3*)*)*)*)[H])=O)*)*)*)*,A 2��-Unsubstituted Isoflavone,*c1cc(-c2c(*)oc3c(*)c(*)c(*)c(*)c3c2=O)c(*)c(*)c1*,,ok
CMP_G000014,S3_P450Rdb,459,C*C([O-])=O,An Omega-Methyl-Long-Chain Fatty Acid,C*C(=O)[O-],,ok
CMP_G000015,S3_P450Rdb,458,C(*C([O-])=O)C,An (Omega-1)-Ethyl Fatty Acid,CC*C(=O)[O-],,ok
CMP_G000016,S3_P450Rdb,745,CC1(C2CCC1(C(=S)C2)C)C,Thiocamphor,CC12CCC(CC1=S)C2(C)C,AAADKYXUTOBAGS-UHFFFAOYSA-N,ok
CMP_G000017,S1_RCSB,77,CC1(C)[C@@H]2CC[C@@]1(C)C(=S)C2,,CC1(C)[C@@H]2CC[C@@]1(C)C(=S)C2,AAADKYXUTOBAGS-XCBNKYQSSA-N,ok
CMP_G000017,S3_P450Rdb,750,C[C@@]12C(C)(C)[C@@](CC1=S)(CC2)[H],"(1R,4R)-1,7,7-trimethylbicyclo[2.2.1]heptane-2-thione",CC1(C)[C@@H]2CC[C@@]1(C)C(=S)C2,AAADKYXUTOBAGS-XCBNKYQSSA-N,ok
CMP_G000018,S9_PCPD,486,C=C1CO1,Allene oxide,C=C1CO1,AAEZMHSWRQVQEK-UHFFFAOYSA-N,ok
CMP_G000019,S1_RCSB,78,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,AAKJLRGGTJKAMG-UHFFFAOYSA-N,ok
CMP_G000020,S3_P450Rdb,1400,C[C@@H]1CCC(=C(C)C)[C@H]([C@]1(C)CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C)CCCO,Marnerol,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC[C@]1(C)[C@H](C)CCC(=C(C)C)[C@H]1CCCO,AARUWLXSIZJQDK-OPEBEUCHSA-N,ok
CMP_G000020,S8_PlantP450DB,8,C[C@@H]1CCC(=C(C)C)[C@H]([C@]1(C)CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C)CCCO,marnerol,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC[C@]1(C)[C@H](C)CCC(=C(C)C)[C@H]1CCCO,AARUWLXSIZJQDK-OPEBEUCHSA-N,ok
CMP_G000021,S3_P450Rdb,1322,O=C1C(=C(OC(=C1C)CCC(=CC(=CC2=CC=C(I)C=C2)C)C)OC)C,"2-[(3E,5E)-6-(4-Iodophenyl)-3,5-dimethyl-3,5-hexadien-1-yl]-6-methoxy-3,5-dimethyl-4H-pyran-4-one",COc1oc(CCC(C)=CC(C)=Cc2ccc(I)cc2)c(C)c(=O)c1C,ABKYWKNIDMAZGJ-UHFFFAOYSA-N,ok
CMP_G000022,S3_P450Rdb,261,O=C(O)C(N)CC=1C=2C(F)=CC=CC2N(C1C)C,"Tryptophan, 4-fluoro-2,1-dimethyl- (ACI)",Cc1c(CC(N)C(=O)O)c2c(F)cccc2n1C,ABVSKMHTJOBIEN-UHFFFAOYSA-N,ok
CMP_G000023,S3_P450Rdb,720,C=1C=CC(=CC1)C2CC2C(C)C,"rel-[(1R,2S)-2-(1-Methylethyl)cyclopropyl]benzene",CC(C)C1CC1c1ccccc1,ACABZBGQXFLDAB-UHFFFAOYSA-N,ok
