global_interaction_id,global_enzyme_id,global_compound_id,label,sources,supporting_source_count,evidence_count,best_quality_tier,has_pmid_any,has_products_any,has_pdb_any,max_num_reactions,conflicting_labels
INT_G000001,ENZ_G000001,CMP_G000961,1,S9_PCPD,1,1,B,0,0,0,1,0
INT_G000002,ENZ_G000001,CMP_G000962,1,S3_P450Rdb,1,1,B,1,1,0,1,0
INT_G000003,ENZ_G000002,CMP_G000823,1,S8_PlantP450DB,1,1,B,1,0,0,1,0
INT_G000004,ENZ_G000002,CMP_G001551,1,S8_PlantP450DB,1,1,B,1,0,0,1,0
INT_G000005,ENZ_G000002,CMP_G001887,1,S8_PlantP450DB,1,1,B,1,0,0,1,0
INT_G000006,ENZ_G000003,CMP_G000823,1,S8_PlantP450DB,1,1,B,1,0,0,1,0
INT_G000007,ENZ_G000003,CMP_G001551,1,S8_PlantP450DB,1,1,B,1,0,0,1,0
INT_G000008,ENZ_G000003,CMP_G001887,1,S8_PlantP450DB,1,1,B,1,0,0,1,0
INT_G000009,ENZ_G000004,CMP_G000624,1,S2_ESIBank|S8_PlantP450DB,2,2,B,1,0,0,1,0
INT_G000010,ENZ_G000004,CMP_G001889,1,S8_PlantP450DB,1,1,B,1,0,0,1,0
INT_G000011,ENZ_G000005,CMP_G000099,1,S3_P450Rdb,1,1,B,1,1,0,1,0
INT_G000012,ENZ_G000006,CMP_G001852,1,S3_P450Rdb,1,1,B,1,1,0,1,0
INT_G000013,ENZ_G000007,CMP_G000274,1,S3_P450Rdb,1,1,B,1,1,0,1,0
INT_G000014,ENZ_G000008,CMP_G000747,1,S3_P450Rdb,1,1,B,1,1,0,1,0
INT_G000015,ENZ_G000009,CMP_G000303,1,S8_PlantP450DB,1,1,B,1,0,0,1,0
INT_G000016,ENZ_G000009,CMP_G001618,1,S3_P450Rdb,1,1,B,1,1,0,1,0
INT_G000017,ENZ_G000010,CMP_G000303,1,S8_PlantP450DB,1,1,B,1,0,0,1,0
INT_G000018,ENZ_G000010,CMP_G000304,1,S3_P450Rdb,1,1,B,1,1,0,1,0
INT_G000019,ENZ_G000011,CMP_G002069,1,S8_PlantP450DB|S9_PCPD,2,2,B,1,0,0,1,0
INT_G000020,ENZ_G000012,CMP_G002069,1,S8_PlantP450DB|S9_PCPD,2,2,B,1,0,0,1,0
INT_G000021,ENZ_G000013,CMP_G002069,1,S3_P450Rdb|S8_PlantP450DB|S9_PCPD,3,3,B,1,0,0,1,0
INT_G000022,ENZ_G000014,CMP_G000300,1,S3_P450Rdb,1,1,B,1,1,0,1,0
INT_G000023,ENZ_G000014,CMP_G000330,1,S3_P450Rdb,1,1,B,1,1,0,1,0
INT_G000024,ENZ_G000014,CMP_G000356,1,S3_P450Rdb,1,1,B,1,1,0,1,0
INT_G000025,ENZ_G000014,CMP_G000639,1,S3_P450Rdb,1,1,B,1,1,0,1,0
INT_G000026,ENZ_G000014,CMP_G001065,1,S3_P450Rdb,1,1,B,1,1,0,1,0
INT_G000027,ENZ_G000014,CMP_G001113,1,S3_P450Rdb,1,1,B,1,1,0,1,0
INT_G000028,ENZ_G000014,CMP_G001214,1,S3_P450Rdb,1,1,B,1,1,0,1,0
INT_G000029,ENZ_G000014,CMP_G001297,1,S3_P450Rdb,1,1,B,1,1,0,1,0
INT_G000030,ENZ_G000014,CMP_G001316,1,S3_P450Rdb,1,1,B,1,1,0,1,0
INT_G000031,ENZ_G000014,CMP_G001583,1,S3_P450Rdb,1,1,B,1,1,0,1,0
INT_G000032,ENZ_G000014,CMP_G001629,1,S3_P450Rdb,1,1,B,1,1,0,1,0
INT_G000033,ENZ_G000014,CMP_G001690,1,S3_P450Rdb,1,1,B,1,1,0,1,0
INT_G000034,ENZ_G000014,CMP_G001736,1,S3_P450Rdb,1,1,B,1,1,0,1,0
INT_G000035,ENZ_G000014,CMP_G001860,1,S3_P450Rdb,1,1,B,1,1,0,1,0
INT_G000036,ENZ_G000014,CMP_G001932,1,S3_P450Rdb,1,1,B,1,1,0,1,0
INT_G000037,ENZ_G000014,CMP_G002052,1,S3_P450Rdb,1,1,B,1,1,0,1,0
