global_interaction_id,source,source_interaction_id,source_enzyme_id,source_compound_id,label,quality_tier,num_reactions,has_pmid,has_products,pdb_id,extra_json
INT_G000001,S9_PCPD,151,110,99,1,B,1,0,0,,{}
INT_G000002,S3_P450Rdb,0,0,0,1,B,1,1,1,,{}
INT_G000003,S8_PlantP450DB,454,271,148,1,B,1,1,0,,{}
INT_G000004,S8_PlantP450DB,453,271,147,1,B,1,1,0,,{}
INT_G000005,S8_PlantP450DB,452,271,145,1,B,1,1,0,,{}
INT_G000006,S8_PlantP450DB,451,270,148,1,B,1,1,0,,{}
INT_G000007,S8_PlantP450DB,450,270,147,1,B,1,1,0,,{}
INT_G000008,S8_PlantP450DB,449,270,145,1,B,1,1,0,,{}
INT_G000009,S2_ESIBank,0,0,0,1,B,1,0,0,,"{""source_enzyme_index"": ""5288"", ""source_reaction_index"": ""9441""}"
INT_G000009,S8_PlantP450DB,128,100,65,1,B,1,1,0,,{}
INT_G000010,S8_PlantP450DB,104,82,55,1,B,1,1,0,,{}
INT_G000011,S3_P450Rdb,1,1,1,1,B,1,1,1,,{}
INT_G000012,S3_P450Rdb,2,2,2,1,B,1,1,1,,{}
INT_G000013,S3_P450Rdb,3,3,3,1,B,1,1,1,,{}
INT_G000014,S3_P450Rdb,4,4,4,1,B,1,1,1,,{}
INT_G000015,S8_PlantP450DB,130,102,66,1,B,1,1,0,,{}
INT_G000016,S3_P450Rdb,5,5,5,1,B,1,1,1,,{}
INT_G000017,S8_PlantP450DB,136,107,66,1,B,1,1,0,,{}
INT_G000018,S3_P450Rdb,6,6,6,1,B,1,1,1,,{}
INT_G000019,S8_PlantP450DB,160,127,34,1,B,1,1,0,,{}
INT_G000019,S9_PCPD,968,610,447,1,B,1,0,0,,{}
INT_G000020,S8_PlantP450DB,64,55,34,1,B,1,1,0,,{}
INT_G000020,S9_PCPD,938,583,447,1,B,1,0,0,,{}
INT_G000021,S3_P450Rdb,7,7,7,1,B,1,1,0,,{}
INT_G000021,S8_PlantP450DB,158,125,34,1,B,1,1,0,,{}
INT_G000021,S9_PCPD,966,608,447,1,B,1,0,0,,{}
INT_G000022,S3_P450Rdb,16,8,16,1,B,1,1,1,,{}
INT_G000023,S3_P450Rdb,17,8,17,1,B,1,1,1,,{}
INT_G000024,S3_P450Rdb,21,8,21,1,B,1,1,1,,{}
INT_G000025,S3_P450Rdb,18,8,18,1,B,1,1,1,,{}
INT_G000026,S3_P450Rdb,13,8,13,1,B,1,1,1,,{}
INT_G000027,S3_P450Rdb,15,8,15,1,B,1,1,1,,{}
INT_G000028,S3_P450Rdb,12,8,12,1,B,1,1,1,,{}
INT_G000029,S3_P450Rdb,20,8,20,1,B,1,1,1,,{}
INT_G000030,S3_P450Rdb,19,8,19,1,B,1,1,1,,{}
INT_G000031,S3_P450Rdb,8,8,8,1,B,1,1,1,,{}
INT_G000032,S3_P450Rdb,10,8,10,1,B,1,1,1,,{}
INT_G000033,S3_P450Rdb,9,8,9,1,B,1,1,1,,{}
INT_G000034,S3_P450Rdb,11,8,11,1,B,1,1,1,,{}
