enzyme_uniprot,compound_smiles,global_enzyme_id,global_compound_id,label,relation_type,source,pdb_id
A0A2H4A2U9,CC[C@@H]([C@H](C)O)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@@H]5CO[C@@](Cn6cncn6)(c6ccc(F)cc6F)C5)cc4)CC3)cc2)c1=O,,,0,inhibitor,S1_RCSB_PathA,5TL8
A0A2H4A2U9,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,,,0,inhibitor,S1_RCSB_PathA,5TL8
A0A2H4A2U9,C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,,,0,inhibitor,S1_RCSB_PathA,5TL8
A0A2H4A2U9,CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,,,0,inhibitor,S1_RCSB_PathA,5TL8
A0A2H4A2U9,CC[C@@H](C)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@H]5CO[C@](Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,,,0,inhibitor,S1_RCSB_PathA,5TL8
A0A2H4A2U9,O=C(O[C@H](Cn1ccnc1)c1ccc(F)cc1)c1cccc(C(F)(F)F)c1,,,0,inhibitor,S1_RCSB_PathA,5TL8
A0A2H4A2U9,O=C(O[C@H](Cn1ccnc1)c1ccc(Cl)cc1Cl)c1cccc(C(F)(F)F)c1,,,0,inhibitor,S1_RCSB_PathA,5TL8
A0A2H4A2U9,O=C(O[C@H](Cn1ccnc1)c1ccc(F)cc1)c1cc(Cl)cc(Cl)c1,,,0,inhibitor,S1_RCSB_PathA,5TL8
A0A2H4A2U9,O=C(N[C@@H](Cn1ccnc1)c1c(F)cc(-c2ccc(F)cc2)cc1F)c1ccc(-c2nnc(-c3ccccc3)o2)cc1,,,0,inhibitor,S1_RCSB_PathA,5TL8
A0A380DQV1,COc1ccc2[nH]c3c(c2c1)CCNC3,ENZ_G000276,,0,inhibitor,S1_RCSB_PathA,7OW9
A0A380DQV1,NCc1c[nH]c2ccccc12,ENZ_G000276,,0,inhibitor,S1_RCSB_PathA,7OW9
A0A380DQV1,c1ccc2c3c([nH]c2c1)CNCC3,ENZ_G000276,,0,inhibitor,S1_RCSB_PathA,7OW9
A0A380DQV1,OB(O)c1cccnc1,ENZ_G000276,,0,inhibitor,S1_RCSB_PathA,7OW9
A0A380DQV1,NCc1ccc2[nH]ccc2c1,ENZ_G000276,,0,inhibitor,S1_RCSB_PathA,7OW9
