substrate_index,Substrate_SMILES,global_compound_id,ligand_3d_status,ligand_status,sdf_path,num_atoms,pdbqt_status,pdbqt_path
0,*C1CCC2C3CCC4CCCCC4(C)C3CCC12C,CMP_G000001,ok,ok,data\structures\ligands\sdf\CMP_G000001.sdf,51,failed,
1,*C1CC[C@@]2(C)C3CCC4CCCCC4(C)C3CCC12C,CMP_G000002,ok,ok,data\structures\ligands\sdf\CMP_G000002.sdf,54,failed,
2,*C1CC[C@@]2(C=O)C3CCC4CCCCC4(C)C3CCC12C,CMP_G000003,ok,ok,data\structures\ligands\sdf\CMP_G000003.sdf,53,failed,
3,*C1CC[C@@]2(CO)C3CCC4CCCCC4(C)C3CCC12C,CMP_G000004,ok,ok,data\structures\ligands\sdf\CMP_G000004.sdf,55,failed,
4,*CC(=O)[O-],CMP_G000005,ok,ok,data\structures\ligands\sdf\CMP_G000005.sdf,7,failed,
5,*CCC(=O)[O-],CMP_G000006,ok,ok,data\structures\ligands\sdf\CMP_G000006.sdf,10,failed,
6,*[C@H](NC(=O)CC1CCC(=O)C1C/C=C\CC)C(=O)[O-],CMP_G000007,ok,ok,data\structures\ligands\sdf\CMP_G000007.sdf,39,failed,
7,*[C@H](NC(=O)CC1CCC(=O)C1C/C=C\CCO)C(=O)[O-],CMP_G000008,ok,ok,data\structures\ligands\sdf\CMP_G000008.sdf,40,failed,
8,*[H],CMP_G000009,ok,ok,data\structures\ligands\sdf\CMP_G000009.sdf,2,failed,
9,*c1c(*)c(*)c(C2Oc3c(*)c(*)c(*)c(*)c3C(=O)C2*)c(*)c1*,CMP_G000010,ok,ok,data\structures\ligands\sdf\CMP_G000010.sdf,29,failed,
10,*c1cc(*)c(-c2oc3c(*)c(*)c(*)c(*)c3c(=O)c2*)c(*)c1*,CMP_G000011,ok,ok,data\structures\ligands\sdf\CMP_G000011.sdf,27,failed,
11,*c1cc(*)c(C2(*)Oc3c(*)c(*)c(*)c(*)c3C(=O)C2(*)*)c(*)c1,CMP_G000012,ok,ok,data\structures\ligands\sdf\CMP_G000012.sdf,29,failed,
12,*c1cc(-c2c(*)oc3c(*)c(*)c(*)c(*)c3c2=O)c(*)c(*)c1*,CMP_G000013,ok,ok,data\structures\ligands\sdf\CMP_G000013.sdf,27,failed,
13,C*C(=O)[O-],CMP_G000014,ok,ok,data\structures\ligands\sdf\CMP_G000014.sdf,8,failed,
14,CC*C(=O)[O-],CMP_G000015,ok,ok,data\structures\ligands\sdf\CMP_G000015.sdf,11,failed,
15,CC12CCC(CC1=S)C2(C)C,CMP_G000016,ok,ok,data\structures\ligands\sdf\CMP_G000016.sdf,27,ok,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\ligands_pdbqt\CMP_G000016.pdbqt
