compound_id,smiles,name
0,C=C(C(=O)O)[C@H]1C/C=C(\C)CC/C=C(\C)CC1,
1,N#CCc1c[nH]c2ccccc12,
2,O/N=C/Cc1ccc(O)cc1,
3,O/N=C/Cc1ccccc1,
4,O/N=C\Cc1ccccc1,
5,O/N=C/Cc1c[nH]c2ccccc12,
6,N#CCc1ccc(O)cc1,
7,O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)ccc21,
8,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]12,
9,CC/C=C\C[C@@H](/C=C/C=C\CCCCCCCC(=O)O)OO,
10,CCCCC[C@@H](/C=C/C=C\CCCCCCCC(=O)O)OO,
11,CCCCC/C=C\C=C\[C@H](CCCCCCCC(=O)O)OO,
12,CC/C=C\C/C=C\C=C\[C@H](CCCCCCCC(=O)O)OO,
13,CC(C)=CCC/C(C)=C/CO,
14,CC(C)=CCC/C(C)=C/CC/C(C)=C\CO,
15,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CO,
16,CC1(C)CC[C@]2(C)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,
17,CC(C)c1cc2c(cc1O)[C@@]1(C)CCCC(C)(C)[C@@H]1CC2,
18,CC(C)c1ccc2c(c1)CC[C@H]1C(C)(C)CCC[C@]21C,
19,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,
20,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,
21,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,
22,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O,
23,CCOc1ccc2ccc(=O)oc2c1,
24,CC(C)(C(=O)c1cccnc1)c1cccnc1,
25,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO,
26,C=C1C[C@@]23CCC4C(C)(C)CCC[C@@]4(C)C2CC[C@@H]1C3,
27,C=C1C[C@@]23CC[C@@H]4[C@](C)(CO)CCC[C@@]4(C)[C@@H]2CC[C@@H]1C3,
28,C=C1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C=O)[C@@H]2CC[C@@H]1C3,
29,COc1cc([C@@H]2c3cc4c(cc3C[C@H]3COC(=O)[C@@H]32)OCO4)cc(OC)c1O,
30,COc1ccc(C[C@H]2C(=O)OC[C@@H]2Cc2ccc3c(c2)OCO3)cc1OC,
31,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,
32,O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21,
33,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,
34,O=C1c2c(O)cc(O)cc2OC(c2ccc(O)cc2)C1O,
35,CC(C)C1=CCC2=C(CC[C@H]3C(C)(C)CCC[C@]23C)C1,
36,OC1=N[C@@H](Cc2ccc(O)cc2)C(O)=N[C@H]1Cc1ccc(O)cc1,
37,CC(C)c1cc2c(c(O)c1O)[C@@]1(C)CCCC(C)(C)[C@@H]1CC2,
38,CC(C)c1cc2c(c(O)c1O)[C@@]1(C)CCCC(C)(C)[C@@H]1CC2=O,
39,COc1cc2c(cc1O)[C@@H](Cc1ccc(O)cc1)NCC2,
40,COc1cc2c(cc1O)[C@H](Cc1ccc(O)cc1)NCC2,
41,COc1ccc(CN(C)CCc2ccc(O)cc2)cc1O,
42,COc1ccc(CNCCc2ccc(O)cc2)cc1O,
43,CC1(C)CC[C@]2(CO)CC[C@]3(C)C(=CCC4[C@@]5(C)CC[C@H](O)C(C)(C)C5CC[C@]43C)C2C1,
44,CC(=O)[C@@]12OC1C[C@H]1[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]12C,
45,C=C[C@@](C)(O)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C,
46,C=C[C@@](C)(O)CC/C=C(\C)CCC=C(C)C,
47,C=CC(C)(O)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C,
48,C=C1CCC[C@H]2[C@]3(C)CC[C@](C)(C4CO4)C[C@H]3CC[C@]12C,
49,C=C[C@@]1(C)CC[C@]2(C)[C@H](CC[C@]3(C)C(=C)CCC[C@@H]23)C1,
