interaction_id,enzyme_id,compound_id,label,source,quality_tier,num_reactions,has_pmid,has_products,source_enzyme_index,source_reaction_index
0,0,0,1,S2_ESIBank,B,1,0,0,5288,9441
1,1,1,1,S2_ESIBank,B,1,0,0,5099,9137
2,1,2,1,S2_ESIBank,B,1,0,0,5099,9134
3,1,3,1,S2_ESIBank,B,1,0,0,5099,9131
4,1,4,1,S2_ESIBank,B,1,0,0,5099,9133
5,1,5,1,S2_ESIBank,B,1,0,0,5099,9136
6,1,6,1,S2_ESIBank,B,1,0,0,5099,9135
7,2,7,1,S2_ESIBank,B,1,0,0,5183,9267
8,3,8,1,S2_ESIBank,B,1,0,0,5365,9577
9,4,9,1,S2_ESIBank,B,1,0,0,21278,35930
10,4,10,1,S2_ESIBank,B,1,0,0,21278,35931
11,4,11,1,S2_ESIBank,B,1,0,0,21278,35934
12,4,12,1,S2_ESIBank,B,1,0,0,21278,35937
13,5,13,1,S2_ESIBank,B,1,0,0,5169,9248
14,5,14,1,S2_ESIBank,B,1,0,0,5169,9249
15,5,15,1,S2_ESIBank,B,1,0,0,5169,9250
16,6,16,1,S2_ESIBank,B,1,0,0,5326,9488
17,7,17,1,S2_ESIBank,B,1,0,0,5116,9180
18,7,18,1,S2_ESIBank,B,1,0,0,5116,9493
19,8,19,1,S2_ESIBank,B,1,0,0,4960,8820
20,8,20,1,S2_ESIBank,B,1,0,0,4960,8800
21,8,21,1,S2_ESIBank,B,1,0,0,4960,8791
22,8,22,1,S2_ESIBank,B,1,0,0,4960,8792
23,8,23,1,S2_ESIBank,B,1,0,0,4960,8788
24,9,24,1,S2_ESIBank,B,1,0,0,5338,9509
25,9,25,1,S2_ESIBank,B,1,0,0,5338,9506
26,10,26,1,S2_ESIBank,B,1,0,0,5175,9260
27,10,27,1,S2_ESIBank,B,1,0,0,5175,9258
28,10,28,1,S2_ESIBank,B,1,0,0,5175,9257
29,11,29,1,S2_ESIBank,B,1,0,0,5264,9386
30,12,27,1,S2_ESIBank,B,1,0,0,5176,9258
31,12,28,1,S2_ESIBank,B,1,0,0,5176,9257
32,12,26,1,S2_ESIBank,B,1,0,0,5176,9259
33,13,30,1,S2_ESIBank,B,1,0,0,5263,9385
34,14,31,1,S2_ESIBank,B,1,0,0,5152,9241
35,14,32,1,S2_ESIBank,B,1,0,0,5152,9232
36,14,33,1,S2_ESIBank,B,1,0,0,5152,9242
37,14,34,1,S2_ESIBank,B,1,0,0,5152,9239
38,15,35,1,S2_ESIBank,B,1,0,0,5115,9495
39,15,18,1,S2_ESIBank,B,1,0,0,5115,9493
40,15,17,1,S2_ESIBank,B,1,0,0,5115,9180
41,16,33,1,S2_ESIBank,B,1,0,0,5165,9242
42,16,34,1,S2_ESIBank,B,1,0,0,5165,9239
43,16,32,1,S2_ESIBank,B,1,0,0,5165,9232
44,17,36,1,S2_ESIBank,B,1,0,0,5674,9980
45,18,37,1,S2_ESIBank,B,1,0,0,5114,9184
46,18,17,1,S2_ESIBank,B,1,0,0,5114,9185
47,19,38,1,S2_ESIBank,B,1,0,0,5119,9187
48,19,37,1,S2_ESIBank,B,1,0,0,5119,9186
49,20,39,1,S2_ESIBank,B,1,0,0,5656,9933
50,20,40,1,S2_ESIBank,B,1,0,0,5656,9936
51,20,41,1,S2_ESIBank,B,1,0,0,5656,9938
52,20,42,1,S2_ESIBank,B,1,0,0,5656,9937
53,21,16,1,S2_ESIBank,B,1,0,0,5252,9369
54,21,43,1,S2_ESIBank,B,1,0,0,5252,9375
55,22,44,1,S2_ESIBank,B,1,0,0,5724,10114
56,23,45,1,S2_ESIBank,B,1,0,0,5111,9174
57,23,46,1,S2_ESIBank,B,1,0,0,5111,9175
58,23,47,1,S2_ESIBank,B,1,0,0,5111,9176
59,24,48,1,S2_ESIBank,B,1,0,0,5314,9471
60,24,49,1,S2_ESIBank,B,1,0,0,5314,9472
