reaction_id,enzyme_id,compound_id,substrate_smiles,product_smiles,reaction_smiles,pmids
ESI_9441,0,0,C=C(C(=O)O)[C@H]1C/C=C(\C)CC/C=C(\C)CC1,C=C1C(=O)O[C@@H]2/C=C(\C)CC/C=C(\C)CC[C@@H]12.-.O,C=C(C(=O)O)[C@H]1C/C=C(\C)CC/C=C(\C)CC1.-.O=O>>C=C1C(=O)O[C@@H]2/C=C(\C)CC/C=C(\C)CC[C@@H]12.-.O,
ESI_9137,1,1,N#CCc1c[nH]c2ccccc12,N#CC(O)c1c[nH]c2ccccc12.-.O,N#CCc1c[nH]c2ccccc12.-.O=O>>N#CC(O)c1c[nH]c2ccccc12.-.O,
ESI_9134,1,2,O/N=C/Cc1ccc(O)cc1,N#CC(O)c1ccc(O)cc1.-.O,O/N=C/Cc1ccc(O)cc1.-.O=O>>N#CC(O)c1ccc(O)cc1.-.O,
ESI_9131,1,3,O/N=C/Cc1ccccc1,N#C[C@H](O)c1ccccc1.-.O,O/N=C/Cc1ccccc1.-.O=O>>N#C[C@H](O)c1ccccc1.-.O,
ESI_9133,1,4,O/N=C\Cc1ccccc1,N#CCc1ccccc1.O,O/N=C\Cc1ccccc1>>N#CCc1ccccc1.O,
ESI_9136,1,5,O/N=C/Cc1c[nH]c2ccccc12,N#CC(O)c1c[nH]c2ccccc12.-.O,O/N=C/Cc1c[nH]c2ccccc12.-.O=O>>N#CC(O)c1c[nH]c2ccccc12.-.O,
ESI_9135,1,6,N#CCc1ccc(O)cc1,N#CC(O)c1ccc(O)cc1.-.O,N#CCc1ccc(O)cc1.-.O=O>>N#CC(O)c1ccc(O)cc1.-.O,
ESI_9267,2,7,O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)ccc21,O=C1c2ccc(O)cc2OC(O)C1c1ccc(O)cc1.O.-,O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)ccc21.O=O.->>O=C1c2ccc(O)cc2OC(O)C1c1ccc(O)cc1.O.-,
ESI_9577,3,8,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]12,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]12.O,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]12.[H+].O=O>>C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]12.O,
ESI_35930,4,9,CC/C=C\C[C@@H](/C=C/C=C\CCCCCCCC(=O)O)OO,O=C(O)CCCCCCC/C=C\CCO.O=C(O)CCCCCCCC/C=C/CO,CC/C=C\C[C@@H](/C=C/C=C\CCCCCCCC(=O)O)OO>>O=C(O)CCCCCCC/C=C\CCO.O=C(O)CCCCCCCC/C=C/CO,
ESI_35931,4,10,CCCCC[C@@H](/C=C/C=C\CCCCCCCC(=O)O)OO,CCCCCC1OC1C(O)/C=C/CCCCCCCC(=O)O.CCCCCC1OC1/C=C/C(O)CCCCCCCC(=O)O.O=C(O)CCCCCCC/C=C\CCO.O=C(O)CCCCCCCC/C=C/CO,CCCCC[C@@H](/C=C/C=C\CCCCCCCC(=O)O)OO>>CCCCCC1OC1C(O)/C=C/CCCCCCCC(=O)O.CCCCCC1OC1/C=C/C(O)CCCCCCCC(=O)O.O=C(O)CCCCCCC/C=C\CCO.O=C(O)CCCCCCCC/C=C/CO,
ESI_35934,4,11,CCCCC/C=C\C=C\[C@H](CCCCCCCC(=O)O)OO,CCCCC/C=C\[C@H](O)[C@@H]1O[C@H]1CCCCCCCC(=O)O.O=C(O)CCCCCCC/C=C\CCO,CCCCC/C=C\C=C\[C@H](CCCCCCCC(=O)O)OO>>CCCCC/C=C\[C@H](O)[C@@H]1O[C@H]1CCCCCCCC(=O)O.O=C(O)CCCCCCC/C=C\CCO,
ESI_35937,4,12,CC/C=C\C/C=C\C=C\[C@H](CCCCCCCC(=O)O)OO,O=C(O)CCCCCCCCO.O=C(O)CCCCCCC/C=C\CCO,CC/C=C\C/C=C\C=C\[C@H](CCCCCCCC(=O)O)OO>>O=C(O)CCCCCCCCO.O=C(O)CCCCCCC/C=C\CCO,
ESI_9248,5,13,CC(C)=CCC/C(C)=C/CO,C/C(=C\CC/C(C)=C/CO)CO.-.O,CC(C)=CCC/C(C)=C/CO.-.O=O>>C/C(=C\CC/C(C)=C/CO)CO.-.O,
ESI_9249,5,14,CC(C)=CCC/C(C)=C/CC/C(C)=C\CO,C/C(=C\CC/C(C)=C/CC/C(C)=C/CO)CO.-.O,CC(C)=CCC/C(C)=C/CC/C(C)=C\CO.-.O=O>>C/C(=C\CC/C(C)=C/CC/C(C)=C/CO)CO.-.O,
ESI_9250,5,15,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CO,CC(C)=CCC/C(C)=C/CC/C(=C/CC/C(C)=C/CO)CO.-.O,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CO.-.O=O>>CC(C)=CCC/C(C)=C/CC/C(=C/CC/C(C)=C/CO)CO.-.O,
ESI_9488,6,16,CC1(C)CC[C@]2(C)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,CC1(C)CC[C@]2(C)[C@H](O)C[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1.-.O,CC1(C)CC[C@]2(C)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1.-.O=O>>CC1(C)CC[C@]2(C)[C@H](O)C[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1.-.O,
ESI_9180,7,17,CC(C)c1cc2c(cc1O)[C@@]1(C)CCCC(C)(C)[C@@H]1CC2,CC(C)c1cc2c(c(O)c1O)[C@@]1(C)CCCC(C)(C)[C@@H]1CC2.-.O,CC(C)c1cc2c(cc1O)[C@@]1(C)CCCC(C)(C)[C@@H]1CC2.-.O=O>>CC(C)c1cc2c(c(O)c1O)[C@@]1(C)CCCC(C)(C)[C@@H]1CC2.-.O,
ESI_9493,7,18,CC(C)c1ccc2c(c1)CC[C@H]1C(C)(C)CCC[C@]21C,CC(C)c1cc2c(cc1O)[C@@]1(C)CCCC(C)(C)[C@@H]1CC2.-.O,CC(C)c1ccc2c(c1)CC[C@H]1C(C)(C)CCC[C@]21C.-.O=O>>CC(C)c1cc2c(cc1O)[C@@]1(C)CCCC(C)(C)[C@@H]1CC2.-.O,
ESI_8820,8,19,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,O=C(O)/C=C/C=C/C=C/C=C/C=C/CCCCCCCCCO.C/C=C/C(O)C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O.-.O,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O.-.O=O>>O=C(O)/C=C/C=C/C=C/C=C/C=C/CCCCCCCCCO.C/C=C/C(O)C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O.-.O,
ESI_8800,8,20,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,O=C(O)CCCCCCC/C=C\C/C=C\CCCCCO.-.O,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O.-.O=O>>O=C(O)CCCCCCC/C=C\C/C=C\CCCCCO.-.O,
ESI_8791,8,21,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,O=C(O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCO.O.N=C(O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O.O=O.N=C(O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1>>O=C(O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCO.O.N=C(O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,
ESI_8792,8,22,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O,O=C(O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCO.-.O,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O.-.O=O>>O=C(O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCO.-.O,
ESI_8788,8,23,CCOc1ccc2ccc(=O)oc2c1,O=c1ccc2ccc(O)cc2o1.-.O,CCOc1ccc2ccc(=O)oc2c1.-.O=O>>O=c1ccc2ccc(O)cc2o1.-.O,
ESI_9509,9,24,CC(C)(C(=O)c1cccnc1)c1cccnc1,CC(C)(c1cccnc1)C(O)c1cccnc1,CC(C)(C(=O)c1cccnc1)c1cccnc1>>CC(C)(c1cccnc1)C(O)c1cccnc1,
ESI_9506,9,25,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@]2(CO)[C@@H](C(=O)CO)CC[C@@H]12.-.O,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO.-.O=O>>C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@]2(CO)[C@@H](C(=O)CO)CC[C@@H]12.-.O,
ESI_9260,10,26,C=C1C[C@@]23CCC4C(C)(C)CCC[C@@]4(C)C2CC[C@@H]1C3,C=C1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)O)[C@@H]2CC[C@@H]1C3.-.O,C=C1C[C@@]23CCC4C(C)(C)CCC[C@@]4(C)C2CC[C@@H]1C3.-.O=O>>C=C1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)O)[C@@H]2CC[C@@H]1C3.-.O,
ESI_9258,10,27,C=C1C[C@@]23CC[C@@H]4[C@](C)(CO)CCC[C@@]4(C)[C@@H]2CC[C@@H]1C3,C=C1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C=O)[C@@H]2CC[C@@H]1C3.-.O,C=C1C[C@@]23CC[C@@H]4[C@](C)(CO)CCC[C@@]4(C)[C@@H]2CC[C@@H]1C3.-.O=O>>C=C1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C=O)[C@@H]2CC[C@@H]1C3.-.O,
ESI_9257,10,28,C=C1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C=O)[C@@H]2CC[C@@H]1C3,C=C1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)O)[C@@H]2CC[C@@H]1C3.-.O,C=C1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C=O)[C@@H]2CC[C@@H]1C3.-.O=O>>C=C1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)O)[C@@H]2CC[C@@H]1C3.-.O,
ESI_9386,11,29,COc1cc([C@@H]2c3cc4c(cc3C[C@H]3COC(=O)[C@@H]32)OCO4)cc(OC)c1O,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O.-.O,COc1cc([C@@H]2c3cc4c(cc3C[C@H]3COC(=O)[C@@H]32)OCO4)cc(OC)c1O.-.O=O>>COc1cc([C@@H]2c3cc4c(cc3[C@@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O.-.O,
