interaction_id,enzyme_id,compound_id,label,source,quality_tier,usage,source_paper
0,0,490,0,S6_Figshare,B,biological_negative,DrugBank
1,0,491,0,S6_Figshare,B,biological_negative,Yamashita
2,0,492,0,S6_Figshare,B,biological_negative,DrugBank
3,0,493,0,S6_Figshare,B,biological_negative,Yamashita
4,0,494,0,S6_Figshare,B,biological_negative,DrugBank
5,0,495,0,S6_Figshare,B,biological_negative,Yamashita
6,0,496,0,S6_Figshare,B,biological_negative,DrugBank
7,0,497,0,S6_Figshare,B,biological_negative,DrugBank
8,0,498,0,S6_Figshare,B,biological_negative,DrugBank
9,0,499,0,S6_Figshare,B,biological_negative,DrugBank
10,0,500,0,S6_Figshare,B,biological_negative,Yamashita
11,0,501,0,S6_Figshare,B,biological_negative,Yamashita
12,0,502,0,S6_Figshare,B,biological_negative,Yamashita
13,0,503,0,S6_Figshare,B,biological_negative,Yamashita
14,0,504,0,S6_Figshare,B,biological_negative,Yamashita
15,0,505,0,S6_Figshare,B,biological_negative,Yamashita
16,0,506,0,S6_Figshare,B,biological_negative,Yamashita
17,0,507,0,S6_Figshare,B,biological_negative,Yamashita
18,0,508,0,S6_Figshare,B,biological_negative,Yamashita
19,0,509,0,S6_Figshare,B,biological_negative,Yamashita
20,0,510,0,S6_Figshare,B,biological_negative,Yamashita
21,0,511,0,S6_Figshare,B,biological_negative,Yamashita
22,0,512,0,S6_Figshare,B,biological_negative,Yamashita
23,0,513,0,S6_Figshare,B,biological_negative,Yamashita
24,0,514,0,S6_Figshare,B,biological_negative,Yamashita
25,0,515,0,S6_Figshare,B,biological_negative,Yamashita
26,0,516,0,S6_Figshare,B,biological_negative,CYP Knowledgebase 
27,0,517,0,S6_Figshare,B,biological_negative,Yamashita
28,0,518,0,S6_Figshare,B,biological_negative,Yamashita
29,0,519,0,S6_Figshare,B,biological_negative,Yamashita
30,0,520,0,S6_Figshare,B,biological_negative,Yamashita
31,0,521,0,S6_Figshare,B,biological_negative,Yamashita
32,0,522,0,S6_Figshare,B,biological_negative,Yamashita
33,0,523,0,S6_Figshare,B,biological_negative,Yamashita
34,0,524,0,S6_Figshare,B,biological_negative,Yamashita
35,0,525,0,S6_Figshare,B,biological_negative,CYP Knowledgebase 
36,0,526,0,S6_Figshare,B,biological_negative,Yamashita
37,0,527,0,S6_Figshare,B,biological_negative,Yamashita
38,0,528,0,S6_Figshare,B,biological_negative,Yamashita
39,0,529,0,S6_Figshare,B,biological_negative,Yamashita
40,0,530,0,S6_Figshare,B,biological_negative,Yamashita
41,0,531,0,S6_Figshare,B,biological_negative,Yap
42,0,532,0,S6_Figshare,B,biological_negative,DrugBank
43,0,533,0,S6_Figshare,B,biological_negative,Yamashita
44,0,534,0,S6_Figshare,B,biological_negative,Yamashita
45,0,535,0,S6_Figshare,B,biological_negative,Yamashita
46,0,536,0,S6_Figshare,B,biological_negative,Yamashita
47,0,537,0,S6_Figshare,B,biological_negative,Yamashita
48,0,538,0,S6_Figshare,B,biological_negative,Yamashita
49,0,539,0,S6_Figshare,B,biological_negative,SuperCYP
50,0,540,0,S6_Figshare,B,biological_negative,Yamashita
51,0,541,0,S6_Figshare,B,biological_negative,SuperCYP
52,0,542,0,S6_Figshare,B,biological_negative,CYP Knowledgebase 
53,0,543,0,S6_Figshare,B,biological_negative,Yamashita
54,0,544,0,S6_Figshare,B,biological_negative,Yamashita
55,0,545,0,S6_Figshare,B,biological_negative,Yamashita
56,0,546,0,S6_Figshare,B,biological_negative,CYP Knowledgebase 
57,0,547,0,S6_Figshare,B,biological_negative,Yamashita
58,0,548,0,S6_Figshare,B,biological_negative,CYP Knowledgebase 
59,0,549,0,S6_Figshare,B,biological_negative,DrugBank
60,0,550,0,S6_Figshare,B,biological_negative,Yamashita
61,0,551,0,S6_Figshare,B,biological_negative,Yamashita
62,0,552,0,S6_Figshare,B,biological_negative,DrugBank
63,0,553,0,S6_Figshare,B,biological_negative,Yamashita
64,0,554,0,S6_Figshare,B,biological_negative,Yamashita
65,0,555,0,S6_Figshare,B,biological_negative,Yamashita
66,0,556,0,S6_Figshare,B,biological_negative,Yamashita
67,0,557,0,S6_Figshare,B,biological_negative,Yamashita
68,0,558,0,S6_Figshare,B,biological_negative,Yamashita
69,0,559,0,S6_Figshare,B,biological_negative,CYP Knowledgebase 
70,0,560,0,S6_Figshare,B,biological_negative,Yamashita
71,0,561,0,S6_Figshare,B,biological_negative,CYP Knowledgebase 
72,0,562,0,S6_Figshare,B,biological_negative,Yamashita
73,0,563,0,S6_Figshare,B,biological_negative,Yamashita
74,0,564,0,S6_Figshare,B,biological_negative,Yamashita
75,0,565,0,S6_Figshare,B,biological_negative,Yamashita
76,0,566,0,S6_Figshare,B,biological_negative,Yamashita
77,0,567,0,S6_Figshare,B,biological_negative,Yamashita
78,0,568,0,S6_Figshare,B,biological_negative,DrugBank
79,0,569,0,S6_Figshare,B,biological_negative,Yamashita
80,0,570,0,S6_Figshare,B,biological_negative,Yamashita
81,0,571,0,S6_Figshare,B,biological_negative,Yamashita
82,0,572,0,S6_Figshare,B,biological_negative,CYP Knowledgebase 
83,0,573,0,S6_Figshare,B,biological_negative,CYP Knowledgebase 
84,0,574,0,S6_Figshare,B,biological_negative,SuperCYP
85,0,575,0,S6_Figshare,B,biological_negative,Yamashita
86,0,576,0,S6_Figshare,B,biological_negative,CYP Knowledgebase 
87,0,577,0,S6_Figshare,B,biological_negative,Yamashita
88,0,578,0,S6_Figshare,B,biological_negative,CYP Knowledgebase 
89,0,579,0,S6_Figshare,B,biological_negative,DrugBank
90,0,580,0,S6_Figshare,B,biological_negative,Yamashita
91,0,581,0,S6_Figshare,B,biological_negative,Yamashita
92,0,582,0,S6_Figshare,B,biological_negative,Yamashita
93,0,583,0,S6_Figshare,B,biological_negative,Yap
94,0,584,0,S6_Figshare,B,biological_negative,Yamashita
95,0,585,0,S6_Figshare,B,biological_negative,CYP Knowledgebase 
96,0,586,0,S6_Figshare,B,biological_negative,DrugBank
97,0,587,0,S6_Figshare,B,biological_negative,DrugBank
98,0,588,0,S6_Figshare,B,biological_negative,CYP Knowledgebase 
99,0,589,0,S6_Figshare,B,biological_negative,Yamashita
100,0,590,0,S6_Figshare,B,biological_negative,DrugBank
101,0,591,0,S6_Figshare,B,biological_negative,Yap
102,0,592,0,S6_Figshare,B,biological_negative,SuperCYP
103,0,593,0,S6_Figshare,B,biological_negative,Yamashita
104,0,594,0,S6_Figshare,B,biological_negative,Yamashita
105,0,595,0,S6_Figshare,B,biological_negative,Yamashita
106,0,596,0,S6_Figshare,B,biological_negative,DrugBank
107,0,597,0,S6_Figshare,B,biological_negative,Yamashita
108,0,598,0,S6_Figshare,B,biological_negative,CYP Knowledgebase 
109,0,599,0,S6_Figshare,B,biological_negative,Yamashita
110,0,600,0,S6_Figshare,B,biological_negative,Yamashita
111,0,601,0,S6_Figshare,B,biological_negative,Yamashita
112,0,602,0,S6_Figshare,B,biological_negative,Yamashita
113,0,603,0,S6_Figshare,B,biological_negative,Yamashita
114,0,604,0,S6_Figshare,B,biological_negative,Yamashita
115,0,605,0,S6_Figshare,B,biological_negative,Yamashita
116,0,606,0,S6_Figshare,B,biological_negative,Yamashita
117,0,607,0,S6_Figshare,B,biological_negative,Yamashita
118,0,608,0,S6_Figshare,B,biological_negative,Yamashita
119,0,609,0,S6_Figshare,B,biological_negative,Yamashita
120,0,610,0,S6_Figshare,B,biological_negative,Yamashita
121,0,611,0,S6_Figshare,B,biological_negative,Yamashita
122,0,612,0,S6_Figshare,B,biological_negative,Yamashita
123,0,613,0,S6_Figshare,B,biological_negative,CYP Knowledgebase 
124,0,614,0,S6_Figshare,B,biological_negative,DrugBank
125,0,615,0,S6_Figshare,B,biological_negative,Yamashita
126,0,616,0,S6_Figshare,B,biological_negative,Yamashita
127,0,617,0,S6_Figshare,B,biological_negative,Yamashita
128,0,618,0,S6_Figshare,B,biological_negative,Yamashita
