interaction_id,enzyme_id,compound_id,label,source,quality_tier,usage,source_paper
0,0,0,1,S6_Figshare,B,auxiliary,Yamashita
1,0,1,1,S6_Figshare,B,auxiliary,DrugBank
2,0,2,1,S6_Figshare,B,auxiliary,Yamashita
3,0,3,1,S6_Figshare,B,auxiliary,Yamashita
4,0,4,1,S6_Figshare,B,auxiliary,Yamashita
5,0,5,1,S6_Figshare,B,auxiliary,Yap
6,0,6,1,S6_Figshare,B,auxiliary,DrugBank
7,0,7,1,S6_Figshare,B,auxiliary,SuperCYP
8,0,8,1,S6_Figshare,B,auxiliary,DrugBank
9,0,9,1,S6_Figshare,B,auxiliary,DrugBank
10,0,10,1,S6_Figshare,B,auxiliary,SuperCYP
11,0,11,1,S6_Figshare,B,auxiliary,DrugBank
12,0,12,1,S6_Figshare,B,auxiliary,Yamashita
13,0,13,1,S6_Figshare,B,auxiliary,Yamashita
14,0,14,1,S6_Figshare,B,auxiliary,Yamashita
15,0,15,1,S6_Figshare,B,auxiliary,SuperCYP
16,0,16,1,S6_Figshare,B,auxiliary,DrugBank
17,0,17,1,S6_Figshare,B,auxiliary,Yamashita
18,0,18,1,S6_Figshare,B,auxiliary,CYP Knowledgebase 
19,0,19,1,S6_Figshare,B,auxiliary,Mayo Clinic Laboratories
20,0,20,1,S6_Figshare,B,auxiliary,Siyang_Tian
21,0,21,1,S6_Figshare,B,auxiliary,Holmer
22,0,22,1,S6_Figshare,B,auxiliary,DrugBank
23,0,23,1,S6_Figshare,B,auxiliary,Holmer
24,0,24,1,S6_Figshare,B,auxiliary,Yamashita
25,0,25,1,S6_Figshare,B,auxiliary,Siyang_Tian
26,0,26,1,S6_Figshare,B,auxiliary,Siyang_Tian
27,0,27,1,S6_Figshare,B,auxiliary,Siyang_Tian
28,0,28,1,S6_Figshare,B,auxiliary,Siyang_Tian
29,0,29,1,S6_Figshare,B,auxiliary,Siyang_Tian
30,0,30,1,S6_Figshare,B,auxiliary,Siyang_Tian
31,0,31,1,S6_Figshare,B,auxiliary,DrugBank
32,0,32,1,S6_Figshare,B,auxiliary,Yamashita
33,0,33,1,S6_Figshare,B,auxiliary,Yamashita
34,0,34,1,S6_Figshare,B,auxiliary,CYP Knowledgebase 
35,0,35,1,S6_Figshare,B,auxiliary,Yamashita
36,0,36,1,S6_Figshare,B,auxiliary,Yamashita
37,0,37,1,S6_Figshare,B,auxiliary,Holmer
38,0,38,1,S6_Figshare,B,auxiliary,CYP Knowledgebase 
39,0,39,1,S6_Figshare,B,auxiliary,CYP Knowledgebase 
40,0,40,1,S6_Figshare,B,auxiliary,DrugBank
41,0,41,1,S6_Figshare,B,auxiliary,CYP Knowledgebase 
42,0,42,1,S6_Figshare,B,auxiliary,Yamashita
43,0,43,1,S6_Figshare,B,auxiliary,DrugBank
44,0,44,1,S6_Figshare,B,auxiliary,Yamashita
45,0,45,1,S6_Figshare,B,auxiliary,Yamashita
46,0,46,1,S6_Figshare,B,auxiliary,Yamashita
47,0,47,1,S6_Figshare,B,auxiliary,Yamashita
48,0,48,1,S6_Figshare,B,auxiliary,DrugBank
49,0,49,1,S6_Figshare,B,auxiliary,Yamashita
50,0,50,1,S6_Figshare,B,auxiliary,DrugBank
51,0,51,1,S6_Figshare,B,auxiliary,CYP Knowledgebase 
52,0,52,1,S6_Figshare,B,auxiliary,DrugBank
53,0,53,1,S6_Figshare,B,auxiliary,Yamashita
54,0,54,1,S6_Figshare,B,auxiliary,Yamashita
55,0,55,1,S6_Figshare,B,auxiliary,DrugBank
56,0,56,1,S6_Figshare,B,auxiliary,Yamashita
57,0,57,1,S6_Figshare,B,auxiliary,Siyang_Tian
58,0,58,1,S6_Figshare,B,auxiliary,Yamashita
59,0,59,1,S6_Figshare,B,auxiliary,CYP Knowledgebase 
60,0,60,1,S6_Figshare,B,auxiliary,CYP Knowledgebase 
61,0,61,1,S6_Figshare,B,auxiliary,CYP Knowledgebase 
62,0,62,1,S6_Figshare,B,auxiliary,CYP Knowledgebase 
63,0,63,1,S6_Figshare,B,auxiliary,Yamashita
64,0,64,1,S6_Figshare,B,auxiliary,Yamashita
65,0,65,1,S6_Figshare,B,auxiliary,CYP Knowledgebase 
66,0,66,1,S6_Figshare,B,auxiliary,Tao_Zhang
67,0,67,1,S6_Figshare,B,auxiliary,CYP Knowledgebase 
68,0,68,1,S6_Figshare,B,auxiliary,Yamashita
69,0,69,1,S6_Figshare,B,auxiliary,Yamashita
70,0,70,1,S6_Figshare,B,auxiliary,CYP Knowledgebase 
71,0,71,1,S6_Figshare,B,auxiliary,Yamashita
72,0,72,1,S6_Figshare,B,auxiliary,Yamashita
73,0,73,1,S6_Figshare,B,auxiliary,SuperCYP
74,0,74,1,S6_Figshare,B,auxiliary,CYP Knowledgebase 
75,0,75,1,S6_Figshare,B,auxiliary,CYP Knowledgebase 
76,0,76,1,S6_Figshare,B,auxiliary,DrugBank
77,0,77,1,S6_Figshare,B,auxiliary,DrugBank
78,0,78,1,S6_Figshare,B,auxiliary,CYP Knowledgebase 
79,0,79,1,S6_Figshare,B,auxiliary,CYP Knowledgebase 
80,0,80,1,S6_Figshare,B,auxiliary,CYP Knowledgebase 
81,0,81,1,S6_Figshare,B,auxiliary,DrugBank
82,0,82,1,S6_Figshare,B,auxiliary,CYP Knowledgebase 
83,0,83,1,S6_Figshare,B,auxiliary,CYP Knowledgebase 
84,0,84,1,S6_Figshare,B,auxiliary,Yamashita
85,0,85,1,S6_Figshare,B,auxiliary,Siyang_Tian
86,0,86,1,S6_Figshare,B,auxiliary,Holmer
87,0,87,1,S6_Figshare,B,auxiliary,CYP Knowledgebase 
88,0,88,1,S6_Figshare,B,auxiliary,DrugBank
89,0,89,1,S6_Figshare,B,auxiliary,Yamashita
90,0,90,1,S6_Figshare,B,auxiliary,DrugBank
91,0,91,1,S6_Figshare,B,auxiliary,Holmer
92,0,92,1,S6_Figshare,B,auxiliary,DrugBank
93,0,93,1,S6_Figshare,B,auxiliary,DrugBank
94,0,94,1,S6_Figshare,B,auxiliary,DrugBank
95,0,95,1,S6_Figshare,B,auxiliary,DrugBank
96,0,96,1,S6_Figshare,B,auxiliary,DrugBank
97,0,97,1,S6_Figshare,B,auxiliary,DrugBank
98,0,98,1,S6_Figshare,B,auxiliary,DrugBank
99,0,99,1,S6_Figshare,B,auxiliary,Yamashita
100,0,100,1,S6_Figshare,B,auxiliary,SuperCYP
101,0,101,1,S6_Figshare,B,auxiliary,DrugBank
102,0,102,1,S6_Figshare,B,auxiliary,DrugBank
103,0,103,1,S6_Figshare,B,auxiliary,DrugBank
104,0,104,1,S6_Figshare,B,auxiliary,Holmer
105,0,105,1,S6_Figshare,B,auxiliary,Yamashita
106,0,106,1,S6_Figshare,B,auxiliary,CYP Knowledgebase 
107,0,107,1,S6_Figshare,B,auxiliary,DrugBank
108,0,108,1,S6_Figshare,B,auxiliary,DrugBank
109,0,109,1,S6_Figshare,B,auxiliary,DrugBank
110,0,110,1,S6_Figshare,B,auxiliary,CYP Knowledgebase 
111,0,111,1,S6_Figshare,B,auxiliary,DrugBank
112,0,112,1,S6_Figshare,B,auxiliary,CYP Knowledgebase 
113,0,113,1,S6_Figshare,B,auxiliary,DrugBank
114,0,114,1,S6_Figshare,B,auxiliary,DrugBank
115,0,115,1,S6_Figshare,B,auxiliary,Siyang_Tian
116,0,116,1,S6_Figshare,B,auxiliary,CYP Knowledgebase 
117,0,117,1,S6_Figshare,B,auxiliary,DrugBank
118,0,118,1,S6_Figshare,B,auxiliary,DrugBank
119,0,119,1,S6_Figshare,B,auxiliary,SuperCYP
120,0,120,1,S6_Figshare,B,auxiliary,DrugBank
121,0,121,1,S6_Figshare,B,auxiliary,SuperCYP
122,0,122,1,S6_Figshare,B,auxiliary,DrugBank
123,0,123,1,S6_Figshare,B,auxiliary,Yap
124,0,124,1,S6_Figshare,B,auxiliary,SuperCYP
125,0,125,1,S6_Figshare,B,auxiliary,DrugBank
