compound_id,smiles,name
0,CC1C(=O)NC(C(=O)N1)CC2=C(NC3=CC=CC=C32)C(C)(C)C=C,preechinulin
1,CC(=O)OC1CC2C(OC(=O)CC(C2(C3C1(C4=CCC(C4(CC3)C)C(CC(C5C(O5)(C)C)O)CO)C)C)OC(=O)C)(C)C,"(1R,2R,3S,8R,10R,11R,15S,16S)-3-(acetyloxy)-15-[(4R)-4-[(2S)-3,3-dimethyloxiran-2-yl]-1,4-dihydroxybutan-2-yl]-2,7,7,11,16-pentamethyl-5-oxo-6-oxatetracyclo[9.7.0.0(2,8).0(12,16)]octadec-12-en-10-yl acetate"
2,CC(=O)OC1C(CC(O1)C2C(O2)(C)C)C3CC=C4C3(CCC5C4(C(CC6C5(CCC(=O)OC6(C)C)C)O)C)C,luvungin A
3,CC1(C(CCC2(C1CC=C3C2CCC4(C3(CCC4C5CC(OC5O)C6C(O6)(C)C)C)C)C)O)C,melianol
4,CC(=O)O[C@H]1[C@@H](C[C@@H](O1)[C@H]2C(O2)(C)C)[C@@H]3CC=C4[C@]3(CC[C@H]5[C@]4([C@@H](C[C@@H]6[C@@]5(CCC(=O)C6(C)C)C)O)C)C,(21S)-21-acetoxyl-apo-melianone
5,CC(CC(C1C(O1)(C)C)O)C2CCC3(C2(CCC4C3=CCC5C4(CCC(C5(C)C)O)C)C)C,dihydroniloticin
6,CC(CCC=C(C)C)C1CCC2(C1(CCC3C2=CCC4C3(CCC(C4(C)C)O)C)C)C,"tirucalla-7,24-dien-3beta-ol"
7,C/C/1=C\CC/C(=C/C2C(C2(C)C)CC/C(=C/CC1)/C)/C,Casbene
8,C(CN)C(=O)O,Beta-Alanine
9,C1=CC(=C(C=C1CC(C(=O)O)N)F)O,3-Fluoro-D-tyrosine
10,C1=CC(=C(C=C1CC(C(=O)O)N)I)O,3-Iodo-L-tyrosine
11,C1=CC(=CC(=C1)F)CC(C(=O)O)N,3-Fluorophenylalanine
12,C1=CC(=CC=C1CC(C(=O)O)N)Br,4-Bromophenylalanine
13,C1=CC(=CC=C1CC(C(=O)O)N)Cl,4-Chloro-DL-phenylalanine
14,C1=CC(=CC=C1CC(C(=O)O)N)F,p-Fluorophenylalanine
15,C1=CC=C(C(=C1)CC(C(=O)O)N)F,DL-2-Fluorophenylalanine
16,CC(C)(CN)C(=O)O,"3-Amino-2,2-dimethylpropanoic acid"
17,CC1=CC=C(C=C1)CC(C(=O)O)N,4-Methyl-L-phenylalanine
18,CC1CNC(=O)C(NC(=O)C=CCC(OC(=O)C(OC1=O)CC(C)C)C(C)C=CC2=CC=CC=C2)CC3=CC=C(C=C3)OC,Cryptophycin D
19,O=C(C=CCC(O)C(C=CC=1C=CC=CC1)C)NC(C(=O)NCC(C(=O)OC(C(=O)SCCNC(=O)C)CC(C)C)C)CC2=CC=C(OC)C=C2,seco-Cryptophycin 4 SNAC-thioester
20,O=C(O)C(C)CN,L-beta-Aminoisobutyric acid
21,O=C(O)C(N)CC1=CC=C(OC)C(=C1)C,3-Methyl-O-(methyl-d3)-D-tyrosine
22,O=C(O)C(N)CC1=CC=C(OC)C(F)=C1,3-Fluoro-O-(methyl-d3)-D-tyrosine
23,O=C(O)C(N)CC1=CC=C2OCOC2=C1,"(alphaR)-alpha-Amino-1,3-benzodioxole-2,2-d2-5-propanoic acid"
24,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N,L-Tryptophan
25,C1=CC=C(C=C1)C/C=N/O,(E)-Phenylacetaldehyde Oxime
26,C1=CC=C(C=C1)CC#N,Phenylacetonitrile
27,C1=CC=C(C=C1)C[C@@H](C(=O)O)N,L-Phenylalanine
28,C[C@@]12CC[C@@H]3[C@@]([C@H]1CC=C4[C@]2(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)(C[C@@H]([C@@H](C3(C)C)O)O)C,2Beta-Hydroxyoleanolic Acid
29,C[C@@]12CC[C@@H]3[C@@]([C@H]1CC=C4[C@]2(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)(C[C@@H]([C@@H]([C@@]3(C)CO)O)O)C,Bayogenin
30,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)C)O,Oleanolic Acid
31,C[C@]12CC[C@@H]([C@@]([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)CO)O,Hederagenin
32,C1=CC(=CC(=C1)O)CO,3-Hydroxybenzyl Alcohol
33,CC1=CC(=CC=C1)O,3-Methylphenol
34,C[C@@]1(CC[C@H]2C(=C1)CC[C@@H]3[C@@]2(CCCC3(C)C)C)C=C,Sandaracopimaradiene
35,CC(C)[C@@H](C(=O)N[C@@H](CC1=CNC2=CC=CC=C21)CO)NC,NMVT
36,*[H],An Organic Molecule
37,C[C@@]12CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O)C)C)[C@@H]1CC(CC2)(C)C)C,Beta-Amyrin
38,C[C@@]12CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H]([C@]5(C)CO)O)C)C)[C@@H]1CC(CC2)(C)C)C,24-Hydroxy-Beta-Amyrin
39,CCCCCCCCCCCC(=O)O,Lauric acid
40,OCC(C)CC(C)CC(C)CC(C)CC,"(2r,4r,6r,8r)-2,4,6,8-Tetramethyldecan-1-ol"
41,C1=CC=C(C=C1)C/C=N\O,(E/Z)-Paox
42,CC1(CCCC2(C3C1C(C2(CC3)C)O)C)C,(-)-longiborneol
43,C[C@H](CCC(=C)C(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3C2=CC=C4[C@@]3(CC[C@@H](C4)O)C)C,5-Dehydroepisterol
44,C[C@H](CCC=C(C)C)[C@H]1CC[C@@]2([C@@]1(CC[C@@]3([C@H]2CC=C4[C@H]3CC[C@@H](C4(C)C)O)C)C)C,Cucurbitadienol
45,CC1=C(CCC([O-])=O)C2=[N+]3C1=Cc1c(C)c(C=C)c4C=C5C(C)=C(C=C)C6=[N+]5[Fe-]3(n14)n1c(=C6)c(C)c(CCC([O-])=O)c1=C2,Fe(III)-heme b
46,CCCCCCCCCCCC(=O)[O-],Dodecanoate
47,CCCCCCCCCCCCCC(=O)[O-],Tetradecanoate
48,CCCCCCCCCCCCO,Lauryl Alcohol
49,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C=O)C)C)(C)C)O,Oleanolic Aldehyde
50,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)CO)C)C)(C)C)O,Erythrodiol
