interaction_id,enzyme_id,compound_id,label,source,quality_tier,num_reactions,has_pmid,has_products
0,0,0,1,S3_P450Rdb,B,1,1,1
1,1,1,1,S3_P450Rdb,B,1,1,1
2,2,2,1,S3_P450Rdb,B,1,1,1
3,3,3,1,S3_P450Rdb,B,1,1,1
4,4,4,1,S3_P450Rdb,B,1,1,1
5,5,5,1,S3_P450Rdb,B,1,1,1
6,6,6,1,S3_P450Rdb,B,1,1,1
7,7,7,1,S3_P450Rdb,B,1,1,0
8,8,8,1,S3_P450Rdb,B,1,1,1
9,8,9,1,S3_P450Rdb,B,1,1,1
10,8,10,1,S3_P450Rdb,B,1,1,1
11,8,11,1,S3_P450Rdb,B,1,1,1
12,8,12,1,S3_P450Rdb,B,1,1,1
13,8,13,1,S3_P450Rdb,B,1,1,1
14,8,14,1,S3_P450Rdb,B,1,1,1
15,8,15,1,S3_P450Rdb,B,1,1,1
16,8,16,1,S3_P450Rdb,B,1,1,1
17,8,17,1,S3_P450Rdb,B,1,1,1
18,8,18,1,S3_P450Rdb,B,1,1,1
19,8,19,1,S3_P450Rdb,B,1,1,1
20,8,20,1,S3_P450Rdb,B,1,1,1
21,8,21,1,S3_P450Rdb,B,1,1,1
22,8,22,1,S3_P450Rdb,B,1,1,1
23,8,23,1,S3_P450Rdb,B,1,1,1
24,9,24,1,S3_P450Rdb,B,1,1,1
25,10,25,1,S3_P450Rdb,B,1,1,1
26,10,26,1,S3_P450Rdb,B,1,1,1
27,11,27,1,S3_P450Rdb,B,1,1,1
28,12,28,1,S3_P450Rdb,B,1,1,1
29,12,29,1,S3_P450Rdb,B,1,1,1
30,12,30,1,S3_P450Rdb,B,1,1,1
31,12,31,1,S3_P450Rdb,B,1,1,1
32,13,32,1,S3_P450Rdb,B,1,1,1
33,14,33,1,S3_P450Rdb,B,1,1,1
34,15,34,1,S3_P450Rdb,B,1,1,1
35,16,35,1,S3_P450Rdb,B,1,1,1
36,17,36,1,S3_P450Rdb,B,1,1,1
37,18,37,1,S3_P450Rdb,B,1,1,1
38,18,38,1,S3_P450Rdb,B,1,1,0
39,19,37,1,S3_P450Rdb,B,1,1,1
40,19,38,1,S3_P450Rdb,B,1,1,0
41,20,37,1,S3_P450Rdb,B,1,1,1
42,21,37,1,S3_P450Rdb,B,1,1,1
43,21,38,1,S3_P450Rdb,B,1,1,0
44,22,37,1,S3_P450Rdb,B,1,1,1
45,22,38,1,S3_P450Rdb,B,1,1,0
46,23,37,1,S3_P450Rdb,B,1,1,1
47,23,38,1,S3_P450Rdb,B,1,1,0
48,24,39,1,S3_P450Rdb,B,1,0,1
49,24,40,1,S3_P450Rdb,B,1,0,1
50,25,41,1,S3_P450Rdb,B,1,1,1
51,26,41,1,S3_P450Rdb,B,1,1,1
52,27,42,1,S3_P450Rdb,B,1,1,1
53,28,43,1,S3_P450Rdb,B,1,1,1
54,29,44,1,S3_P450Rdb,B,1,1,0
55,30,36,1,S3_P450Rdb,B,1,1,1
56,30,45,1,S3_P450Rdb,B,1,1,1
