reaction_id,enzyme_id,compound_id,substrate_smiles,product_smiles,pmids
P450R3708,0,0,CC1C(=O)NC(C(=O)N1)CC2=C(NC3=CC=CC=C32)C(C)(C)C=C,CC1C(=O)NC(=CC2=C(NC3=CC=CC=C32)C(C)(C)C=C)C(=O)N1;CC1=CC2=C(C=C1C)N(C3=NC(=NC(=O)C3=N2)[O-])C[C@@H]([C@@H]([C@@H](COP(=O)([O-])[O-])O)O)O;O;[H+],24811710; 29072465; 33381959
P450R3709,1,1,CC(=O)OC1CC2C(OC(=O)CC(C2(C3C1(C4=CCC(C4(CC3)C)C(CC(C5C(O5)(C)C)O)CO)C)C)OC(=O)C)(C)C,CC(=O)OC1CC2C(OC(=O)CC(C2(C3C1(C4=CCC(C4(CC3)C)C(CC=O)CO)C)C)OC(=O)C)(C)C;CC(C)C(=O)[O-];CC1=CC2=C(C=C1C)N(C3=NC(=NC(=O)C3=N2)[O-])C[C@@H]([C@@H]([C@@H](COP(=O)([O-])[O-])O)O)O;O;[H+],36701471
P450R3710,2,2,CC(=O)OC1C(CC(O1)C2C(O2)(C)C)C3CC=C4C3(CCC5C4(C(CC6C5(CCC(=O)OC6(C)C)C)O)C)C,CC(=O)OC1C(CC(O1)C2C(O2)(C)C)C3CC=C4C3(CCC5C4(C(CC6C5(C(CC(=O)OC6(C)C)O)C)O)C)C;CC1=CC2=C(C=C1C)N(C3=NC(=NC(=O)C3=N2)[O-])C[C@@H]([C@@H]([C@@H](COP(=O)([O-])[O-])O)O)O;O;[H+],36701471
P450R3711,3,3,CC1(C(CCC2(C1CC=C3C2CCC4(C3(CCC4C5CC(OC5O)C6C(O6)(C)C)C)C)C)O)C,CC1(C(CCC2(C1CC3C4(C2CCC5(C4(CCC5C6CC(OC6O)C7C(O7)(C)C)C)C)O3)C)O)C;CC1=CC2=C(C=C1C)N(C3=NC(=NC(=O)C3=N2)[O-])C[C@@H]([C@@H]([C@@H](COP(=O)([O-])[O-])O)O)O;O;[H+],36701471
P450R3712,4,4,CC(=O)O[C@H]1[C@@H](C[C@@H](O1)[C@H]2C(O2)(C)C)[C@@H]3CC=C4[C@]3(CC[C@H]5[C@]4([C@@H](C[C@@H]6[C@@]5(CCC(=O)C6(C)C)C)O)C)C,CC(=O)OC1C(CC(O1)C2C(O2)(C)C)C3CC=C4C3(CCC5C4(C(CC6C5(CCC(=O)OC6(C)C)C)O)C)C;CC1=CC2=C(C=C1C)N(C3=NC(=NC(=O)C3=N2)[O-])C[C@@H]([C@@H]([C@@H](COP(=O)([O-])[O-])O)O)O;O;[H+],36701471
P450R3713,5,5,CC(CC(C1C(O1)(C)C)O)C2CCC3(C2(CCC4C3=CCC5C4(CCC(C5(C)C)O)C)C)C,CC1(C(CCC2(C1CC=C3C2CCC4(C3(CCC4C5CC(OC5O)C6C(O6)(C)C)C)C)C)O)C;CC1=CC2=C(C=C1C)N(C3=NC(=NC(=O)C3=N2)[O-])C[C@@H]([C@@H]([C@@H](COP(=O)([O-])[O-])O)O)O;O;[H+],31371503
P450R3714,6,6,CC(CCC=C(C)C)C1CCC2(C1(CCC3C2=CCC4C3(CCC(C4(C)C)O)C)C)C,CC(CC(C1C(O1)(C)C)O)C2CCC3(C2(CCC4C3=CCC5C4(CCC(C5(C)C)O)C)C)C;CC1=CC2=C(C=C1C)N(C3=NC(=NC(=O)C3=N2)[O-])C[C@@H]([C@@H]([C@@H](COP(=O)([O-])[O-])O)O)O;O;[H+],31371503
P450R0001,7,7,C/C/1=C\CC/C(=C/C2C(C2(C)C)CC/C(=C/CC1)/C)/C,,27272333
P450R2308,8,8,C(CN)C(=O)O,O=C1C=CCC(OC(=O)C(OC(=O)CCNC(=O)C(N1)CC2=CC=C(OC)C(Cl)=C2)CC(C)C)C(C=CC=3C=CC=CC3)C;O=C1C=CCC(OC(=O)C(OC(=O)CCNC(=O)C(N1)CC2=CC=C(OC)C(Cl)=C2)CC(C)C)C(C)C3OC3C=4C=CC=CC4;O=C1OC(C(=O)OC(CC=CC(=O)NC(C(=O)NCC1)CC2=CC=C(OC)C=C2)C(C)C3OC3C=4C=CC=CC4)CC(C)C,17240975
P450R2297,8,9,C1=CC(=C(C=C1CC(C(=O)O)N)F)O,O=C1C=CCC(OC(=O)C(OC(=O)C(C)CNC(=O)C(N1)CC2=CC(F)=C(OC)C(Cl)=C2)CC(C)C)C(C)C3OC3C=4C=CC=CC4,17240975
