rhea_id,equation,ec_number,reaction_existence
50088,"(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoate + reduced [NADPH--hemoprotein reductase] + O2 = 21-hydroxy-(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoate + oxidized [NADPH--hemoprotein reductase] + H2O + H(+)",1.14.13.n7; 1.14.14.1,Inferred
50076,"(5Z,8Z,11Z)-eicosatrienoate + reduced [NADPH--hemoprotein reductase] + O2 = 19-hydroxy-(5Z,8Z,11Z)-eicosatrienoate + oxidized [NADPH--hemoprotein reductase] + H2O + H(+)",1.14.13.n7; 1.14.14.1,Inferred
39787,"(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoate + reduced [NADPH--hemoprotein reductase] + O2 = 19-hydroxy-(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoate + oxidized [NADPH--hemoprotein reductase] + H2O + H(+)",1.14.13.n7; 1.14.14.1,Inferred
17149,an organic molecule + reduced [NADPH--hemoprotein reductase] + O2 = an alcohol + oxidized [NADPH--hemoprotein reductase] + H2O + H(+),1.14.13.n7; 1.14.14.1,Inferred
39751,dodecanoate + reduced [NADPH--hemoprotein reductase] + O2 = 11-hydroxydodecanoate + oxidized [NADPH--hemoprotein reductase] + H2O + H(+),1.14.13.n7; 1.14.14.1,Inferred
50096,tetradecanoate + reduced [NADPH--hemoprotein reductase] + O2 = 13-hydroxytetradecanoate + oxidized [NADPH--hemoprotein reductase] + H2O + H(+),1.14.13.n7; 1.14.14.1,Inferred
45960,"24,25-dihydrolanosterol + 3 reduced [NADPH--hemoprotein reductase] + 3 O2 = 4,4-dimethyl-8,14-cholestadien-3beta-ol + formate + 3 oxidized [NADPH--hemoprotein reductase] + 4 H2O + 4 H(+)",1.14.14.154,Inferred
75079,"24,25-dihydrolanosterol + reduced [NADPH--hemoprotein reductase] + O2 = 32-hydroxy-24,25-dihydrolanosterol + oxidized [NADPH--hemoprotein reductase] + H2O + H(+)",1.14.14.154,Inferred
75087,"32-hydroxy-24,25-dihydrolanosterol + reduced [NADPH--hemoprotein reductase] + O2 = 32-oxo-24,25-dihydrolanosterol + oxidized [NADPH--hemoprotein reductase] + 2 H2O + H(+)",1.14.14.154,Inferred
75107,32-hydroxylanosterol + reduced [NADPH--hemoprotein reductase] + O2 = 32-oxolanosterol + oxidized [NADPH--hemoprotein reductase] + 2 H2O + H(+),1.14.14.154,Inferred
75083,"32-oxo-24,25-dihydrolanosterol + reduced [NADPH--hemoprotein reductase] + O2 = 4,4-dimethyl-8,14-cholestadien-3beta-ol + formate + oxidized [NADPH--hemoprotein reductase] + H2O + 2 H(+)",1.14.14.154,Inferred
75111,"32-oxolanosterol + reduced [NADPH--hemoprotein reductase] + O2 = 4,4-dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol + formate + oxidized [NADPH--hemoprotein reductase] + H2O + 2 H(+)",1.14.14.154,Inferred
68068,a 14alpha-formyl steroid + reduced [NADPH--hemoprotein reductase] + O2 = a Delta(14) steroid + formate + oxidized [NADPH--hemoprotein reductase] + H2O + 2 H(+),1.14.14.154,Inferred
68064,a 14alpha-hydroxymethyl steroid + reduced [NADPH--hemoprotein reductase] + O2 = a 14alpha-formyl steroid + oxidized [NADPH--hemoprotein reductase] + 2 H2O + H(+),1.14.14.154,Inferred
54028,a 14alpha-methyl steroid + 3 reduced [NADPH--hemoprotein reductase] + 3 O2 = a Delta(14) steroid + formate + 3 oxidized [NADPH--hemoprotein reductase] + 4 H2O + 4 H(+),1.14.14.154,Inferred
68060,a 14alpha-methyl steroid + reduced [NADPH--hemoprotein reductase] + O2 = a 14alpha-hydroxymethyl steroid + oxidized [NADPH--hemoprotein reductase] + H2O + H(+),1.14.14.154,Inferred
25286,"lanosterol + 3 reduced [NADPH--hemoprotein reductase] + 3 O2 = 4,4-dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol + formate + 3 oxidized [NADPH--hemoprotein reductase] + 4 H2O + 4 H(+)",1.14.14.154,Inferred
75103,lanosterol + reduced [NADPH--hemoprotein reductase] + O2 = 32-hydroxylanosterol + oxidized [NADPH--hemoprotein reductase] + H2O + H(+),1.14.14.154,Inferred
46388,"(24S)-hydroxycholesterol + reduced [NADPH--hemoprotein reductase] + O2 = (24S,25R)-24,26-dihydroxycholesterol + oxidized [NADPH--hemoprotein reductase] + H2O + H(+)",1.14.14.25,Inferred
46384,"(24S)-hydroxycholesterol + reduced [NADPH--hemoprotein reductase] + O2 = 24S,25-dihydroxycholesterol + oxidized [NADPH--hemoprotein reductase] + H2O + H(+)",1.14.14.25,Inferred
46392,"4beta-hydroxycholesterol + reduced [NADPH--hemoprotein reductase] + O2 = 4beta,24S-dihydroxycholesterol + oxidized [NADPH--hemoprotein reductase] + H2O + H(+)",1.14.14.25,Inferred
53244,"7-dehydrocholesterol + reduced [NADPH--hemoprotein reductase] + O2 = cholesta-5,7-dien-3beta,24S-diol + oxidized [NADPH--hemoprotein reductase] + H2O + H(+)",1.14.14.25,Inferred
53240,"7-dehydrocholesterol + reduced [NADPH--hemoprotein reductase] + O2 = cholesta-5,7-dien-3beta,25-diol + oxidized [NADPH--hemoprotein reductase] + H2O + H(+)",1.14.14.25,Inferred
46380,7alpha-hydroxycholesterol + reduced [NADPH--hemoprotein reductase] + O2 = (24S)-7alpha-dihydroxycholesterol + oxidized [NADPH--hemoprotein reductase] + H2O + H(+),1.14.14.25,Inferred
53808,cholestanol + reduced [NADPH--hemoprotein reductase] + O2 = (24S)-hydroxycholestanol + oxidized [NADPH--hemoprotein reductase] + H2O + H(+),1.14.14.25,Inferred
22716,cholesterol + reduced [NADPH--hemoprotein reductase] + O2 = (24S)-hydroxycholesterol + oxidized [NADPH--hemoprotein reductase] + H2O + H(+),1.14.14.25,Inferred
53232,desmosterol + reduced [NADPH--hemoprotein reductase] + O2 = (24S)-25-epoxycholesterol + oxidized [NADPH--hemoprotein reductase] + H2O + H(+),1.14.14.25,Inferred
53236,"desmosterol + reduced [NADPH--hemoprotein reductase] + O2 = (24Z),26-hydroxydesmosterol + oxidized [NADPH--hemoprotein reductase] + H2O + H(+)",1.14.14.25,Inferred
46308,progesterone + reduced [NADPH--hemoprotein reductase] + O2 = 17alpha-hydroxyprogesterone + oxidized [NADPH--hemoprotein reductase] + H2O + H(+),1.14.14.25,Inferred
46304,"testosterone + reduced [NADPH--hemoprotein reductase] + O2 = 16beta,17beta-dihydroxyandrost-4-en-3-one + oxidized [NADPH--hemoprotein reductase] + H2O + H(+)",1.14.14.25,Inferred
46300,testosterone + reduced [NADPH--hemoprotein reductase] + O2 = 2-hydroxytestosterone + oxidized [NADPH--hemoprotein reductase] + H2O + H(+),1.14.14.25,Inferred
46296,"testosterone + reduced [NADPH--hemoprotein reductase] + O2 = 6beta,17beta-dihydroxyandrost-4-en-3-one + oxidized [NADPH--hemoprotein reductase] + H2O + H(+)",1.14.14.25,Inferred
37947,"(12S)-hydroperoxy-(5Z,8Z,10E,14Z)-eicosatetraenoate = 12-oxo-(5Z,8Z,10E,14Z)-eicosatetraenoate + H2O",2.7.10.2,Inferred
48716,"(13S)-hydroperoxy-(9Z,11E)-octadecadienoate = 13-oxo-(9Z,11E)-octadecadienoate + H2O",2.7.10.2,Inferred
48636,"(15S)-hydroperoxy-(5Z,8Z,11Z,13E)-eicosatetraenoate = 15-oxo-(5Z,8Z,11Z,13E)-eicosatetraenoate + H2O",2.7.10.2,Inferred
52120,"(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoate + reduced [NADPH--hemoprotein reductase] + O2 = (19R,20S)-epoxy-(4Z,7Z,10Z,13Z,16Z)-docosapentaenoate + oxidized [NADPH--hemoprotein reductase] + H2O + H(+)",2.7.10.2,Inferred
48632,"(5S)-hydroperoxy-(6E,8Z,11Z,14Z)-eicosatetraenoate = 5-oxo-(6E,8Z,11Z,14Z)-eicosatetraenoate + H2O",2.7.10.2,Inferred
49860,"(5Z,8Z,11Z,14Z)-eicosatetraenoate + reduced [NADPH--hemoprotein reductase] + O2 = (14R,15S)-epoxy-(5Z,8Z,11Z)-eicosatrienoate + oxidized [NADPH--hemoprotein reductase] + H2O + H(+)",2.7.10.2,Inferred
39759,"(5Z,8Z,11Z,14Z)-eicosatetraenoate + reduced [NADPH--hemoprotein reductase] + O2 = 19-hydroxy-(5Z,8Z,11Z,14Z)-eicosatetraenoate + oxidized [NADPH--hemoprotein reductase] + H2O + H(+)",2.7.10.2,Inferred
39779,"(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoate + reduced [NADPH--hemoprotein reductase] + O2 = (17R,18S)-epoxy-(5Z,8Z,11Z,14Z)-eicosatetraenoate + oxidized [NADPH--hemoprotein reductase] + H2O + H(+)",2.7.10.2,Inferred
47212,17beta-estradiol + reduced [NADPH--hemoprotein reductase] + O2 = 2-hydroxy-17beta-estradiol + oxidized [NADPH--hemoprotein reductase] + H2O + H(+),2.7.10.2,Inferred
