compound_id,smiles,name
0,C=CC1=CC=CC=C1,styrene
1,CC1(C2CCC1(C(=O)C2)C)C,Camphor
2,CC1=C(C(CCC1)(C)C)/C=C/C(=O)C,beta-ionone
3,C/C=C/C(=O)C1=C(CCCC1(C)C)C,beta-damascone
4,CC1(C2CCC(O1)(CC2)C)C,"1,8-cineole"
5,C1=CC=C(C=C1)CCCl,(2-chloroethyl)benzene
6,C1=CC=C2C(=C1)C=CN2,Indole
7,C1=CC=C(C=C1)C2=CC(=O)C3=CC=CC=C3O2,Flavone
8,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,Benzophenone
9,N,nitrogen atom
10,C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O,vitamin D
11,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](CCC3=C)O)C,Vitamin D3
12,CC[C@H](C)C(=O)O[C@H]1CCC=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O,compactin
13,C[C@@H]1/C=C(/C=C(/C(=O)O[C@@H](C/C=C/C=C/CC/C=C/[C@@H]1O)[C@@H](C)CCC(C(C)C(C(C)C(C)O)O)O)\C)\C,FD-892
14,CCCCC[C@H]([C@@H]1[C@H](C[C@H](C[C@H](C[C@H](C[C@H](C[C@H](C[C@@H](/C(=C/C=C/C=C/C=C/C=C/[C@@H]([C@H](OC1=O)C)O)/C)O)O)O)O)O)O)O)O,filipin
15,C[C@H]1/C=C/C=C(\C(=O)NC2=CC(=C3C(=C2O)C(=C(C4=C3C(=O)[C@](O4)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)OC(=O)CO)/C,rifamycin L
16,CN1[C@H](C(=O)N([C@H](C1=O)CC2=CNC3=C2C(=CC=C3)[N+](=O)[O-])C)CC4=CC=CC=C4,thaxtomin D
17,CCC/C=C\C1=CC=CC=C1/C=C/C(=O)N[C@H]2[C@H](OC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC(=O)/C(=C\C3=CC=C(C=C3)O)/N(C2=O)C)CC(C)C)CC4=CC=CC=C4)[C@H](C)O)CC(=O)N)CO)C,WS9326A
18,CC[C@@H]1[C@@H](/C=C/C=C\C(=O)[C@@H](C[C@H]([C@H]([C@@H](/C=C/C(=O)O1)C)O[C@@H]2[C@H]([C@@H](C[C@@H](O2)C)N(C)C)O)C)C)C,mycinamicin VIII
19,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,estradiol
20,CC[C@@H]1[C@@H]([C@@H]([C@H](C(=O)[C@@H](C[C@@H]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O)C)O)C)C)C)O)C,6-deoxyerythronolide B
21,CC1=C(C[C@H](CC1)O)/C=C\C2=CCC[C@]3([C@H]2CC[C@@H]3[C@H](C)CCCC(C)C)C,Vitamin D(3)
22,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C,progesterone
23,CC[C@H](C)[C@@H]1[C@H](C=C[C@@]2(O1)C[C@@H]3C[C@H](O2)C/C=C(/[C@H]([C@H](/C=C/C=C/4\CO[C@H]5[C@@]4([C@@H](C=C([C@H]5O)C)C(=O)O3)O)C)O[C@H]6C[C@@H]([C@H]([C@@H](O6)C)O[C@H]7C[C@@H]([C@H]([C@@H](O7)C)O)OC)OC)\C)C.C[C@H]1/C=C/C=C/2\CO[C@H]3[C@@]2([C@@H](C=C([C@H]3O)C)C(=O)O[C@H]4C[C@@H](C/C=C(/[C@H]1O[C@H]5C[C@@H]([C@H]([C@@H](O5)C)O[C@H]6C[C@@H]([C@H]([C@@H](O6)C)O)OC)OC)\C)O[C@]7(C4)C=C[C@@H]([C@H](O7)C(C)C)C)O,avermectin B1
24,CC[C@H]1C(=O)N(CC(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N1)[C@@H]([C@H](C)C/C=C/C)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,cyclosporine A
25,C1=CC(=CC=C1Cl)Cl,pdb
26,CC1=CC=CC=C1,Toluene
27,C[C@@H]1CCC=C2[C@]1(C[C@@H](CC2)C(=C)C)C,(+)-Valencene
28,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@]34C,testosterone
29,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C,"Androst-4-Ene-3,17-Dione"
30,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)C)O,Corticosterone
31,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O,Cortisol
32,CC(=CCCC(C)(C=C)O)C,linalool
33,CCCCCCCCCC(=O)O,capric acid
34,C1=CC(=CC=C1[N+](=O)[O-])O,p-nitrophenol
35,C1C[C@H]2C(=O)N[C@H](C(=O)N2C1)CC3=CNC4=CC=CC=C43,cyclo-L-Trp-L-Pro
36,COC1=C(C=C(C=C1)CC(=O)O)OC,"3,4-dimethoxyphenylacetic acid"
37,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,cholesterol
38,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C,cholest-4-en-3-one
39,CC1=C2C=CC=C(C2=CC=C1)C(=O)[O-],5-methyl-1-naphthoate
40,CC1=C(C(=O)C2=CC=CC=C2C1=O)C/C=C(\C)/CCCC(C)CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C,beta-dihydromenaquinone-9
41,CC[C@]1(C[C@@H](C2=C(C1)C(=C3C(=C2O)C(=O)C4=C(C3=O)C=CC=C4OC)O)O[C@H]5C[C@@H]([C@@H]([C@@H](O5)C)O)N)O,13-deoxydaunorubicin
42,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)O)O)(C(C)O)O)N)O,13-Dihydrocarminomycin
43,CC[C@]1(C[C@@H](C2=C(C1)C(=C3C(=C2O)C(=O)C4=C(C3=O)C=CC=C4O)O)O[C@H]5C[C@@H]([C@@H]([C@@H](O5)C)O)N)O,13-Deoxycarminomycin
44,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O,Daunorubicin
45,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(C)O)O)N)O,13-Dihydrodaunorubicin
46,CC1=C(C(CCC1)(C)C)/C=C/C(C)O,beta-ionol
47,CCCCCCCCCCCCCC(=O)O,myristic acid
48,CCCCCCCC,Octane
49,CCCCCCC,Heptane
50,CCCCCC,Hexane
51,CCCCC,Pentane
52,CCCCCCCCCC,Decane
53,CCCCCCCCC,Nonane
54,C1CCCCC1,Cyclohexane
55,C1CCCC1,Cyclopentane
56,C1CCCCCCC1,Cyclooctane
57,C1CCCCCC1,Cycloheptane
58,CCCCCCCCCCC,Undecane
59,CC1=CC=C(C=C1)C(C)C,P-Cymene
60,CC1=CCC(CC1)C(=C)C,Limonene
61,CCCCCCC(C)C,2-Methyloctane
62,CC1=C2C=CC(=C(C2=CC=C1)C(=O)O)[O-],2-hydroxy-5-methyl-1-naphthoate
63,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,Pregnenolone
64,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CC=C4[C@@]3(CC[C@@H](C4)O)C,Dehydroepiandrosterone
65,CC(=CCC/C(=C/CO)/C)C,geraniol
66,CC(=CCC/C(=C\CO)/C)C,nerol
67,C1=C(C=C(C2=C1C(=O)C(=O)C(=C2O)C3=C(C4=C(C=C(C=C4O)O)C(=O)C3=O)O)O)O,Biflaviolin
68,C1C(C(=O)N1C(C2=CC=C(C=C2)O)C(=O)O)NC(=O)C(C3=CC=C(C=C3)OCCC(C(=O)O)N)N,nocardicin C
69,CC[C@@H]\1CC[C@H]2[C@H]([C@H]([C@@H]([C@]3(O2)CC[C@@H]([C@@H](O3)C[C@@H](C)O)C)C)OC(=O)/C=C/[C@@H]([C@H]([C@@H](C(=O)[C@@H]([C@H]([C@@H](C(=O)[C@H]([C@H]([C@@H](C/C=C/C=C1)C)O)C)C)O)C)C)O)C)C,oligomycin C
70,C[C@@H]1C/C=C\2/C(=O)NC/C=C/C=C/[C@H](C[C@H](CC3=NC(=CO3)C(=O)N[C@H](CS2)C(=O)O1)O)O,griseoviridin
71,CC1(C[C@H]2C=C([C@H]3[C@]2(C1)[C@@]4(CO4)C(=O)OC3)C(=O)O)C,pentalenolactone F
72,CC(=CCC/C(=C/CCC(=C)C=C)/C)C,beta-farnesene
73,C[C@@H]1CC[C@@H]2[C@]13CC(C[C@H]3C=C2C)(C)C,pentalenene
74,C[C@H]1C[C@@H]([C@H]2[C@H]1C[C@@]\3(CC[C@H](/C3=C/C[C@@]2(C)O)C(C)C)C)O,"cyclooctat-9-ene-5,7-diol"
75,C[C@@H]1CC[C@@H]2[C@@H]1C[C@]\3(CC[C@@H](/C3=C/C[C@]2(C)O)C(C)C)C,Cyclooctat-9-en-7-ol
76,C1=CC=C2C=C(C=CC2=C1)C(=O)O,2-naphthoic acid
77,COC1=CC=C(C=C1)C(=O)O,4-methoxybenzoic acid
78,C1=CC(=C(C=C1Br)Br)O,"2,4-Dibromophenol"
79,COC[C@H]([C@@H]([C@@H]([C@H](C=O)O)O)O)O,6-O-methyl-D-galactose
80,CC(C)CC(C(=O)NCCC/C=C\C=C\C(=C\C=C/C=C(/C)\C(CC(=O)N/C(=C\C=C\C=C\C(C)C(=O)O)/C)O)\C)O,dihydrobacillaene
81,CC1=CC(=CC(=C1C(=O)O)O)O,orsellinic acid
82,C1=CC=C2C(=C1)C(=CN2)C3=C(NC(=C3C4=CNC5=CC=CC=C54)C(=O)O)C(=O)O,chromopyrrolic acid
83,CC(=CCC/C(=C/COC(=O)C)/C)C,geranyl acetate
