interaction_id,enzyme_id,compound_id,label,source,quality_tier,num_reactions,has_pmid,has_products
0,0,0,1,S9_PCPD,B,1,0,0
1,1,1,1,S9_PCPD,B,1,0,0
2,2,2,1,S9_PCPD,B,1,0,0
3,2,3,1,S9_PCPD,B,1,0,0
4,3,1,1,S9_PCPD,B,1,0,0
5,4,1,1,S9_PCPD,B,1,0,0
6,5,4,1,S9_PCPD,B,1,0,0
7,6,1,1,S9_PCPD,B,1,0,0
8,7,5,1,S9_PCPD,B,1,0,0
9,8,6,1,S9_PCPD,B,1,0,0
10,8,7,1,S9_PCPD,B,1,0,0
11,8,8,1,S9_PCPD,B,1,0,0
12,9,9,1,S9_PCPD,B,1,0,0
13,10,10,1,S9_PCPD,B,1,0,0
14,11,11,1,S9_PCPD,B,1,0,0
15,12,12,1,S9_PCPD,B,1,0,0
16,13,13,1,S9_PCPD,B,1,0,0
17,14,14,1,S9_PCPD,B,1,0,0
18,15,15,1,S9_PCPD,B,1,0,0
19,16,16,1,S9_PCPD,B,1,0,0
20,17,17,1,S9_PCPD,B,1,0,0
21,18,18,1,S9_PCPD,B,1,0,0
22,19,19,1,S9_PCPD,B,1,0,0
23,20,14,1,S9_PCPD,B,1,0,0
24,21,20,1,S9_PCPD,B,1,0,0
25,22,21,1,S9_PCPD,B,1,0,0
26,23,22,1,S9_PCPD,B,1,0,0
27,24,23,1,S9_PCPD,B,1,0,0
28,25,24,1,S9_PCPD,B,1,0,0
29,26,25,1,S9_PCPD,B,1,0,0
30,27,26,1,S9_PCPD,B,1,0,0
31,28,27,1,S9_PCPD,B,1,0,0
32,29,28,1,S9_PCPD,B,1,0,0
33,30,29,1,S9_PCPD,B,1,0,0
34,30,30,1,S9_PCPD,B,1,0,0
35,30,31,1,S9_PCPD,B,1,0,0
36,31,2,1,S9_PCPD,B,1,0,0
37,32,32,1,S9_PCPD,B,1,0,0
38,33,32,1,S9_PCPD,B,1,0,0
39,34,33,1,S9_PCPD,B,1,0,0
40,35,34,1,S9_PCPD,B,1,0,0
41,36,35,1,S9_PCPD,B,1,0,0
42,37,0,1,S9_PCPD,B,1,0,0
43,38,2,1,S9_PCPD,B,1,0,0
44,39,36,1,S9_PCPD,B,1,0,0
45,40,37,1,S9_PCPD,B,1,0,0
46,41,38,1,S9_PCPD,B,1,0,0
47,41,37,1,S9_PCPD,B,1,0,0
48,42,38,1,S9_PCPD,B,1,0,0
49,43,38,1,S9_PCPD,B,1,0,0
50,44,38,1,S9_PCPD,B,1,0,0
51,45,39,1,S9_PCPD,B,1,0,0
