cyp_id,kingdom,reason,num_pairs_lost
CYP102A1,Bacteria,class_only,0
CYP102A1Pm,Bacteria,no_substrate,0
CYP102A2,Bacteria,no_smiles,1
CYP102A3,Bacteria,no_smiles,1
CYP102A5,Bacteria,no_smiles,1
CYP105A3,Bacteria,no_smiles,1
CYP105B1,Bacteria,class_only,0
CYP105D18,Bacteria,no_substrate,0
CYP105D7,Bacteria,no_substrate,0
CYP105K1,Bacteria,class_only,0
CYP105L10,Bacteria,class_only,0
CYP107A2,Bacteria,class_only,0
CYP107B1,Bacteria,class_only,0
CYP107F1,Bacteria,no_substrate,0
CYP107L1,Bacteria,class_only,0
CYP109A1,Bacteria,class_only,0
CYP109A2,Bacteria,no_smiles,1
CYP109B1,Bacteria,no_substrate,0
CYP109F2,Bacteria,class_only,0
CYP110A1,Bacteria,none,0
CYP112A1,Bacteria,class_only,0
CYP113A1,Bacteria,no_smiles,1
CYP113B1,Bacteria,no_substrate,0
CYP113C1,Bacteria,no_smiles,1
CYP113D1,Bacteria,no_substrate,0
CYP113E1,Bacteria,no_sequence,1
CYP113E2,Bacteria,no_smiles,1
CYP116A1,Bacteria,no_smiles,1
CYP116C1,Bacteria,class_only,0
CYP117A1,Bacteria,class_only,0
CYP117A2,Bacteria,class_only,0
CYP121A1,Bacteria,no_smiles,1
CYP122A2,Bacteria,no_substrate,0
CYP1232A24,Bacteria,no_substrate,0
CYP124A1,Bacteria,class_only,0
CYP127A1,Bacteria,class_only,0
CYP130A1,Bacteria,class_only,0
CYP131A1,Bacteria,class_only,0
CYP134A1,Bacteria,no_smiles,1
CYP135A1,Bacteria,no_smiles,1
CYP138A1,Bacteria,no_substrate,0
CYP138B1,Bacteria,no_substrate,0
CYP138C1,Bacteria,no_substrate,0
CYP138D1,Bacteria,no_substrate,0
CYP139A1,Bacteria,no_smiles,1
CYP142A1,Bacteria,no_smiles,1
CYP151A1,Bacteria,no_smiles,1
CYP152A1,Bacteria,class_only,0
CYP152B1,Bacteria,class_only,0
CYP152C1,Bacteria,class_only,0
CYP152L1,Bacteria,class_only,0
CYP152N1,Bacteria,class_only,0
CYP153A1,Bacteria,class_only,0
CYP153B1,Bacteria,no_smiles,1
CYP154A1,Bacteria,no_smiles,1
CYP154C1,Bacteria,class_only,0
CYP154C3,Bacteria,class_only,0
CYP154C5,Bacteria,class_only,0
CYP158A1,Bacteria,no_smiles,1
CYP158B1,Bacteria,no_substrate,0
CYP158C1,Bacteria,no_smiles,2
CYP158D1,Bacteria,no_substrate,0
CYP158G1,Bacteria,no_smiles,1
CYP158G2,Bacteria,no_smiles,1
CYP158H1,Bacteria,no_substrate,0
CYP158I1,Bacteria,no_smiles,1
CYP158K1,Bacteria,no_substrate,0
CYP158L1,Bacteria,no_smiles,1
CYP161C2,Bacteria,no_smiles,1
CYP163A1,Bacteria,no_substrate,0
CYP163B3,Bacteria,no_smiles,1
CYP163C1,Bacteria,no_smiles,1
CYP165A2,Bacteria,no_substrate,0
CYP165A3,Bacteria,no_substrate,0
CYP165A3Ao,Bacteria,no_substrate,0
CYP165B1,Bacteria,no_substrate,0
CYP165B2,Bacteria,no_substrate,0
CYP165B3,Bacteria,no_smiles,1
CYP165C4,Bacteria,no_substrate,0
CYP165D1,Bacteria,no_substrate,0
CYP165D3,Bacteria,no_smiles,1
CYP165E1,Bacteria,none,0
CYP170A1,Bacteria,no_smiles,1
CYP175A1,Bacteria,none,0
CYP200A1,Bacteria,class_only,0
CYP200A2,Bacteria,no_smiles,1
CYP201A1,Bacteria,no_substrate,0
CYP202A1,Bacteria,no_smiles,1
CYP255A1,Bacteria,no_smiles,1
CYP260A1,Bacteria,class_only,0
CYP260B1,Bacteria,no_smiles,1
CYP267A1,Bacteria,no_substrate,0
CYP267F1,Bacteria,class_only,0
CYP267X1,Bacteria,no_substrate,0
CYP51M3,Bacteria,no_substrate,0
CYP503B2,Fungi,none,0
CYP503C1,Fungi,no_smiles,1
CYP505A3,Fungi,no_substrate,0
CYP505A30,Fungi,no_smiles,1
CYP505B2,Fungi,no_smiles,1
CYP505J1,Fungi,none,0
CYP505J2,Fungi,none,0
CYP5066B1,Fungi,none,0
CYP5076B1,Fungi,none,0
CYP5076D1,Fungi,none,0
CYP5076E1,Fungi,none,0
CYP512W2,Fungi,no_smiles,1
CYP5139B1,Fungi,no_substrate,0
CYP5139G1,Fungi,no_smiles,1
CYP5139G4,Fungi,class_only,0
CYP5139G5,Fungi,class_only,0
CYP5150L8,Fungi,no_smiles,2
CYP51C1,Fungi,gene_only,0
CYP51C2,Fungi,no_substrate,0
CYP51C4,Fungi,no_substrate,0
CYP51J1,Fungi,gene_only,0
CYP51K1,Fungi,no_substrate,0
CYP51K2,Fungi,no_substrate,0
CYP522A1,Fungi,none,0
CYP52B300,Fungi,no_substrate,0
CYP52H1,Fungi,none,0
CYP52I1,Fungi,no_substrate,0
CYP52J1,Fungi,no_smiles,1
CYP52K1,Fungi,no_substrate,0
CYP52M1,Fungi,class_only,0
CYP52O1,Fungi,none,0
CYP52P1,Fungi,no_smiles,1
CYP52R1,Fungi,no_substrate,0
CYP52S1,Fungi,none,0
CYP52T1,Fungi,none,0
CYP52U1,Fungi,no_substrate,0
CYP52U5,Fungi,none,0
CYP52U6,Fungi,none,0
CYP52V1,Fungi,no_substrate,0
CYP52W1,Fungi,no_substrate,0
CYP52X2,Fungi,no_smiles,1
CYP53C1,Fungi,none,0
CYP55A1,Fungi,no_smiles,1
CYP60A1,Fungi,no_smiles,1
CYP60AC1,Fungi,no_smiles,1
CYP60AD1,Fungi,gene_only,0
CYP60AD2,Fungi,class_only,0
CYP60AE1,Fungi,no_smiles,1
CYP60D1,Fungi,no_substrate,0
CYP60H1,Fungi,no_substrate,0
CYP60I1,Fungi,no_substrate,0
CYP60J1,Fungi,no_substrate,0
CYP60K1,Fungi,none,0
CYP60L1,Fungi,none,0
CYP60N1,Fungi,no_smiles,1
CYP60O1,Fungi,none,0
CYP60P1,Fungi,none,0
CYP60R1,Fungi,none,0
CYP60R2,Fungi,none,0
CYP60S1,Fungi,none,0
CYP60U1,Fungi,none,0
CYP60W1,Fungi,none,0
CYP60X1,Fungi,none,0
CYP60Y1,Fungi,no_substrate,0
CYP619A1,Fungi,none,0
CYP619D1,Fungi,no_substrate,0
CYP619F1,Fungi,none,0
CYP619H1,Fungi,no_substrate,0
CYP61B1,Fungi,none,0
CYP620A1,Fungi,none,0
CYP621A2,Fungi,no_substrate,0
CYP621B1,Fungi,none,0
CYP623A1,Fungi,no_substrate,0
CYP624B1,Fungi,no_substrate,0
CYP624D1,Fungi,none,0
CYP624E1,Fungi,no_smiles,1
CYP624F1,Fungi,none,0
CYP624G1,Fungi,no_substrate,0
CYP624H1,Fungi,no_smiles,1
CYP624I1,Fungi,none,0
CYP624J1,Fungi,none,0
CYP624K1,Fungi,no_substrate,0
CYP624L1,Fungi,no_smiles,1
CYP624M1,Fungi,none,0
CYP626B1,Fungi,no_substrate,0
CYP626B2,Fungi,no_substrate,0
CYP626B3,Fungi,no_substrate,0
CYP626C1,Fungi,none,0
CYP626D1,Fungi,no_substrate,0
CYP628A1,Fungi,no_smiles,1
CYP628B1,Fungi,none,0
CYP628B2,Fungi,no_smiles,1
CYP628C1,Fungi,none,0
CYP628D1,Fungi,none,0
CYP628E1,Fungi,none,0
CYP628F1,Fungi,none,0
CYP629A1,Fungi,gene_only,0
CYP629B2,Fungi,no_substrate,0
CYP630B18,Fungi,class_only,0
CYP631B1,Fungi,no_substrate,0
CYP632A1,Fungi,no_substrate,0
CYP632B1,Fungi,no_substrate,0
CYP632C1,Fungi,no_substrate,0
CYP635A1,Fungi,no_substrate,0
CYP635A2,Fungi,no_smiles,1
CYP635A3,Fungi,none,0
CYP636A1,Fungi,no_smiles,1
CYP636A2,Fungi,no_smiles,1
CYP636B1,Fungi,no_smiles,1
CYP636C1,Fungi,no_smiles,1
CYP636D1,Fungi,no_smiles,1
CYP637C1,Fungi,no_substrate,0
CYP637D1,Fungi,no_smiles,1
CYP637E1,Fungi,no_smiles,1
CYP638A1,Fungi,none,0
CYP639A1,Fungi,none,0
CYP639B1,Fungi,none,0
CYP639C1,Fungi,none,0
CYP639D1,Fungi,none,0
CYP641A1,Fungi,none,0
CYP641B1,Fungi,no_substrate,0
CYP642B1,Fungi,none,0
CYP642D1,Fungi,no_smiles,1
CYP642E1,Fungi,none,0
CYP642F1,Fungi,no_substrate,0
CYP643A1,Fungi,none,0
CYP643C1,Fungi,none,0
CYP643D1,Fungi,class_only,0
CYP643E1,Fungi,no_substrate,0
CYP643F1,Fungi,no_substrate,0
CYP643G1,Fungi,no_substrate,0
CYP643I1,Fungi,none,0
CYP643J1,Fungi,none,0
CYP643K1,Fungi,no_smiles,1
CYP643L1,Fungi,no_substrate,0
CYP643M1,Fungi,no_smiles,1
CYP643P1,Fungi,no_smiles,1
CYP644A1,Fungi,none,0
CYP645A1,Fungi,no_smiles,1
CYP645B1,Fungi,none,0
CYP647A1,Fungi,none,0
CYP647A2,Fungi,none,0
CYP648C1,Fungi,none,0
CYP649A1,Fungi,no_substrate,0
CYP64C1,Fungi,no_substrate,0
CYP64C2,Fungi,no_substrate,0
CYP64D1,Fungi,no_substrate,0
CYP64E1,Fungi,class_only,0
CYP64H1,Fungi,no_smiles,1
CYP64J1,Fungi,no_substrate,0
CYP64L1,Fungi,none,0
CYP651A1,Fungi,no_substrate,0
CYP651A2,Fungi,no_smiles,1
CYP652A1,Fungi,no_smiles,1
CYP652B1,Fungi,none,0
CYP652C1,Fungi,none,0
CYP652D1,Fungi,no_substrate,0
CYP652E1,Fungi,none,0
CYP652E2,Fungi,none,0
CYP652F2,Fungi,no_substrate,0
CYP652G1,Fungi,none,0
CYP652M1,Fungi,no_smiles,1
CYP652M2,Fungi,class_only,0
CYP652N2,Fungi,no_smiles,1
CYP652N3,Fungi,no_smiles,1
CYP652Q1,Fungi,no_substrate,0
CYP652S1,Fungi,no_smiles,1
CYP652T1,Fungi,no_smiles,1
CYP652U1,Fungi,no_smiles,1
CYP652W1,Fungi,no_substrate,0
CYP652X1,Fungi,no_substrate,0
CYP652Y1,Fungi,no_smiles,1
CYP656A1,Fungi,none,0
CYP657A1,Fungi,none,0
CYP658B1,Fungi,none,0
CYP658C1,Fungi,gene_only,0
CYP658D1,Fungi,no_substrate,0
CYP668A1,Fungi,none,0
CYP669A1,Fungi,none,0
CYP669B1,Fungi,none,0
CYP671A1,Fungi,gene_only,0
CYP671A2,Fungi,none,0
CYP671A3,Fungi,no_substrate,0
CYP671B1,Fungi,no_substrate,0
CYP671C1,Fungi,none,0
CYP671C2,Fungi,none,0
CYP672A1,Fungi,none,0
CYP672D1,Fungi,none,0
CYP672E1,Fungi,no_substrate,0
