compound_id,smiles,name
0,C[C@H]1[C@@H]2CCC3=C([C@]2(CC[C@@H]1O)C)CC[C@]4([C@]3(CC[C@@H]4[C@H](C)CCC(=C)C(C)C)C)C,obtusifoliol
1,C[C@H](CCC=C(C)C)[C@H]1CC[C@@]2([C@@]1(CCC3=C2CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C,lanosterol
2,C[C@@]12CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O)C)C)[C@@H]1CC(CC2)(C)C)C,beta-amyrin
3,CC(=CCC/C(=C\CO)/C)C,nerol
4,CC(=CCC/C(=C/CO)/C)C,geraniol
5,C1C(N=C(S1)C2=CNC3=CC=CC=C32)C(=O)O,dihydrocamalexic acid
6,C1=CC=C2C(=C1)C(=CN2)C/C=N/O,indole-3-acetaldoxime
7,C[C@@H]1CCC(=C(C)C)[C@H]([C@]1(C)CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C)CCC=O,marneral
8,C[C@@H]1CCC(=C(C)C)[C@H]([C@]1(C)CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C)CCCO,marnerol
9,C[C@@H]1CCC(=C(C)C)C(=O)C1,(+)-pulegone
10,CC(=CCC[C@](C)(C=C)O)C,(-)-(R)-linalool
11,CC(=CCC[C@@](C)(C=C)O)C,(+)-(S)-linalool
12,C1=CC=C(C=C1)CC=NO,phenylacetaldoxime
13,C1=CC=C(C=C1)CC#N,phenylacetonitrile
14,C1=CC=C2C(=C1)C(C(=O)N2)O,3-hydroxyindolin-2-one
15,C1C2=CC=CC=C2NC1=O,indolin-2-one
16,C1C(=O)NC2=CC=CC=C2O1,"1,4-benzoxazin-3-one"
17,C1=CC=C2C(=C1)NC(=O)C(O2)O,"2-hydroxy-1,4-benzoxazin-3-one (HBOA)"
18,C1=CC=C2C(=C1)C=CN2,indole
19,CC[C@]12CC(=C3[C@@]4([C@H]1N(CC4)CC=C2)C5=C(N3)C=C(C=C5)OC)C(=O)OC,16-methoxytabersonine
20,C/C=C\1/CN2CCC3=C([C@@H]2C[C@@H]1C(C=O)C(=O)OC)NC4=CC=CC=C34,geissoschizine
21,C1[C@H](OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,flavanones
22,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,flavones
23,CC[C@]12CC(=C3[C@@]4([C@H]1N(CC4)CC=C2)C5=CC=CC=C5N3)C(=O)OC,tabersonine
24,CC1=CCC(CC1)C(=C)C,(-)-4S-limonene
25,C/C/1=C/CC/C(=C\[C@@H](C[C@](/C=C\[C@@H](CC1)C(C)C)(C)O)O)/C,cembratriene-ol (CBT-ol)
26,C[C@@H]1CCCC2=CC[C@H](C[C@]12C)C(=C)C,5-epi-aristolochene
27,C[C@@H]1[C@@H](CCC2=CC[C@H](C[C@]12C)C(=C)C)O,1-deoxycapsidiol
28,C[C@@H]1CCC=C2[C@]1(C[C@@H](CC2)C(=C)C)C,(+)-valencene
29,C[C@@H]1CCC=C([C@]12CC[C@H](C2)C(=C)C)C,premnaspirodiene
30,CC1=CC[C@H](CC1)C(=C)C,(-)-limonene
31,CC1=CCC(=CC1)C(C)C,gamma-terpinene
32,C[C@@H]1CCCC2=CC[C@H](C[C@]12C)C(C)(C)O,5-epi-jinkoheremol
33,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC(=O)[C@H]4[C@@]3(CC[C@@H](C4)O)C)C,3beta-hydroxy-5beta-cholestan-6-one
34,C/C/1=C\CC/C(=C/C2C(C2(C)C)CC/C(=C/CC1)/C)/C,casbene
35,COC1=CC(=CC2=C1OCO2)CC=C,myristicin
36,C1=CC(=CC=C1C/C=N\O)O,p-hydroxyphenylacetaldoxime
37,CC(C)/C=N/O,2-methylpropanal oxime
38,CCC(C)C=NO,2-methylbutanal oxime
39,C1=CC=C2C(=C1)C(=CN2)CCN,tryptamine
40,CC(C)CC=NO,(E/Z)-3-methylbutyraldoxime
41,CC1=C[C@@]23CC[C@H]4[C@]([C@@H]2CC[C@@H]1C3)(CCCC4(C)C)C,ent-isokaurene
42,C[C@H]1[C@H]2CC[C@H]3[C@]([C@@H]2CC=C1C=C)(CCCC3(C)C)C,ent-cassadiene
43,C[C@@]1(CC[C@@]2([C@@H](C1)CC[C@]3([C@H]2CCCC3=C)C)C)C=C,dolabradiene
44,CC1=CC[C@H](CC1)C2=CCCC(C2)(C)C,(S)-beta-macrocarpene
45,C1CN2CC3=CCO[C@H]4CC(=O)N5[C@H]6[C@H]4[C@H]3C[C@H]2[C@@]61C7=CC=CC=C75,strychnine
46,COC1=CC2=C(C=C1)N3[C@@H]4[C@]25CCN6[C@H]5C[C@@H]7[C@H]4[C@H](CC3=O)OCC=C7C6,beta-colubrine
47,CC(C)([C@@H]1CC2=C(O1)C=C3C(=C2)C=CC(=O)O3)O,(+)-marmesin
48,CC(C)([C@@H]1CC2=C(O1)C=CC3=C2OC(=O)C=C3)O,(+)-columbianetin
49,COC1=CC(=CC(=C1)O)CCCCCCC/C=C\C/C=C\CC=C,5-pentadecatrienyl resorcinol-3-methyl ether
50,C1=CC(=CC=C1C/C=N/O)O,(E/Z)-4-hydroxyphenylacetaldoxime
51,CC/C=C\CC1=C(CCC1=O)C,jasmone
52,C[C@@H]1CC[C@H]([C@@H]2[C@H]1CCC(=C2)C)C(=C)C,"amorpha-4,11-diene"
53,C[C@@H]1CC[C@H]([C@@H]2[C@H]1CCC(=C2)C)C(=C)CO,artemisinic alcohol
54,C[C@@H]1CC[C@H]([C@@H]2[C@H]1CCC(=C2)C)C(=C)C=O,artemisinic aldehyde
55,C/C/1=C\CC/C(=C/CC(CC1)C(=C)C)/C,germacrene A
56,C[C@H]1[C@@H]2CN3CCC4=C([C@@H]3C[C@@H]2C(=CO1)C(=O)OC)NC5=CC=CC=C45,tetrahydroalstonine
57,C1=CC=C2C(=C1)C=CC(=O)O2,simple coumarins
58,C1=CC(=O)OC2=CC3=C(C=CO3)C=C21,furanocoumarins
59,C1=CC(=O)OC2=CC(=C(C=C21)O)O,esculetin
60,C/C/1=C\CC(/C=C/C/C(=C/CC1)/C)(C)C,alpha-humulene
61,C[C@H]1CC[C@H](CC2=C1CC[C@@H]2C)C(=C)C,alpha-guaiene
62,COC1=C(C=CC(=C1)C[C@H]2COC(=O)[C@@H]2CC3=CC(=C(C=C3)O)OC)O,(-)-matairesinol
63,COC1=CC(=CC(=C1OC)OC)[C@H]2[C@@H]3[C@@H](CC4=CC5=C(C=C24)OCO5)COC3=O,(-)-deoxypodophyllotoxin
64,CC[C@]12CC(=C3[C@@]4([C@H]1N(CC4)C[C@H]5[C@@H]2O5)C6=CC=CC=C6N3)C(=O)OC,lochnericine
65,C/C/1=C\CC/C(=C/C[C@@H](CC1)C(=C)C(=O)O)/C,germacrene A acid
66,C[C@@H](CCC=C(C)C)[C@@H]1CC[C@]2([C@]1(CC[C@H]3C2=CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C,"tirucalla-7,24-dien-3beta-ol"
67,C/C/1=C\CC/C(=C/[C@@H]2[C@@H](CC1)C(=C)C(=O)O2)/C,costunolide
68,C/C/1=C\CC[C@@]2([C@@H](O2)[C@@H]3[C@@H](CC1)C(=C)C(=O)O3)C,parthenolide
69,CSC(=S)NCC1=CNC2=CC=CC=C21,brassinin
70,CN1CC[C@@]23C=C(C(=O)C=C2[C@@H]1CCC4=CC(=C(C(=C34)OC)OC)OC)OC,O-methylandrocymbine
71,CN1[C@@H]2CC[C@H]1CC(C2)O,pseudotropine
72,CC[C@H]1C[C@@H]2C[C@@H]3[C@H]1N(C2)CCC4=C3NC5=CC=CC=C45,ibogamine
73,C[C@]1(CCC2C(=CCC3[C@@]2(CCCC3(C)C)C)C1)C=C,syn-pimaradiene
74,C[C@]1(CC[C@@H]2C(=CC[C@@H]3[C@@]2(CCCC3(C)C)C)C1)C=C,"syn-pimara-7,15-diene"
75,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,linoleic acid
76,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O,alpha-linolenic acid
77,C/C/1=C\CC/C(=C/C[C@@H](CC/C(=C/CC1)/C)C(=C)C)/C,neocembrene
