interaction_id,enzyme_id,compound_id,label,source,quality_tier,num_reactions,has_pmid,has_products
0,0,0,1,S8_PlantP450DB,B,1,1,0
1,1,0,1,S8_PlantP450DB,B,1,1,0
2,2,0,1,S8_PlantP450DB,B,1,1,0
3,3,0,1,S8_PlantP450DB,B,1,1,0
4,3,1,1,S8_PlantP450DB,B,1,1,0
5,4,0,1,S8_PlantP450DB,B,1,1,0
6,5,2,1,S8_PlantP450DB,B,1,1,0
7,6,3,1,S8_PlantP450DB,B,1,1,0
8,6,4,1,S8_PlantP450DB,B,1,1,0
9,7,5,1,S8_PlantP450DB,B,1,1,0
10,8,6,1,S8_PlantP450DB,B,1,1,0
11,9,7,1,S8_PlantP450DB,B,1,1,0
12,9,8,1,S8_PlantP450DB,B,1,1,0
13,10,9,1,S8_PlantP450DB,B,1,1,0
14,11,5,1,S8_PlantP450DB,B,1,1,0
15,12,10,1,S8_PlantP450DB,B,1,1,0
16,12,11,1,S8_PlantP450DB,B,1,1,0
17,13,12,1,S8_PlantP450DB,B,1,1,0
18,14,13,1,S8_PlantP450DB,B,1,1,0
19,15,14,1,S8_PlantP450DB,B,1,1,0
20,16,15,1,S8_PlantP450DB,B,1,1,0
21,16,16,1,S8_PlantP450DB,B,1,1,0
22,17,17,1,S8_PlantP450DB,B,1,1,0
23,18,18,1,S8_PlantP450DB,B,1,1,0
24,19,14,1,S8_PlantP450DB,B,1,1,0
25,20,14,1,S8_PlantP450DB,B,1,1,0
26,21,14,1,S8_PlantP450DB,B,1,1,0
27,22,15,1,S8_PlantP450DB,B,1,1,0
28,22,16,1,S8_PlantP450DB,B,1,1,0
29,23,15,1,S8_PlantP450DB,B,1,1,0
30,24,15,1,S8_PlantP450DB,B,1,1,0
31,25,17,1,S8_PlantP450DB,B,1,1,0
32,26,17,1,S8_PlantP450DB,B,1,1,0
33,27,17,1,S8_PlantP450DB,B,1,1,0
34,28,18,1,S8_PlantP450DB,B,1,1,0
35,29,18,1,S8_PlantP450DB,B,1,1,0
36,30,18,1,S8_PlantP450DB,B,1,1,0
37,31,18,1,S8_PlantP450DB,B,1,1,0
38,32,14,1,S8_PlantP450DB,B,1,1,0
39,33,17,1,S8_PlantP450DB,B,1,1,0
40,34,19,1,S8_PlantP450DB,B,1,1,0
41,35,20,1,S8_PlantP450DB,B,1,1,0
