cyp_name,species,reason,num_pairs_lost
SbCYP51G1,Sorghum bicolor,no_sequence,1
TaCYP51G1,Triticum aestivum,no_sequence,1
CYP71AH44,Strychnos nux-vomica,no_substrate (needs_fulltext),0
CYP71B35,Withania somnifera,no_substrate (no_info),0
CYP71C113,Hordeum vulgare,no_sequence,1
CYP71D4,Solanum tuberosum,no_substrate (no_info),0
CYP71D174,Perilla frutescens,no_sequence,1
CYP71D184,Solanum habrochaites,no_sequence,1
CYP71D353,Lotus japonicus,no_sequence,1
CYP71D365,Euphorbia peplus,no_substrate (needs_fulltext),0
CYP71D381,Coleus forskohlii,no_sequence,1
CYP71L1,Hordeum vulgare,no_sequence,1
CYP71Z2,Oryza sativa,no_sequence,1
CYP71Z19,Zea mays,no_sequence,1
SbCYP71Z19,Sorghum bicolor,no_sequence,2
CYP71Z21,Oryza sativa,no_sequence,1
CYP71AR1,Fragaria ananassa,no_sequence,1
CYP71AU87,Marrubium volgare,no_sequence,1
CYP71AV15,Lactuca sativa,no_substrate (needs_fulltext),0
CYP71AX30,Xanthium strumarium,no_sequence,1
CYP71AX36,Helianthus annuus,no_sequence,1
CYP71BE85,Tripterygium wilfordii,no_sequence,1
CYP71BE86,Tripterygium wilfordii,no_sequence,1
CYP71BE131,Camptotheca acuminata,no_sequence,1
CYP71BE206,Camptotheca acuminata,no_sequence,2
CYP71BE207,Camptotheca acuminata,no_sequence,1
CYP71BE208,Camptotheca acuminata,no_sequence,1
CYP71BL9,Helianthus annuus,no_sequence,1
CYP71BL10,Cichorium intybus,no_sequence,1
CYP71BL11,Cichorium intybus,no_sequence,1
CYP71BN1,Solanum lycopersicum,no_sequence,1
CYP71BZ1,Tanacetum cinerariifolium,no_sequence,1
CYP71BZ25,Cichorium intybus,no_sequence,1
CYP71BZ26,Cichorium intybus,no_sequence,1
CYP71BZ27,Cichorium intybus,no_sequence,1
CYP71CU1,Podophyllum hexandrum,no_substrate (needs_fulltext),0
CYP71DD1,Xanthium strumarium,no_sequence,1
Lg BX5,Lamium galeobdolon,no_sequence,1
CYP726A4,Euphorbia peplus,no_substrate (needs_fulltext),0
CYP73A2,Phaseolus aureus,no_substrate (no_info),0
CYP73A10,Petroselium crispum,no_sequence,1
CYP73A48,Physcomitrella patens,no_sequence,1
CYP73A92,Brachypodium distachyon,no_sequence,1
CYP73A93,Brachypodium distachyon,no_sequence,1
CYP73A94,Brachypodium distachyon,no_sequence,1
CYP73A107,Podophyllum hexandrum,no_substrate (needs_fulltext),0
CYP73A260,Anthoceros agrestis,no_substrate (needs_fulltext),0
PtrC4H1,Populus trichocarpa,no_sequence,1
PtrC4H2,Populus trichocarpa,no_sequence,1
CsC4Hc,Camellia sinensis,no_sequence,1
CYP75A1,Petunia hybrida,no_substrate (needs_fulltext),0
CYP75A3,Petunia hybrida,no_substrate (needs_fulltext),0
CYP75A19v2,Verbena hybrid (Temari),no_substrate (needs_fulltext),0
CYP75A24,Clitoria ternatea,no_substrate (needs_fulltext),0
CYP75B10,Torenia hybrida,no_sequence,4
PvCYP75B11,Panicum virgatum,no_sequence,1
CYP75B23,Glycine max,no_substrate (no_info),0
CYP75B81,Citrus clementina,no_sequence,1
CYP75B97,Sorghum bicolor cv DK18,no_substrate (needs_fulltext),0
GQ479805,Helichrysum bracteatum,no_sequence,2
Bn F3'H-1,Brassica napus,no_sequence,1
Gt F3'H,Gentiana triflora,no_sequence,4
Eg F3H,Eustoma grandiflorum,no_substrate (needs_fulltext),0
Rc MF3H'1,Rubus coreanus,no_substrate (no_info),0
Sb F3'H1,Sorghum bicolor,no_sequence,2
Sb F3'H2,Sorghum bicolor,no_sequence,2
Os F3'H,Oryza sativa,no_sequence,2
Mt FBH-1,Medicago truncatula,no_substrate (needs_fulltext),0
Mt FBH-2,Medicago truncatula,no_substrate (needs_fulltext),0
Mt FBH-4,Medicago truncatula,no_substrate (needs_fulltext),0
Mt FBH-5,Medicago truncatula,no_substrate (needs_fulltext),0
Ms FBH-4,Medicago sativa,no_substrate (needs_fulltext),0
Ms FBH-10,Medicago sativa,no_substrate (needs_fulltext),0
CYP76B100,Lithospermum erythrorhizon,no_sequence,1
CYP76B101,Lithospermum erythrorhizon,no_sequence,1
CYP76F12,Vitis vinifera,no_substrate (needs_fulltext),0
CYP76M2,Oryza sativa,no_substrate (no_info),0
CYP76M10,Oryza sativa,no_substrate (no_info),0
CYP76S40,Origanum vulgare,no_sequence,2
CYP76T21,Vitis vinifera,no_substrate (needs_fulltext),0
CYP76AD15,Mirabilis jalapa,no_substrate (needs_fulltext),0
CYP76AD27,Beta vulgaris var. cicla,no_sequence,1
CYP76AH4,Rosmarinus officinalis,no_sequence,1
CYP78A5,Arabidopsis thaliana,no_substrate (needs_fulltext),0
CYP78A7,Arabidopsis thaliana,no_substrate (needs_fulltext),0
CYP78A10,Arabidopsis thaliana,no_substrate (needs_fulltext),0
CYP81A37,Zea mays,no_sequence,1
CYP81A38,Zea mays,no_sequence,1
CYP81A39,Zea mays,no_sequence,2
CYP81Q19,Momordica charantia,no_sequence,1
CYP81Q58,Cucumis sativus,no_substrate (needs_fulltext),0
Cm180,Cucumis melo,no_sequence,1
Cl180,Cucumis lanatus,no_sequence,1
CYP81AM1,Tripterygium wilfordii,no_sequence,1
SrKAH,Stevia rebaudiana,no_sequence,1
As BX5,Aphelandra squarrosa,no_substrate (needs_fulltext),0
CYP82A3,Glycine max,no_substrate (no_info),0
Sbar CYP82D1,Scutellaria barbata,no_sequence,2
Sbar CYP82D2,Scutellaria barbata,no_sequence,1
Sbai CYP82D4,Scutellaria baicalensis,no_sequence,2
Sbai CYP82D5,Scutellaria baicalensis,no_sequence,2
Sbar CYP82D5,Scutellaria barbata,no_sequence,2
Sbai CYP82D6,Scutellaria baicalensis,no_sequence,2
Sbar CYP82D6,Scutellaria barbata,no_sequence,2
Sbai CYP82D7,Scutellaria baicalensis,no_sequence,2
Sbar CYP82D7,Scutellaria barbata,no_sequence,2
Sbai CYP82D8,Scutellaria baicalensis,no_sequence,2
Sbar CYP82D7,Scutellaria barbata,no_sequence,2
Sbar CYP82D9,Scutellaria barbata,no_sequence,2
CYP82D47,Camellia sinensis,no_sequence,1
CYP82D64,Citrus paradisi and Citrus hystrix,no_sequence,1
CYP82D109,Gossypium hirsutum,no_substrate (needs_fulltext),0
CYP82D274,Tripterygium wilfordii,no_sequence,1
CYP82D367,Strychnos nux-vomica,no_substrate (needs_fulltext),0
CYP82E21,Nicotiana tabacum,no_sequence,1
CYP82S18,Rauwolfia serpentina,no_sequence,2
CYP82AR2,Lithospermum erythrorhizon,no_sequence,1
OsF5HL1,Oryza sativa,no_substrate (needs_fulltext),0
OsF5HL2,Oryza sativa,no_substrate (needs_fulltext),0
As BX4,Aphelandra squarrosa,no_substrate (needs_fulltext),0
Lg BX4,Lamium galeobdolon,no_sequence,1
CYP92A46,Scoparia dulcis,no_substrate (needs_fulltext),0
Wr BX4,Wrightia religiosa,no_sequence,1
Ai BX4,Acanthus ilicifolius,no_sequence,1
CYP93B3,Antirrhinum majus,no_sequence,1
CYP93B10,Medicago truncatula,no_sequence,1
CYP93B11,Medicago truncatula,no_sequence,1
CYP93B13,Gentiana triflora,no_sequence,2
CYP93C5,Glycine max,no_sequence,2
CYP93C17,Lotus japonicus,no_sequence,1
CYP93C18,Pisum sativum,no_substrate (needs_fulltext),0
CYP93C20,Medicago truncatula,no_sequence,1
IFS-Tp,Trifolium pratense,no_substrate (no_info),0
LjCYP93E1,Lotus japonicus,no_sequence,1
CYP93E3,Glycyrrhiza,no_substrate (needs_fulltext),0
CYP93G3,Sorghum bicolor,no_sequence,2
