compound_id,smiles,name
0,COc1ccccc1O,
1,COc1cccc(OC)c1O,
2,CN[C@H](C(=O)N[C@H](CO)Cc1c[nH]c2ccccc12)C(C)C,
3,CC(C)[C@H](S)C(=O)N[C@H](CO)Cc1c[nH]c2cccc(F)c12,
4,Cc1ccccc1,
5,Cc1ccc(Cl)cc1,
6,Cc1ccccc1Cl,
7,Cc1ccc(Br)cc1,
8,Cc1cccc(Cl)c1,
9,CO[C@H]1C[C@H](C[C@H](C)[C@@H]2CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C\C=C/C=C(/C)[C@H](OC)C[C@H]3CC[C@H](C)[C@](O)(O3)C(=O)C(=O)N3CCCC[C@@H]3C(=O)O2)CC[C@H]1OCCO,
10,CCCCCCCCCCCCCC(=O)O,
11,CC[C@@H]1C[C@@H]2C[C@@H]3[C@H]4C/C=C\C(=O)NCC[C@H](O)[C@@H]5NC(=O)/C(=C(O)/C=C/[C@@H]4CC(=O)[C@H]3[C@@H]2[C@H]1C)C5=O,
12,CC[C@@H]1C[C@@H]2C[C@@H]3[C@H]4C/C=C\C(=O)NCCC[C@@H]5NC(=O)/C(=C(O)/C=C/[C@@H]4C[C@H](O)[C@H]3[C@@H]2[C@H]1C)C5=O,
13,CC[C@H]1[C@@H]2C=C[C@@H]3[C@H]4C/C=C\C(=O)NCCC[C@@H]5NC(=O)/C(=C(O)/C=C/[C@@H]4C[C@@H]3[C@H]2C[C@H]1C)C5=O,
14,O=C1N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@H]1Cc1ccc(O)cc1,
15,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(cc(OC(=O)CO)c4c3C2=O)NC(=O)/C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,
16,C=C1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)O)[C@@H]2CC[C@@H]1C3,
17,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,
18,CN[C@@H](Cc1ccccc1)C(=O)N[C@H](CO)Cc1c[nH]c2ccccc12,
19,CN[C@H](C(=O)N[C@H](CO)Cc1csc2ccccc12)C(C)C,
20,CCCCCCCCCCCCCCCCCCCC(=O)O,
21,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,
22,CCCCCCCCCCCCCCCC(=O)O,
23,C/C=C(\C)[C@H]1CC=C/C=C(\C)CC[C@@H](O)[C@@](C)(O)C(=S)/C=C2\N[C@@](C)(C3=N[C@@H](CS3)C(=O)O1)[C@@H](O)S2,
24,COC(=O)[C@@H]1[C@H](O)[C@H](C)[C@H](O)[C@H](C)/C=C\C=C(/C)C(=O)Nc2c(C)c(OC(C)=O)c3c(c(OC)c(C)c(O)c3c2O)C(=O)/C(C)=C/[C@@](C)(O)C(O)[C@@H](C)[C@H]1O,
25,CS[C@H](Cc1c[nH]c2ccccc12)C(=O)O,
26,CCCCCCCCCCCC(=O)O,
27,CC(C)C[C@@H]1NC(=O)[C@H](CC(C)C)NC1=O,
28,COc1cc(C=O)ccc1O,
29,CCOc1ccccc1O,
30,CCCCCCCC(=O)O,
31,CCCCCCCC/C=C/CCCCCCCC(=O)O,
32,O=C1N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N2CCC[C@@H]12,
33,O=C1N[C@@H](Cc2c[nH]c3cccc(F)c23)C(=O)N2CCC[C@@H]12,
34,O=C1N[C@@H](Cc2c[nH]c3ccc(F)cc23)C(=O)N2CCC[C@@H]12,
35,O=C1N[C@@H](Cc2c[nH]c3c(F)cccc23)C(=O)N2CCC[C@@H]12,
36,O=C1N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@H]1Cc1c[nH]c2ccccc12,
37,CC(C)[C@@H]1NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC1=O,
38,CC[C@@H]1NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC1=O,
39,CC[C@@H]1C[C@@H]2C[C@@H]3C/C=C/CC(=O)NCCC[C@@H]4NC(=O)/C(=C(O)/C=C/C=C/[C@H](O)[C@H]3[C@@H]2[C@H]1C)C4=O,
40,COc1cc(C)cc(OC)c1O,
41,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,
42,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OS(=O)(=O)O)CC[C@]4(C)[C@H]3CC[C@]12C,
43,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,
44,CC(=O)OC/C=C(\C)CC/C=C(\C)CCC=C(C)C,
45,CC(C)=CCC/C(C)=C/CC/C(C)=C/CO,
46,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C(=O)C=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,
47,CC(=O)/C=C/C=C(\C)CCC=C(C)C,
48,CCCCCCCC/C=C\CCCCCCCC(=O)O,
49,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,
50,CC1=CC[C@H]2O[C@]1(C)O[C@H]([C@H](C)/C=C(C)/C=C/C(O)=C1/C(=O)C=NC1=O)[C@H]2C,
51,CCCCCC(=O)O,
52,CC[C@H](C)C[C@@H](C)CCC(=O)O,
53,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,
54,COC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,
55,CCCC[C@H]1CC[C@]2(CC[C@H](C)[C@@H](C/C=C(C)/C=C/[C@H](O)[C@@H](C)/C=C/C(=O)O)O2)O[C@H]1/C=C/C(C)=C/C(=O)O,
56,CCCCCC/C=C\CCCCCCCC(=O)O,
57,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,
58,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@@H](C)[C@@H](O[C@H]2O[C@@H](C)C[C@@H](N(C)C)[C@H]2O)[C@@H](C)C[C@@H](C)C(=O)/C=C/[C@H]1C,
59,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2O[C@@H](C)C[C@@H](N(C)C)[C@@H]2O)[C@@H](C)C[C@H](C)C(=O)/C=C/[C@H]1C,
60,C[C@@H]1C[C@H](N(C)C)[C@@H](O)[C@H](OC2CCCCCCCCCCCC2)O1,
61,C[C@@H]1C[C@H](N(C)C)[C@@H](O)[C@H](OC2CCCCCCCCCCC2)O1,
62,CC[C@H]1OC(=O)[C@H](C)[C@@H](OC(=O)CN(C)C)[C@@H](C)C[C@@H](C)C(=O)/C=C/[C@H]1C,
63,CC[C@H]1OC(=O)[C@H](C)[C@@H](OC(=O)CCN(C)C)[C@@H](C)C[C@@H](C)C(=O)/C=C/[C@H]1C,
64,CN(C)CCCCCOC1CCCCCCCCCCC1,
65,CC[C@H]1OC(=O)[C@H](C)[C@@H](OC(=O)c2ccccc2CN(C)C)[C@@H](C)C[C@@H](C)C(=O)/C=C/[C@H]1C,
66,Clc1ccccc1CN1CCc2sccc2C1,
67,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,
68,COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1,
69,Cc1ccc(S(=O)(=O)N(C)c2ccnn2-c2ccccc2)cc1,
