interaction_id,enzyme_id,compound_id,label,source,quality_tier,num_reactions,has_pmid,has_products,pdb_id
0,0,0,1,S1_RCSB,A,1,0,0,5NCB
1,0,1,1,S1_RCSB,A,1,0,0,5NCB
2,1,2,1,S1_RCSB,A,1,0,0,6J83
3,1,3,1,S1_RCSB,A,1,0,0,6J83
4,2,4,1,S1_RCSB,A,1,0,0,7V43
5,2,5,1,S1_RCSB,A,1,0,0,7V43
6,2,6,1,S1_RCSB,A,1,0,0,7V43
7,2,7,1,S1_RCSB,A,1,0,0,7V43
8,2,8,1,S1_RCSB,A,1,0,0,7V43
9,3,9,1,S1_RCSB,A,1,0,0,6L3A
10,4,10,1,S1_RCSB,A,1,0,0,8VWK
11,5,11,1,S1_RCSB,A,1,0,0,8JNC
12,5,12,1,S1_RCSB,A,1,0,0,8JNC
13,5,13,1,S1_RCSB,A,1,0,0,8JNC
14,6,14,1,S1_RCSB,A,1,0,0,8Q6Y
15,7,15,1,S1_RCSB,A,1,0,0,5YSW
16,8,16,1,S1_RCSB,A,1,0,0,8FIC
17,9,17,1,S1_RCSB,A,1,0,0,7DLS
18,10,18,1,S1_RCSB,A,1,0,0,6J87
19,10,19,1,S1_RCSB,A,1,0,0,6J87
20,11,20,1,S1_RCSB,A,1,0,0,9JQM
21,12,21,1,S1_RCSB,A,1,0,0,6A7J
22,13,22,1,S1_RCSB,A,1,0,0,8D8P
23,14,23,1,S1_RCSB,A,1,0,0,9KPU
24,15,24,1,S1_RCSB,A,1,0,0,6M4P
25,16,25,1,S1_RCSB,A,1,0,0,6KFW
26,17,26,1,S1_RCSB,A,1,0,0,9IXL
27,18,27,1,S1_RCSB,A,1,0,0,7OW9
28,0,28,1,S1_RCSB,A,1,0,0,5NCB
29,0,29,1,S1_RCSB,A,1,0,0,5NCB
30,19,30,1,S1_RCSB,A,1,0,0,8FZ8
31,20,31,1,S1_RCSB,A,1,0,0,9RXH
32,21,32,1,S1_RCSB,A,1,0,0,6VXV
33,21,33,1,S1_RCSB,A,1,0,0,8HNZ
34,21,34,1,S1_RCSB,A,1,0,0,8HNZ
35,21,35,1,S1_RCSB,A,1,0,0,8HNZ
36,22,36,1,S1_RCSB,A,1,0,0,6XAL
37,22,37,1,S1_RCSB,A,1,0,0,6XAL
38,22,38,1,S1_RCSB,A,1,0,0,6XAL
39,22,32,1,S1_RCSB,A,1,0,0,7S3T
40,23,13,1,S1_RCSB,A,1,0,0,8JNQ
41,23,39,1,S1_RCSB,A,1,0,0,8JNQ
42,24,1,1,S1_RCSB,A,1,0,0,8U1I
43,24,40,1,S1_RCSB,A,1,0,0,8U1I
44,25,41,1,S1_RCSB,A,1,0,0,7SH5
45,26,41,1,S1_RCSB,A,1,0,0,2YOO
46,26,42,1,S1_RCSB,A,1,0,0,2YOO
47,27,43,1,S1_RCSB,A,1,0,0,4R21
48,28,10,1,S1_RCSB,A,1,0,0,6GK6
49,29,43,1,S1_RCSB,A,1,0,0,6F88
50,30,44,1,S1_RCSB,A,1,0,0,8FJO
51,30,45,1,S1_RCSB,A,1,0,0,8FKB
52,30,46,1,S1_RCSB,A,1,0,0,8GDI
53,31,41,1,S1_RCSB,A,1,0,0,7SMZ
54,32,47,1,S1_RCSB,A,1,0,0,6BLD
55,33,22,1,S1_RCSB,A,1,0,0,8W1K
56,33,48,1,S1_RCSB,A,1,0,0,8W1K
57,34,10,1,S1_RCSB,A,1,0,0,5YHJ
58,35,49,1,S1_RCSB,A,1,0,0,4TPO
59,36,30,1,S1_RCSB,A,1,0,0,8B2P
60,37,50,1,S1_RCSB,A,1,0,0,6XA2
61,38,51,1,S1_RCSB,A,1,0,0,8ABS
62,38,21,1,S1_RCSB,A,1,0,0,8ABS
63,38,52,1,S1_RCSB,A,1,0,0,8ABS
64,39,21,1,S1_RCSB,A,1,0,0,5L92
65,40,53,1,S1_RCSB,A,1,0,0,5M0O
66,40,20,1,S1_RCSB,A,1,0,0,5M0P
67,41,54,1,S1_RCSB,A,1,0,0,6G5Q
68,42,55,1,S1_RCSB,A,1,0,0,3WVS
69,43,26,1,S1_RCSB,A,1,0,0,7P6L
70,44,10,1,S1_RCSB,A,1,0,0,6FYJ
71,45,21,1,S1_RCSB,A,1,0,0,7Y98
72,46,56,1,S1_RCSB,A,1,0,0,7WYG
73,46,22,1,S1_RCSB,A,1,0,0,9IY1
74,47,57,1,S1_RCSB,A,1,0,0,6A15
75,48,58,1,S1_RCSB,A,1,0,0,2CD8
76,48,59,1,S1_RCSB,A,1,0,0,2CD8
77,48,60,1,S1_RCSB,A,1,0,0,2WI9
78,48,61,1,S1_RCSB,A,1,0,0,2WI9
79,48,62,1,S1_RCSB,A,1,0,0,3ZPI
