global_compound_id,canonical_smiles,status,num_atoms,num_conformers_tried,final_energy,force_field_used,sdf_path,error_message
CMP_G000005,*CC(=O)[O-],ok,7,50,0.93,UFF,data\structures\ligands\sdf\CMP_G000005.sdf,
CMP_G000009,*[H],ok,2,50,0.00,UFF,data\structures\ligands\sdf\CMP_G000009.sdf,
CMP_G000006,*CCC(=O)[O-],ok,10,50,1.63,UFF,data\structures\ligands\sdf\CMP_G000006.sdf,
CMP_G000011,*c1cc(*)c(-c2oc3c(*)c(*)c(*)c(*)c3c(=O)c2*)c(*)c1*,ok,27,50,31.42,UFF,data\structures\ligands\sdf\CMP_G000011.sdf,
CMP_G000010,*c1c(*)c(*)c(C2Oc3c(*)c(*)c(*)c(*)c3C(=O)C2*)c(*)c1*,ok,29,50,32.75,UFF,data\structures\ligands\sdf\CMP_G000010.sdf,
CMP_G000012,*c1cc(*)c(C2(*)Oc3c(*)c(*)c(*)c(*)c3C(=O)C2(*)*)c(*)c1,ok,29,50,31.07,UFF,data\structures\ligands\sdf\CMP_G000012.sdf,
CMP_G000014,C*C(=O)[O-],ok,8,50,-0.62,UFF,data\structures\ligands\sdf\CMP_G000014.sdf,
CMP_G000015,CC*C(=O)[O-],ok,11,50,-0.86,UFF,data\structures\ligands\sdf\CMP_G000015.sdf,
CMP_G000007,*[C@H](NC(=O)CC1CCC(=O)C1C/C=C\CC)C(=O)[O-],ok,39,50,22.76,UFF,data\structures\ligands\sdf\CMP_G000007.sdf,
CMP_G000001,*C1CCC2C3CCC4CCCCC4(C)C3CCC12C,ok,51,50,54.78,UFF,data\structures\ligands\sdf\CMP_G000001.sdf,
CMP_G000018,C=C1CO1,ok,8,50,13.45,MMFF94s,data\structures\ligands\sdf\CMP_G000018.sdf,
CMP_G000016,CC12CCC(CC1=S)C2(C)C,ok,27,50,52.06,MMFF94s,data\structures\ligands\sdf\CMP_G000016.sdf,
CMP_G000008,*[C@H](NC(=O)CC1CCC(=O)C1C/C=C\CCO)C(=O)[O-],ok,40,50,24.19,UFF,data\structures\ligands\sdf\CMP_G000008.sdf,
CMP_G000013,*c1cc(-c2c(*)oc3c(*)c(*)c(*)c(*)c3c2=O)c(*)c(*)c1*,ok,27,50,36.20,UFF,data\structures\ligands\sdf\CMP_G000013.sdf,
CMP_G000017,CC1(C)[C@@H]2CC[C@@]1(C)C(=S)C2,ok,27,50,52.06,MMFF94s,data\structures\ligands\sdf\CMP_G000017.sdf,
CMP_G000002,*C1CC[C@@]2(C)C3CCC4CCCCC4(C)C3CCC12C,ok,54,50,60.40,UFF,data\structures\ligands\sdf\CMP_G000002.sdf,
CMP_G000022,Cc1c(CC(N)C(=O)O)c2c(F)cccc2n1C,ok,33,50,62.69,MMFF94s,data\structures\ligands\sdf\CMP_G000022.sdf,
CMP_G000023,CC(C)C1CC1c1ccccc1,ok,28,50,27.07,MMFF94s,data\structures\ligands\sdf\CMP_G000023.sdf,
CMP_G000003,*C1CC[C@@]2(C=O)C3CCC4CCCCC4(C)C3CCC12C,ok,53,50,60.30,UFF,data\structures\ligands\sdf\CMP_G000003.sdf,
CMP_G000004,*C1CC[C@@]2(CO)C3CCC4CCCCC4(C)C3CCC12C,ok,55,50,66.02,UFF,data\structures\ligands\sdf\CMP_G000004.sdf,
CMP_G000025,Cc1[nH]c2ccc(Cl)cc2c1CC(N)C=O,ok,29,50,51.31,MMFF94s,data\structures\ligands\sdf\CMP_G000025.sdf,
CMP_G000027,NC(Cc1c[nH]c2c(F)cccc12)C(=O)O,ok,27,50,44.53,MMFF94s,data\structures\ligands\sdf\CMP_G000027.sdf,
CMP_G000029,CCSc1ccccc1,ok,19,50,14.47,MMFF94s,data\structures\ligands\sdf\CMP_G000029.sdf,
CMP_G000028,N[C@@H](Cc1c[nH]c2c(F)cccc12)C(=O)O,ok,27,50,44.93,MMFF94s,data\structures\ligands\sdf\CMP_G000028.sdf,
CMP_G000026,C=C(C)[C@@H]1CC[C@H](C)C2=C(C1)[C@@H](C)CC2,ok,39,50,41.73,MMFF94s,data\structures\ligands\sdf\CMP_G000026.sdf,
CMP_G000021,COc1oc(CCC(C)=CC(C)=Cc2ccc(I)cc2)c(C)c(=O)c1C,ok,51,50,36.65,MMFF94s,data\structures\ligands\sdf\CMP_G000021.sdf,
CMP_G000019,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,ok,52,50,57.96,MMFF94s,data\structures\ligands\sdf\CMP_G000019.sdf,
CMP_G000034,CCCC(C)C,ok,20,50,0.18,MMFF94s,data\structures\ligands\sdf\CMP_G000034.sdf,
CMP_G000035,COc1ccc(/C=C/C(=O)O)cc1,ok,23,50,-8.30,MMFF94s,data\structures\ligands\sdf\CMP_G000035.sdf,
CMP_G000031,CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2=O,ok,47,50,59.04,MMFF94s,data\structures\ligands\sdf\CMP_G000031.sdf,
CMP_G000030,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,ok,47,50,64.14,MMFF94s,data\structures\ligands\sdf\CMP_G000030.sdf,
CMP_G000037,Cc1c(CC(N)C=O)c2ccc(Br)cc2n1C,ok,32,50,59.33,MMFF94s,data\structures\ligands\sdf\CMP_G000037.sdf,
CMP_G000039,CC[C@H](C)[C@H](N)C(=O)O,ok,22,50,26.30,MMFF94s,data\structures\ligands\sdf\CMP_G000039.sdf,
CMP_G000032,CC(C)=CCC/C(C)=C/COc1c2c(cc3oc(=O)ccc13)OCC2,ok,49,50,73.78,MMFF94s,data\structures\ligands\sdf\CMP_G000032.sdf,
CMP_G000042,NCCC[C@H](N)C(=O)O,ok,21,50,16.39,MMFF94s,data\structures\ligands\sdf\CMP_G000042.sdf,
CMP_G000033,CC[C@]12C=CCN3CC[C@]4(C(=C(C(=O)OC)C1)Nc1cc(OC)ccc14)[C@@H]32,ok,53,50,95.62,MMFF94s,data\structures\ligands\sdf\CMP_G000033.sdf,
CMP_G000036,C[C@]12CC[C@H]3[C@@H](CC[C@H]4CC(=O)CC[C@@]43C=O)[C@@H]1CC[C@@H]2O,ok,50,50,69.50,MMFF94s,data\structures\ligands\sdf\CMP_G000036.sdf,
CMP_G000043,CCC(C)CC(C)CC(C)CCC(=O)O,ok,41,50,-9.61,MMFF94s,data\structures\ligands\sdf\CMP_G000043.sdf,
CMP_G000044,Cn1cc(CC(N)C(=O)O)c2cccc(C3CC3)c21,ok,37,50,61.63,MMFF94s,data\structures\ligands\sdf\CMP_G000044.sdf,
CMP_G000046,COc1ccc(C2CC(=O)c3c(O)cc(O)cc3O2)cc1O,ok,36,50,34.60,MMFF94s,data\structures\ligands\sdf\CMP_G000046.sdf,
CMP_G000041,CCC=CCC=CCC=CCCCCCCCCCC(=O)[O-],ok,55,50,22.98,MMFF94s,data\structures\ligands\sdf\CMP_G000041.sdf,
CMP_G000040,CC/C=C\C/C=C\C/C=C\CCCCCCCCCC(=O)O,ok,56,50,-5.42,MMFF94s,data\structures\ligands\sdf\CMP_G000040.sdf,
CMP_G000048,COCC1N=C(C)OC1c1ccccc1,ok,30,50,59.52,MMFF94s,data\structures\ligands\sdf\CMP_G000048.sdf,
CMP_G000051,O=C(O)c1cc2ccccc2cc1O,ok,22,50,17.54,MMFF94s,data\structures\ligands\sdf\CMP_G000051.sdf,
CMP_G000050,Cc1c(CC(N)C=O)c2c(F)cccc2n1C,ok,32,50,69.17,MMFF94s,data\structures\ligands\sdf\CMP_G000050.sdf,
CMP_G000052,Cc1ccccc1-c1ccccc1,ok,25,50,43.68,MMFF94s,data\structures\ligands\sdf\CMP_G000052.sdf,
CMP_G000049,NC(N)=NCCCCNC(=O)C=Cc1ccc(O)cc1,ok,40,50,-160.63,MMFF94s,data\structures\ligands\sdf\CMP_G000049.sdf,
CMP_G000053,COc1ccc2c(c1OC)CN(C)c1c-2ccc2cc3c(cc12)OCO3,ok,45,50,100.03,MMFF94s,data\structures\ligands\sdf\CMP_G000053.sdf,
CMP_G000056,CC(C)C=O,ok,13,50,2.36,MMFF94s,data\structures\ligands\sdf\CMP_G000056.sdf,
CMP_G000057,Cc1cc(O)cc(O)c1C(=O)O,ok,20,50,3.92,MMFF94s,data\structures\ligands\sdf\CMP_G000057.sdf,
CMP_G000020,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC[C@]1(C)[C@H](C)CCC(=C(C)C)[C@H]1CCCO,ok,83,50,90.10,MMFF94s,data\structures\ligands\sdf\CMP_G000020.sdf,
CMP_G000024,N=C(O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,ok,78,50,-444.03,MMFF94s,data\structures\ligands\sdf\CMP_G000024.sdf,
CMP_G000038,COc1cc(O)c2c(O)c3c(c(C/C=C(\C)CCC=C(C)C)c2c1)[C@H](O)[C@@]1(O)CC(=O)C(C(N)=O)=C(O)[C@@]1(O)C3=O,ok,74,50,129.75,MMFF94s,data\structures\ligands\sdf\CMP_G000038.sdf,
CMP_G000058,COc1cccc2c1cc(CC(N)C(=O)O)n2C,ok,34,50,68.99,MMFF94s,data\structures\ligands\sdf\CMP_G000058.sdf,
CMP_G000047,CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,ok,62,50,14.52,MMFF94s,data\structures\ligands\sdf\CMP_G000047.sdf,
CMP_G000054,COC(=O)C1=CO[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]2[C@H](C)[C@@H](O)C[C@H]12,ok,53,50,93.68,MMFF94s,data\structures\ligands\sdf\CMP_G000054.sdf,
CMP_G000055,COC(=O)C1=CO[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]2[C@@H](C)[C@@H](O)C[C@H]12,ok,53,50,92.72,MMFF94s,data\structures\ligands\sdf\CMP_G000055.sdf,
CMP_G000065,NCCc1c[nH]c2ccccc12,ok,24,50,26.20,MMFF94s,data\structures\ligands\sdf\CMP_G000065.sdf,
