Compound,Compound CID,Compound SID,Compound formula,Compound CAS,Compound smiles
Casbene,5280437,,,C20H32,C/C/1=C\CC/C(=C/C2C(C2(C)C)CC/C(=C/CC1)/C)/C
L-Tryptophan,6305,,,C11H12N2O2,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N
(E)-Phenylacetaldehyde Oxime,9638853,,,C8H9NO,C1=CC=C(C=C1)C/C=N/O
Phenylacetonitrile,8794,,,C8H7N,C1=CC=C(C=C1)CC#N
L-Phenylalanine,6140,,,C9H11NO2,C1=CC=C(C=C1)C[C@@H](C(=O)O)N
Oleanolic Acid,10494,,,C30H48O3,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)C)O
2Beta-Hydroxyoleanolic Acid,15560128,,,C30H48O4,C[C@@]12CC[C@@H]3[C@@]([C@H]1CC=C4[C@]2(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)(C[C@@H]([C@@H](C3(C)C)O)O)C
Bayogenin,12305221,,,C30H48O5,C[C@@]12CC[C@@H]3[C@@]([C@H]1CC=C4[C@]2(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)(C[C@@H]([C@@H]([C@@]3(C)CO)O)O)C
Hederagenin,73299,,,C30H48O4,C[C@]12CC[C@@H]([C@@]([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)CO)O
3-Hydroxybenzyl Alcohol,102,,,C7H8O2,C1=CC(=CC(=C1)O)CO
3-Methylphenol,342,,,C7H8O,CC1=CC(=CC=C1)O
NMVT,91115345,,,C17H25N3O2,CC(C)[C@@H](C(=O)N[C@@H](CC1=CNC2=CC=CC=C21)CO)NC
Beta-Amyrin,73145,,,C30H50O,C[C@@]12CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O)C)C)[C@@H]1CC(CC2)(C)C)C
24-Hydroxy-Beta-Amyrin,14167253,,,C30H50O2,C[C@@]12CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H]([C@]5(C)CO)O)C)C)[C@@H]1CC(CC2)(C)C)C
(E/Z)-Paox,5939523,,,C8H9NO,C1=CC=C(C=C1)C/C=N\O
Cucurbitadienol,14543446,,,C30H50O,C[C@H](CCC=C(C)C)[C@H]1CC[C@@]2([C@@]1(CC[C@@]3([C@H]2CC=C4[C@H]3CC[C@@H](C4(C)C)O)C)C)C
Oleanolic Aldehyde,10321055,,,C30H48O2,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C=O)C)C)(C)C)O
Erythrodiol,101761,,,C30H50O2,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)CO)C)C)(C)C)O
Lupeol,259846,,,C30H50O,CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]3CC[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)C
Alpha-Amyrin,73170,,,C30H50O,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O)C)C)[C@@H]2[C@H]1C)C)C
16Alpha-Hydroxy-Beta-Amyrin,131841473,,,C30H50O2,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(C[C@H]([C@@]5([C@H]4CC(CC5)(C)C)C)O)C)C)(C)C)O
Ferruginol,442027,,,C20H30O,CC(C)C1=C(C=C2C(=C1)CC[C@@H]3[C@@]2(CCCC3(C)C)C)O
"Abieta-8,11,13-Triene",6432211,,,C20H30,CC(C)C1=CC2=C(C=C1)[C@]3(CCCC([C@@H]3CC2)(C)C)C
Dehydroprobetaenone I,122370693,,,C21H34O2,CC[C@H](C)[C@H]1C(=C[C@H]2C[C@H](C[C@H]([C@@H]2[C@@]1(C)C(=O)/C=C\O)C)C)C
3-Methoxybenzoic Acid,11461,,,C8H8O3,COC1=CC=CC(=C1)C(=O)O
3-Hydroxybenzoic Acid,7420,,,C7H6O3,C1=CC(=CC(=C1)O)C(=O)O
Benzoic Acid,243,,,C7H6O2,C1=CC=C(C=C1)C(=O)O
Lauric Acid,3893,,,C12H24O2,CCCCCCCCCCCC(=O)O
Capric Acid,2969,,,C10H20O2,CCCCCCCCCC(=O)O
Caprylic Acid,379,,,C8H16O2,CCCCCCCC(=O)O
Obtusifoliol,65252,,,C30H50O,C[C@H]1[C@@H]2CCC3=C([C@]2(CC[C@@H]1O)C)CC[C@]4([C@]3(CC[C@@H]4[C@H](C)CCC(=C)C(C)C)C)C
Cholesterol,5997,,,C27H46O,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C
22R-Hydroxycholesterol,167685,,,C27H46O2,C[C@@H]([C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)[C@@H](CCC(C)C)O
"22(R),26-Dihydroxycholesterol",122706556,,,C27H46O3,C[C@@H]([C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)[C@@H](CCC(C)CO)O
(+)-Sabinene,10887971,,,C10H16,CC(C)[C@]12CCC(=C)[C@H]1C2
Sabinene,18818,,,C10H16,CC(C)C12CCC(=C)C1C2
