P450 symbol,Protein name,Gene ID,Uniprot ID,EC number,Species,Species classification,Txid,Subcellular location
CYP726A20,CYP726A20,105629812,A0A067LCX8,/,Jatropha curcas (Barbados nut),Plant,180498,/
CYP726A20,CYP726A20,105629812,A0A067LCX8,/,Jatropha curcas (Barbados nut),Plant,180498,/
CYP726A20,CYP726A20,105629812,A0A067LCX8,/,Jatropha curcas (Barbados nut),Plant,180498,/
CYP79A68,Tryptophan N-monooxygenase CYP79A68,103339830,A0A068Q605,1.14.14.156,Prunus mume (Japanese apricot) (Armeniaca mume),Plant,102107,Membrane; Single-pass membrane protein
CYP71AN24,Phenylacetaldehyde oxime monooxygenase CYP71AN24,103337951,A0A068Q609,1.14.14.44; 1.14.14.77,Prunus mume (Japanese apricot) (Armeniaca mume),Plant,102107,Membrane; Single-pass membrane protein
CYP71AN24,Phenylacetaldehyde oxime monooxygenase CYP71AN24,103337951,A0A068Q609,1.14.14.44; 1.14.14.77,Prunus mume (Japanese apricot) (Armeniaca mume),Plant,102107,Membrane; Single-pass membrane protein
CYP79D16,Phenylalanine N-monooxygenase CYP79D16,103330459,A0A068Q7V0,1.14.14.40,Prunus mume (Japanese apricot) (Armeniaca mume),Plant,102107,/
CYP72A68v1,Cytochrome P450 family 72 protein,25486774,A0A072V9E9,1.14.14.115,Medicago truncatula (Barrel medic) (Medicago tribuloides),Plant,3880,Membrane; Single-pass membrane protein
CYP72A68v1,Cytochrome P450 family 72 protein,25486774,A0A072V9E9,1.14.14.115,Medicago truncatula (Barrel medic) (Medicago tribuloides),Plant,3880,Membrane; Single-pass membrane protein
CYP72A68v1,Cytochrome P450 family 72 protein,25486774,A0A072V9E9,1.14.14.115,Medicago truncatula (Barrel medic) (Medicago tribuloides),Plant,3880,Membrane; Single-pass membrane protein
CYP72A68v1,Cytochrome P450 family 72 protein,25486774,A0A072V9E9,1.14.14.115,Medicago truncatula (Barrel medic) (Medicago tribuloides),Plant,3880,Membrane; Single-pass membrane protein
patI,Cytochrome P450 monooxygenase patI,27680976,A0A075TMP8,1.-.-.-,Penicillium expansum (Blue mold rot fungus),Microorganism,27334,Endoplasmic reticulum membrane; Single-pass membrane protein
patH,Cytochrome P450 monooxygenase patH,27680964,A0A075TRL5,1.-.-.-,Penicillium expansum (Blue mold rot fungus),Microorganism,27334,Endoplasmic reticulum membrane; Single-pass membrane protein
CYP720B12,CYP720B12,/,A0A076U5L5,/,Pinus contorta (Shore pine) (Lodgepole pine),Plant,3339,/
CYP720B12,CYP720B12,/,A0A076U5L5,/,Pinus contorta (Shore pine) (Lodgepole pine),Plant,3339,/
CYP720B2,CYP720B2,/,A0A076UAC3,/,Pinus banksiana (Jack pine) (Pinus divaricata),Plant,3353,/
CYP720B2,CYP720B2,/,A0A076UAC3,/,Pinus banksiana (Jack pine) (Pinus divaricata),Plant,3353,Cytoplasm
CYP720B2,CYP720B2,/,A0A076UAC7,/,Pinus contorta (Shore pine) (Lodgepole pine),Plant,3339,/
CYP720B2,CYP720B2,/,A0A076UAC7,/,Pinus contorta (Shore pine) (Lodgepole pine),Plant,3339,Cytoplasm
TleB,Cytochrome P-450,/,A0A077KEB8,/,Streptomyces blastmyceticus,Microorganism,68180,/
CYP2D7,Putative cytochrome P450 2D7,1564,A0A087X1C5,1.14.14.1,Homo sapiens (Human),Animal,9606,Membrane; Multi-pass membrane protein Cytoplasm Mitochondrion
CYP93E4,Beta-amyrin 24-hydroxylase CYP93E4,/,A0A088LHH3,/,Arachis hypogaea (Peanut),Plant,3818,/
CYP93E4,Beta-amyrin 24-hydroxylase CYP93E4,/,A0A088LHH3,/,Arachis hypogaea (Peanut),Plant,3818,/
CYP93E9,Beta-amyrin 24-hydroxylase CYP93E9,/,A0A088LHH7,/,Phaseolus vulgaris (Kidney bean) (French bean),Plant,3885,/
CYP93E9,Beta-amyrin 24-hydroxylase CYP93E9,/,A0A088LHH7,/,Phaseolus vulgaris (Kidney bean) (French bean),Plant,3885,/
CYP93E7,Beta-amyrin 24-hydroxylase CYP93E7,/,A0A088LHV2,/,Lens culinaris (Lentil) (Cicer lens),Plant,3864,/
CYP93E6,Beta-amyrin 24-hydroxylase CYP93E6,/,A0A088LIS6,/,Glycyrrhiza glabra (Licorice),Plant,49827,/
CYP93E6,Beta-amyrin 24-hydroxylase CYP93E6,/,A0A088LIS6,/,Glycyrrhiza glabra (Licorice),Plant,49827,/
CYP93E8,Beta-amyrin 24-hydroxylase CYP93E8,/,A0A088LM09,/,Pisum sativum (Garden pea),Plant,3888,/
CYP93E8,Beta-amyrin 24-hydroxylase CYP93E8,/,A0A088LM09,/,Pisum sativum (Garden pea),Plant,3888,/
CYP93E5,Beta-amyrin 24-hydroxylase CYP93E5,101495076,A0A088LUP1,/,Cicer arietinum (Chickpea) (Garbanzo),Plant,3827,/
CYP93E5,Beta-amyrin 24-hydroxylase CYP93E5,101495076,A0A088LUP1,/,Cicer arietinum (Chickpea) (Garbanzo),Plant,3827,/
CYP81Q58,Cytochrome P450,101208069,A0A097IYP1,/,Cucumis sativus (Cucumber),Plant,3659,Endoplasmic reticulum membrane; Single-pass membrane protein Microsome membrane; Single-pass membrane protein
CYP71B41v2,Cytochrome P450 CYP71B41v2,/,A0A097PUC0,/,Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa),Plant,3694,/
CYP71B40v3,Cytochrome P450 CYP71B40v3,/,A0A097PUC4,/,Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa),Plant,3694,Membrane; Single-pass membrane protein
CYP88L2,Cytochrome P450,101207035,A0A0A0LHC2,/,Cucumis sativus (Cucumber),Plant,3659,/
