substrate_name,cyp_names,entry_ids
(-)-5'-desmethoxy-yatein,CYP71CU1,
(-)-deoxypodophyllotoxin,CYP71BE54; CYP82D61,
(S)-autumnaline,CYP75A110,
13(S)-hydroperoxide of alpha-linolenic acid (13(S)-HPOT),CYP74H2,
13(S)-hydroperoxide of linoleic acid (13(S)-HPOD),CYP74H2,
"13-HPODE (13(S)-hydroperoxyoctadeca-9Z,11E-dienoic acid)",MtCYP74C3,
"13-HPOTE (13(S)-hydroperoxyoctadeca-9Z,11E,15Z-trienoic acid)",MtCYP74C3,
13-hydroperoxy linole(n)ic acid (13-HPOT and 13-HPODE),CYP74H1,
13-hydroxy-8(14)-abietene,CYP720B2; CYP720B12,
13R-manoyl oxide,CYP71D381; CYP76AH11; CYP76AH15; CYP76AH16,
14-hydroxy-dehydroabietadiene,CYP71BE85; CYP71BE86,
"2,3',4,4',6-pentahydroxybenzophenone (2,3',4,4',6-pentaHB, maclurin)",CYP81AA3,
22-hydroxy-26-aminocholesterol,CYP90G1v3,
3-hydroxyindolin-2-one (3HI2O),CYP92A46; Wr BX4; Ai BX4,
4-(1-methyl-2-pyrrolidinyl)-3-methyloxobutanoate (MPMOB),CYP71AN15,
4-coumaroyl-4'-hydroxyphenyllactic acid,CYP98A6,
4-coumaroyl-anthranilate,CYP98A38; CYP98A104,
5-keto-casbene,CYP726A16,
5alpha-acetoxy-10beta-hydroxy taxadiene,CYP725A3,
8beta-hydroxy-germacrene A acid,CYP71DD6,
9(S)-hydroperoxide of alpha-linolenic acid (9(S)-HPOT),CYP74H2,
9(S)-hydroperoxide of linoleic acid (9(S)-HPOD),CYP74H2,
"9(S,10E,12Z)-9-hydroperoxy-10,12-octadecadienoic acid (9-HPODE; 9-hydroperoxide of linoleic acid)",CYP74C10v1,
"9-HPODE (9(S)-hydroperoxyoctadeca-10E,12Z-dienoic acid)",MtCYP74C3,
"9-HPOTE (9(S)-hydroperoxyoctadeca-10E,12Z,15Z-trienoic acid)",MtCYP74C3,
9-hydroperoxide of linolenic acid (9-HPOT),CYP74C10v1,
9-hydroperoxy linole(n)ic acid (9-HPOT and 9-HPODE),CYP74H1,
O-methylandrocymbine,CYP71FB1,
abietane diterpenoid (upstream of C16-hydroxylation; specific substrate requires fulltext for exact identity),CYP71D411,
alpha-carotene,CYP97A4,
alpha-exo-bergamotene,CYP76F37v1; CYP76F37v2; CYP76F38v1; CYP76F38v2; CYP76F39v1; CYP76F39v2; CYP76F40; CYP76F41; CYP76F42,
alpha-santalene,CYP76F37v1; CYP76F37v2; CYP76F38v1; CYP76F38v2; CYP76F39v1; CYP76F39v2,
beta-carotene,CYP97A4,
beta-santalene,CYP76F37v1; CYP76F37v2; CYP76F38v1; CYP76F38v2; CYP76F39v1; CYP76F39v2,
brassinin,CYP71CR1; CYP71CR2,
cembratriene-ol (CBT-ol),CYP71D16,
dihydrobenzophenanthridine alkaloid (different specificity from CYP82P2),CYP82P3,
ent-2'-epi-5-deoxystrigol,CYP711A3,
ent-cassadiene,CYP71Z7; CYP76M7,
epi-beta-santalene,CYP76F37v1; CYP76F37v2; CYP76F38v1; CYP76F38v2; CYP76F39v1; CYP76F39v2,
epikunzeaol,CYP76AE2; CYP76AE4,
ferruginol or miltiradiene-derived abietane diterpenoid (C16-hydroxylation substrate; specific precursor requires fulltext for exact identity),CYP71D373; CYP71D375,
"feruperic acid (5-(4-hydroxy-3-methoxyphenyl)-2,4-pentadienoic acid)",CYP719A37,
fluorescent chlorophyll catabolites (FCCs),CYP89A9,
geissoschizine,CYP71D1v1; CYP71AY6,
germacratrien-12-oic acid (germacrene A acid),CYP71BL4,
germacrene A acid or costunolide (sesquiterpene lactone precursors),CYP71BL10; CYP71BL11,
isopentenyladenine nucleotides (iP-type cytokinin nucleotides),CYP735A1; CYP735A2,
jasmonoyl-L-phenylalanine (JA-Phe),CYP94B1,
levopimaradiene,CYP7005C1; CYP7005C3,
p-coumaroylquinate,CYP98A22; CYP98A27; CYP98A35,
p-coumaroylshikimate,CYP98A13v1; CYP98A13v2; CYP98A22; CYP98A27; CYP98A35; CYP98A36; CYP98A44v1,
pinocembrin,CYP93B25,
protopanaxadiol,CYP716S1,
"taxadienyl acetate (taxa-4(20),11(12)-dien-5alpha-yl acetate)",CYP725A1,
