doi,pmid,title,cyps_affected,cyp_names,url
https://doi.org/10.1021/acssynbio.6b00119,27442619,1. ACS Synth Biol. 2016 Dec 16;5(12):1505-1518. doi: 10.1021/acssynbio.6b00119. Epub 2016 Aug 2.,27,CYP719A6; CYP719A7; CYP719A20; CYP719A25; Sca-2; Gfl-3; Cma-4; Sdi-4; Pbr-3; Sca-3; Cma-3; Gfl-2; Ndo-6; Cch-4; Cch-2; Cch-3; Ndo-2; Xsi-2; Hca-1; Xsi-1; Cch-1; Ndo-4; Gfl-1; Sca-1; Sdi-1; Sdi-2; Cma-2,https://doi.org/10.1021/acssynbio.6b00119
https://doi.org/10.1111/tpj.15634,34907610,1. Plant J. 2022 Mar;109(5):1305-1318. doi: 10.1111/tpj.15634. Epub 2021 Dec 27.,12,Sbar CYP82D1; Sbar CYP82D2; Sbai CYP82D4; Sbai CYP82D5; Sbar CYP82D5; Sbai CYP82D6; Sbar CYP82D6; Sbai CYP82D7; Sbar CYP82D7; Sbai CYP82D8; Sbar CYP82D7; Sbar CYP82D9,https://doi.org/10.1111/tpj.15634
https://doi.org/10.1038/s41477-019-0511-z,31527846,1. Nat Plants. 2019 Oct;5(10):1057-1065. doi: 10.1038/s41477-019-0511-z. Epub 2019  Sep 16.,11,CYP72A7; CYP72A13; CYP72A15; CYP72A17; CYP72A24; CYP72A135; CYP72A151; CYP72A262; CYP72A272; CYP72A484; CYP72A485,https://doi.org/10.1038/s41477-019-0511-z
https://doi.org/10.1111/nph.15055,29479714,1. New Phytol. 2018 Jun;218(4):1522-1533. doi: 10.1111/nph.15055. Epub 2018 Feb,8,CYP711A6; CYP711A7; CYP711A8; CYP711A13; CYP711A17v1; CYP711A17v3; CYP711A18; CYP711A19,https://doi.org/10.1111/nph.15055
https://doi.org/10.1007/s00425-015-2293-5,25916309,1. Planta. 2015 Sep;242(3):561-73. doi: 10.1007/s00425-015-2293-5. Epub 2015 Apr,7,CYP75B66; CYP75B67; CYP75B68; CYP75B69; CYP75B70; CYP75B74; GQ479805,https://doi.org/10.1007/s00425-015-2293-5
https://doi.org/10.1007/s11103-006-0012-0,16830174,1. Plant Mol Biol. 2006 Jun;61(3):365-81. doi: 10.1007/s11103-006-0012-0.,7,CYP75B5; CYP75B6; CYP75B15; CYP75B16; CYP75B17; CYP75B18v2; DQ319866,https://doi.org/10.1007/s11103-006-0012-0
https://doi.org/10.1016/j.molp.2022.12.007,36518072,1. Mol Plant. 2023 Mar 6;16(3):517-532. doi: 10.1016/j.molp.2022.12.007. Epub 2022  Dec 13.,7,CYP706V3; CYP706V4; CYP706V6; CYP706V8; CYP706V9; CYP706V15; CYP706V16,https://doi.org/10.1016/j.molp.2022.12.007
https://doi.org/10.1038/nplants.2016.183,27892922,1. Nat Plants. 2016 Nov 28;2:16183. doi: 10.1038/nplants.2016.183.,6,CYP87D18; CYP87D20; Cm890; Cl890A; Cl890B; CYP88L2,https://doi.org/10.1038/nplants.2016.183
https://doi.org/10.1111/nph.16498,32083753,1. New Phytol. 2020 Oct;228(1):269-284. doi: 10.1111/nph.16498. Epub 2020 Mar 27.,6,Mt FBH-1; Mt FBH-2; Mt FBH-4; Mt FBH-5; Ms FBH-4; Ms FBH-10,https://doi.org/10.1111/nph.16498
https://doi.org/10.1038/s41477-020-00787-9,33106639,1. Nat Plants. 2020 Nov;6(11):1375-1388. doi: 10.1038/s41477-020-00787-9. Epub 2020  Oct 26.,5,CYP71Z19; SbCYP71Z19; CYP81A37; CYP81A38; CYP81A39,https://doi.org/10.1038/s41477-020-00787-9
https://doi.org/10.1111/tpj.13247,27337134,1. Plant J. 2016 Oct;88(2):247-256. doi: 10.1111/tpj.13247. Epub 2016 Aug 31.,5,CYP71C113; CYP71L1; CYP71U5; CYP79A8; CYP79A12,https://doi.org/10.1111/tpj.13247
https://doi.org/10.1038/72671,10657130,1. Nat Biotechnol. 2000 Feb;18(2):208-12. doi: 10.1038/72671.,4,CYP93C5; AF195807; AF195811; AF195812,https://doi.org/10.1038/72671
https://doi.org/10.1007/s11103-006-9028-8,17160453,1. Plant Mol Biol. 2007 Jan;63(1):1-19. doi: 10.1007/s11103-006-9028-8. Epub 2006 Nov 25.,3,CYP98A10; CYP98A11; CYP98A12,https://doi.org/10.1007/s11103-006-9028-8
https://doi.org/10.1038/s41589-018-0078-4,29942076,1. Nat Chem Biol. 2018 Aug;14(8):760-763. doi: 10.1038/s41589-018-0078-4. Epub 2018  Jun 25.,3,CYP71AY1; CYP71AY4; CYP71AY5,https://doi.org/10.1038/s41589-018-0078-4
