compound_id,old_label,verified_label,confidence,reason
CMP_G000009,Unclassified,Unclassified,high,wildcard placeholder not real molecule
CMP_G000018,Unclassified,Unclassified,high,allene oxide 3C epoxide too small
CMP_G000024,Unclassified,Unclassified,high,NAD+ cofactor not in 14 classes
CMP_G000029,Unclassified,Unclassified,high,ethyl phenyl sulfide synthetic thioether
CMP_G000034,Unclassified,Unclassified,high,2-methylpentane branched alkane
CMP_G000045,Unclassified,Fatty_acid,high,oleoyl-CoA fatty acyl-CoA LIPID MAPS FA0705
CMP_G000051,Unclassified,Unclassified,high,3-hydroxy-2-naphthoic acid PAH derivative
CMP_G000052,Unclassified,Unclassified,high,2-methylbiphenyl synthetic aromatic
CMP_G000056,Unclassified,Unclassified,high,isobutyraldehyde too small
CMP_G000078,Unclassified,Unclassified,high,propane alkane
CMP_G000079,Unclassified,Unclassified,high,4-propylbenzoic acid synthetic no ArOH
CMP_G000083,Unclassified,Unclassified,high,synthetic pyrrole-alkanoic acid
CMP_G000089,Unclassified,Unclassified,high,hydroxymethylbiphenyl synthetic
CMP_G000090,Unclassified,Unclassified,high,benzo[a]pyrene PAH xenobiotic
CMP_G000096,Unclassified,Fatty_acid,medium,N-palmitoyl phenylalanine C16 fatty acyl amide
CMP_G000097,Unclassified,Unclassified,high,cyclononanone simple cyclic ketone
CMP_G000100,Unclassified,Unclassified,high,pyrene PAH
CMP_G000102,Unclassified,Unclassified,high,1-heptanol simple alcohol
CMP_G000105,Unclassified,Unclassified,high,4-fluorobenzoic acid synthetic
CMP_G000107,Unclassified,Unclassified,high,1-propanol too small
CMP_G000121,Unclassified,Unclassified,high,tetradecane alkane
CMP_G000123,Unclassified,Unclassified,high,methoxyphenylpentanoic acid synthetic
CMP_G000134,Polyketide,Polyketide,high,dehydroprobetaenone I fungal PKS confirmed
CMP_G000137,Unclassified,Unclassified,high,synthetic biphenyl sulfonamide
CMP_G000139,Unclassified,Unclassified,high,nonane alkane
CMP_G000140,Unclassified,Unclassified,high,bromoethylbenzoic acid synthetic
CMP_G000153,Unclassified,Unclassified,high,NAD+ cofactor
CMP_G000156,Unclassified,Unclassified,high,azidosulfonyl benzoate synthetic
CMP_G000163,Unclassified,Unclassified,medium,trimethyldecanone pheromone no class fit
CMP_G000164,Unclassified,Unclassified,high,4-nitrophenol xenobiotic
CMP_G000167,Unclassified,Unclassified,medium,WS9326A cyclodepsipeptide no Peptide class
CMP_G000172,Unclassified,Unclassified,high,fluorophenylpentanoic acid synthetic
CMP_G000175,Unclassified,Unclassified,medium,DKP no evidence of natural alkaloid
CMP_G000196,Unclassified,Unclassified,high,pentachlorobenzene POP xenobiotic
CMP_G000198,Unclassified,Unclassified,high,trifluoromethylstyrene synthetic
