compound_id,prev_label,recheck_label,confidence,agree,reason
CMP_G000657,Fatty_acid,Fatty_acid,high,yes,palmitoleoyl-CoA C16:1 acyl-CoA confirmed
CMP_G000702,Unclassified,Unclassified,high,yes,p-cresol C6-C1 too simple
CMP_G000719,Amino_acid,Amino_acid,high,yes,leucine-derived CYP79D confirmed
CMP_G000801,Phenylpropanoid,Phenylpropanoid,high,yes,dihydroanethole classic phenylpropanoid
CMP_G000803,Fatty_acid,Fatty_acid,high,yes,1-octanol C8 fatty alcohol
CMP_G000831,Unclassified,Unclassified,medium,yes,naphthoate ambiguous keep Unclassified
CMP_G000866,Unclassified,Fatty_acid,medium,no,NPC=Fatty alcohols branched fatty alcohol
CMP_G000885,Fatty_acid,Fatty_acid,high,yes,2-undecanone C11 fatty ketone
CMP_G000932,Unclassified,Fatty_acid,medium,no,NPC=Fatty alcohols branched fatty alcohol
CMP_G000950,Unclassified,Unclassified,high,yes,purine nucleoside no class
CMP_G000971,Fatty_acid,Fatty_acid,high,yes,jasmonoyl-valine oxylipin
CMP_G001038,Unclassified,Fatty_acid,medium,no,NPC=Fatty acyls branched ketone
CMP_G001079,Unclassified,Unclassified,high,yes,decalin bare hydrocarbon
CMP_G001182,Unclassified,Unclassified,medium,yes,cyclopentadecanone ketone not lactone
CMP_G001240,Unclassified,Unclassified,high,yes,cyclosporine A NRP
CMP_G001241,Unclassified,Unclassified,high,yes,cyclosporin A NRP
CMP_G001242,Unclassified,Unclassified,high,yes,cyclosporin NRP
CMP_G001282,Unclassified,Unclassified,high,yes,purine nucleoside
CMP_G001344,Unclassified,Unclassified,medium,yes,prenylated benzoic acid mixed
CMP_G001349,Unclassified,Amino_acid,medium,no,benzoxazinoid indole/tryptophan-derived CYP71C
CMP_G001481,Amino_acid,Amino_acid,high,yes,isoleucine-derived oxime CYP79
CMP_G001482,Amino_acid,Amino_acid,high,yes,isoleucine-derived oxime
CMP_G001483,Amino_acid,Amino_acid,high,yes,isoleucine-derived oxime
CMP_G001484,Amino_acid,Amino_acid,high,yes,isoleucine-derived oxime
CMP_G001546,Unclassified,Unclassified,medium,yes,PikC synthetic probe
CMP_G001552,Unclassified,Amino_acid,medium,no,valine-derived aldoxime CYP79D
CMP_G001553,Unclassified,Amino_acid,medium,no,valine-derived E-aldoxime CYP79
CMP_G001568,Fatty_acid,Fatty_acid,high,yes,JA-Ile oxylipin CYP94
CMP_G001658,Unclassified,Unclassified,high,yes,chlorophenylpentanoic acid xenobiotic
CMP_G001680,Unclassified,Unclassified,medium,yes,methoxyphenylpentanoic acid borderline
CMP_G001808,Amino_acid,Amino_acid,high,yes,morpholinyl-tryptophan single modified AA
CMP_G001849,Polyketide,Unclassified,low,no,plant xanthone mixed shikimate+acetate not purely PKS
CMP_G001961,Phenylpropanoid,Unclassified,low,no,salicylate C6-C1 from isochorismate not PAL
CMP_G002041,Diterpenoid,Diterpenoid,high,yes,atisane diterpenoid C20 NPC confirmed
CMP_G002101,Fatty_acid,Fatty_acid,high,yes,1-hexanol C6 fatty alcohol
