global_compound_id,canonical_name,canonical_smiles,overall_confidence,multilabel_vector,multilabel_reason,evidence_counts,label_confidence,Steroid,Terpenoid,Alkaloid,Amino_acid,Fatty_acid,Phenylpropanoid,Polyketide,Other
CMP_G000005,"A 1,2-Saturated Fatty Acid",*CC(=O)[O-],low,"[0, 0, 0, 0, 1, 0, 0]",Fatty_acid=NPC fatty acyl,"{""Fatty_acid"": 1}","{""Fatty_acid"": ""low""}",0,0,0,0,1,0,0,0
CMP_G000006,"2,3-Saturated Fatty Acid",*CCC(=O)[O-],low,"[0, 0, 0, 0, 1, 0, 0]",Fatty_acid=NPC fatty acyl,"{""Fatty_acid"": 1}","{""Fatty_acid"": ""low""}",0,0,0,0,1,0,0,0
CMP_G000014,An Omega-Methyl-Long-Chain Fatty Acid,C*C(=O)[O-],low,"[0, 0, 0, 0, 1, 0, 0]",Fatty_acid=NPC fatty acyl,"{""Fatty_acid"": 1}","{""Fatty_acid"": ""low""}",0,0,0,0,1,0,0,0
CMP_G000015,An (Omega-1)-Ethyl Fatty Acid,CC*C(=O)[O-],low,"[0, 0, 0, 0, 1, 0, 0]",Fatty_acid=NPC fatty acyl,"{""Fatty_acid"": 1}","{""Fatty_acid"": ""low""}",0,0,0,0,1,0,0,0
CMP_G000049,p-coumaroylagmatine,NC(N)=NCCCCNC(=O)C=Cc1ccc(O)cc1,low,"[0, 0, 0, 1, 0, 1, 0]",Amino_acid=amino-acid derivative + NPC support; Phenylpropanoid=phenylpropanoid/flavonoid/coumarin scaffold,"{""Amino_acid"": 1, ""Phenylpropanoid"": 1}","{""Amino_acid"": ""low"", ""Phenylpropanoid"": ""high""}",0,0,0,1,0,1,0,0
CMP_G000087,andrastin C,COC(=O)[C@@]12C(=O)C(C)=C(O)[C@]1(C)C(C)=C[C@H]1[C@]3(C)CC[C@H](OC(C)=O)C(C)(C)[C@H]3CC[C@@]12C,low,"[1, 0, 0, 0, 0, 0, 1]",Steroid=ClassyFire steroid; Polyketide=NPC polyketide: polyketides,"{""Steroid"": 1, ""Polyketide"": 1}","{""Steroid"": ""low"", ""Polyketide"": ""high""}",1,0,0,0,0,0,1,0
CMP_G000174,11-Hydroxycucurbitadienol,CC(C)=CCC[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC=C4[C@@H](CC[C@H](O)C4(C)C)[C@]3(C)[C@H](O)C[C@]12C,low,"[1, 0, 0, 0, 0, 0, 0]",Steroid=ClassyFire steroid,"{""Steroid"": 1}","{""Steroid"": ""low""}",1,0,0,0,0,0,0,0
CMP_G000202,2-amino-3-(5-hydroxy-1-methylindol-3-yl)propanoic acid,Cn1cc(CC(N)C(=O)O)c2cc(O)ccc21,low,"[0, 0, 1, 1, 0, 0, 0]",Alkaloid=ClassyFire alkaloid + ring N (multi-label with AA); Amino_acid=intact alpha-amino-acid backbone,"{""Alkaloid"": 1, ""Amino_acid"": 1}","{""Alkaloid"": ""low"", ""Amino_acid"": ""high""}",0,0,1,1,0,0,0,0
CMP_G000316,,CC(C)Cc1ccc([C@H](C)C(=O)N[C@@H](Cc2ccccc2)C(=O)O)cc1,low,"[0, 0, 0, 1, 0, 0, 0]",Amino_acid=amino-acid derivative + NPC support,"{""Amino_acid"": 1}","{""Amino_acid"": ""low""}",0,0,0,1,0,0,0,0
CMP_G000364,N-acetyltryptophan,CC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,low,"[0, 0, 0, 1, 0, 0, 0]",Amino_acid=amino-acid derivative + NPC support,"{""Amino_acid"": 1}","{""Amino_acid"": ""low""}",0,0,0,1,0,0,0,0
