global_compound_id,canonical_smiles,inchikey,cf_status,cf_kingdom,cf_superclass,cf_class,cf_subclass,cf_direct_parent
CMP_G000001,*C1CCC2C3CCC4CCCCC4(C)C3CCC12C,,no_inchikey,,,,,
CMP_G000002,*C1CC[C@@]2(C)C3CCC4CCCCC4(C)C3CCC12C,,no_inchikey,,,,,
CMP_G000003,*C1CC[C@@]2(C=O)C3CCC4CCCCC4(C)C3CCC12C,,no_inchikey,,,,,
CMP_G000004,*C1CC[C@@]2(CO)C3CCC4CCCCC4(C)C3CCC12C,,no_inchikey,,,,,
CMP_G000005,*CC(=O)[O-],,no_inchikey,,,,,
CMP_G000006,*CCC(=O)[O-],,no_inchikey,,,,,
CMP_G000007,*[C@H](NC(=O)CC1CCC(=O)C1C/C=C\CC)C(=O)[O-],,no_inchikey,,,,,
CMP_G000008,*[C@H](NC(=O)CC1CCC(=O)C1C/C=C\CCO)C(=O)[O-],,no_inchikey,,,,,
CMP_G000009,*[H],,no_inchikey,,,,,
CMP_G000010,*c1c(*)c(*)c(C2Oc3c(*)c(*)c(*)c(*)c3C(=O)C2*)c(*)c1*,,no_inchikey,,,,,
CMP_G000011,*c1cc(*)c(-c2oc3c(*)c(*)c(*)c(*)c3c(=O)c2*)c(*)c1*,,no_inchikey,,,,,
CMP_G000012,*c1cc(*)c(C2(*)Oc3c(*)c(*)c(*)c(*)c3C(=O)C2(*)*)c(*)c1,,no_inchikey,,,,,
CMP_G000013,*c1cc(-c2c(*)oc3c(*)c(*)c(*)c(*)c3c2=O)c(*)c(*)c1*,,no_inchikey,,,,,
CMP_G000014,C*C(=O)[O-],,no_inchikey,,,,,
CMP_G000015,CC*C(=O)[O-],,no_inchikey,,,,,
CMP_G000016,CC12CCC(CC1=S)C2(C)C,AAADKYXUTOBAGS-UHFFFAOYSA-N,found,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,Bicyclic monoterpenoids
CMP_G000017,CC1(C)[C@@H]2CC[C@@]1(C)C(=S)C2,AAADKYXUTOBAGS-XCBNKYQSSA-N,found,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,Bicyclic monoterpenoids
CMP_G000018,C=C1CO1,AAEZMHSWRQVQEK-UHFFFAOYSA-N,found,Organic compounds,Organoheterocyclic compounds,Epoxides,,Epoxides
CMP_G000019,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,AAKJLRGGTJKAMG-UHFFFAOYSA-N,found,Organic compounds,Organoheterocyclic compounds,Diazanaphthalenes,Benzodiazines,Quinazolinamines
CMP_G000020,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC[C@]1(C)[C@H](C)CCC(=C(C)C)[C@H]1CCCO,AARUWLXSIZJQDK-OPEBEUCHSA-N,found,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Sesterterpenoids,Sesterterpenoids
CMP_G000021,COc1oc(CCC(C)=CC(C)=Cc2ccc(I)cc2)c(C)c(=O)c1C,ABKYWKNIDMAZGJ-UHFFFAOYSA-N,not_found,,,,,
CMP_G000022,Cc1c(CC(N)C(=O)O)c2c(F)cccc2n1C,ABVSKMHTJOBIEN-UHFFFAOYSA-N,not_found,,,,,
CMP_G000023,CC(C)C1CC1c1ccccc1,ACABZBGQXFLDAB-UHFFFAOYSA-N,found,Organic compounds,Benzenoids,Benzene and substituted derivatives,,Benzene and substituted derivatives
CMP_G000024,N=C(O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,ACFIXJIJDZMPPO-NNYOXOHSSA-N,found,Organic compounds,"Nucleosides, nucleotides, and analogues",(5'->5')-dinucleotides,,(5'->5')-dinucleotides
CMP_G000025,Cc1[nH]c2ccc(Cl)cc2c1CC(N)C=O,ACYWZZDQWJSAQE-UHFFFAOYSA-N,not_found,,,,,
CMP_G000026,C=C(C)[C@@H]1CC[C@H](C)C2=C(C1)[C@@H](C)CC2,ADIDQIZBYUABQK-RWMBFGLXSA-N,found,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,Sesquiterpenoids
CMP_G000027,NC(Cc1c[nH]c2c(F)cccc12)C(=O)O,ADMHYWIKJSPIGJ-UHFFFAOYSA-N,error,,,,,
CMP_G000028,N[C@@H](Cc1c[nH]c2c(F)cccc12)C(=O)O,ADMHYWIKJSPIGJ-VIFPVBQESA-N,error,,,,,
CMP_G000029,CCSc1ccccc1,AEHWKBXBXYNPCX-UHFFFAOYSA-N,error,,,,,
