substrate_idx,cid,in_any_split,pubchem_conformer_count_3d,pubchem_isomeric_smiles,pubchem_inchikey,pubchem_heavy_atoms,pubchem_rotatable_bonds,inchikey_match
0,,1,,,,,,
1,,1,,,,,,
2,,1,,,,,,
3,,1,,,,,,
4,,1,,,,,,
5,,1,,,,,,
6,,1,,,,,,
7,,1,,,,,,
8,,0,,,,,,
9,,0,,,,,,
10,,0,,,,,,
11,,0,,,,,,
12,,1,,,,,,
13,,1,,,,,,
14,,0,,,,,,
15,5446,1,2,,AAADKYXUTOBAGS-UHFFFAOYSA-N,11,0,1
16,1714210,1,1,,AAADKYXUTOBAGS-XCBNKYQSSA-N,11,0,1
17,3029326,1,1,,AAEZMHSWRQVQEK-UHFFFAOYSA-N,4,0,1
18,176870,1,10,,AAKJLRGGTJKAMG-UHFFFAOYSA-N,29,11,1
19,25000661,1,10,,AARUWLXSIZJQDK-OPEBEUCHSA-N,31,12,1
20,75251260,1,10,,ABKYWKNIDMAZGJ-UHFFFAOYSA-N,26,6,1
21,122499537,1,10,,ABVSKMHTJOBIEN-UHFFFAOYSA-N,18,3,1
22,12560038,1,8,,ACABZBGQXFLDAB-UHFFFAOYSA-N,12,2,1
23,5884,1,10,,ACFIXJIJDZMPPO-NNYOXOHSSA-N,48,13,1
24,,1,,,,,,
25,5317844,1,7,,ADIDQIZBYUABQK-RWMBFGLXSA-N,15,1,1
26,9920885,1,10,,ADMHYWIKJSPIGJ-UHFFFAOYSA-N,16,3,1
27,15930148,1,10,,ADMHYWIKJSPIGJ-VIFPVBQESA-N,16,3,1
28,12144,1,9,,AEHWKBXBXYNPCX-UHFFFAOYSA-N,9,2,1
29,6128,1,1,,AEMFNILZOJDQLW-QAGGRKNESA-N,21,0,1
30,2193,1,10,,AEMFNILZOJDQLW-UHFFFAOYSA-N,21,0,1
31,11595293,1,10,,AESQHTDNFNVECX-OQLLNIDSSA-N,25,6,1
32,443356,1,3,,AEXBRBWRPNGGEZ-FKBYEOEOSA-N,27,4,1
33,7892,1,2,,AFABGHUZZDYHJO-UHFFFAOYSA-N,6,2,1
34,699414,1,2,,AFDXODALSZRGIH-QPJJXVBHSA-N,13,3,1
35,129011069,1,1,,AFTUEXSGQQDJKS-GLOHGQAKSA-N,22,1,1
36,,1,,,,,,
37,60150139,1,10,,AGMPGRYRWNVPEQ-BJTDMJNKSA-N,41,7,1
38,6306,1,10,,AGPKZVBTJJNPAG-WHFBIAKZSA-N,9,3,1
39,5312529,1,10,,AHANXAKGNAKFSK-PDBXOOCHSA-N,22,15,1
40,73988996,1,10,,AHANXAKGNAKFSK-UHFFFAOYSA-M,22,14,1
41,6262,1,10,,AHLPHDHHMVZTML-BYPYZUCNSA-N,9,4,1
42,85729959,1,10,,AIAJTWFRHSKNDS-UHFFFAOYSA-N,15,8,1
43,122499652,1,10,,AIBJDIHSMRRLHO-UHFFFAOYSA-N,19,4,1
44,137350211,1,0,,AINKKKUPSQZPIP-FRSJXWKWSA-N,41,27,1
45,3593,1,10,,AIONOLUJZLIMTK-UHFFFAOYSA-N,22,2,1
46,64715,1,10,,AJLFOPYRIVGYMJ-INTXDZFKSA-N,28,7,1
47,103584,1,10,,AKFIXTAIQHJWAU-UHFFFAOYSA-N,15,3,1
48,440362,1,10,,AKIHYQWCLCDMMI-UHFFFAOYSA-N,20,7,1
49,,1,,,,,,
50,7104,1,3,,ALKYHXVLJMQRLQ-UHFFFAOYSA-N,14,1,1
51,12563,1,1,,ALLIZEAXNXSFGD-UHFFFAOYSA-N,13,1,1
52,485077,1,2,,ALZAZMCIBRHMFF-UHFFFAOYSA-N,26,2,1
53,10548420,1,10,,AMBQHHVBBHTQBF-OZIIXKNCSA-N,27,5,1
54,87691,1,10,,AMBQHHVBBHTQBF-UOUCRYGSSA-N,27,5,1
55,6561,1,3,,AMIMRNSIRUDHCM-UHFFFAOYSA-N,5,1,1
56,68072,1,3,,AMKYESDOVDKZKV-UHFFFAOYSA-N,12,1,1
57,,1,,,,,,
58,129669148,1,0,,ANNWHZVJHRKQKH-AUCPOXKISA-N,43,15,1
59,4369188,1,10,,ANVAOWXLWRTKGA-JLTXGRSLSA-N,40,10,1
60,6419725,1,10,,ANVAOWXLWRTKGA-NTXLUARGSA-N,40,10,1
61,17756746,1,10,,AOVGFTJYESGAEA-NKLFQLIUSA-N,26,4,1
62,,1,,,,,,
63,443486,1,6,,APIZAZFFQBVSJA-ZJDLJICXSA-N,24,2,1
64,1150,1,5,,APJYDQYYACXCRM-UHFFFAOYSA-N,12,2,1
65,141180300,1,10,,APYVEUGLZHAHDJ-SQXURCFHSA-N,29,5,1
66,3080603,1,6,,APYVEUGLZHAHDJ-TVRYRFOISA-N,29,5,1
67,5118590,1,0,,APYVEUGLZHAHDJ-UHFFFAOYSA-N,29,5,1
68,,1,,,,,,
69,71664575,1,10,,ARTBSYNHBBHIBV-HSYQSNAQSA-N,28,6,1
70,119394,1,7,,ARYTXMNEANMLMU-ATEDBJNTSA-N,29,5,1
71,612090,1,0,,ARYTXMNEANMLMU-UHFFFAOYSA-N,29,5,1
72,15408556,1,10,,ASMBUJRMSWTSLE-JTQLQIEISA-N,17,4,1
73,352941,1,10,,ASMBUJRMSWTSLE-UHFFFAOYSA-N,17,4,1
74,443471,1,3,,ASPVQUYRFYUDSC-CMKODMSKSA-N,20,1,1
75,10587733,1,6,,ATMUYWZMPLKPEJ-XLMAVXFVSA-N,19,5,1
76,86289488,1,4,,ATQOOBSXQVRQPY-GNVJSZRZSA-N,21,1,1
77,6334,1,1,,ATUOYWHBWRKTHZ-UHFFFAOYSA-N,3,0,1
78,137601,1,4,,ATZHGRNFEFVDDJ-UHFFFAOYSA-N,12,3,1
79,5280491,1,9,,AUOFTPXWUVYOOQ-VJBMQPMPSA-N,26,4,1
80,92786,1,2,,AURFZBICLPNKBZ-SYBPFIFISA-N,23,1,1
81,11382599,1,2,,AUVZFRDLRJQTQF-KXEYLTKFSA-N,26,3,1
82,10103530,1,10,,AVEVRCSCWPFBMP-UHFFFAOYSA-N,12,5,1
83,86289177,1,10,,AVKOENOBFIYBSA-WMPRHZDHSA-M,24,14,1
84,6441454,1,10,,AVKOENOBFIYBSA-WMPRHZDHSA-N,24,15,1
85,439577,1,10,,AVSXSVCZWQODGV-DPAQBDIFSA-N,28,4,1
86,9982260,1,3,,AWMJEDMVXAOTQZ-QUQNHZJXSA-N,34,4,1
