epoch,timestamp,lr,grad_norm,train_loss,val_loss,val_auc,val_aupr,val_auc_0,val_auc_1,val_auc_2,val_auc_3,val_auc_4,val_auc_5,val_auc_6,val_aupr_0,val_aupr_1,val_aupr_2,val_aupr_3,val_aupr_4,val_aupr_5,val_aupr_6
0,2026-03-26 00:54:55,5.00e-06,1.7162,0.545771,0.434309,0.455820,0.080054,0.455820,,,,,,,0.080054,,,,,,
1,2026-03-26 00:56:20,4.19e-05,0.3719,0.306713,0.306526,0.482869,0.084088,0.482869,,,,,,,0.084088,,,,,,
2,2026-03-26 00:57:41,7.87e-05,0.2455,0.305217,0.304324,0.513753,0.092195,0.513753,,,,,,,0.092195,,,,,,
3,2026-03-26 00:59:09,1.16e-04,0.2657,0.312735,0.303373,0.545198,0.102086,0.545198,,,,,,,0.102086,,,,,,
4,2026-03-26 01:00:19,1.52e-04,0.2719,0.305646,0.303230,0.566322,0.107724,0.566322,,,,,,,0.107724,,,,,,
5,2026-03-26 01:01:40,1.89e-04,0.3049,0.291804,0.302237,0.571000,0.113782,0.571000,,,,,,,0.113782,,,,,,
6,2026-03-26 01:03:06,2.26e-04,0.3117,0.302053,0.306506,0.586333,0.119963,0.586333,,,,,,,0.119963,,,,,,
7,2026-03-26 01:04:21,2.63e-04,0.3848,0.308848,0.304129,0.582952,0.116569,0.582952,,,,,,,0.116569,,,,,,
8,2026-03-26 01:05:35,3.00e-04,0.3791,0.299431,0.303009,0.588733,0.120388,0.588733,,,,,,,0.120388,,,,,,
9,2026-03-26 01:06:48,3.00e-04,0.3510,0.300363,0.307434,0.597347,0.128491,0.597347,,,,,,,0.128491,,,,,,
10,2026-03-26 01:08:05,3.00e-04,0.3940,0.292084,0.297917,0.634088,0.196038,0.634088,,,,,,,0.196038,,,,,,
11,2026-03-26 01:09:33,3.00e-04,0.4028,0.270894,0.292913,0.654512,0.211915,0.654512,,,,,,,0.211915,,,,,,
12,2026-03-26 01:10:38,3.00e-04,0.3914,0.275353,0.291785,0.662221,0.215512,0.662221,,,,,,,0.215512,,,,,,
13,2026-03-26 01:11:40,3.00e-04,0.3903,0.274497,0.293897,0.652706,0.207271,0.652706,,,,,,,0.207271,,,,,,
14,2026-03-26 01:12:48,3.00e-04,0.4152,0.271196,0.289878,0.664104,0.219251,0.664104,,,,,,,0.219251,,,,,,
15,2026-03-26 01:14:00,3.00e-04,0.4109,0.261132,0.291930,0.666555,0.219542,0.666555,,,,,,,0.219542,,,,,,
16,2026-03-26 01:14:59,3.00e-04,0.4468,0.251265,0.291004,0.671827,0.221757,0.671827,,,,,,,0.221757,,,,,,
17,2026-03-26 01:16:05,3.00e-04,0.4750,0.267293,0.288302,0.677457,0.230784,0.677457,,,,,,,0.230784,,,,,,
18,2026-03-26 01:17:19,3.00e-04,0.4589,0.238858,0.295046,0.679232,0.228970,0.679232,,,,,,,0.228970,,,,,,
19,2026-03-26 01:18:26,3.00e-04,0.4589,0.232984,0.295048,0.688971,0.228291,0.688971,,,,,,,0.228291,,,,,,
20,2026-03-26 01:19:26,3.00e-04,0.5295,0.247035,0.303482,0.661485,0.217742,0.661485,,,,,,,0.217742,,,,,,
21,2026-03-26 01:20:30,3.00e-04,inf,0.244856,0.299204,0.681183,0.232856,0.681183,,,,,,,0.232856,,,,,,
22,2026-03-26 01:21:36,3.00e-04,0.5326,0.250399,0.301906,0.670554,0.222602,0.670554,,,,,,,0.222602,,,,,,
23,2026-03-26 01:22:42,3.00e-04,0.5291,0.231348,0.291281,0.691810,0.244377,0.691810,,,,,,,0.244377,,,,,,
24,2026-03-26 01:23:54,3.00e-04,0.5686,0.231232,0.296602,0.686281,0.246259,0.686281,,,,,,,0.246259,,,,,,
25,2026-03-26 01:24:59,3.00e-04,0.5693,0.236249,0.311548,0.695238,0.241351,0.695238,,,,,,,0.241351,,,,,,
26,2026-03-26 01:26:04,3.00e-04,0.5536,0.219821,0.302855,0.694815,0.243120,0.694815,,,,,,,0.243120,,,,,,
27,2026-03-26 01:27:11,3.00e-04,0.6138,0.219760,0.302599,0.686040,0.239106,0.686040,,,,,,,0.239106,,,,,,
28,2026-03-26 01:28:31,3.00e-04,inf,0.225817,0.320641,0.698177,0.257880,0.698177,,,,,,,0.257880,,,,,,
29,2026-03-26 01:29:31,3.00e-04,0.6434,0.209409,0.313535,0.702048,0.241697,0.702048,,,,,,,0.241697,,,,,,
30,2026-03-26 01:30:30,3.00e-04,0.7077,0.207810,0.309703,0.704449,0.250937,0.704449,,,,,,,0.250937,,,,,,
31,2026-03-26 01:31:38,3.00e-04,0.7608,0.205516,0.318614,0.697209,0.240442,0.697209,,,,,,,0.240442,,,,,,
32,2026-03-26 01:32:49,3.00e-04,0.7539,0.204167,0.331660,0.709050,0.248458,0.709050,,,,,,,0.248458,,,,,,
33,2026-03-26 01:33:52,3.00e-04,0.7945,0.201219,0.326243,0.700388,0.243864,0.700388,,,,,,,0.243864,,,,,,
34,2026-03-26 01:34:54,3.00e-04,0.7665,0.184122,0.337249,0.718912,0.269835,0.718912,,,,,,,0.269835,,,,,,
35,2026-03-26 01:35:56,3.00e-04,0.8383,0.187127,0.348052,0.714162,0.263441,0.714162,,,,,,,0.263441,,,,,,
36,2026-03-26 01:37:08,3.00e-04,0.9220,0.178557,0.339299,0.704804,0.254561,0.704804,,,,,,,0.254561,,,,,,
37,2026-03-26 01:38:09,3.00e-04,0.8590,0.179891,0.325907,0.729500,0.292861,0.729500,,,,,,,0.292861,,,,,,
38,2026-03-26 01:39:13,3.00e-04,0.8537,0.163443,0.373009,0.725819,0.281972,0.725819,,,,,,,0.281972,,,,,,
39,2026-03-26 01:40:25,3.00e-04,0.9333,0.170111,0.349548,0.728846,0.290272,0.728846,,,,,,,0.290272,,,,,,
40,2026-03-26 01:41:27,3.00e-04,0.9944,0.157590,0.356587,0.723861,0.282093,0.723861,,,,,,,0.282093,,,,,,
41,2026-03-26 01:42:26,3.00e-04,0.9493,0.152779,0.370796,0.726856,0.271939,0.726856,,,,,,,0.271939,,,,,,
42,2026-03-26 01:43:32,3.00e-04,1.0539,0.148412,0.373648,0.727683,0.269736,0.727683,,,,,,,0.269736,,,,,,
43,2026-03-26 01:44:38,3.00e-04,1.0783,0.148616,0.371417,0.736919,0.287300,0.736919,,,,,,,0.287300,,,,,,
44,2026-03-26 01:45:52,3.00e-04,0.9991,0.150340,0.388430,0.735731,0.283976,0.735731,,,,,,,0.283976,,,,,,
45,2026-03-26 01:46:52,3.00e-04,0.9702,0.136006,0.407827,0.732315,0.295170,0.732315,,,,,,,0.295170,,,,,,
46,2026-03-26 01:47:55,3.00e-04,1.2017,0.128090,0.389482,0.729923,0.285956,0.729923,,,,,,,0.285956,,,,,,
47,2026-03-26 01:49:01,3.00e-04,inf,0.129303,0.439833,0.715445,0.257397,0.715445,,,,,,,0.257397,,,,,,
48,2026-03-26 01:50:02,3.00e-04,inf,0.119471,0.417511,0.731948,0.295001,0.731948,,,,,,,0.295001,,,,,,
49,2026-03-26 01:51:04,3.00e-04,1.1072,0.107160,0.411886,0.736519,0.290300,0.736519,,,,,,,0.290300,,,,,,
50,2026-03-26 02:03:36,3.00e-04,inf,0.101474,0.457911,0.732514,0.286152,0.732514,,,,,,,0.286152,,,,,,
51,2026-03-26 02:05:04,3.00e-04,1.3374,0.108717,0.435556,0.731940,0.283696,0.731940,,,,,,,0.283696,,,,,,
52,2026-03-26 02:06:25,3.00e-04,1.1596,0.097294,0.485225,0.730155,0.286101,0.730155,,,,,,,0.286101,,,,,,
53,2026-03-26 02:07:43,3.00e-04,1.3184,0.104692,0.474601,0.731153,0.289458,0.731153,,,,,,,0.289458,,,,,,
54,2026-03-26 02:08:55,3.00e-04,1.2907,0.090663,0.487087,0.729301,0.282095,0.729301,,,,,,,0.282095,,,,,,
55,2026-03-26 02:10:15,3.00e-04,1.3504,0.090462,0.466411,0.733704,0.279701,0.733704,,,,,,,0.279701,,,,,,
56,2026-03-26 02:11:27,3.00e-04,1.2307,0.084640,0.483759,0.732092,0.286334,0.732092,,,,,,,0.286334,,,,,,
57,2026-03-26 02:12:34,3.00e-04,1.2042,0.082618,0.502382,0.739196,0.295366,0.739196,,,,,,,0.295366,,,,,,
58,2026-03-26 02:13:40,3.00e-04,1.3543,0.085756,0.535494,0.732553,0.294872,0.732553,,,,,,,0.294872,,,,,,
59,2026-03-26 02:14:49,3.00e-04,1.2269,0.067623,0.561947,0.742552,0.290872,0.742552,,,,,,,0.290872,,,,,,
60,2026-03-26 02:15:57,3.00e-04,1.2596,0.075669,0.576462,0.738882,0.287069,0.738882,,,,,,,0.287069,,,,,,
61,2026-03-26 02:17:03,3.00e-04,1.2650,0.066265,0.567925,0.736253,0.301730,0.736253,,,,,,,0.301730,,,,,,
62,2026-03-26 02:18:14,3.00e-04,1.4779,0.069855,0.623782,0.741379,0.303795,0.741379,,,,,,,0.303795,,,,,,
63,2026-03-26 02:19:31,3.00e-04,1.3387,0.071077,0.554338,0.746587,0.311594,0.746587,,,,,,,0.311594,,,,,,
64,2026-03-26 02:20:47,3.00e-04,1.3868,0.066052,0.574148,0.747655,0.301438,0.747655,,,,,,,0.301438,,,,,,
65,2026-03-26 02:21:56,3.00e-04,1.1743,0.048516,0.589927,0.742239,0.301248,0.742239,,,,,,,0.301248,,,,,,
66,2026-03-26 02:23:00,3.00e-04,1.2862,0.053143,0.619724,0.745181,0.307685,0.745181,,,,,,,0.307685,,,,,,
67,2026-03-26 02:24:26,3.00e-04,1.1474,0.048795,0.640207,0.740864,0.288148,0.740864,,,,,,,0.288148,,,,,,
68,2026-03-26 02:25:41,3.00e-04,1.2097,0.048174,0.695294,0.744208,0.302597,0.744208,,,,,,,0.302597,,,,,,
69,2026-03-26 02:26:57,3.00e-04,1.2360,0.047046,0.647073,0.729700,0.283056,0.729700,,,,,,,0.283056,,,,,,
70,2026-03-26 02:28:15,3.00e-04,1.1995,0.041046,0.654414,0.745005,0.309524,0.745005,,,,,,,0.309524,,,,,,
71,2026-03-26 02:29:45,3.00e-04,1.1529,0.041384,0.720130,0.741637,0.307749,0.741637,,,,,,,0.307749,,,,,,
72,2026-03-26 02:30:53,3.00e-04,1.4027,0.043374,0.678449,0.734194,0.284409,0.734194,,,,,,,0.284409,,,,,,
73,2026-03-26 02:32:14,3.00e-04,1.2855,0.040984,0.677548,0.754351,0.316644,0.754351,,,,,,,0.316644,,,,,,
74,2026-03-26 02:33:23,3.00e-04,1.2412,0.043567,0.682765,0.752935,0.317709,0.752935,,,,,,,0.317709,,,,,,
75,2026-03-26 02:34:52,3.00e-04,1.1444,0.036557,0.738761,0.745006,0.308137,0.745006,,,,,,,0.308137,,,,,,
76,2026-03-26 02:36:01,3.00e-04,1.6606,0.057992,0.685402,0.739508,0.296902,0.739508,,,,,,,0.296902,,,,,,
77,2026-03-26 02:37:24,3.00e-04,1.1949,0.036220,0.723727,0.750039,0.316335,0.750039,,,,,,,0.316335,,,,,,
78,2026-03-26 02:38:46,3.00e-04,1.3425,0.037487,0.728116,0.746707,0.304493,0.746707,,,,,,,0.304493,,,,,,
79,2026-03-26 02:39:49,3.00e-04,0.9382,0.024071,0.744340,0.750646,0.315960,0.750646,,,,,,,0.315960,,,,,,
80,2026-03-26 02:41:00,3.00e-04,1.0652,0.025567,0.800205,0.743152,0.305483,0.743152,,,,,,,0.305483,,,,,,
81,2026-03-26 02:42:14,3.00e-04,1.1770,0.033248,0.823341,0.738976,0.306934,0.738976,,,,,,,0.306934,,,,,,
82,2026-03-26 02:43:15,3.00e-04,1.1574,0.027501,0.773759,0.741635,0.304592,0.741635,,,,,,,0.304592,,,,,,
83,2026-03-26 02:44:15,3.00e-04,1.2712,0.037918,0.768811,0.747132,0.321023,0.747132,,,,,,,0.321023,,,,,,
84,2026-03-26 02:45:26,3.00e-04,1.2073,0.030473,0.806148,0.742924,0.314206,0.742924,,,,,,,0.314206,,,,,,
85,2026-03-26 02:46:35,3.00e-04,1.4427,0.038815,0.803433,0.743478,0.306575,0.743478,,,,,,,0.306575,,,,,,
86,2026-03-26 02:47:40,3.00e-04,1.2558,0.033791,0.762150,0.748942,0.316871,0.748942,,,,,,,0.316871,,,,,,
87,2026-03-26 02:48:58,3.00e-04,1.0717,0.023767,0.825465,0.744891,0.307197,0.744891,,,,,,,0.307197,,,,,,
88,2026-03-26 02:50:13,3.00e-04,0.9785,0.019155,0.797064,0.751624,0.314836,0.751624,,,,,,,0.314836,,,,,,
