epoch,timestamp,lr,grad_norm,train_loss,val_loss,val_auc,val_aupr,val_auc_0,val_auc_1,val_auc_2,val_auc_3,val_auc_4,val_auc_5,val_auc_6,val_aupr_0,val_aupr_1,val_aupr_2,val_aupr_3,val_aupr_4,val_aupr_5,val_aupr_6
0,2026-03-31 20:40:37,5.00e-06,1.7518,0.527342,0.408368,0.458266,0.079913,0.458266,,,,,,,0.079913,,,,,,
1,2026-03-31 20:42:15,4.19e-05,0.2904,0.317239,0.307489,0.499928,0.086996,0.499928,,,,,,,0.086996,,,,,,
2,2026-03-31 20:43:57,7.87e-05,0.2611,0.296186,0.306448,0.519826,0.093017,0.519826,,,,,,,0.093017,,,,,,
3,2026-03-31 20:45:23,1.16e-04,0.2508,0.316983,0.307805,0.559477,0.107721,0.559477,,,,,,,0.107721,,,,,,
4,2026-03-31 20:46:49,1.52e-04,0.2629,0.308393,0.304626,0.577699,0.113131,0.577699,,,,,,,0.113131,,,,,,
5,2026-03-31 20:48:14,1.89e-04,0.2843,0.292121,0.305214,0.581437,0.114779,0.581437,,,,,,,0.114779,,,,,,
6,2026-03-31 20:49:40,2.26e-04,0.3337,0.305526,0.304412,0.590515,0.120405,0.590515,,,,,,,0.120405,,,,,,
7,2026-03-31 20:51:07,2.63e-04,0.2860,0.291299,0.302310,0.596545,0.126835,0.596545,,,,,,,0.126835,,,,,,
8,2026-03-31 20:52:31,3.00e-04,0.3216,0.305502,0.306066,0.604354,0.141192,0.604354,,,,,,,0.141192,,,,,,
9,2026-03-31 20:53:55,3.00e-04,0.3473,0.293003,0.293886,0.650114,0.206860,0.650114,,,,,,,0.206860,,,,,,
10,2026-03-31 20:55:17,3.00e-04,0.3687,0.275830,0.291631,0.660142,0.216493,0.660142,,,,,,,0.216493,,,,,,
11,2026-03-31 20:56:38,3.00e-04,0.3734,0.268526,0.293101,0.656754,0.211446,0.656754,,,,,,,0.211446,,,,,,
12,2026-03-31 20:58:00,3.00e-04,0.3490,0.261776,0.296000,0.666706,0.216763,0.666706,,,,,,,0.216763,,,,,,
13,2026-03-31 20:59:21,3.00e-04,0.3834,0.261149,0.296391,0.665413,0.224995,0.665413,,,,,,,0.224995,,,,,,
14,2026-03-31 21:00:46,3.00e-04,0.3781,0.260252,0.291258,0.673050,0.230106,0.673050,,,,,,,0.230106,,,,,,
15,2026-03-31 21:02:13,3.00e-04,0.4338,0.258578,0.297585,0.677786,0.235109,0.677786,,,,,,,0.235109,,,,,,
16,2026-03-31 21:03:46,3.00e-04,0.4328,0.251765,0.297746,0.687492,0.233386,0.687492,,,,,,,0.233386,,,,,,
17,2026-03-31 21:05:10,3.00e-04,0.4547,0.239821,0.293543,0.685177,0.243170,0.685177,,,,,,,0.243170,,,,,,
18,2026-03-31 21:06:36,3.00e-04,0.5302,0.249995,0.298945,0.688475,0.240917,0.688475,,,,,,,0.240917,,,,,,
19,2026-03-31 21:08:05,3.00e-04,0.5265,0.241253,0.302912,0.687851,0.236211,0.687851,,,,,,,0.236211,,,,,,
20,2026-03-31 21:09:31,3.00e-04,inf,0.233681,0.299473,0.702558,0.259976,0.702558,,,,,,,0.259976,,,,,,
21,2026-03-31 21:10:59,3.00e-04,0.6158,0.227695,0.316067,0.695998,0.242497,0.695998,,,,,,,0.242497,,,,,,
22,2026-03-31 21:12:33,3.00e-04,0.5899,0.229963,0.285292,0.713602,0.262450,0.713602,,,,,,,0.262450,,,,,,
23,2026-03-31 21:13:55,3.00e-04,0.6064,0.212247,0.289798,0.722286,0.268667,0.722286,,,,,,,0.268667,,,,,,
24,2026-03-31 21:15:20,3.00e-04,0.6676,0.224453,0.309435,0.713223,0.266402,0.713223,,,,,,,0.266402,,,,,,
25,2026-03-31 21:16:51,3.00e-04,0.6782,0.200738,0.312985,0.704226,0.242442,0.704226,,,,,,,0.242442,,,,,,
26,2026-03-31 21:18:18,3.00e-04,0.7019,0.187056,0.295295,0.725401,0.265589,0.725401,,,,,,,0.265589,,,,,,
27,2026-03-31 21:19:44,3.00e-04,0.7636,0.206153,0.300743,0.739758,0.290561,0.739758,,,,,,,0.290561,,,,,,
28,2026-03-31 21:21:15,3.00e-04,0.7787,0.189088,0.322062,0.727131,0.269488,0.727131,,,,,,,0.269488,,,,,,
29,2026-03-31 21:22:45,3.00e-04,inf,0.197511,0.327638,0.725729,0.271516,0.725729,,,,,,,0.271516,,,,,,
30,2026-03-31 21:24:16,3.00e-04,0.8341,0.181244,0.334491,0.731288,0.278881,0.731288,,,,,,,0.278881,,,,,,
31,2026-03-31 21:25:47,3.00e-04,0.8935,0.185683,0.326524,0.741021,0.278939,0.741021,,,,,,,0.278939,,,,,,
32,2026-03-31 21:27:23,3.00e-04,0.8750,0.181871,0.312828,0.749176,0.297523,0.749176,,,,,,,0.297523,,,,,,
33,2026-03-31 21:28:49,3.00e-04,0.9648,0.174139,0.342907,0.736622,0.270048,0.736622,,,,,,,0.270048,,,,,,
34,2026-03-31 21:30:14,3.00e-04,1.0062,0.163617,0.343262,0.746352,0.290597,0.746352,,,,,,,0.290597,,,,,,
35,2026-03-31 21:31:46,3.00e-04,1.0530,0.156478,0.331914,0.752649,0.287127,0.752649,,,,,,,0.287127,,,,,,
36,2026-03-31 21:33:09,3.00e-04,1.1188,0.140679,0.356295,0.747716,0.291342,0.747716,,,,,,,0.291342,,,,,,
37,2026-03-31 21:34:35,3.00e-04,1.0589,0.146913,0.330689,0.761041,0.325586,0.761041,,,,,,,0.325586,,,,,,
38,2026-03-31 21:36:00,3.00e-04,1.0657,0.136178,0.372241,0.748114,0.291797,0.748114,,,,,,,0.291797,,,,,,
39,2026-03-31 21:37:28,3.00e-04,inf,0.137717,0.371637,0.758408,0.320387,0.758408,,,,,,,0.320387,,,,,,
40,2026-03-31 21:39:02,3.00e-04,1.1682,0.133211,0.353450,0.763498,0.326363,0.763498,,,,,,,0.326363,,,,,,
41,2026-03-31 21:40:28,3.00e-04,inf,0.132807,0.370760,0.758893,0.301705,0.758893,,,,,,,0.301705,,,,,,
42,2026-03-31 21:41:56,3.00e-04,1.2474,0.125511,0.386103,0.757789,0.313625,0.757789,,,,,,,0.313625,,,,,,
43,2026-03-31 21:43:19,3.00e-04,1.2120,0.115672,0.392591,0.761353,0.321832,0.761353,,,,,,,0.321832,,,,,,
