epoch,timestamp,lr,grad_norm,train_loss,val_loss,val_auc,val_aupr,val_auc_0,val_auc_1,val_auc_2,val_auc_3,val_auc_4,val_auc_5,val_auc_6,val_aupr_0,val_aupr_1,val_aupr_2,val_aupr_3,val_aupr_4,val_aupr_5,val_aupr_6
0,2026-04-02 17:12:39,5.00e-06,1.7521,0.263723,0.406121,0.458230,0.079890,0.458230,,,,,,,0.079890,,,,,,
1,2026-04-02 17:15:03,3.79e-05,0.2945,0.159785,0.303937,0.497614,0.086520,0.497614,,,,,,,0.086520,,,,,,
2,2026-04-02 17:17:27,7.08e-05,0.2551,0.154273,0.302146,0.518333,0.092240,0.518333,,,,,,,0.092240,,,,,,
3,2026-04-02 17:19:51,1.04e-04,0.2445,0.153393,0.303356,0.556272,0.106670,0.556272,,,,,,,0.106670,,,,,,
4,2026-04-02 17:22:14,1.37e-04,0.2564,0.153542,0.299682,0.576200,0.112954,0.576200,,,,,,,0.112954,,,,,,
5,2026-04-02 17:24:39,1.70e-04,0.2746,0.149520,0.299137,0.582195,0.115311,0.582195,,,,,,,0.115311,,,,,,
6,2026-04-02 17:27:02,2.03e-04,0.3409,0.153157,0.299725,0.580689,0.115900,0.580689,,,,,,,0.115900,,,,,,
7,2026-04-02 17:29:26,2.35e-04,0.2802,0.147873,0.298911,0.598148,0.126410,0.598148,,,,,,,0.126410,,,,,,
8,2026-04-02 17:31:48,2.68e-04,0.3157,0.151407,0.303389,0.600679,0.127959,0.600679,,,,,,,0.127959,,,,,,
9,2026-04-02 17:34:13,3.01e-04,0.3299,0.145520,0.292629,0.630227,0.197240,0.630227,,,,,,,0.197240,,,,,,
10,2026-04-02 17:36:40,3.34e-04,0.3659,0.140948,0.287126,0.655759,0.216444,0.655759,,,,,,,0.216444,,,,,,
11,2026-04-02 17:39:09,3.67e-04,0.3769,0.132728,0.291067,0.656966,0.211272,0.656966,,,,,,,0.211272,,,,,,
12,2026-04-02 17:41:36,4.00e-04,0.3659,0.133624,0.293224,0.665500,0.211711,0.665500,,,,,,,0.211711,,,,,,
13,2026-04-02 17:44:06,4.00e-04,0.3505,0.129051,0.291748,0.668301,0.223553,0.668301,,,,,,,0.223553,,,,,,
14,2026-04-02 17:46:38,4.00e-04,0.3725,0.130860,0.292451,0.671650,0.226951,0.671650,,,,,,,0.226951,,,,,,
15,2026-04-02 17:49:06,4.00e-04,0.3863,0.129520,0.294828,0.674214,0.232772,0.674214,,,,,,,0.232772,,,,,,
16,2026-04-02 17:51:36,4.00e-04,0.4289,0.127085,0.301280,0.667091,0.202409,0.667091,,,,,,,0.202409,,,,,,
