epoch,timestamp,lr,grad_norm,train_loss,val_loss,val_auc,val_aupr,val_auc_0,val_auc_1,val_auc_2,val_auc_3,val_auc_4,val_auc_5,val_auc_6,val_aupr_0,val_aupr_1,val_aupr_2,val_aupr_3,val_aupr_4,val_aupr_5,val_aupr_6
0,2026-04-12 02:31:14,5.00e-06,1.9301,0.616577,0.534275,,,,,,,,,,,,,,,,
1,2026-04-12 02:32:17,3.79e-05,0.5524,0.347599,0.308895,0.460200,0.080517,0.460200,,,,,,,0.080517,,,,,,
2,2026-04-12 02:33:22,7.08e-05,0.1957,0.308842,0.307112,0.471316,0.082046,0.471316,,,,,,,0.082046,,,,,,
3,2026-04-12 02:34:27,1.04e-04,0.2101,0.314299,0.306648,0.497012,0.086614,0.497012,,,,,,,0.086614,,,,,,
4,2026-04-12 02:35:30,1.37e-04,0.1893,0.308072,0.306305,0.520647,0.092874,0.520647,,,,,,,0.092874,,,,,,
5,2026-04-12 02:36:30,1.70e-04,0.2451,0.304002,0.304704,0.543764,0.101148,0.543764,,,,,,,0.101148,,,,,,
6,2026-04-12 02:37:31,2.03e-04,0.2791,0.293004,0.306808,0.579952,0.113110,0.579952,,,,,,,0.113110,,,,,,
7,2026-04-12 02:38:33,2.35e-04,0.3132,0.306807,0.307641,0.580995,0.115355,0.580995,,,,,,,0.115355,,,,,,
8,2026-04-12 02:39:34,2.68e-04,0.3816,0.301026,0.312079,0.585840,0.121157,0.585840,,,,,,,0.121157,,,,,,
9,2026-04-12 02:40:37,3.01e-04,0.3431,0.298295,0.304847,0.576855,0.115487,0.576855,,,,,,,0.115487,,,,,,
10,2026-04-12 02:41:40,3.34e-04,0.4214,0.297742,0.306017,0.594101,0.122217,0.594101,,,,,,,0.122217,,,,,,
11,2026-04-12 02:42:42,3.67e-04,0.3269,0.290049,0.303633,0.597040,0.123703,0.597040,,,,,,,0.123703,,,,,,
12,2026-04-12 02:43:43,4.00e-04,0.3410,0.286390,0.301202,0.615861,0.158352,0.615861,,,,,,,0.158352,,,,,,
13,2026-04-12 02:44:45,4.00e-04,0.3312,0.262199,0.295246,0.628223,0.191856,0.628223,,,,,,,0.191856,,,,,,
14,2026-04-12 02:45:47,4.00e-04,0.3838,0.264179,0.296351,0.631789,0.199420,0.631789,,,,,,,0.199420,,,,,,
15,2026-04-12 02:46:51,4.00e-04,0.3395,0.267749,0.297168,0.657642,0.217563,0.657642,,,,,,,0.217563,,,,,,
16,2026-04-12 02:47:54,4.00e-04,0.4030,0.257779,0.290439,0.663327,0.227225,0.663327,,,,,,,0.227225,,,,,,
17,2026-04-12 02:48:56,4.00e-04,0.4498,0.252144,0.294464,0.678914,0.230836,0.678914,,,,,,,0.230836,,,,,,
18,2026-04-12 02:50:00,4.00e-04,0.4780,0.239825,0.287584,0.672334,0.226507,0.672334,,,,,,,0.226507,,,,,,
19,2026-04-12 02:51:02,4.00e-04,0.5163,0.248988,0.293885,0.693423,0.245117,0.693423,,,,,,,0.245117,,,,,,
20,2026-04-12 02:52:06,4.00e-04,0.4588,0.230556,0.298502,0.683577,0.231049,0.683577,,,,,,,0.231049,,,,,,
21,2026-04-12 02:53:09,4.00e-04,0.4761,0.226390,0.296423,0.700762,0.254489,0.700762,,,,,,,0.254489,,,,,,
22,2026-04-12 02:54:12,4.00e-04,0.5535,0.239298,0.284172,0.704383,0.252816,0.704383,,,,,,,0.252816,,,,,,
23,2026-04-12 02:55:15,4.00e-04,0.5150,0.212685,0.292298,0.711135,0.262449,0.711135,,,,,,,0.262449,,,,,,
24,2026-04-12 02:56:17,4.00e-04,0.5489,0.213856,0.291852,0.716419,0.273726,0.716419,,,,,,,0.273726,,,,,,
25,2026-04-12 02:57:20,4.00e-04,0.5666,0.214975,0.303201,0.715219,0.271069,0.715219,,,,,,,0.271069,,,,,,
26,2026-04-12 02:58:22,4.00e-04,0.7272,0.225265,0.291238,0.735276,0.299232,0.735276,,,,,,,0.299232,,,,,,
27,2026-04-12 02:59:26,4.00e-04,0.7184,0.203954,0.287963,0.732026,0.297300,0.732026,,,,,,,0.297300,,,,,,
28,2026-04-12 03:00:28,4.00e-04,0.6903,0.194141,0.291874,0.734564,0.304862,0.734564,,,,,,,0.304862,,,,,,
29,2026-04-12 03:01:30,4.00e-04,0.7243,0.200167,0.297318,0.737313,0.303870,0.737313,,,,,,,0.303870,,,,,,
30,2026-04-12 03:02:33,4.00e-04,inf,0.198208,0.315967,0.736908,0.289213,0.736908,,,,,,,0.289213,,,,,,
