epoch,timestamp,lr,grad_norm,train_loss,val_loss,val_auc,val_aupr,val_auc_0,val_auc_1,val_auc_2,val_auc_3,val_auc_4,val_auc_5,val_auc_6,val_aupr_0,val_aupr_1,val_aupr_2,val_aupr_3,val_aupr_4,val_aupr_5,val_aupr_6
0,2026-04-13 04:55:58,5.00e-06,1.9642,0.620865,0.538002,,,,,,,,,,,,,,,,
1,2026-04-13 04:57:13,3.79e-05,0.6156,0.338117,0.290961,0.459355,0.077673,0.459355,,,,,,,0.077673,,,,,,
2,2026-04-13 04:58:33,7.08e-05,0.1892,0.289511,0.288865,0.469557,0.078943,0.469557,,,,,,,0.078943,,,,,,
3,2026-04-13 04:59:47,1.04e-04,0.1718,0.304756,0.287711,0.504935,0.085234,0.504935,,,,,,,0.085234,,,,,,
4,2026-04-13 05:00:54,1.37e-04,0.1915,0.301101,0.285400,0.533597,0.094038,0.533597,,,,,,,0.094038,,,,,,
5,2026-04-13 05:02:02,1.70e-04,0.1940,0.300967,0.285596,0.582924,0.110209,0.582924,,,,,,,0.110209,,,,,,
6,2026-04-13 05:03:08,2.03e-04,0.2617,0.294801,0.284481,0.597681,0.115389,0.597681,,,,,,,0.115389,,,,,,
7,2026-04-13 05:04:13,2.35e-04,0.2742,0.288315,0.286646,0.598309,0.111479,0.598309,,,,,,,0.111479,,,,,,
8,2026-04-13 05:05:20,2.68e-04,0.2757,0.285506,0.285000,0.603969,0.109752,0.603969,,,,,,,0.109752,,,,,,
9,2026-04-13 05:06:25,3.01e-04,0.3406,0.272858,0.271201,0.634297,0.141323,0.634297,,,,,,,0.141323,,,,,,
10,2026-04-13 05:07:29,3.34e-04,0.3918,0.269925,0.261068,0.685069,0.174382,0.685069,,,,,,,0.174382,,,,,,
11,2026-04-13 05:08:33,3.67e-04,0.4746,0.261317,0.254264,0.741249,0.236155,0.741249,,,,,,,0.236155,,,,,,
12,2026-04-13 05:09:36,4.00e-04,0.4430,0.232734,0.250774,0.774440,0.288263,0.774440,,,,,,,0.288263,,,,,,
13,2026-04-13 05:10:40,4.00e-04,0.4381,0.217018,0.243022,0.800695,0.318051,0.800695,,,,,,,0.318051,,,,,,
14,2026-04-13 05:11:43,4.00e-04,0.4677,0.221420,0.231800,0.801620,0.336606,0.801620,,,,,,,0.336606,,,,,,
15,2026-04-13 05:12:46,4.00e-04,0.4823,0.199755,0.238510,0.824887,0.352822,0.824887,,,,,,,0.352822,,,,,,
16,2026-04-13 05:13:52,4.00e-04,0.5674,0.190628,0.232114,0.823857,0.378812,0.823857,,,,,,,0.378812,,,,,,
17,2026-04-13 05:14:59,4.00e-04,0.5736,0.186692,0.221926,0.832494,0.406133,0.832494,,,,,,,0.406133,,,,,,
18,2026-04-13 05:16:03,4.00e-04,0.5667,0.181411,0.231637,0.843842,0.422441,0.843842,,,,,,,0.422441,,,,,,
19,2026-04-13 05:17:09,4.00e-04,0.6259,0.178650,0.219858,0.838795,0.432505,0.838795,,,,,,,0.432505,,,,,,
20,2026-04-13 05:18:16,4.00e-04,0.6144,0.169004,0.216558,0.850772,0.430954,0.850772,,,,,,,0.430954,,,,,,
21,2026-04-13 05:19:20,4.00e-04,0.7080,0.158934,0.238127,0.857504,0.466722,0.857504,,,,,,,0.466722,,,,,,
22,2026-04-13 05:20:25,4.00e-04,0.6922,0.165144,0.217076,0.844249,0.427899,0.844249,,,,,,,0.427899,,,,,,
23,2026-04-13 05:21:30,4.00e-04,0.7106,0.151750,0.234398,0.861576,0.453228,0.861576,,,,,,,0.453228,,,,,,
24,2026-04-13 05:22:35,4.00e-04,0.7160,0.143183,0.226655,0.857164,0.454105,0.857164,,,,,,,0.454105,,,,,,
25,2026-04-13 05:23:42,4.00e-04,0.7000,0.132857,0.224081,0.865697,0.464590,0.865697,,,,,,,0.464590,,,,,,
26,2026-04-13 05:24:55,4.00e-04,0.7191,0.134002,0.228189,0.869378,0.473948,0.869378,,,,,,,0.473948,,,,,,
27,2026-04-13 05:26:02,4.00e-04,0.6944,0.115579,0.227829,0.870693,0.486824,0.870693,,,,,,,0.486824,,,,,,
28,2026-04-13 05:27:11,4.00e-04,0.7509,0.121357,0.249220,0.876059,0.490825,0.876059,,,,,,,0.490825,,,,,,
29,2026-04-13 05:28:17,4.00e-04,0.7814,0.121578,0.243830,0.879524,0.515317,0.879524,,,,,,,0.515317,,,,,,
30,2026-04-13 05:29:24,4.00e-04,0.7559,0.107421,0.236235,0.872575,0.485167,0.872575,,,,,,,0.485167,,,,,,
31,2026-04-13 05:30:31,4.00e-04,0.7292,0.109020,0.237283,0.877612,0.484321,0.877612,,,,,,,0.484321,,,,,,
32,2026-04-13 05:31:43,4.00e-04,inf,0.094583,0.247919,0.880037,0.494261,0.880037,,,,,,,0.494261,,,,,,
33,2026-04-13 05:32:55,4.00e-04,0.8203,0.094566,0.247243,0.883722,0.508402,0.883722,,,,,,,0.508402,,,,,,
34,2026-04-13 05:34:07,4.00e-04,0.7915,0.090330,0.245065,0.880543,0.494823,0.880543,,,,,,,0.494823,,,,,,
35,2026-04-13 05:35:20,4.00e-04,0.7821,0.097479,0.270805,0.885186,0.523942,0.885186,,,,,,,0.523942,,,,,,
36,2026-04-13 05:36:33,4.00e-04,0.7623,0.076183,0.274930,0.881950,0.500379,0.881950,,,,,,,0.500379,,,,,,
37,2026-04-13 05:37:46,4.00e-04,0.8155,0.071139,0.274330,0.880049,0.512576,0.880049,,,,,,,0.512576,,,,,,
38,2026-04-13 05:39:00,4.00e-04,0.8218,0.076249,0.276764,0.883307,0.496874,0.883307,,,,,,,0.496874,,,,,,
39,2026-04-13 05:40:07,4.00e-04,0.8173,0.066528,0.294083,0.883249,0.480459,0.883249,,,,,,,0.480459,,,,,,
40,2026-04-13 05:41:14,4.00e-04,0.8303,0.071029,0.311055,0.883599,0.519791,0.883599,,,,,,,0.519791,,,,,,
41,2026-04-13 05:42:21,4.00e-04,0.7997,0.057726,0.298944,0.882867,0.514912,0.882867,,,,,,,0.514912,,,,,,
42,2026-04-13 05:43:28,4.00e-04,0.8194,0.061644,0.330897,0.884502,0.490984,0.884502,,,,,,,0.490984,,,,,,
43,2026-04-13 05:44:38,4.00e-04,0.9907,0.070358,0.291982,0.877839,0.510020,0.877839,,,,,,,0.510020,,,,,,
44,2026-04-13 05:45:41,2.00e-04,0.6369,0.047140,0.333167,0.885273,0.495014,0.885273,,,,,,,0.495014,,,,,,
45,2026-04-13 05:46:43,2.00e-04,0.5526,0.030366,0.352480,0.883984,0.528859,0.883984,,,,,,,0.528859,,,,,,
46,2026-04-13 05:47:45,2.00e-04,0.5965,0.027504,0.360212,0.884859,0.509940,0.884859,,,,,,,0.509940,,,,,,
47,2026-04-13 05:48:45,2.00e-04,0.6100,0.027377,0.382840,0.883448,0.522663,0.883448,,,,,,,0.522663,,,,,,
48,2026-04-13 05:49:47,2.00e-04,0.6085,0.027275,0.375852,0.885137,0.527686,0.885137,,,,,,,0.527686,,,,,,
49,2026-04-13 05:50:48,2.00e-04,0.5337,0.022179,0.385900,0.885773,0.521122,0.885773,,,,,,,0.521122,,,,,,
50,2026-04-13 05:51:50,2.00e-04,0.5947,0.025655,0.430488,0.885325,0.525338,0.885325,,,,,,,0.525338,,,,,,
51,2026-04-13 05:52:51,2.00e-04,0.6003,0.023485,0.404936,0.883976,0.514438,0.883976,,,,,,,0.514438,,,,,,
52,2026-04-13 05:53:54,2.00e-04,0.6458,0.020974,0.420374,0.886928,0.491374,0.886928,,,,,,,0.491374,,,,,,
53,2026-04-13 05:54:56,2.00e-04,0.6190,0.018618,0.437405,0.882432,0.504822,0.882432,,,,,,,0.504822,,,,,,
54,2026-04-13 05:55:57,1.00e-04,0.4743,0.012182,0.431562,0.885471,0.496509,0.885471,,,,,,,0.496509,,,,,,
55,2026-04-13 05:57:00,1.00e-04,0.4275,0.014257,0.439249,0.887385,0.520521,0.887385,,,,,,,0.520521,,,,,,
56,2026-04-13 05:58:02,1.00e-04,0.4769,0.008121,0.461051,0.887912,0.519455,0.887912,,,,,,,0.519455,,,,,,
57,2026-04-13 05:59:03,1.00e-04,0.4726,0.013714,0.443711,0.885287,0.515702,0.885287,,,,,,,0.515702,,,,,,
58,2026-04-13 06:00:04,1.00e-04,0.3986,0.008625,0.470302,0.889115,0.518939,0.889115,,,,,,,0.518939,,,,,,
59,2026-04-13 06:01:05,1.00e-04,0.3747,0.009583,0.483786,0.884485,0.512278,0.884485,,,,,,,0.512278,,,,,,
60,2026-04-13 06:02:07,1.00e-04,0.5070,0.009551,0.484275,0.884806,0.510802,0.884806,,,,,,,0.510802,,,,,,
61,2026-04-13 06:03:08,1.00e-04,0.3607,0.008088,0.493018,0.886501,0.526179,0.886501,,,,,,,0.526179,,,,,,
62,2026-04-13 06:04:11,1.00e-04,0.3209,0.006288,0.500619,0.886011,0.512362,0.886011,,,,,,,0.512362,,,,,,
63,2026-04-13 06:05:12,5.00e-05,0.3127,0.006547,0.504445,0.885274,0.519485,0.885274,,,,,,,0.519485,,,,,,
64,2026-04-13 06:06:14,5.00e-05,inf,0.005023,0.506378,0.886165,0.518662,0.886165,,,,,,,0.518662,,,,,,
65,2026-04-13 06:07:16,5.00e-05,0.3167,0.005241,0.516218,0.885552,0.509766,0.885552,,,,,,,0.509766,,,,,,
66,2026-04-13 06:08:17,5.00e-05,0.2895,0.004914,0.523103,0.885817,0.509139,0.885817,,,,,,,0.509139,,,,,,
67,2026-04-13 06:09:18,5.00e-05,inf,0.006320,0.522034,0.885311,0.507808,0.885311,,,,,,,0.507808,,,,,,
68,2026-04-13 06:10:20,5.00e-05,0.2516,0.004059,0.531510,0.885969,0.518980,0.885969,,,,,,,0.518980,,,,,,
69,2026-04-13 06:11:21,5.00e-05,0.3203,0.005680,0.533261,0.885917,0.509305,0.885917,,,,,,,0.509305,,,,,,
70,2026-04-13 06:12:23,5.00e-05,0.3486,0.005535,0.525294,0.885770,0.513049,0.885770,,,,,,,0.513049,,,,,,
71,2026-04-13 06:13:24,5.00e-05,0.2686,0.004098,0.541781,0.886061,0.514649,0.886061,,,,,,,0.514649,,,,,,
72,2026-04-13 06:14:26,2.50e-05,0.2186,0.004362,0.541437,0.885053,0.512145,0.885053,,,,,,,0.512145,,,,,,
