substrate_idx,raw_smiles,rdkit_parse_ok,rdkit_canonical_smiles,rdkit_isomeric_smiles,rdkit_inchikey,cid,cid_status,final_substrate_id,fallback_id,cid_collision_group,pubchem_query_method,pubchem_return_count,notes,in_train,in_val,in_test,in_any_split
0,*C1CCC2C3CCC4CCCCC4(C)C3CCC12C,True,*C1CCC2C3CCC4CCCCC4(C)C3CCC12C,*C1CCC2C3CCC4CCCCC4(C)C3CCC12C,,,wildcard,NO_CID_2bdd5c0fe48e,NO_CID_2bdd5c0fe48e,,wildcard,0,,1,1,1,1
1,*C1CC[C@@]2(C)C3CCC4CCCCC4(C)C3CCC12C,True,*C1CCC2(C)C3CCC4CCCCC4(C)C3CCC12C,*C1CC[C@@]2(C)C3CCC4CCCCC4(C)C3CCC12C,,,wildcard,NO_CID_8852bcfbd9c5,NO_CID_8852bcfbd9c5,,wildcard,0,,1,1,1,1
2,*C1CC[C@@]2(C=O)C3CCC4CCCCC4(C)C3CCC12C,True,*C1CCC2(C=O)C3CCC4CCCCC4(C)C3CCC12C,*C1CC[C@@]2(C=O)C3CCC4CCCCC4(C)C3CCC12C,,,wildcard,NO_CID_5886c001ece7,NO_CID_5886c001ece7,,wildcard,0,,1,1,1,1
3,*C1CC[C@@]2(CO)C3CCC4CCCCC4(C)C3CCC12C,True,*C1CCC2(CO)C3CCC4CCCCC4(C)C3CCC12C,*C1CC[C@@]2(CO)C3CCC4CCCCC4(C)C3CCC12C,,,wildcard,NO_CID_b5d2161d0fdf,NO_CID_b5d2161d0fdf,,wildcard,0,,1,1,1,1
4,*CC(=O)[O-],True,*CC(=O)[O-],*CC(=O)[O-],,,wildcard,NO_CID_7967bae9149f,NO_CID_7967bae9149f,,wildcard,0,,1,1,1,1
5,*CCC(=O)[O-],True,*CCC(=O)[O-],*CCC(=O)[O-],,,wildcard,NO_CID_468def47995c,NO_CID_468def47995c,,wildcard,0,,1,1,1,1
6,*[C@H](NC(=O)CC1CCC(=O)C1C/C=C\CC)C(=O)[O-],True,*C(NC(=O)CC1CCC(=O)C1CC=CCC)C(=O)[O-],*[C@H](NC(=O)CC1CCC(=O)C1C/C=C\CC)C(=O)[O-],,,wildcard,NO_CID_ee99776572a9,NO_CID_ee99776572a9,,wildcard,0,,1,1,1,1
7,*[C@H](NC(=O)CC1CCC(=O)C1C/C=C\CCO)C(=O)[O-],True,*C(NC(=O)CC1CCC(=O)C1CC=CCCO)C(=O)[O-],*[C@H](NC(=O)CC1CCC(=O)C1C/C=C\CCO)C(=O)[O-],,,wildcard,NO_CID_0be8b655514c,NO_CID_0be8b655514c,,wildcard,0,,1,1,1,1
8,*[H],True,*[H],*[H],,,wildcard,NO_CID_712f86146e95,NO_CID_712f86146e95,,wildcard,0,,0,0,0,0
9,*c1c(*)c(*)c(C2Oc3c(*)c(*)c(*)c(*)c3C(=O)C2*)c(*)c1*,True,*c1c(*)c(*)c(C2Oc3c(*)c(*)c(*)c(*)c3C(=O)C2*)c(*)c1*,*c1c(*)c(*)c(C2Oc3c(*)c(*)c(*)c(*)c3C(=O)C2*)c(*)c1*,,,wildcard,NO_CID_9df214582ff8,NO_CID_9df214582ff8,,wildcard,0,,0,0,0,0
10,*c1cc(*)c(-c2oc3c(*)c(*)c(*)c(*)c3c(=O)c2*)c(*)c1*,True,*c1cc(*)c(-c2oc3c(*)c(*)c(*)c(*)c3c(=O)c2*)c(*)c1*,*c1cc(*)c(-c2oc3c(*)c(*)c(*)c(*)c3c(=O)c2*)c(*)c1*,,,wildcard,NO_CID_880924141748,NO_CID_880924141748,,wildcard,0,,0,0,0,0
11,*c1cc(*)c(C2(*)Oc3c(*)c(*)c(*)c(*)c3C(=O)C2(*)*)c(*)c1,True,*c1cc(*)c(C2(*)Oc3c(*)c(*)c(*)c(*)c3C(=O)C2(*)*)c(*)c1,*c1cc(*)c(C2(*)Oc3c(*)c(*)c(*)c(*)c3C(=O)C2(*)*)c(*)c1,,,wildcard,NO_CID_5dc38a2be3cc,NO_CID_5dc38a2be3cc,,wildcard,0,,0,0,0,0
12,*c1cc(-c2c(*)oc3c(*)c(*)c(*)c(*)c3c2=O)c(*)c(*)c1*,True,*c1cc(-c2c(*)oc3c(*)c(*)c(*)c(*)c3c2=O)c(*)c(*)c1*,*c1cc(-c2c(*)oc3c(*)c(*)c(*)c(*)c3c2=O)c(*)c(*)c1*,,,wildcard,NO_CID_028b641650d3,NO_CID_028b641650d3,,wildcard,0,,1,1,1,1
13,C*C(=O)[O-],True,C*C(=O)[O-],C*C(=O)[O-],,,wildcard,NO_CID_9e0c7a2fa261,NO_CID_9e0c7a2fa261,,wildcard,0,,1,1,1,1
14,CC*C(=O)[O-],True,CC*C(=O)[O-],CC*C(=O)[O-],,,wildcard,NO_CID_fa6fb860cfa3,NO_CID_fa6fb860cfa3,,wildcard,0,,0,0,0,0
15,CC12CCC(CC1=S)C2(C)C,True,CC12CCC(CC1=S)C2(C)C,CC12CCC(CC1=S)C2(C)C,AAADKYXUTOBAGS-UHFFFAOYSA-N,5446,hit,CID5446,NO_CID_4f19dd1e022d,,hit,1,,1,1,1,1
16,CC1(C)[C@@H]2CC[C@@]1(C)C(=S)C2,True,CC12CCC(CC1=S)C2(C)C,CC1(C)[C@@H]2CC[C@@]1(C)C(=S)C2,AAADKYXUTOBAGS-XCBNKYQSSA-N,1714210,hit,CID1714210,NO_CID_2011ad8f9ab4,,hit,1,,1,1,1,1
17,C=C1CO1,True,C=C1CO1,C=C1CO1,AAEZMHSWRQVQEK-UHFFFAOYSA-N,3029326,hit,CID3029326,NO_CID_ddb8987250ea,,hit,1,,1,1,1,1
18,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,True,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,AAKJLRGGTJKAMG-UHFFFAOYSA-N,176870,hit,CID176870,NO_CID_f99cb62860a4,,hit,1,,1,1,1,1
19,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC[C@]1(C)[C@H](C)CCC(=C(C)C)[C@H]1CCCO,True,CC(C)=CCCC(C)=CCCC(C)=CCCC1(C)C(C)CCC(=C(C)C)C1CCCO,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC[C@]1(C)[C@H](C)CCC(=C(C)C)[C@H]1CCCO,AARUWLXSIZJQDK-OPEBEUCHSA-N,25000661,hit,CID25000661,NO_CID_1bd70315f599,,hit,1,,1,0,1,1
20,COc1oc(CCC(C)=CC(C)=Cc2ccc(I)cc2)c(C)c(=O)c1C,True,COc1oc(CCC(C)=CC(C)=Cc2ccc(I)cc2)c(C)c(=O)c1C,COc1oc(CCC(C)=CC(C)=Cc2ccc(I)cc2)c(C)c(=O)c1C,ABKYWKNIDMAZGJ-UHFFFAOYSA-N,75251260,hit,CID75251260,NO_CID_99c77c084097,,hit,1,,1,1,1,1
21,Cc1c(CC(N)C(=O)O)c2c(F)cccc2n1C,True,Cc1c(CC(N)C(=O)O)c2c(F)cccc2n1C,Cc1c(CC(N)C(=O)O)c2c(F)cccc2n1C,ABVSKMHTJOBIEN-UHFFFAOYSA-N,122499537,hit,CID122499537,NO_CID_47fd213c5928,,hit,1,,1,1,1,1
22,CC(C)C1CC1c1ccccc1,True,CC(C)C1CC1c1ccccc1,CC(C)C1CC1c1ccccc1,ACABZBGQXFLDAB-UHFFFAOYSA-N,12560038,hit,CID12560038,NO_CID_2e17d914e7fe,,hit,1,,1,1,1,1
23,N=C(O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,True,N=C(O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1,N=C(O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,ACFIXJIJDZMPPO-NNYOXOHSSA-N,5884,hit,CID5884,NO_CID_b52b87c3ac44,,hit,1,,1,1,1,1
24,Cc1[nH]c2ccc(Cl)cc2c1CC(N)C=O,True,Cc1[nH]c2ccc(Cl)cc2c1CC(N)C=O,Cc1[nH]c2ccc(Cl)cc2c1CC(N)C=O,ACYWZZDQWJSAQE-UHFFFAOYSA-N,,cid0_no_match,NO_CID_95c19e6eb849,NO_CID_95c19e6eb849,,cid0_no_match,0,,1,1,1,1
25,C=C(C)[C@@H]1CC[C@H](C)C2=C(C1)[C@@H](C)CC2,True,C=C(C)C1CCC(C)C2=C(C1)C(C)CC2,C=C(C)[C@@H]1CC[C@H](C)C2=C(C1)[C@@H](C)CC2,ADIDQIZBYUABQK-RWMBFGLXSA-N,5317844,hit,CID5317844,NO_CID_5ea3cc64b1f9,,hit,1,,1,1,1,1
26,NC(Cc1c[nH]c2c(F)cccc12)C(=O)O,True,NC(Cc1c[nH]c2c(F)cccc12)C(=O)O,NC(Cc1c[nH]c2c(F)cccc12)C(=O)O,ADMHYWIKJSPIGJ-UHFFFAOYSA-N,9920885,hit,CID9920885,NO_CID_97dd710ca70f,,hit,1,,1,1,1,1
27,N[C@@H](Cc1c[nH]c2c(F)cccc12)C(=O)O,True,NC(Cc1c[nH]c2c(F)cccc12)C(=O)O,N[C@@H](Cc1c[nH]c2c(F)cccc12)C(=O)O,ADMHYWIKJSPIGJ-VIFPVBQESA-N,15930148,hit,CID15930148,NO_CID_54a89ad584d9,,hit,1,,1,1,1,1
28,CCSc1ccccc1,True,CCSc1ccccc1,CCSc1ccccc1,AEHWKBXBXYNPCX-UHFFFAOYSA-N,12144,hit,CID12144,NO_CID_18b3f9ad2665,,hit,1,,1,1,1,1
29,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,True,CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2=O,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,AEMFNILZOJDQLW-QAGGRKNESA-N,6128,hit,CID6128,NO_CID_cd6b61467c1a,,hit,1,,1,1,1,1
30,CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2=O,True,CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2=O,CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2=O,AEMFNILZOJDQLW-UHFFFAOYSA-N,2193,hit,CID2193,NO_CID_8325d34caa49,,hit,1,,1,1,1,1
31,CC(C)=CCC/C(C)=C/COc1c2c(cc3oc(=O)ccc13)OCC2,True,CC(C)=CCCC(C)=CCOc1c2c(cc3oc(=O)ccc13)OCC2,CC(C)=CCC/C(C)=C/COc1c2c(cc3oc(=O)ccc13)OCC2,AESQHTDNFNVECX-OQLLNIDSSA-N,11595293,hit,CID11595293,NO_CID_d43dcb99557a,,hit,1,,1,1,1,1
32,CC[C@]12C=CCN3CC[C@]4(C(=C(C(=O)OC)C1)Nc1cc(OC)ccc14)[C@@H]32,True,CCC12C=CCN3CCC4(C(=C(C(=O)OC)C1)Nc1cc(OC)ccc14)C32,CC[C@]12C=CCN3CC[C@]4(C(=C(C(=O)OC)C1)Nc1cc(OC)ccc14)[C@@H]32,AEXBRBWRPNGGEZ-FKBYEOEOSA-N,443356,hit,CID443356,NO_CID_cfb7a2c7a83c,,hit,1,,1,1,1,1
33,CCCC(C)C,True,CCCC(C)C,CCCC(C)C,AFABGHUZZDYHJO-UHFFFAOYSA-N,7892,hit,CID7892,NO_CID_0d65ca26ef27,,hit,1,,1,1,1,1
34,COc1ccc(/C=C/C(=O)O)cc1,True,COc1ccc(C=CC(=O)O)cc1,COc1ccc(/C=C/C(=O)O)cc1,AFDXODALSZRGIH-QPJJXVBHSA-N,699414,hit,CID699414,NO_CID_a3f4ab0cc95c,,hit,1,,1,1,1,1
35,C[C@]12CC[C@H]3[C@@H](CC[C@H]4CC(=O)CC[C@@]43C=O)[C@@H]1CC[C@@H]2O,True,CC12CCC3C(CCC4CC(=O)CCC43C=O)C1CCC2O,C[C@]12CC[C@H]3[C@@H](CC[C@H]4CC(=O)CC[C@@]43C=O)[C@@H]1CC[C@@H]2O,AFTUEXSGQQDJKS-GLOHGQAKSA-N,129011069,hit,CID129011069,NO_CID_6379f3dba13c,,hit,1,,1,1,1,1
36,Cc1c(CC(N)C=O)c2ccc(Br)cc2n1C,True,Cc1c(CC(N)C=O)c2ccc(Br)cc2n1C,Cc1c(CC(N)C=O)c2ccc(Br)cc2n1C,AGHPKIQRCQNTFY-UHFFFAOYSA-N,,cid0_no_match,NO_CID_af09aca05980,NO_CID_af09aca05980,,cid0_no_match,0,,1,1,1,1
37,COc1cc(O)c2c(O)c3c(c(C/C=C(\C)CCC=C(C)C)c2c1)[C@H](O)[C@@]1(O)CC(=O)C(C(N)=O)=C(O)[C@@]1(O)C3=O,True,COc1cc(O)c2c(O)c3c(c(CC=C(C)CCC=C(C)C)c2c1)C(O)C1(O)CC(=O)C(C(N)=O)=C(O)C1(O)C3=O,COc1cc(O)c2c(O)c3c(c(C/C=C(\C)CCC=C(C)C)c2c1)[C@H](O)[C@@]1(O)CC(=O)C(C(N)=O)=C(O)[C@@]1(O)C3=O,AGMPGRYRWNVPEQ-BJTDMJNKSA-N,60150139,hit,CID60150139,NO_CID_071ba74f8143,,hit,1,,1,1,1,1
38,CC[C@H](C)[C@H](N)C(=O)O,True,CCC(C)C(N)C(=O)O,CC[C@H](C)[C@H](N)C(=O)O,AGPKZVBTJJNPAG-WHFBIAKZSA-N,6306,hit,CID6306,NO_CID_2473e89b5cd0,,hit,1,,1,1,1,1
39,CC/C=C\C/C=C\C/C=C\CCCCCCCCCC(=O)O,True,CCC=CCC=CCC=CCCCCCCCCCC(=O)O,CC/C=C\C/C=C\C/C=C\CCCCCCCCCC(=O)O,AHANXAKGNAKFSK-PDBXOOCHSA-N,5312529,hit,CID5312529,NO_CID_f46cd6c9636d,,hit,1,,1,1,1,1
40,CCC=CCC=CCC=CCCCCCCCCCC(=O)[O-],True,CCC=CCC=CCC=CCCCCCCCCCC(=O)[O-],CCC=CCC=CCC=CCCCCCCCCCC(=O)[O-],AHANXAKGNAKFSK-UHFFFAOYSA-M,73988996,hit,CID73988996,NO_CID_df0db57bbdb4,,hit,1,,1,1,1,1
41,NCCC[C@H](N)C(=O)O,True,NCCCC(N)C(=O)O,NCCC[C@H](N)C(=O)O,AHLPHDHHMVZTML-BYPYZUCNSA-N,6262,hit,CID6262,NO_CID_7d5cb005c4f5,,hit,1,,1,1,1,1
42,CCC(C)CC(C)CC(C)CCC(=O)O,True,CCC(C)CC(C)CC(C)CCC(=O)O,CCC(C)CC(C)CC(C)CCC(=O)O,AIAJTWFRHSKNDS-UHFFFAOYSA-N,85729959,hit,CID85729959,NO_CID_79cdeaa995a5,,hit,1,,1,1,1,1
43,Cn1cc(CC(N)C(=O)O)c2cccc(C3CC3)c21,True,Cn1cc(CC(N)C(=O)O)c2cccc(C3CC3)c21,Cn1cc(CC(N)C(=O)O)c2cccc(C3CC3)c21,AIBJDIHSMRRLHO-UHFFFAOYSA-N,122499652,hit,CID122499652,NO_CID_09a6c9c1e1d9,,hit,1,,1,1,1,1
44,CCCCCCCC/C=C\CCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](O)C(C)(C)COP(=O)(O)O,True,CCCCCCCCC=CCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)O,CCCCCCCC/C=C\CCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](O)C(C)(C)COP(=O)(O)O,AINKKKUPSQZPIP-FRSJXWKWSA-N,137350211,hit,CID137350211,NO_CID_da43618e599f,,hit,1,,1,1,1,1
