split,sample_id,dock_index,enzyme_index,substrate_index,label,uniprot,structure_record_substrate,structure_record_n_samples,structure_record_n_positive,cache_sample_id_present,cache_file_exists,cache_path
train,40,434419,5129,9016,0,Q02928,Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)C1N=C(O)N=C(O)C1=N2,1,0,True,True,/root/autodl-tmp/EZSpecificity/PathD/P450/data/q01_fe_embedding_patch/exp001_esibank_aonly_baseline/pt_cache/full_legacy_cuda_20260526_161909_per_sample_graph_v1/train/samples/000/sample_000040.pt
train,120,146145,5267,10948,0,Q9FH76,Sc1ncnc2[nH]cnc12,1,0,True,True,/root/autodl-tmp/EZSpecificity/PathD/P450/data/q01_fe_embedding_patch/exp001_esibank_aonly_baseline/pt_cache/full_legacy_cuda_20260526_161909_per_sample_graph_v1/train/samples/000/sample_000120.pt
train,142,324860,5295,8910,0,Q16850,COc1ccc(CCN2CCC(N=c3[nH]c4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,1,0,True,True,/root/autodl-tmp/EZSpecificity/PathD/P450/data/q01_fe_embedding_patch/exp001_esibank_aonly_baseline/pt_cache/full_legacy_cuda_20260526_161909_per_sample_graph_v1/train/samples/000/sample_000142.pt
train,291,427210,5322,8924,0,I3V6B7,Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]1O)c1nc(O)nc(O)c1N2,1,0,True,True,/root/autodl-tmp/EZSpecificity/PathD/P450/data/q01_fe_embedding_patch/exp001_esibank_aonly_baseline/pt_cache/full_legacy_cuda_20260526_161909_per_sample_graph_v1/train/samples/000/sample_000291.pt
train,413,230500,5284,5824,0,C0SJS3,O=C(O)CCC(=O)C(=O)O,1,0,True,True,/root/autodl-tmp/EZSpecificity/PathD/P450/data/q01_fe_embedding_patch/exp001_esibank_aonly_baseline/pt_cache/full_legacy_cuda_20260526_161909_per_sample_graph_v1/train/samples/000/sample_000413.pt
train,531,533984,5128,9227,0,B8QHP5,CC(C)CCCCCCCCCCC(=O)O,1,0,True,True,/root/autodl-tmp/EZSpecificity/PathD/P450/data/q01_fe_embedding_patch/exp001_esibank_aonly_baseline/pt_cache/full_legacy_cuda_20260526_161909_per_sample_graph_v1/train/samples/000/sample_000531.pt
train,546,383445,5295,9002,0,Q16850,CC(=O)[C@H]1CC[C@H]2C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,1,0,True,True,/root/autodl-tmp/EZSpecificity/PathD/P450/data/q01_fe_embedding_patch/exp001_esibank_aonly_baseline/pt_cache/full_legacy_cuda_20260526_161909_per_sample_graph_v1/train/samples/000/sample_000546.pt
train,551,130122,5068,38112,0,Q9Y6A2,COc1cc(/C=C/C(=O)O)cc(O)c1O,1,0,True,True,/root/autodl-tmp/EZSpecificity/PathD/P450/data/q01_fe_embedding_patch/exp001_esibank_aonly_baseline/pt_cache/full_legacy_cuda_20260526_161909_per_sample_graph_v1/train/samples/000/sample_000551.pt
train,777,204767,5359,35517,0,Q09128,COc1ccccc1O,1,0,True,True,/root/autodl-tmp/EZSpecificity/PathD/P450/data/q01_fe_embedding_patch/exp001_esibank_aonly_baseline/pt_cache/full_legacy_cuda_20260526_161909_per_sample_graph_v1/train/samples/000/sample_000777.pt
train,829,94036,5105,26133,0,Q9XHE8,N=C(NCCC[C@H](N)C(=O)O)N[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O,1,0,True,True,/root/autodl-tmp/EZSpecificity/PathD/P450/data/q01_fe_embedding_patch/exp001_esibank_aonly_baseline/pt_cache/full_legacy_cuda_20260526_161909_per_sample_graph_v1/train/samples/000/sample_000829.pt
