structure_index,pdb_name,drive_file_id,stable_id,file_size,found_in_drivefs_metadata,found_in_drive_metadata,drive_path,p450_data_rows,p450_positive_rows,p450_unique_enzyme_count,p450_uniprots,is_trainable_in_exp003_manifest,trainable_rows,trainable_positive_rows,trainable_splits
1722,1722.pdb,1T6-Z9CJ--WvjMBeqxA__dQg_6gayonAb,542293,674431,True,True,ESIBank/brenda/structure/complex/1722.pdb,1,1,1,P48417,True,1,1,train
6554,6554.pdb,1ULd6saBoDri97FDSNAsy5LmAwJL2MYC0,3163,635852,True,True,ESIBank/brenda/structure/complex/6554.pdb,1,1,1,O35084,True,1,1,train
6574,6574.pdb,1S1ZW81jCkYW1gbo6nIUmSsQnHGQi4gvM,2957,651629,True,True,ESIBank/brenda/structure/complex/6574.pdb,1,1,1,P51589,True,1,1,val
8656,8656.pdb,,,,False,False,ESIBank/brenda/structure/complex/8656.pdb,1,1,1,P24557,True,1,1,train
8940,8940.pdb,,,,False,False,ESIBank/brenda/structure/complex/8940.pdb,1,1,1,P24557,True,1,1,val
10418,10418.pdb,1CzImiJgE1M2AGWNZQiQJvDy-EM66iZVR,612905,643675,True,True,ESIBank/brenda/structure/complex/10418.pdb,1,1,1,A6YIH8,True,1,1,test
11340,11340.pdb,1G4w302C9RpS_VOSZ1kbJiwk9AeyuRdSI,602724,651679,True,True,ESIBank/brenda/structure/complex/11340.pdb,1,1,1,P51589,True,1,1,train
11509,11509.pdb,1VsLBTNR84yrH7KhRA-ZbedUsD7t8-_7Y,606215,665520,True,True,ESIBank/brenda/structure/complex/11509.pdb,1,1,1,O48958,True,1,1,val
15444,15444.pdb,1PBDnjn7rHncCG8wfuxkMOUkhsLlwsYhx,560635,651262,True,True,ESIBank/brenda/structure/complex/15444.pdb,1,1,1,B1NF19,True,1,1,train
15793,15793.pdb,1J9aywJvc5XNBFNS8JHZ0Ye28jcdwcfQu,561972,683595,True,True,ESIBank/brenda/structure/complex/15793.pdb,1,1,1,P24557,True,1,1,train
15984,15984.pdb,1zs1vdTF4ifTi1lS0QFGjeDr_JASiuk5Z,552249,673327,True,True,ESIBank/brenda/structure/complex/15984.pdb,1,1,1,A0A068Q609,True,1,1,train
17104,17104.pdb,1wnsTeaXu32cLtlRn4K8RfSe5-iNhtxyF,541195,628366,True,True,ESIBank/brenda/structure/complex/17104.pdb,1,1,1,F8S1I0,True,1,1,train
17401,17401.pdb,1Z7m0rmtzQ9cpxlsn781TpI1zOuS8DYf_,542539,661548,True,True,ESIBank/brenda/structure/complex/17401.pdb,1,1,1,A0A140IL92,True,1,1,train
18550,18550.pdb,1a1Sf_239tWkuGf5fgGylLSYZF2SeUY0_,523610,649829,True,True,ESIBank/brenda/structure/complex/18550.pdb,1,1,1,O02766,True,1,1,test
18796,18796.pdb,144cLI1k1LOstSOfkuASVfcPtNnENu3mu,525568,651628,True,True,ESIBank/brenda/structure/complex/18796.pdb,1,1,1,P51589,True,1,1,test
19492,19492.pdb,13BX8uEY7erUprFxtNI62IlGZZRPbYzjX,514633,686133,True,True,ESIBank/brenda/structure/complex/19492.pdb,1,1,1,Q2KIG5,True,1,1,train
20292,20292.pdb,1ig1Fyt4_BEgAQ9qONO1f8Am3zL1ewMcG,505000,659914,True,True,ESIBank/brenda/structure/complex/20292.pdb,1,1,1,Q6XQ14,True,1,1,train
20794,20794.pdb,1ovLnYh9tLXfjxjnEciZUPlUQtzX5yY_8,503622,626352,True,True,ESIBank/brenda/structure/complex/20794.pdb,1,1,1,A8CDR5,True,1,1,train
21009,21009.pdb,1lZKpYJr105VOeGzjljq4MgQ2hv25zl43,497983,677166,True,True,ESIBank/brenda/structure/complex/21009.pdb,1,1,1,E9KBR8,True,1,1,train
23995,23995.pdb,1QB_VpE4fjpVDmx1UJotOcGy67_E7k_p2,465218,647443,True,True,ESIBank/brenda/structure/complex/23995.pdb,1,1,1,P93147,True,1,1,train
24218,24218.pdb,1lFRl1FrO0Koam5snAAzzSW8NUN6INAkV,464946,684066,True,True,ESIBank/brenda/structure/complex/24218.pdb,1,1,1,Q6ZWL3,True,1,1,train
