split,sample_id,dock_index,status,entry_id,n_pairs,rmsd,n_heme_atoms,n_fe_atoms,old_n_protein,new_n_protein,error
train,142,324860,ok,3LD6,445,0.5553,43,1,404,447,
train,546,383445,ok,3LD6,445,0.5553,43,1,389,432,
train,551,130122,ok,9NNO,435,0.8306,43,1,370,413,
train,777,204767,ok,3K9Y,462,0.7332,43,1,295,338,
train,1077,248012,ok,3MZS,470,1.0695,43,1,328,371,
train,1358,372060,ok,3V8D,476,1.6511,43,1,316,359,
train,2034,267575,ok,3QZ1,445,1.8400,43,1,247,290,
train,2432,59360,ok,3BE0,397,0.4806,43,1,235,278,
train,2718,182512,ok,8FDA,467,3.2137,73,1,293,366,
train,3350,160354,ok,3DL9,464,0.3268,86,2,241,327,
train,3452,286188,ok,3K9Y,462,0.7332,43,1,390,433,
train,3758,233274,ok,5IKI,399,1.1922,43,1,392,435,
train,4009,40202,ok,9NNO,435,0.8306,43,1,494,537,
train,5375,323893,ok,8FDA,467,3.2137,73,1,405,478,
train,6496,243045,ok,7X2Q,466,0.7024,43,1,280,323,
train,6549,103449,ok,3K9Y,462,0.7332,43,1,232,275,
train,6617,358844,ok,9NNO,435,0.8306,43,1,408,451,
train,6927,427684,ok,6XZ9,472,0.9625,43,1,374,417,
train,7863,382745,ok,8FDA,467,3.2137,73,1,299,372,
train,8201,145557,ok,8FDA,467,3.2137,73,1,275,348,
train,9706,105379,ok,5IKI,399,1.1922,43,1,539,582,
train,10050,249749,ok,9NNO,435,0.8306,43,1,317,360,
train,10559,101073,ok,8FDA,467,3.2137,73,1,342,415,
train,10611,319608,ok,7CB9,466,1.6071,43,1,423,466,
train,10619,403304,ok,7X2Q,466,0.7024,43,1,507,550,
train,10962,358282,ok,9YK4,466,1.3659,43,1,499,542,
train,11538,339341,ok,9NNO,435,0.8306,43,1,395,438,
train,11866,196583,ok,9O35,397,1.9095,43,1,492,535,
train,12371,320397,ok,4GQS,461,1.6585,43,1,286,329,
train,12603,212402,ok,9YK4,466,1.3659,43,1,362,405,
train,12781,397821,ok,8FDA,467,3.2137,73,1,260,333,
train,12795,522025,ok,3DL9,464,0.3268,86,2,358,444,
train,12884,178422,ok,3L4D,445,0.9021,43,1,495,538,
train,12967,409932,ok,9YK4,466,1.3659,43,1,479,522,
train,13357,404272,ok,3DL9,464,0.3268,86,2,405,491,
train,13545,241055,ok,3K9Y,462,0.7332,43,1,248,291,
train,14013,104271,ok,3QZ1,445,1.8400,43,1,532,575,
train,15141,362187,ok,3BE0,397,0.4806,43,1,282,325,
train,15584,107439,ok,9NNO,435,0.8306,43,1,260,303,
train,16348,123715,ok,3DL9,464,0.3268,86,2,457,543,
train,16716,430176,ok,3DL9,464,0.3268,86,2,322,408,
train,17242,321976,ok,9YK4,466,1.3659,43,1,454,497,
train,17675,146222,ok,8FDA,467,3.2137,73,1,282,355,
train,18455,423589,ok,9YK4,466,1.3659,43,1,243,286,
train,18526,357958,ok,3BE0,397,0.4806,43,1,708,751,
train,19067,184329,ok,9NNO,435,0.8306,43,1,246,289,
train,19445,414330,ok,5IKI,399,1.1922,43,1,476,519,
train,20212,229855,ok,6L8H,466,0.3122,43,1,166,209,
train,21389,529273,ok,3L4D,445,0.9021,43,1,339,382,
train,21955,124111,ok,3K9Y,462,0.7332,43,1,405,448,
train,22572,408065,ok,9YK4,466,1.3659,43,1,374,417,
train,22580,109616,ok,8FDA,467,3.2137,73,1,329,402,
train,22772,125323,ok,9YK4,466,1.3659,43,1,392,435,
train,24291,324055,ok,9YK4,466,1.3659,43,1,251,294,
train,24301,67919,ok,5IKI,399,1.1922,43,1,395,438,
train,24451,157650,ok,8FDA,467,3.2137,73,1,265,338,
train,24750,325464,ok,3LD6,445,0.5553,43,1,253,296,
train,26260,295839,ok,3DL9,464,0.3268,86,2,412,498,
train,26949,258634,ok,8FDA,467,3.2137,73,1,277,350,
train,27123,242134,ok,8FDA,467,3.2137,73,1,319,392,
train,27362,530979,ok,6XZ9,472,0.9625,43,1,373,416,
train,28752,424732,ok,8FDA,467,3.2137,73,1,427,500,
train,28994,175271,ok,5IKI,399,1.1922,43,1,496,539,
train,29719,261700,ok,8FDA,467,3.2137,73,1,230,303,
train,30719,349230,ok,8EOH,454,1.1831,49,1,257,306,
train,31122,238753,ok,9YK4,466,1.3659,43,1,278,321,
train,31163,245774,ok,9YK4,466,1.3659,43,1,263,306,
train,31381,125183,ok,3BE0,397,0.4806,43,1,160,203,
train,31472,178683,ok,8FDA,467,3.2137,73,1,408,481,
train,32728,330583,ok,8FDA,467,3.2137,73,1,283,356,
train,34370,422980,ok,3LD6,445,0.5553,43,1,427,470,
train,34700,386151,ok,3V8D,476,1.6511,43,1,213,256,
train,36160,376631,ok,8FDA,467,3.2137,73,1,506,579,
train,37246,288236,ok,9NNO,435,0.8306,43,1,612,655,
train,37247,284355,ok,3LD6,445,0.5553,43,1,173,216,
train,37577,400364,ok,3LD6,445,0.5553,43,1,343,386,
train,37627,326035,ok,3LD6,445,0.5553,43,1,298,341,
train,38929,327183,ok,8FDA,467,3.2137,73,1,294,367,
train,39082,148475,ok,3LD6,445,0.5553,43,1,248,291,
train,39495,540763,ok,9YK4,466,1.3659,43,1,370,413,
train,39600,389667,ok,9YK4,466,1.3659,43,1,281,324,
train,39996,349720,ok,7X2Q,466,0.7024,43,1,297,340,
train,41430,340905,ok,5IKI,399,1.1922,43,1,302,345,
train,42803,133210,ok,9YK4,466,1.3659,43,1,327,370,
train,42869,206528,ok,3QZ1,445,1.8400,43,1,521,564,
train,43115,129884,ok,3K9Y,462,0.7332,43,1,539,582,
train,43279,136793,ok,6XZ9,472,0.9625,43,1,385,428,
train,43757,379475,ok,3BE0,397,0.4806,43,1,482,525,
train,43781,229436,ok,9O35,397,1.9095,43,1,181,224,
train,44527,231993,ok,3V8D,476,1.6511,43,1,357,400,
train,44837,379961,ok,3DL9,464,0.3268,86,2,347,433,
train,44856,418669,ok,8FDA,467,3.2137,73,1,305,378,
train,46015,293295,ok,8FDA,467,3.2137,73,1,709,782,
train,46310,178540,ok,3LD6,445,0.5553,43,1,287,330,
train,46394,208300,ok,3DL9,464,0.3268,86,2,259,345,
train,46784,409927,ok,9YK4,466,1.3659,43,1,253,296,
train,47159,269208,ok,3QZ1,445,1.8400,43,1,213,256,
train,48076,417704,ok,3MZS,470,1.0695,43,1,464,507,
train,48121,377228,ok,3BE0,397,0.4806,43,1,401,444,
train,48181,219497,ok,5JL9,452,0.4942,43,1,300,343,
train,48237,108205,ok,3LD6,445,0.5553,43,1,344,387,
train,49608,314740,ok,3LD6,445,0.5553,43,1,308,351,
train,49635,252599,ok,8FDA,467,3.2137,73,1,263,336,
train,50442,305549,ok,9YK4,466,1.3659,43,1,245,288,
train,50523,119712,ok,9YK4,466,1.3659,43,1,378,421,
train,50770,166364,ok,3DL9,464,0.3268,86,2,467,553,
train,51377,203808,ok,3L4D,445,0.9021,43,1,303,346,
train,52718,208102,ok,3LD6,445,0.5553,43,1,339,382,
train,52868,362016,ok,3DL9,464,0.3268,86,2,532,618,
train,52926,386099,ok,9YK4,466,1.3659,43,1,343,386,
train,52979,221308,ok,3QZ1,445,1.8400,43,1,268,311,
train,54703,212464,ok,3LD6,445,0.5553,43,1,339,382,
train,54892,202621,ok,7X2Q,466,0.7024,43,1,245,288,
train,55323,241503,ok,9NNO,435,0.8306,43,1,266,309,
train,55725,196647,ok,8X1W,439,0.8490,43,1,313,356,
train,55767,335199,ok,7X2Q,466,0.7024,43,1,525,568,
train,56249,208057,ok,8FDA,467,3.2137,73,1,295,368,
train,56313,185631,ok,9NNO,435,0.8306,43,1,385,428,
train,56832,370173,ok,6L8H,466,0.3122,43,1,192,235,
train,57426,211384,ok,3BE0,397,0.4806,43,1,612,655,
train,58141,278457,ok,6L8H,466,0.3122,43,1,178,221,
train,58147,157269,ok,7X2Q,466,0.7024,43,1,523,566,
train,58345,376279,ok,9NNO,435,0.8306,43,1,406,449,
train,58563,346005,ok,3QZ1,445,1.8400,43,1,373,416,
train,58687,423013,ok,8FDA,467,3.2137,73,1,244,317,
train,59143,333746,ok,3K9Y,462,0.7332,43,1,84,127,
train,59596,349711,ok,8FDA,467,3.2137,73,1,259,332,
train,59730,191505,ok,3QZ1,445,1.8400,43,1,523,566,
train,59969,357306,ok,9NNO,435,0.8306,43,1,214,257,
train,60988,379895,ok,8FDA,467,3.2137,73,1,327,400,
train,61429,158553,ok,6XZ9,472,0.9625,43,1,360,403,
train,61997,370955,ok,8FDA,467,3.2137,73,1,322,395,
train,62366,393551,ok,3DL9,464,0.3268,86,2,474,560,
train,62726,174139,ok,5IKI,399,1.1922,43,1,748,791,
train,63202,340382,ok,9YK4,466,1.3659,43,1,248,291,
train,63937,374377,ok,3DL9,464,0.3268,86,2,332,418,
train,64923,273431,ok,9YK4,466,1.3659,43,1,247,290,
train,65356,282360,ok,3QZ1,445,1.8400,43,1,427,470,
train,65935,311945,ok,3LD6,445,0.5553,43,1,389,432,
train,67412,36017,ok,8FDA,467,3.2137,73,1,406,479,
train,67413,360133,ok,8FDA,467,3.2137,73,1,282,355,
train,67458,287540,ok,8FDA,467,3.2137,73,1,275,348,
train,67765,313227,ok,3DL9,464,0.3268,86,2,323,409,
train,67835,151532,ok,3QZ1,445,1.8400,43,1,496,539,
train,67898,167178,ok,9YK4,466,1.3659,43,1,259,302,
train,68063,100227,ok,7X2Q,466,0.7024,43,1,466,509,
train,68135,138024,ok,7DVO,399,0.5516,48,2,564,612,
train,68611,531235,ok,3K9Y,462,0.7332,43,1,495,538,
train,68628,375854,ok,9YK4,466,1.3659,43,1,363,406,
train,69425,463647,ok,4GQS,461,1.6585,43,1,328,371,
train,69998,408850,ok,8FDA,467,3.2137,73,1,315,388,
train,70566,172787,ok,3DL9,464,0.3268,86,2,218,304,
