exp,label,unit_cn,group_id,split,n_enzymes,n_samples,n_positive
EXP004,id60 cluster,id60聚类簇,id60_actual_c0001,train,1,26,2
EXP004,id60 cluster,id60聚类簇,id60_actual_c0002,train,6,131,10
EXP004,id60 cluster,id60聚类簇,id60_actual_c0003,test,8,198,15
EXP004,id60 cluster,id60聚类簇,id60_actual_c0004,train,2,39,2
EXP004,id60 cluster,id60聚类簇,id60_actual_c0005,train,2,44,4
EXP004,id60 cluster,id60聚类簇,id60_actual_c0006,train,3,68,5
EXP004,id60 cluster,id60聚类簇,id60_actual_c0007,train,1,19,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0008,train,3,74,5
EXP004,id60 cluster,id60聚类簇,id60_actual_c0009,train,4,88,6
EXP004,id60 cluster,id60聚类簇,id60_actual_c0010,val,1,23,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0011,val,1,22,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0012,train,6,149,9
EXP004,id60 cluster,id60聚类簇,id60_actual_c0013,train,1,104,16
EXP004,id60 cluster,id60聚类簇,id60_actual_c0014,val,1,21,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0015,train,2,81,9
EXP004,id60 cluster,id60聚类簇,id60_actual_c0016,val,13,385,35
EXP004,id60 cluster,id60聚类簇,id60_actual_c0017,test,11,233,14
EXP004,id60 cluster,id60聚类簇,id60_actual_c0018,test,10,295,26
EXP004,id60 cluster,id60聚类簇,id60_actual_c0019,train,4,62,3
EXP004,id60 cluster,id60聚类簇,id60_actual_c0020,train,3,59,3
EXP004,id60 cluster,id60聚类簇,id60_actual_c0021,train,2,94,11
EXP004,id60 cluster,id60聚类簇,id60_actual_c0022,test,3,193,26
EXP004,id60 cluster,id60聚类簇,id60_actual_c0023,train,1,26,2
EXP004,id60 cluster,id60聚类簇,id60_actual_c0024,test,3,161,19
EXP004,id60 cluster,id60聚类簇,id60_actual_c0025,train,1,43,5
EXP004,id60 cluster,id60聚类簇,id60_actual_c0026,test,10,268,20
EXP004,id60 cluster,id60聚类簇,id60_actual_c0027,val,30,1079,118
EXP004,id60 cluster,id60聚类簇,id60_actual_c0028,train,2,48,3
EXP004,id60 cluster,id60聚类簇,id60_actual_c0029,train,1,24,2
EXP004,id60 cluster,id60聚类簇,id60_actual_c0030,test,2,53,2
EXP004,id60 cluster,id60聚类簇,id60_actual_c0031,train,3,91,9
EXP004,id60 cluster,id60聚类簇,id60_actual_c0032,train,1,19,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0033,val,1,22,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0034,train,2,51,2
EXP004,id60 cluster,id60聚类簇,id60_actual_c0035,val,11,354,33
EXP004,id60 cluster,id60聚类簇,id60_actual_c0036,train,6,130,10
EXP004,id60 cluster,id60聚类簇,id60_actual_c0037,train,1,19,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0038,train,1,34,4
EXP004,id60 cluster,id60聚类簇,id60_actual_c0039,train,1,35,3
EXP004,id60 cluster,id60聚类簇,id60_actual_c0040,train,3,74,6
EXP004,id60 cluster,id60聚类簇,id60_actual_c0041,val,1,21,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0042,test,11,274,22
EXP004,id60 cluster,id60聚类簇,id60_actual_c0043,train,2,63,5
EXP004,id60 cluster,id60聚类簇,id60_actual_c0044,test,1,25,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0045,train,4,139,14
EXP004,id60 cluster,id60聚类簇,id60_actual_c0046,train,5,107,7
EXP004,id60 cluster,id60聚类簇,id60_actual_c0047,train,1,24,2
EXP004,id60 cluster,id60聚类簇,id60_actual_c0048,test,2,40,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0049,train,7,130,9
EXP004,id60 cluster,id60聚类簇,id60_actual_c0050,val,1,22,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0051,train,3,59,4
EXP004,id60 cluster,id60聚类簇,id60_actual_c0052,train,4,86,5
EXP004,id60 cluster,id60聚类簇,id60_actual_c0053,train,2,47,4
EXP004,id60 cluster,id60聚类簇,id60_actual_c0054,train,1,26,2
EXP004,id60 cluster,id60聚类簇,id60_actual_c0055,val,1,20,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0056,train,1,36,4
EXP004,id60 cluster,id60聚类簇,id60_actual_c0057,train,3,129,16
EXP004,id60 cluster,id60聚类簇,id60_actual_c0058,val,10,374,40
EXP004,id60 cluster,id60聚类簇,id60_actual_c0059,test,8,232,18
EXP004,id60 cluster,id60聚类簇,id60_actual_c0060,train,5,140,10
EXP004,id60 cluster,id60聚类簇,id60_actual_c0061,train,1,18,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0062,train,1,25,2
EXP004,id60 cluster,id60聚类簇,id60_actual_c0063,train,1,13,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0064,test,1,25,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0065,train,6,143,10
EXP004,id60 cluster,id60聚类簇,id60_actual_c0066,train,1,16,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0067,train,2,39,2
EXP004,id60 cluster,id60聚类簇,id60_actual_c0068,train,1,28,2
EXP004,id60 cluster,id60聚类簇,id60_actual_c0069,test,1,12,0
EXP004,id60 cluster,id60聚类簇,id60_actual_c0070,train,1,20,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0071,train,1,19,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0072,train,1,17,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0073,val,37,1173,101
EXP004,id60 cluster,id60聚类簇,id60_actual_c0074,train,1,24,2
EXP004,id60 cluster,id60聚类簇,id60_actual_c0075,train,1,28,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0076,train,5,122,10
EXP004,id60 cluster,id60聚类簇,id60_actual_c0077,train,1,39,4
EXP004,id60 cluster,id60聚类簇,id60_actual_c0078,train,2,115,14
EXP004,id60 cluster,id60聚类簇,id60_actual_c0079,train,5,96,6
EXP004,id60 cluster,id60聚类簇,id60_actual_c0080,train,2,86,10
EXP004,id60 cluster,id60聚类簇,id60_actual_c0081,train,1,19,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0082,train,1,20,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0083,train,2,49,5
EXP004,id60 cluster,id60聚类簇,id60_actual_c0084,train,1,37,4
EXP004,id60 cluster,id60聚类簇,id60_actual_c0085,train,1,17,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0086,val,1,22,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0087,val,1,21,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0088,val,1,22,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0089,val,1,23,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0090,test,8,222,17
EXP004,id60 cluster,id60聚类簇,id60_actual_c0091,train,1,48,6
EXP004,id60 cluster,id60聚类簇,id60_actual_c0092,train,1,15,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0093,test,13,305,20
EXP004,id60 cluster,id60聚类簇,id60_actual_c0094,train,4,114,10
EXP004,id60 cluster,id60聚类簇,id60_actual_c0095,train,4,103,8
EXP004,id60 cluster,id60聚类簇,id60_actual_c0096,train,1,46,4
EXP004,id60 cluster,id60聚类簇,id60_actual_c0097,train,1,25,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0098,train,1,16,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0099,train,2,58,4
EXP004,id60 cluster,id60聚类簇,id60_actual_c0100,test,1,24,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0101,train,2,59,5
EXP004,id60 cluster,id60聚类簇,id60_actual_c0102,train,3,100,9
EXP004,id60 cluster,id60聚类簇,id60_actual_c0103,train,3,85,7
EXP004,id60 cluster,id60聚类簇,id60_actual_c0104,train,2,60,6
EXP004,id60 cluster,id60聚类簇,id60_actual_c0105,train,2,60,5
EXP004,id60 cluster,id60聚类簇,id60_actual_c0106,train,1,44,5
EXP004,id60 cluster,id60聚类簇,id60_actual_c0107,train,1,30,2
EXP004,id60 cluster,id60聚类簇,id60_actual_c0108,train,1,26,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0109,train,1,32,3
EXP004,id60 cluster,id60聚类簇,id60_actual_c0110,val,1,20,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0111,train,1,21,2
EXP004,id60 cluster,id60聚类簇,id60_actual_c0112,train,1,12,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0113,val,1,22,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0114,train,3,50,3
EXP004,id60 cluster,id60聚类簇,id60_actual_c0115,train,1,19,2
EXP004,id60 cluster,id60聚类簇,id60_actual_c0116,train,1,14,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0117,train,1,11,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0118,train,1,24,2
EXP004,id60 cluster,id60聚类簇,id60_actual_c0119,test,1,24,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0120,train,1,32,3
EXP004,id60 cluster,id60聚类簇,id60_actual_c0121,test,3,155,20
EXP004,id60 cluster,id60聚类簇,id60_actual_c0122,val,12,462,51
EXP004,id60 cluster,id60聚类簇,id60_actual_c0123,train,2,41,2
EXP004,id60 cluster,id60聚类簇,id60_actual_c0124,train,3,86,6
EXP004,id60 cluster,id60聚类簇,id60_actual_c0125,test,10,206,12
EXP004,id60 cluster,id60聚类簇,id60_actual_c0126,val,16,423,24
EXP004,id60 cluster,id60聚类簇,id60_actual_c0127,test,8,201,14
EXP004,id60 cluster,id60聚类簇,id60_actual_c0128,val,1,22,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0129,train,2,53,4
EXP004,id60 cluster,id60聚类簇,id60_actual_c0130,train,2,41,2
EXP004,id60 cluster,id60聚类簇,id60_actual_c0131,train,1,25,2
EXP004,id60 cluster,id60聚类簇,id60_actual_c0132,val,1,23,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0133,train,1,25,2
EXP004,id60 cluster,id60聚类簇,id60_actual_c0134,train,3,77,4
EXP004,id60 cluster,id60聚类簇,id60_actual_c0135,train,2,43,3
EXP004,id60 cluster,id60聚类簇,id60_actual_c0136,train,1,19,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0137,test,1,25,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0138,train,1,18,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0139,train,1,23,2
EXP004,id60 cluster,id60聚类簇,id60_actual_c0140,val,1,21,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0141,train,1,3,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0142,train,1,29,3
EXP004,id60 cluster,id60聚类簇,id60_actual_c0143,val,25,498,29
EXP004,id60 cluster,id60聚类簇,id60_actual_c0144,val,1,23,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0145,train,1,20,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0146,train,1,18,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0147,test,11,295,25
EXP004,id60 cluster,id60聚类簇,id60_actual_c0148,train,1,19,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0149,test,6,156,12
EXP004,id60 cluster,id60聚类簇,id60_actual_c0150,val,1,22,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0151,train,1,30,3
EXP004,id60 cluster,id60聚类簇,id60_actual_c0152,val,1,21,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0153,train,1,25,2
EXP004,id60 cluster,id60聚类簇,id60_actual_c0154,train,1,25,2
EXP004,id60 cluster,id60聚类簇,id60_actual_c0155,test,1,25,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0156,train,2,54,3
EXP004,id60 cluster,id60聚类簇,id60_actual_c0157,train,1,13,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0158,test,9,299,27
EXP004,id60 cluster,id60聚类簇,id60_actual_c0159,train,1,18,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0160,train,2,25,2
EXP004,id60 cluster,id60聚类簇,id60_actual_c0161,train,1,23,2
EXP004,id60 cluster,id60聚类簇,id60_actual_c0162,train,1,23,2
EXP004,id60 cluster,id60聚类簇,id60_actual_c0163,test,1,18,0
EXP004,id60 cluster,id60聚类簇,id60_actual_c0164,val,1,20,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0165,val,1,22,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0166,train,1,29,3
EXP004,id60 cluster,id60聚类簇,id60_actual_c0167,val,8,143,3
EXP004,id60 cluster,id60聚类簇,id60_actual_c0168,train,1,19,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0169,val,1,20,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0170,val,2,932,148
EXP004,id60 cluster,id60聚类簇,id60_actual_c0171,train,4,112,11
EXP004,id60 cluster,id60聚类簇,id60_actual_c0172,train,3,76,7
EXP004,id60 cluster,id60聚类簇,id60_actual_c0173,train,1,16,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0174,train,1,31,2
EXP004,id60 cluster,id60聚类簇,id60_actual_c0175,test,1,24,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0176,val,1,23,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0177,test,1,35,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0178,train,2,56,3
EXP004,id60 cluster,id60聚类簇,id60_actual_c0179,train,2,44,4
EXP004,id60 cluster,id60聚类簇,id60_actual_c0180,train,1,36,4
EXP004,id60 cluster,id60聚类簇,id60_actual_c0181,train,1,17,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0182,test,4,162,19
EXP004,id60 cluster,id60聚类簇,id60_actual_c0183,val,1,21,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0184,val,1,22,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0185,train,1,14,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0186,train,1,36,4
EXP004,id60 cluster,id60聚类簇,id60_actual_c0187,train,1,36,4
EXP004,id60 cluster,id60聚类簇,id60_actual_c0188,val,1,23,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0189,train,3,142,17
EXP004,id60 cluster,id60聚类簇,id60_actual_c0190,train,1,18,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0191,val,1,20,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0192,train,1,18,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0193,train,2,59,3
EXP004,id60 cluster,id60聚类簇,id60_actual_c0194,train,1,36,3
EXP004,id60 cluster,id60聚类簇,id60_actual_c0195,train,1,16,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0196,val,1,20,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0197,test,7,190,14
EXP004,id60 cluster,id60聚类簇,id60_actual_c0198,train,2,50,5
EXP004,id60 cluster,id60聚类簇,id60_actual_c0199,test,10,299,28
EXP004,id60 cluster,id60聚类簇,id60_actual_c0200,train,1,24,2
EXP004,id60 cluster,id60聚类簇,id60_actual_c0201,train,6,141,9
EXP004,id60 cluster,id60聚类簇,id60_actual_c0202,train,1,41,4
EXP004,id60 cluster,id60聚类簇,id60_actual_c0203,train,1,29,3
EXP004,id60 cluster,id60聚类簇,id60_actual_c0204,train,1,16,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0205,val,1,21,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0206,val,1,23,1
EXP004,id60 cluster,id60聚类簇,id60_actual_c0207,train,1,26,2
EXP004,id60 cluster,id60聚类簇,id60_actual_c0208,train,5,145,16
EXP004,id60 cluster,id60聚类簇,id60_actual_c0209,train,1,17,1
