uniprot_id,organism_name,organism_id,lineage,category,subcategory,is_bia_related
A0A0N7F297,Sinopodophyllum hexandrum (Himalayan may apple) (Podophyllum hexandrum),93608,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), Ranunculales (order), Berberidaceae (family), Podophylloideae (subfamily), Podophylleae (tribe), Sinopodophyllum (genus)",Plants_BIA,Ranunculales/BIA-producing,True
A0A0N9HTU1,Sinopodophyllum hexandrum (Himalayan may apple) (Podophyllum hexandrum),93608,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), Ranunculales (order), Berberidaceae (family), Podophylloideae (subfamily), Podophylleae (tribe), Sinopodophyllum (genus)",Plants_BIA,Ranunculales/BIA-producing,True
A0A0P0YJU0,Delphinium semibarbatum,1127188,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), Ranunculales (order), Ranunculaceae (family), Ranunculoideae (subfamily), Delphinieae (tribe), Delphinium (genus)",Plants_BIA,Ranunculales/BIA-producing,True
A0A1W6S9Y7,Chelidonium majus (Greater celandine),71251,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), Ranunculales (order), Papaveraceae (family), Papaveroideae (subfamily), Chelidonium (genus)",Plants_BIA,Ranunculales/BIA-producing,True
A0A240FWB3,Chelidonium majus (Greater celandine),71251,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), Ranunculales (order), Papaveraceae (family), Papaveroideae (subfamily), Chelidonium (genus)",Plants_BIA,Ranunculales/BIA-producing,True
A0A240FWB4,Chelidonium majus (Greater celandine),71251,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), Ranunculales (order), Papaveraceae (family), Papaveroideae (subfamily), Chelidonium (genus)",Plants_BIA,Ranunculales/BIA-producing,True
A8CDR5,Coptis japonica (Japanese goldthread),3442,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), Ranunculales (order), Ranunculaceae (family), Coptidoideae (subfamily), Coptis (genus)",Plants_BIA,Ranunculales/BIA-producing,True
B1NF18,Papaver somniferum (Opium poppy),3469,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), Ranunculales (order), Papaveraceae (family), Papaveroideae (subfamily), Papaver (genus)",Plants_BIA,Ranunculales/BIA-producing,True
B1NF19,Argemone mexicana (Mexican prickly poppy),54796,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), Ranunculales (order), Papaveraceae (family), Papaveroideae (subfamily), Argemone (genus)",Plants_BIA,Ranunculales/BIA-producing,True
B2BF50,Coptis chinensis,261450,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), Ranunculales (order), Ranunculaceae (family), Coptidoideae (subfamily), Coptis (genus)",Plants_BIA,Ranunculales/BIA-producing,True
