uniprot_id,organism_name,organism_id,lineage,category,subcategory,is_bia_related
A0A059WMF6,Cynara cardunculus var. altilis,341669,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), asterids (clade), campanulids (clade), Asterales (order), Asteraceae (family), Carduoideae (subfamily), Cardueae (tribe), Carduinae (subtribe), Cynara (genus), Cynara cardunculus (species), Cynara cardunculus subsp. cardunculus (subspecies)",Plants_Other,Other plants,False
A0A068Q609,Prunus mume (Japanese apricot) (Armeniaca mume),102107,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), rosids (clade), fabids (clade), Rosales (order), Rosaceae (family), Amygdaloideae (subfamily), Amygdaleae (tribe), Prunus (genus)",Plants_Other,Other plants,False
A0A072UPL5,Medicago truncatula (Barrel medic) (Medicago tribuloides),3880,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), rosids (clade), fabids (clade), Fabales (order), Fabaceae (family), Papilionoideae (subfamily), 50 kb inversion clade (clade), NPAAA clade (clade), Hologalegina (clade), IRL clade (clade), Trifolieae (tribe), Medicago (genus)",Plants_Other,Other plants,False
A0A0A0K2U8,Cucumis sativus (Cucumber),3659,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), rosids (clade), fabids (clade), Cucurbitales (order), Cucurbitaceae (family), Benincaseae (tribe), Cucumis (genus)",Plants_Other,Other plants,False
A0A0A7DLM4,Croton stellatopilosus,431156,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), rosids (clade), fabids (clade), Malpighiales (order), Euphorbiaceae (family), Crotonoideae (subfamily), Crotoneae (tribe), Croton (genus)",Plants_Other,Other plants,False
A0A0B4KZX8,Maesa lanceolata (False assegai),992730,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), asterids (clade), Ericales (order), Primulaceae (family), Maesa (genus)",Plants_Other,Other plants,False
A0A0C5QRZ2,Salvia fruticosa (Greek sage),268906,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), asterids (clade), lamiids (clade), Lamiales (order), Lamiaceae (family), Nepetoideae (subfamily), Mentheae (tribe), Salviinae (subtribe), Salvia (genus), Salvia incertae sedis (no rank)",Plants_Other,Other plants,False
A0A0E4B3I0,Marchantia polymorpha (Common liverwort) (Marchantia aquatica),3197,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Marchantiophyta (clade), Marchantiopsida (class), Marchantiidae (subclass), Marchantiales (order), Marchantiaceae (family), Marchantia (genus)",Plants_Other,Other plants,False
A0A0G2RKY1,Salvia miltiorrhiza (Chinese sage),226208,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), asterids (clade), lamiids (clade), Lamiales (order), Lamiaceae (family), Nepetoideae (subfamily), Mentheae (tribe), Salviinae (subtribe), Salvia (genus), Salvia incertae sedis (no rank)",Plants_Other,Other plants,False
A0A0N7H9X2,Scoparia dulcis (Sweet broom) (Capraria dulcis),107240,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), asterids (clade), lamiids (clade), Lamiales (order), Plantaginaceae (family), Gratioleae (tribe), Scoparia (genus)",Plants_Other,Other plants,False
A0A0S1TP26,Salvia pomifera (Apple sage),396869,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), asterids (clade), lamiids (clade), Lamiales (order), Lamiaceae (family), Nepetoideae (subfamily), Mentheae (tribe), Salviinae (subtribe), Salvia (genus), Salvia incertae sedis (no rank)",Plants_Other,Other plants,False
A0A0S2LLA9,Camellia sinensis (Tea plant) (Thea sinensis),4442,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), asterids (clade), Ericales (order), Theaceae (family), Camellia (genus)",Plants_Other,Other plants,False
A0A0Y0GRS3,Salvia miltiorrhiza (Chinese sage),226208,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), asterids (clade), lamiids (clade), Lamiales (order), Lamiaceae (family), Nepetoideae (subfamily), Mentheae (tribe), Salviinae (subtribe), Salvia (genus), Salvia incertae sedis (no rank)",Plants_Other,Other plants,False
A0A125QZE2,Salvia miltiorrhiza (Chinese sage),226208,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), asterids (clade), lamiids (clade), Lamiales (order), Lamiaceae (family), Nepetoideae (subfamily), Mentheae (tribe), Salviinae (subtribe), Salvia (genus), Salvia incertae sedis (no rank)",Plants_Other,Other plants,False
A0A140IL92,Narcissus aff. pseudonarcissus MK-2014 (Daffodil),1540222,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), Liliopsida (clade), Petrosaviidae (subclass), Asparagales (order), Amaryllidaceae (family), Amaryllidoideae (subfamily), Narcissus (genus)",Plants_Other,Other plants,False
A0A161ABB0,Ocimum basilicum (Sweet basil),39350,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), asterids (clade), lamiids (clade), Lamiales (order), Lamiaceae (family), Nepetoideae (subfamily), Ocimeae (tribe), Ociminae (subtribe), Ocimum (genus)",Plants_Other,Other plants,False
A0A1B1IHZ1,Camptotheca acuminata (Happy tree),16922,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), asterids (clade), Cornales (order), Nyssaceae (family), Camptotheca (genus)",Plants_Other,Other plants,False
A0A1D6F9Y9,Zea mays (Maize),4577,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), Liliopsida (clade), Petrosaviidae (subclass), commelinids (clade), Poales (order), Poaceae (family), PACMAD clade (clade), Panicoideae (subfamily), Andropogonodae (no rank), Andropogoneae (tribe), Tripsacinae (subtribe), Zea (genus)",Plants_Other,Other plants,False
A0A1D6GQ67,Zea mays (Maize),4577,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), Liliopsida (clade), Petrosaviidae (subclass), commelinids (clade), Poales (order), Poaceae (family), PACMAD clade (clade), Panicoideae (subfamily), Andropogonodae (no rank), Andropogoneae (tribe), Tripsacinae (subtribe), Zea (genus)",Plants_Other,Other plants,False
A0A1D6HSP4,Zea mays (Maize),4577,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), Liliopsida (clade), Petrosaviidae (subclass), commelinids (clade), Poales (order), Poaceae (family), PACMAD clade (clade), Panicoideae (subfamily), Andropogonodae (no rank), Andropogoneae (tribe), Tripsacinae (subtribe), Zea (genus)",Plants_Other,Other plants,False
A0A1I9Q5Z0,Platycodon grandiflorus (Balloon flower) (Campanula grandiflora),94286,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), asterids (clade), campanulids (clade), Asterales (order), Campanulaceae (family), Platycodon (genus)",Plants_Other,Other plants,False
A0A1J6JQE7,Nicotiana attenuata (Coyote tobacco),49451,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), asterids (clade), lamiids (clade), Solanales (order), Solanaceae (family), Nicotianoideae (subfamily), Nicotianeae (tribe), Nicotiana (genus)",Plants_Other,Other plants,False
A0A1L7NT18,Citrus unshiu (Satsuma mandarin) (Citrus nobilis var. unshiu),55188,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), rosids (clade), malvids (clade), Sapindales (order), Rutaceae (family), Aurantioideae (subfamily), Citrus (genus)",Plants_Other,Other plants,False
A0A1L7NXK5,Glycyrrhiza uralensis (Chinese licorice) (Glycyrrhiza shiheziensis),74613,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), rosids (clade), fabids (clade), Fabales (order), Fabaceae (family), Papilionoideae (subfamily), 50 kb inversion clade (clade), NPAAA clade (clade), Hologalegina (clade), IRL clade (clade), Galegeae (tribe), Glycyrrhiza (genus)",Plants_Other,Other plants,False
A0A1P8W705,Eleutherococcus senticosus,82096,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), asterids (clade), campanulids (clade), Apiales (order), Apiineae (suborder), Araliaceae (family), Eleutherococcus (genus)",Plants_Other,Other plants,False
