uniprot_id,organism_name,organism_id,lineage,category,subcategory,is_bia_related
A0A0T9WNE5,Mycobacterium tuberculosis,1773,"cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Mycobacteriales (order), Mycobacteriaceae (family), Mycobacterium (genus), Mycobacterium tuberculosis complex (no rank)",Bacteria,Bacteria,False
A0A653FHY2,Mycolicibacterium smegmatis (Mycobacterium smegmatis),1772,"cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Mycobacteriales (order), Mycobacteriaceae (family), Mycolicibacterium (genus)",Bacteria,Bacteria,False
A0A655A8T0,Mycobacterium tuberculosis,1773,"cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Mycobacteriales (order), Mycobacteriaceae (family), Mycobacterium (genus), Mycobacterium tuberculosis complex (no rank)",Bacteria,Bacteria,False
B4XY99,Streptomyces sahachiroi,285525,"cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Kitasatosporales (order), Streptomycetaceae (family), Streptomyces (genus)",Bacteria,Bacteria,False
C4B644,Pseudonocardia autotrophica (Amycolata autotrophica) (Nocardia autotrophica),2074,"cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Pseudonocardiales (order), Pseudonocardiaceae (family), Pseudonocardia (genus)",Bacteria,Bacteria,False
C9K1X6,Streptomyces melanosporofaciens,67327,"cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Kitasatosporales (order), Streptomycetaceae (family), Streptomyces (genus), Streptomyces violaceusniger group (no rank)",Bacteria,Bacteria,False
C9K1X7,Streptomyces melanosporofaciens,67327,"cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Kitasatosporales (order), Streptomycetaceae (family), Streptomyces (genus), Streptomyces violaceusniger group (no rank)",Bacteria,Bacteria,False
E3VWI3,Streptomyces arenae,29301,"cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Kitasatosporales (order), Streptomycetaceae (family), Streptomyces (genus)",Bacteria,Bacteria,False
E3VWJ9,Streptomyces exfoliatus (Streptomyces hydrogenans),1905,"cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Kitasatosporales (order), Streptomycetaceae (family), Streptomyces (genus)",Bacteria,Bacteria,False
O24782,Sphingomonas paucimobilis (Pseudomonas paucimobilis),13689,"cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Sphingomonadales (order), Sphingomonadaceae (family), Sphingomonas (genus)",Bacteria,Bacteria,False
Q06069,Priestia megaterium (Bacillus megaterium),1404,"cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Bacillota (phylum), Bacilli (class), Bacillales (order), Bacillaceae (family), Priestia (genus)",Bacteria,Bacteria,False
Q06IS2,Streptomyces longisporoflavus,28044,"cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Kitasatosporales (order), Streptomycetaceae (family), Streptomyces (genus)",Bacteria,Bacteria,False
Q52TE7,Rhodococcus ruber,1830,"cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Mycobacteriales (order), Nocardiaceae (family), Rhodococcus (genus)",Bacteria,Bacteria,False
Q59723,Pseudomonas putida (Arthrobacter siderocapsulatus),303,"cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Pseudomonadales (order), Pseudomonadaceae (family), Pseudomonas (genus), Pseudomonas putida group (no rank)",Bacteria,Bacteria,False
Q83WG3,Streptomyces sp. TP-A0274,171258,"cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Kitasatosporales (order), Streptomycetaceae (family), Streptomyces (genus), unclassified Streptomyces (no rank)",Bacteria,Bacteria,False
Q8VQF6,Citrobacter braakii,57706,"cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Enterobacterales (order), Enterobacteriaceae (family), Citrobacter (genus), Citrobacter freundii complex (no rank)",Bacteria,Bacteria,False
Q9ZAU3,Streptomyces peucetius,1950,"cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Kitasatosporales (order), Streptomycetaceae (family), Streptomyces (genus)",Bacteria,Bacteria,False
W6RGX9,Rhizobium favelukesii,348824,"cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Hyphomicrobiales (order), Rhizobiaceae (family), Rhizobium/Agrobacterium group (no rank), Rhizobium (genus)",Bacteria,Bacteria,False
