uniprot_id,organism_name,organism_id,lineage,category,subcategory,is_bia_related
A0A059WMF6,Cynara cardunculus var. altilis,341669,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), asterids (clade), campanulids (clade), Asterales (order), Asteraceae (family), Carduoideae (subfamily), Cardueae (tribe), Carduinae (subtribe), Cynara (genus), Cynara cardunculus (species), Cynara cardunculus subsp. cardunculus (subspecies)",Plants_Other,Other plants,False
A0A068Q609,Prunus mume (Japanese apricot) (Armeniaca mume),102107,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), rosids (clade), fabids (clade), Rosales (order), Rosaceae (family), Amygdaloideae (subfamily), Amygdaleae (tribe), Prunus (genus)",Plants_Other,Other plants,False
A0A072UPL5,Medicago truncatula (Barrel medic) (Medicago tribuloides),3880,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), rosids (clade), fabids (clade), Fabales (order), Fabaceae (family), Papilionoideae (subfamily), 50 kb inversion clade (clade), NPAAA clade (clade), Hologalegina (clade), IRL clade (clade), Trifolieae (tribe), Medicago (genus)",Plants_Other,Other plants,False
A0A097HUX0,Danio rerio (Zebrafish) (Brachydanio rerio),7955,"cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Actinopterygii (superclass), Actinopteri (class), Neopterygii (subclass), Teleostei (infraclass), Osteoglossocephalai (clade), Clupeocephala (no rank), Otomorpha (cohort), Ostariophysi (subcohort), Otophysi (clade), Cypriniphysae (superorder), Cypriniformes (order), Cyprinoidei (suborder), Danionidae (family), Danioninae (subfamily), Danio (genus)",Other_Animals,Fish,False
A0A0A0K2U8,Cucumis sativus (Cucumber),3659,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), rosids (clade), fabids (clade), Cucurbitales (order), Cucurbitaceae (family), Benincaseae (tribe), Cucumis (genus)",Plants_Other,Other plants,False
A0A0A7DLM4,Croton stellatopilosus,431156,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), rosids (clade), fabids (clade), Malpighiales (order), Euphorbiaceae (family), Crotonoideae (subfamily), Crotoneae (tribe), Croton (genus)",Plants_Other,Other plants,False
A0A0B4KZX8,Maesa lanceolata (False assegai),992730,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), asterids (clade), Ericales (order), Primulaceae (family), Maesa (genus)",Plants_Other,Other plants,False
A0A0C5QRZ2,Salvia fruticosa (Greek sage),268906,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), asterids (clade), lamiids (clade), Lamiales (order), Lamiaceae (family), Nepetoideae (subfamily), Mentheae (tribe), Salviinae (subtribe), Salvia (genus), Salvia incertae sedis (no rank)",Plants_Other,Other plants,False
A0A0E4B3I0,Marchantia polymorpha (Common liverwort) (Marchantia aquatica),3197,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Marchantiophyta (clade), Marchantiopsida (class), Marchantiidae (subclass), Marchantiales (order), Marchantiaceae (family), Marchantia (genus)",Plants_Other,Other plants,False
A0A0G2JXU4,Rattus norvegicus (Rat),10116,"cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Mammalia (class), Theria (clade), Eutheria (clade), Boreoeutheria (clade), Euarchontoglires (superorder), Glires (clade), Rodentia (order), Myomorpha (suborder), Muroidea (clade), Muridae (family), Murinae (subfamily), Rattus (genus)",Mammals,Other mammals,False
A0A0G2K9N5,Rattus norvegicus (Rat),10116,"cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Mammalia (class), Theria (clade), Eutheria (clade), Boreoeutheria (clade), Euarchontoglires (superorder), Glires (clade), Rodentia (order), Myomorpha (suborder), Muroidea (clade), Muridae (family), Murinae (subfamily), Rattus (genus)",Mammals,Other mammals,False
A0A0G2RKY1,Salvia miltiorrhiza (Chinese sage),226208,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), asterids (clade), lamiids (clade), Lamiales (order), Lamiaceae (family), Nepetoideae (subfamily), Mentheae (tribe), Salviinae (subtribe), Salvia (genus), Salvia incertae sedis (no rank)",Plants_Other,Other plants,False
A0A0N7F297,Sinopodophyllum hexandrum (Himalayan may apple) (Podophyllum hexandrum),93608,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), Ranunculales (order), Berberidaceae (family), Podophylloideae (subfamily), Podophylleae (tribe), Sinopodophyllum (genus)",Plants_BIA,Ranunculales/BIA-producing,True
A0A0N7H9X2,Scoparia dulcis (Sweet broom) (Capraria dulcis),107240,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), asterids (clade), lamiids (clade), Lamiales (order), Plantaginaceae (family), Gratioleae (tribe), Scoparia (genus)",Plants_Other,Other plants,False
A0A0N9HTU1,Sinopodophyllum hexandrum (Himalayan may apple) (Podophyllum hexandrum),93608,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), Ranunculales (order), Berberidaceae (family), Podophylloideae (subfamily), Podophylleae (tribe), Sinopodophyllum (genus)",Plants_BIA,Ranunculales/BIA-producing,True
A0A0P0YJU0,Delphinium semibarbatum,1127188,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), Ranunculales (order), Ranunculaceae (family), Ranunculoideae (subfamily), Delphinieae (tribe), Delphinium (genus)",Plants_BIA,Ranunculales/BIA-producing,True
A0A0S1TP26,Salvia pomifera (Apple sage),396869,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), asterids (clade), lamiids (clade), Lamiales (order), Lamiaceae (family), Nepetoideae (subfamily), Mentheae (tribe), Salviinae (subtribe), Salvia (genus), Salvia incertae sedis (no rank)",Plants_Other,Other plants,False
A0A0S2LLA9,Camellia sinensis (Tea plant) (Thea sinensis),4442,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), asterids (clade), Ericales (order), Theaceae (family), Camellia (genus)",Plants_Other,Other plants,False
A0A0T9WNE5,Mycobacterium tuberculosis,1773,"cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Mycobacteriales (order), Mycobacteriaceae (family), Mycobacterium (genus), Mycobacterium tuberculosis complex (no rank)",Bacteria,Bacteria,False
A0A0Y0GRS3,Salvia miltiorrhiza (Chinese sage),226208,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), asterids (clade), lamiids (clade), Lamiales (order), Lamiaceae (family), Nepetoideae (subfamily), Mentheae (tribe), Salviinae (subtribe), Salvia (genus), Salvia incertae sedis (no rank)",Plants_Other,Other plants,False
A0A125QZE2,Salvia miltiorrhiza (Chinese sage),226208,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), asterids (clade), lamiids (clade), Lamiales (order), Lamiaceae (family), Nepetoideae (subfamily), Mentheae (tribe), Salviinae (subtribe), Salvia (genus), Salvia incertae sedis (no rank)",Plants_Other,Other plants,False
A0A140IL92,Narcissus aff. pseudonarcissus MK-2014 (Daffodil),1540222,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), Liliopsida (clade), Petrosaviidae (subclass), Asparagales (order), Amaryllidaceae (family), Amaryllidoideae (subfamily), Narcissus (genus)",Plants_Other,Other plants,False
A0A161ABB0,Ocimum basilicum (Sweet basil),39350,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), asterids (clade), lamiids (clade), Lamiales (order), Lamiaceae (family), Nepetoideae (subfamily), Ocimeae (tribe), Ociminae (subtribe), Ocimum (genus)",Plants_Other,Other plants,False
A0A173GQ95,Absidia caerulea,90261,"cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Fungi incertae sedis (no rank), Mucoromycota (phylum), Mucoromycotina (subphylum), Mucoromycetes (class), Mucorales (order), Cunninghamellaceae (family), Absidia (genus)",Fungi,Fungi,False
A0A1B1IHZ1,Camptotheca acuminata (Happy tree),16922,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), asterids (clade), Cornales (order), Nyssaceae (family), Camptotheca (genus)",Plants_Other,Other plants,False
A0A1D6F9Y9,Zea mays (Maize),4577,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), Liliopsida (clade), Petrosaviidae (subclass), commelinids (clade), Poales (order), Poaceae (family), PACMAD clade (clade), Panicoideae (subfamily), Andropogonodae (no rank), Andropogoneae (tribe), Tripsacinae (subtribe), Zea (genus)",Plants_Other,Other plants,False
