epoch,timestamp,lr,grad_norm,train_loss,val_loss,val_auc,val_aupr,val_auc_0,val_auc_1,val_auc_2,val_auc_3,val_auc_4,val_auc_5,val_auc_6,val_aupr_0,val_aupr_1,val_aupr_2,val_aupr_3,val_aupr_4,val_aupr_5,val_aupr_6
0,2026-04-16 05:50:51,5.00e-06,1.8713,0.592016,0.508546,,,,,,,,,,,,,,,,
1,2026-04-16 05:51:53,3.79e-05,0.5241,0.324205,0.293391,0.440113,0.073383,0.440113,,,,,,,0.073383,,,,,,
2,2026-04-16 05:52:55,7.08e-05,0.2003,0.299687,0.291325,0.500245,0.083541,0.500245,,,,,,,0.083541,,,,,,
3,2026-04-16 05:53:57,1.04e-04,0.2264,0.306295,0.289105,0.559930,0.097809,0.559930,,,,,,,0.097809,,,,,,
4,2026-04-16 05:54:57,1.37e-04,0.2184,0.291163,0.287838,0.577488,0.101884,0.577488,,,,,,,0.101884,,,,,,
5,2026-04-16 05:56:01,1.70e-04,0.2178,0.302331,0.284795,0.590563,0.107791,0.590563,,,,,,,0.107791,,,,,,
6,2026-04-16 05:57:02,2.03e-04,0.3003,0.280900,0.276323,0.608899,0.112035,0.608899,,,,,,,0.112035,,,,,,
7,2026-04-16 05:58:02,2.35e-04,0.3360,0.284443,0.266969,0.665076,0.166109,0.665076,,,,,,,0.166109,,,,,,
8,2026-04-16 05:59:03,2.68e-04,0.3838,0.261477,0.253808,0.710984,0.213387,0.710984,,,,,,,0.213387,,,,,,
9,2026-04-16 06:00:04,3.01e-04,0.3874,0.237023,0.241681,0.779701,0.272329,0.779701,,,,,,,0.272329,,,,,,
10,2026-04-16 06:01:04,3.34e-04,0.4410,0.218316,0.233293,0.799944,0.272682,0.799944,,,,,,,0.272682,,,,,,
11,2026-04-16 06:02:05,3.67e-04,0.4393,0.210387,0.222660,0.837545,0.374443,0.837545,,,,,,,0.374443,,,,,,
12,2026-04-16 06:03:03,4.00e-04,0.4482,0.199015,0.215109,0.842047,0.393236,0.842047,,,,,,,0.393236,,,,,,
13,2026-04-16 06:04:02,4.00e-04,0.5039,0.192402,0.212971,0.866753,0.442180,0.866753,,,,,,,0.442180,,,,,,
14,2026-04-16 06:05:00,4.00e-04,0.4505,0.170860,0.208740,0.873882,0.456084,0.873882,,,,,,,0.456084,,,,,,
15,2026-04-16 06:06:00,4.00e-04,0.4944,0.165755,0.199192,0.877543,0.469339,0.877543,,,,,,,0.469339,,,,,,
16,2026-04-16 06:06:59,4.00e-04,0.5351,0.164018,0.201960,0.888628,0.502894,0.888628,,,,,,,0.502894,,,,,,
17,2026-04-16 06:07:58,4.00e-04,0.5125,0.148639,0.194760,0.894191,0.518666,0.894191,,,,,,,0.518666,,,,,,
18,2026-04-16 06:08:56,4.00e-04,0.5286,0.135275,0.195153,0.897022,0.530820,0.897022,,,,,,,0.530820,,,,,,
19,2026-04-16 06:09:55,4.00e-04,0.5572,0.141946,0.200561,0.903124,0.543696,0.903124,,,,,,,0.543696,,,,,,
20,2026-04-16 06:10:54,4.00e-04,0.5215,0.128068,0.196415,0.903418,0.560644,0.903418,,,,,,,0.560644,,,,,,
21,2026-04-16 06:11:52,4.00e-04,0.5823,0.126171,0.199402,0.906128,0.550346,0.906128,,,,,,,0.550346,,,,,,
22,2026-04-16 06:12:50,4.00e-04,0.6196,0.118975,0.205475,0.906937,0.544619,0.906937,,,,,,,0.544619,,,,,,
23,2026-04-16 06:13:49,4.00e-04,0.5938,0.116715,0.204265,0.904874,0.542520,0.904874,,,,,,,0.542520,,,,,,
24,2026-04-16 06:14:48,4.00e-04,0.5875,0.101888,0.189653,0.905412,0.548777,0.905412,,,,,,,0.548777,,,,,,
25,2026-04-16 06:15:48,4.00e-04,0.5794,0.107588,0.202499,0.914348,0.587079,0.914348,,,,,,,0.587079,,,,,,
26,2026-04-16 06:16:48,4.00e-04,0.5796,0.095310,0.191025,0.907859,0.538890,0.907859,,,,,,,0.538890,,,,,,
27,2026-04-16 06:17:46,4.00e-04,0.6495,0.100911,0.211985,0.916688,0.584392,0.916688,,,,,,,0.584392,,,,,,
28,2026-04-16 06:18:45,4.00e-04,0.6111,0.092849,0.193839,0.914117,0.592115,0.914117,,,,,,,0.592115,,,,,,
