entity_type,global_id,source,source_local_id,merge_basis,conflict_flags,notes
enzyme,,S9_PCPD,1,seq_bridge,,bridged to P00183
enzyme,,S9_PCPD,2,seq_bridge,,bridged to Q2G637
enzyme,,S9_PCPD,4,seq_bridge,,bridged to Q2G8A2
enzyme,,S9_PCPD,9,seq_bridge,,bridged to S6BVH1
enzyme,,S9_PCPD,11,seq_bridge,,bridged to Q59079
enzyme,,S9_PCPD,12,seq_bridge,,bridged to W5VH56
enzyme,,S9_PCPD,15,seq_bridge,,bridged to A0A0H3CVZ6
enzyme,,S9_PCPD,16,seq_bridge,,bridged to Q8VS75
enzyme,,S9_PCPD,20,seq_bridge,,bridged to Q93H81
enzyme,,S9_PCPD,25,seq_bridge,,bridged to M1GMS4
enzyme,,S9_PCPD,27,seq_bridge,,bridged to A0A088FL33
enzyme,,S9_PCPD,29,seq_bridge,,bridged to D5DKI8
enzyme,,S9_PCPD,30,seq_bridge,,bridged to P14762
enzyme,,S9_PCPD,33,seq_bridge,,bridged to Q59723
enzyme,,S9_PCPD,38,seq_bridge,,bridged to Q59990
enzyme,,S9_PCPD,41,ambiguous_bridge,multi_uniprot_match,"candidates=['P63710', 'P9WPP0', 'P9WPP1']"
enzyme,,S9_PCPD,46,seq_bridge,,bridged to P9WPN7
enzyme,,S9_PCPD,49,seq_bridge,,bridged to Q59971
enzyme,,S9_PCPD,50,seq_bridge,,bridged to A0R4Q6
enzyme,,S9_PCPD,52,seq_bridge,,bridged to I3DZK9
enzyme,,S9_PCPD,58,seq_bridge,,bridged to Q82GL5
enzyme,,S9_PCPD,76,seq_bridge,,bridged to Q6N8N2
enzyme,,S9_PCPD,77,seq_bridge,,bridged to Q2IU02
enzyme,,S9_PCPD,79,seq_bridge,,bridged to G0L713
enzyme,,S9_PCPD,81,seq_bridge,,bridged to A9ERX9
enzyme,,S9_PCPD,85,seq_bridge,,bridged to B2HMF7
enzyme,,S9_PCPD,87,seq_bridge,,bridged to Q603T8
enzyme,,S9_PCPD,138,seq_bridge,,bridged to P16496
enzyme,,S9_PCPD,139,seq_bridge,,bridged to P16141
enzyme,,S9_PCPD,140,seq_bridge,,bridged to Q12581
enzyme,,S9_PCPD,143,seq_bridge,,bridged to Q12586
enzyme,,S9_PCPD,159,seq_bridge,,bridged to P17549
enzyme,,S9_PCPD,168,seq_bridge,,bridged to Q00707
enzyme,,S9_PCPD,183,seq_bridge,,bridged to Q12732
enzyme,,S9_PCPD,195,seq_bridge,,bridged to P54781
