global_enzyme_id,source,source_enzyme_id,source_uniprot_id,source_p450_symbol,source_species,source_ec_number,source_sequence_hash
ENZ_G000001,S3_P450Rdb,0,A0A017SR40,echP450,Aspergillus ruber (strain CBS 135680),1.-.-.-,0985b72348f8d864d94b0d0486589f2d853c96db8d7012c51535e1aacb292382
ENZ_G000001,S9_PCPD,110,A0A017SR40,CYP5066E1,Aspergillus ruber,,0985b72348f8d864d94b0d0486589f2d853c96db8d7012c51535e1aacb292382
ENZ_G000002,S8_PlantP450DB,271,A0A024FAV2,CYP81A21,Echinochloa phyllopogon,,d5c34415f71404787dc74fedf4a76d2c92cb0aad01d87d5374706db05bbdab93
ENZ_G000003,S8_PlantP450DB,270,A0A024FAY2,CYP81A12,Echinochloa phyllopogon,,aafebbc5ed9a6b06ad9ebc70e63dc21261ecde7d6a26645c83ee2605a36cdc07
ENZ_G000004,S2_ESIBank,0,A0A059WMF6,,,1.14.14.150,f4b4b1ffb6482526ba475c168384df6d7160c235a6e07827335d7bdc748b974f
ENZ_G000004,S8_PlantP450DB,100,A0A059WMF6,CYP71BL5,Cynara cardunculus,,f4b4b1ffb6482526ba475c168384df6d7160c235a6e07827335d7bdc748b974f
ENZ_G000004,S8_PlantP450DB,82,A0A059WMF6,CYP71AV9,Cynara cardunculus,,f4b4b1ffb6482526ba475c168384df6d7160c235a6e07827335d7bdc748b974f
ENZ_G000005,S3_P450Rdb,1,A0A067DE75,CYP716AD2,Citrus sinensis (Sweet orange) (Citrus aurantium var. sinensis),1.14.14.-,13ce30be74f1c9d7b65992d5733627b62fed835e3e56c1c308da10c677cc9732
ENZ_G000006,S3_P450Rdb,2,A0A067DT54,CYP88A37,Citrus sinensis (Sweet orange) (Citrus aurantium var. sinensis),1.14.14.-,420c0405adb96a00ba517fb32dbebe813c20481e670d85be8caf6fd364af7699
ENZ_G000007,S3_P450Rdb,3,A0A067E1K2,CYP88A51,Citrus sinensis (Sweet orange) (Citrus aurantium var. sinensis),1.14.14.-,4bdbe09f77e900814dda67bc12ebe632f26939e99db4d2340b27cd9e1f6e9dde
ENZ_G000008,S3_P450Rdb,4,A0A067ELB0,CYP716AC1,Citrus sinensis (Sweet orange) (Citrus aurantium var. sinensis),1.14.14.-,98ca240a99872c54a8375890755a723936916833f08c471dc284ab9fb6b41428
ENZ_G000009,S3_P450Rdb,5,A0A067F4I6,CYP71BQ4,Citrus sinensis (Sweet orange) (Citrus aurantium var. sinensis),1.14.14.-,f14ac8deb7a184e43cf815c23e3c0d230a4a9caa9f38269cf478f7b949c27bf6
ENZ_G000009,S8_PlantP450DB,102,A0A067F4I6,CYP71BQ4,Citrus sinensis,,f14ac8deb7a184e43cf815c23e3c0d230a4a9caa9f38269cf478f7b949c27bf6
ENZ_G000010,S3_P450Rdb,6,A0A067GFT7,CYP71CD1,Citrus sinensis (Sweet orange) (Citrus aurantium var. sinensis),1.14.14.-,e5011bb4b59e58409585594986066cbb7ed6cc2f84360c9011c77739dcf02d6e
ENZ_G000010,S8_PlantP450DB,107,A0A067GFT7,CYP71CD1,Citrus sinensis,,e5011bb4b59e58409585594986066cbb7ed6cc2f84360c9011c77739dcf02d6e
ENZ_G000011,S8_PlantP450DB,127,A0A067L1K9,CYP726A35,Jatropha curcas,,cb43da9056159bcee1a85c209bae297006376799caa3db7e858cfcb70a86599e
ENZ_G000011,S9_PCPD,610,A0A067L1K9,CYP726A35,Jatropha curcas,,cb43da9056159bcee1a85c209bae297006376799caa3db7e858cfcb70a86599e
ENZ_G000012,S8_PlantP450DB,55,A0A067L546,CYP71D495,Jatropha curcas,,801bc292220445db9ae95ef32ad80ba82584bcf9bb443d5568a6b2c0d1090239
ENZ_G000012,S9_PCPD,583,,CYP71D495,Jatropha curcas,,801bc292220445db9ae95ef32ad80ba82584bcf9bb443d5568a6b2c0d1090239
ENZ_G000013,S3_P450Rdb,7,A0A067LCX8,CYP726A20,Jatropha curcas (Barbados nut),/,4c907bf6d785fcd6a390fe42fbb3698dd597f7afc8d30ab1286929539a4e3ffd
ENZ_G000013,S8_PlantP450DB,125,A0A067LCX8,CYP726A20,Jatropha curcas,,4c907bf6d785fcd6a390fe42fbb3698dd597f7afc8d30ab1286929539a4e3ffd
ENZ_G000013,S9_PCPD,608,A0A067LCX8,CYP726A20,Jatropha curcas,,4c907bf6d785fcd6a390fe42fbb3698dd597f7afc8d30ab1286929539a4e3ffd
ENZ_G000014,S3_P450Rdb,8,A0A067ZUX1,crpE,Pseudomonas corrugata,/,344a43601f917017428ff1f5b0b3a32b5fe273eb60affc53b43c09661d2742dd
ENZ_G000015,S3_P450Rdb,9,A0A068Q605,CYP79A68,Prunus mume (Japanese apricot) (Armeniaca mume),1.14.14.156,d1616076941fe60439b5c317e6a0ddc4f94658e095b1ca2a187e01fea460fcb7
ENZ_G000015,S9_PCPD,708,A0A068Q605,CYP79A68,Prunus mume,,d1616076941fe60439b5c317e6a0ddc4f94658e095b1ca2a187e01fea460fcb7
ENZ_G000016,S2_ESIBank,1,A0A068Q609,,,1.14.14.44,f67d9b36f49be8750887afd3f11d51d04dcafb7220e582ebdcc9a7bcf77c12a2
ENZ_G000016,S3_P450Rdb,10,A0A068Q609,CYP71AN24,Prunus mume (Japanese apricot) (Armeniaca mume),1.14.14.44; 1.14.14.77,f67d9b36f49be8750887afd3f11d51d04dcafb7220e582ebdcc9a7bcf77c12a2
ENZ_G000016,S8_PlantP450DB,71,A0A068Q609,PmCYP71AN24,Prunus mume,,f67d9b36f49be8750887afd3f11d51d04dcafb7220e582ebdcc9a7bcf77c12a2
ENZ_G000016,S9_PCPD,526,,CYP71AN24,Prunus mume,,f67d9b36f49be8750887afd3f11d51d04dcafb7220e582ebdcc9a7bcf77c12a2
ENZ_G000017,S3_P450Rdb,11,A0A068Q7V0,CYP79D16,Prunus mume (Japanese apricot) (Armeniaca mume),1.14.14.40,77b1dfb7781340ff5f1bc9f3dca07b7ca8b74d08eac1d6a14e550eb1cc58b558
ENZ_G000017,S8_PlantP450DB,250,A0A068Q7V0,PmCYP79D16,Prunus mume,,77b1dfb7781340ff5f1bc9f3dca07b7ca8b74d08eac1d6a14e550eb1cc58b558
ENZ_G000018,S2_ESIBank,2,A0A072UPL5,,,1.14.14.87,2e26dd6ac76d0ef0d4bb153ec7a1db75031d75d9ad13242ca8256a6b04e5fa5b
ENZ_G000019,S3_P450Rdb,12,A0A072V9E9,CYP72A68v1,Medicago truncatula (Barrel medic) (Medicago tribuloides),1.14.14.115,d8d68b86c81c71c3f8fce3d1b3490128931947815832aabf54de210bf9ce7392
ENZ_G000019,S9_PCPD,630,A0A072V9E9,CYP72A68v1,Medicago truncatula,,d8d68b86c81c71c3f8fce3d1b3490128931947815832aabf54de210bf9ce7392
ENZ_G000020,S3_P450Rdb,13,A0A075TMP8,patI,Penicillium expansum (Blue mold rot fungus),1.-.-.-,c2dc5d21fb7e88adc088d724aabc8369d6bbab500fe42025e6ff8893cf30e581
ENZ_G000020,S9_PCPD,188,A0A075TMP8,CYP619C2Pe,Penicillium expansum,,c2dc5d21fb7e88adc088d724aabc8369d6bbab500fe42025e6ff8893cf30e581
ENZ_G000021,S3_P450Rdb,14,A0A075TRL5,patH,Penicillium expansum (Blue mold rot fungus),1.-.-.-,b3ab3f8c6d1bfaaa958e43b3d8380c4f614b699cd98fb9934b1687b54d8099ba
ENZ_G000021,S9_PCPD,191,A0A075TRL5,CYP619C3Pe,Penicillium expansum,,b3ab3f8c6d1bfaaa958e43b3d8380c4f614b699cd98fb9934b1687b54d8099ba
ENZ_G000022,S1_RCSB,0,A0A076MY51,,Amycolatopsis sp. ATCC 39116,,1ebe7c3d55932c2ec0850e60e20dc211a7229d6d3a20077beab57eeb99aa0d16
ENZ_G000023,S3_P450Rdb,15,A0A076U5L2,CYP720B1,Pinus contorta,,78b013b39915fa2794c88cf6c6780f6eac76b7d3cf5808abc2d29a59894be1f9
ENZ_G000024,S1_RCSB,1,A0A077KEB8,,Streptomyces blastmyceticus,,71e9ac07142649c4907fbc321935c7c1fa96146c177ab2a822a10a3c769a9d47
ENZ_G000024,S3_P450Rdb,16,A0A077KEB8,TleB,Streptomyces blastmyceticus,/,8e6c75937aee98920971f045c4d0a8d835e09c2f245cd1f7585f939908a53b3f
ENZ_G000025,S3_P450Rdb,17,A0A087X1C5,CYP2D7,Homo sapiens (Human),1.14.14.1,fd24f181a620e33b2702683f65fbc1bbd203636a76607404e7623cecb4019e74
ENZ_G000026,S1_RCSB,2,A0A088FL33,,Rhodococcus coprophilus,,6e95fb5ad9fe209855a6da0b994061a9bfd8e09ff0b790c16ea65252f3fa73b2
ENZ_G000026,S9_PCPD,27,,CYP108B1,Rhodococcus coprophilus,,6e95fb5ad9fe209855a6da0b994061a9bfd8e09ff0b790c16ea65252f3fa73b2
ENZ_G000027,S3_P450Rdb,18,A0A088LHH3,CYP93E4,Arachis hypogaea (Peanut),/,3d930518814fe6e7a6b4ea5b3b6da4131c6a75915422a6f6cb623f4eaa93af80
ENZ_G000027,S8_PlantP450DB,338,A0A088LHH3,CYP93E4,Arachis hypogaea,,3d930518814fe6e7a6b4ea5b3b6da4131c6a75915422a6f6cb623f4eaa93af80
ENZ_G000027,S9_PCPD,798,A0A088LHH3,CYP93E4,Arachis hypogaea,,3d930518814fe6e7a6b4ea5b3b6da4131c6a75915422a6f6cb623f4eaa93af80
ENZ_G000028,S3_P450Rdb,19,A0A088LHH7,CYP93E9,Phaseolus vulgaris (Kidney bean) (French bean),/,033a4fb0a113064a63e7c5c3e475bf2903f20a6c2cb1c76ec343b806412aa61d
ENZ_G000028,S8_PlantP450DB,343,A0A088LHH7,CYP93E9,Phaseolus vulgaris,,033a4fb0a113064a63e7c5c3e475bf2903f20a6c2cb1c76ec343b806412aa61d
ENZ_G000028,S9_PCPD,803,A0A088LHH7,CYP93E9,Phaseolus vulgaris,,033a4fb0a113064a63e7c5c3e475bf2903f20a6c2cb1c76ec343b806412aa61d
