"dataset","structure_index","enzyme_index","uniprot","sequence_length","substrate","n_samples","n_positive","best_entry_id","best_entity_id","best_rcsb_polymer_entity_id","best_auth_asym_ids","best_reference_sequence_coverage","best_entity_sequence_coverage","best_ligand_comp_ids","best_target_file","n_heme_fe_candidates_for_uniprot"
"brenda","31295","5109","P08684","503","C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C","1","1","9YK4","1.0","9YK4_1","A","0.9602385685884692","0.9917864476386036","EDO;GOL;HEM;IMD;PG4","9YK4.cif","122"
"brenda","31328","4928","Q9ZAU3","415","COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1","1","1","9O35","1.0","9O35_1","A;B","0.9975903614457832","0.9741176470588236","DM1;HEM;SO4","9O35.cif","3"
"brenda","33993","5064","Q6VVX0","501","C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]12","1","1","3DL9","1.0","3DL9_1","A;B","0.93812375249501","0.9812108559498957","HEM;V2H","3DL9.cif","3"
"brenda","36017","5034","P05093","508","CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C","1","1","8FDA","1.0","8FDA_1","A;B;C;D","0.9547244094488188","0.9817813765182186","HEM;XPK","8FDA.cif","17"
"brenda","37926","3383","P23295","403","[NH4+]","1","1","7DVO","1.0","7DVO_1","A;B","1.0","1.0","GOL;HEM;NO","7DVO.cif","27"
"brenda","40202","5068","Q9Y6A2","500","CC(C)CCCC(C)[C@H]1CCC2C3CC=C4C[C@@H](OS(=O)(=O)O)CC[C@]4(C)C3C[C@@H](C)C21","1","1","9NNO","1.0","9NNO_1","A","0.934","0.9852320675105484","A1BY9;EDO;HEM","9NNO.cif","21"
"brenda","40212","5056","P22680","504","CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C","1","1","3V8D","1.0","3V8D_1","A;B","0.9503968253968254","0.9755600814663952","0GV;HEM;SO4;UNX","3V8D.cif","3"
"brenda","51408","5064","Q6VVX0","501","C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@@H]23)C[C@@H](O)C[C@@H]1O","1","1","3DL9","1.0","3DL9_1","A;B","0.93812375249501","0.9812108559498957","HEM;V2H","3DL9.cif","3"
"brenda","54715","5354","Q06069","410","C[C@H]1[C@H](C)CC[C@]2(C)CC[C@]3(C)C(=CC(=O)[C@@H]4[C@@]5(C)CC[C@@H](O)[C@](C)(C(=O)O)[C@@H]5CC[C@]43C)[C@H]12","1","1","5IKI","1.0","5IKI_1","A;B","1.0","1.0","A9H;HEM","5IKI.cif","3"
"brenda","56046","5000","P00191","496","CC(=O)[C@@]1(O)CC[C@@H]2[C@H]3CC=C4C[C@@H](O)CC[C@@]4(C)[C@@H]3C(=O)C[C@]21C","1","1","3QZ1","1.0","3QZ1_1","A;B;C;D","1.0","1.0","3QZ;HEM","3QZ1.cif","1"
"brenda","59360","5265","Q8VQF6","404","CC1(C)CC2CCC1CC2","1","1","3BE0","1.0","3BE0_1","A;B","0.9826732673267328","1.0","CNL;HEM","3BE0.cif","9"
"brenda","59471","4998","P11511","503","COc1ccc2c(C(F)(F)F)cc(=O)oc2c1","1","1","5JL9","1.0","5JL9_1","A","1.0","1.0","ASD;HEM","5JL9.cif","11"
"brenda","60796","5354","Q06069","410","C[C@@H]1C[C@H]2C3C[C@H](F)C4=CC(=O)CCC4(C)[C@H]3CCC2(C)C1C(=O)CO","1","1","5IKI","1.0","5IKI_1","A;B","1.0","1.0","A9H;HEM","5IKI.cif","3"
