enzyme,ecnumber,uniprot_id,source
0,1.14.14.126,P07327,brenda
1,1.14.14.9,P00329,brenda
2,1.14.14.78,Q938F2,brenda
3,1.14.14.16,S5RCH3,brenda
4,1.14.14.16,Q9UXF1,brenda
5,1.14.14.24,Q6XQ70,brenda
6,1.14.14.51,P19854,brenda
7,1.14.14.137,A0A483C063,brenda
10,1.14.14.80,Q8L3C9,brenda
11,1.14.14.23,A0A5F0W319,brenda
14,1.14.14.1,Q7TQ90,brenda
15,1.14.14.127,P86885,brenda
16,1.14.14.21,A0A0K9HT90,brenda
17,1.14.14.81,H9DXW0,brenda
18,1.14.14.22,Q43263,brenda
21,1.14.14.107,A0A7W4I434,brenda
22,1.14.14.174,A0A833N806,brenda
23,1.14.14.92,A0A0U5B8R1,brenda
24,1.14.14.1,A0A857FP91,brenda
28,1.14.14.17,Q24803,brenda
29,1.14.14.82,A0A888VSF1,brenda
30,1.14.14.74,P28469,brenda
33,1.14.14.9,Q0PH30,brenda
38,1.14.14.154,B4M8Y0,brenda
40,1.14.15.30,A0A5F9CY33,brenda
41,1.14.14.139,P80222,brenda
43,1.14.14.91,A0A377KBI8,brenda
47,1.14.14.32,A0A486U7M2,brenda
49,1.14.14.78,A0A6N3FQP4,brenda
59,1.14.14.90,P14550,brenda
60,1.14.14.23,P50578,brenda
61,1.14.14.154,O57380,brenda
62,1.14.14.25,Q9JII6,brenda
63,1.14.14.17,F8S123,brenda
64,1.14.14.83,P77990,brenda
65,1.14.14.B9,O73949,brenda
68,1.14.14.82,C1IWT4,brenda
69,1.14.15.13,A0A378HFJ6,brenda
71,1.14.14.16,P14941,brenda
73,1.14.14.77,P07943,brenda
74,1.14.15.9,H0VM25,brenda
75,1.14.14.21,Q3ZCJ2,brenda
76,1.14.14.5,A0A5F9D4H1,brenda
77,1.14.14.1,A0A6P3TM78,brenda
79,1.14.14.80,P27800,brenda
80,1.14.14.1,A0A0V9L5Q4,brenda
81,1.14.14.32,Q9F1R1,brenda
84,1.14.14.154,U6CL97,brenda
86,1.14.14.149,D5G304,brenda
87,1.14.15.16,M5A8V4,brenda
90,1.14.14.17,A0A0K9QQR5,brenda
93,1.14.14.126,A0A3P4AUB8,brenda
95,1.14.14.24,E9P9D5,brenda
103,1.14.14.176,A0A832TCH6,brenda
104,1.14.14.9,A0A832W8J3,brenda
108,1.14.14.126,A0A857HLI6,brenda
109,1.14.14.95,M4VRJ6,brenda
112,1.14.14.31,A0A7G4NVP2,brenda
113,1.14.15.30,F8TEL7,brenda
115,1.14.14.22,V5LLX4,brenda
117,1.14.14.35,A0A0E4A9D6,brenda
118,1.14.14.16,A0A0A8RAA2,brenda
123,1.14.14.81,A0A5T4ZZG8,brenda
124,1.14.14.82,A0A2Z2JJA3,brenda
125,1.14.14.29,A0A486LAG5,brenda
126,1.14.15.16,A0A8E1REV0,brenda
132,1.14.14.11,Q8N335,brenda
140,1.14.14.151,O22216,brenda
141,1.14.14.173,B4XU25,brenda
148,1.14.14.36,A0A7M7GPG1,brenda
150,1.14.14.137,O02625,brenda
157,1.14.14.87,A0A141BGH5,brenda
159,1.14.14.126,A0A7W6ZL56,brenda
161,1.14.14.164,Q38JX5,brenda
162,1.14.14.90,A0A2X1SEQ3,brenda
164,1.14.14.95,A0A379ZCG7,brenda
168,1.14.15.4,A0A1B4XTS0,brenda
172,1.14.14.45,A0A3S7PMC4,brenda
173,1.14.14.174,Q7Z4W1,brenda
174,1.14.14.138,Q91X52,brenda
175,1.14.15.7,Q920P0,brenda
177,1.14.14.1,Q91XV4,brenda
178,1.14.14.154,Q21929,brenda
182,1.14.14.11,A0A3S4I112,brenda
183,1.14.14.154,Q308C1,brenda
186,1.14.15.16,Q9KWR5,brenda
188,1.14.14.51,B4DKI2,brenda
190,1.14.14.72,F7A1C3,brenda
191,1.14.14.1,Q6EM39,brenda
194,1.14.14.24,Q71VF6,brenda
195,1.14.14.1,A0A3S4DY79,brenda
197,1.14.14.130,A0A6L2RHT5,brenda
199,1.14.14.71,A0A7H4UGD8,brenda
200,1.14.14.9,A0A376RAK6,brenda
211,1.14.14.79,A0A4R6I2V2,brenda
212,1.14.15.18,A0A0F1UZ52,brenda
217,1.14.14.1,A1IG83,brenda
218,1.14.14.67,P51635,brenda
221,1.14.14.159,E0D583,brenda
222,1.14.14.21,Q48436,brenda
223,1.14.14.148,H9XP47,brenda
224,1.14.14.137,A0A0F1TDA0,brenda
225,1.14.14.94,X5F726,brenda
226,1.14.14.45,Q5RJP0,brenda
227,1.14.14.33,O60218,brenda
228,1.14.14.25,P16116,brenda
229,1.14.14.21,A0A0M4HL56,brenda
234,1.14.14.126,A2T1W7,brenda
237,1.14.14.B11,Q5F3T9,brenda
241,1.14.14.19,O60701,brenda
242,1.14.14.81,O70199,brenda
252,1.14.14.11,A0A2R3J4D1,brenda
254,1.14.14.19,A0A0J5WE55,brenda
257,1.14.14.1,B5L017,brenda
258,1.14.14.1,A0A558GE87,brenda
263,1.14.14.1,A0A7G6DV50,brenda
274,1.14.14.80,A0A2J6KPU5,brenda
275,1.14.14.80,A0A127VW84,brenda
278,1.14.14.24,B9HSF2,brenda
279,1.14.14.11,A0A0U4XEB2,brenda
280,1.14.14.137,Q9SQT8,brenda
287,1.14.14.41,A0A2I0LDB2,brenda
290,1.14.14.32,A0A789RAA9,brenda
293,1.14.14.32,A0A0M3CUN6,brenda
301,1.14.14.86,A0A241Z9N8,brenda
