structure_index,pdb_name,drive_file_id,found_in_drive_metadata,is_trainable_in_exp003_manifest,trainable_rows,expected_size,exists,actual_size,size_match,looks_like_pdb,atom_lines,hetatm_lines,has_heme,has_fe,has_heme_and_fe,heme_line_count,fe_line_count,heme_resnames,fe_resnames
1722,1722.pdb,1T6-Z9CJ--WvjMBeqxA__dQg_6gayonAb,True,True,1,674431,True,674431,True,True,8429,22,False,False,False,0,0,,
6554,6554.pdb,1ULd6saBoDri97FDSNAsy5LmAwJL2MYC0,True,True,1,635852,True,635852,True,True,7935,29,False,False,False,0,0,,
6574,6574.pdb,1S1ZW81jCkYW1gbo6nIUmSsQnHGQi4gvM,True,True,1,651629,True,651629,True,True,8139,24,False,False,False,0,0,,
8656,8656.pdb,,False,True,1,0,False,0,False,False,0,0,False,False,False,0,0,,
8940,8940.pdb,,False,True,1,0,False,0,False,False,0,0,False,False,False,0,0,,
10418,10418.pdb,1CzImiJgE1M2AGWNZQiQJvDy-EM66iZVR,True,True,1,643675,True,643675,True,True,8065,15,False,False,False,0,0,,
11340,11340.pdb,1G4w302C9RpS_VOSZ1kbJiwk9AeyuRdSI,True,True,1,651679,True,651679,True,True,8139,24,False,False,False,0,0,,
11509,11509.pdb,1VsLBTNR84yrH7KhRA-ZbedUsD7t8-_7Y,True,True,1,665520,True,665520,True,True,8346,11,False,False,False,0,0,,
15444,15444.pdb,1PBDnjn7rHncCG8wfuxkMOUkhsLlwsYhx,True,True,1,651262,True,651262,True,True,8143,24,False,False,False,0,0,,
15793,15793.pdb,1J9aywJvc5XNBFNS8JHZ0Ye28jcdwcfQu,True,True,1,683595,True,683595,True,True,8539,24,False,False,False,0,0,,
15984,15984.pdb,1zs1vdTF4ifTi1lS0QFGjeDr_JASiuk5Z,True,True,1,673327,True,673327,True,True,8447,10,False,False,False,0,0,,
17104,17104.pdb,1wnsTeaXu32cLtlRn4K8RfSe5-iNhtxyF,True,True,1,628366,True,628366,True,True,7867,17,False,False,False,0,0,,
17401,17401.pdb,1Z7m0rmtzQ9cpxlsn781TpI1zOuS8DYf_,True,True,1,661548,True,661548,True,True,8277,21,False,False,False,0,0,,
18550,18550.pdb,1a1Sf_239tWkuGf5fgGylLSYZF2SeUY0_,True,True,1,649829,True,649829,True,True,8113,29,False,False,False,0,0,,
18796,18796.pdb,144cLI1k1LOstSOfkuASVfcPtNnENu3mu,True,True,1,651628,True,651628,True,True,8139,24,False,False,False,0,0,,
19492,19492.pdb,13BX8uEY7erUprFxtNI62IlGZZRPbYzjX,True,True,1,686133,True,686133,True,True,8573,25,False,False,False,0,0,,
20292,20292.pdb,1ig1Fyt4_BEgAQ9qONO1f8Am3zL1ewMcG,True,True,1,659914,True,659914,True,True,8284,7,False,False,False,0,0,,
20794,20794.pdb,1ovLnYh9tLXfjxjnEciZUPlUQtzX5yY_8,True,True,1,626352,True,626352,True,True,7827,24,False,False,False,0,0,,
21009,21009.pdb,1lZKpYJr105VOeGzjljq4MgQ2hv25zl43,True,True,1,677166,True,677166,True,True,8475,21,False,False,False,0,0,,
23995,23995.pdb,1QB_VpE4fjpVDmx1UJotOcGy67_E7k_p2,True,True,1,647443,True,647443,True,True,8102,20,False,False,False,0,0,,
24218,24218.pdb,1lFRl1FrO0Koam5snAAzzSW8NUN6INAkV,True,True,1,684066,True,684066,True,True,8553,22,False,False,False,0,0,,
25790,25790.pdb,1VRRWlp7SZLaOSiUQ5lovM1EH0oH9t14c,True,True,1,651630,True,651630,True,True,8139,24,False,False,False,0,0,,
26799,26799.pdb,1S65OLnMwE4oZ2L3E62f21Nms9_CYe9R0,True,True,1,636205,True,636205,True,True,7960,20,False,False,False,0,0,,
28210,28210.pdb,1Mo0XacG62E3uPODXgFJLyI3ODBryYzBO,True,True,1,683600,True,683600,True,True,8539,25,False,False,False,0,0,,
28897,28897.pdb,1FlvP3zKnfx58vZI75yvAsZdNEe_FUH6G,True,True,1,633195,True,633195,True,True,7929,16,False,False,False,0,0,,
29752,29752.pdb,12W75gI4zrHrzbC6LPegOrkHjK_OhsbRr,True,True,1,674618,True,674618,True,True,8434,21,False,False,False,0,0,,
30495,30495.pdb,1qnHFJnhMo9JymBgesIsRy0exKOXHnp6_,True,True,1,654390,True,654390,True,True,8184,23,False,False,False,0,0,,
30752,30752.pdb,16bXZ4nAlwzaYrqmBtFZHXRmMHBiBgJrv,True,True,1,683650,True,683650,True,True,8539,25,False,False,False,0,0,,
30967,30967.pdb,1nk8hZbB5N2uqwOsrzjTInfBEZ8i4VMMw,True,True,1,671632,True,671632,True,True,8409,19,False,False,False,0,0,,
31070,31070.pdb,1Aw3wOWgpwXeMFm9FObbw_XJAGA4Dcz4T,True,True,1,683645,True,683645,True,True,8539,24,False,False,False,0,0,,
31206,31206.pdb,1Kr4NfX26dzWUzlXCJhskmOMigk_7dotW,True,True,1,607131,True,607131,True,True,7595,19,False,False,False,0,0,,
31295,31295.pdb,1mO6EPHl5HM6nL3lTe7R7ZNQkMOPDLuf5,True,True,1,653596,True,653596,True,True,8165,27,False,False,False,0,0,,
31328,31328.pdb,1vo8a_VEQUTXtRUDm9idZgptEFVfprjEQ,True,True,1,509342,True,509342,True,True,6324,38,False,False,False,0,0,,
32361,32361.pdb,1p_TWnsbadnh4Wge-gRIbiy-ustRTUz4j,True,True,1,629725,True,629725,True,True,7877,21,False,False,False,0,0,,
33611,33611.pdb,1_QFSe8Mqnyp8ebUDZyZD3lqyb0Tv7kYH,True,True,1,680615,True,680615,True,True,8509,24,False,False,False,0,0,,
33993,33993.pdb,1cu7yaW1i50sAUcYljEo0ZJKN_zUaCAtU,True,True,1,647047,True,647047,True,True,8077,29,False,False,False,0,0,,
34040,34040.pdb,11SjgPKUXXFxqs0oyPGlP19dV5vsBxDkO,True,True,1,618615,True,618615,True,True,7718,31,False,False,False,0,0,,
34878,34878.pdb,1f35TiVemqdxet6RwAsvCZ4Ltzk8Ihrb0,True,True,1,659495,True,659495,True,True,8242,26,False,False,False,0,0,,
34982,34982.pdb,1bSW9qi4ZG9VRLOFE6I3XLJR5_apn6yuR,True,True,1,664875,True,664875,True,True,8335,13,False,False,False,0,0,,
35000,35000.pdb,1wvYormrHP8kmLvyK08gW34QmNvvJ1dXo,True,True,1,649775,True,649775,True,True,8132,15,False,False,False,0,0,,
35587,35587.pdb,1e4UdmqGnFcf5m0FTajYedVhkKZBXth-g,True,True,1,645780,True,645780,True,True,8089,16,False,False,False,0,0,,
35643,35643.pdb,1Iz9E1pgSdVHiATseWLa6sQiIe_qnaVdn,True,True,1,665368,True,665368,True,True,8346,10,False,False,False,0,0,,
