Enzyme_Index,UniProt_ID,Organism,N_samples,N_positive,N_negative,AUC-ROC,Mean_prob_positive,Mean_prob_negative
19,A0A076MY51,Amycolatopsis sp. ATCC 39116,4,4,0,,0.5196386275,
131,A0A077KEB8,Streptomyces blastmyceticus,3,2,1,0.0,0.0580305725,0.9005609
246,A0A088FL33,Rhodococcus coprophilus,6,5,1,1.0,0.787000862,0.4791567
181,A0A0B4ZV78,Streptomyces sp. ZJ306,3,3,0,,0.024238533333333336,
143,A0A1M4Y7D5,Streptoalloteichus hindustanus,2,2,0,,0.30747033149999997,
79,A0A2H4A2U9,Naegleria fowleri,8,0,8,,,0.01301384219375
24,A0A380DQV1,Staphylococcus aureus,7,1,6,1.0,0.31629056,0.06612480778333334
27,A0A8I3B027,Streptomyces sp. NRRL F-5053,3,3,0,,0.00475973055,
291,A0A8I3B043,Streptomyces sp. NRRL F-5053,3,3,0,,0.19717004333333332,
178,A0AAJ6N6I0,Streptomyces torulosus,2,2,0,,0.055216618,
10,A0AAX7FLX8,Amycolatopsis thermoflava N1165,2,2,0,,0.41869536,
230,A0R4Q6,Mycolicibacterium smegmatis MC2 155,2,2,0,,0.001952699785,
190,P10614,Saccharomyces cerevisiae YJM789,10,0,10,,,0.10040342639519999
38,A6ZSR0,Saccharomyces cerevisiae YJM789,2,0,2,,,0.0022009907879999998
63,A7U483,Danio rerio,2,1,1,0.0,0.10951436,0.3808178
132,C0XPZ5,Corynebacterium lipophiloflavum,2,2,0,,0.0221469839,
177,D5DF88,Priestia megaterium DSM 319,3,3,0,,0.2034225713333333,
170,D5DKI8,Priestia megaterium DSM 319,2,1,1,0.0,0.049339503,0.12050849
41,E9QY26,Aspergillus fumigatus,2,0,2,,,0.000242862911
275,P14779,Priestia megaterium,3,0,3,,,0.00320887895
80,L8GJB3,Acanthamoeba castellanii,3,0,3,,,0.004775808966666666
137,O87605,Streptomyces venezuelae,2,2,0,,0.938128785,
127,O87605,Streptomyces venezuelae,2,2,0,,0.0981657655,
139,O87605,Streptomyces venezuelae,4,4,0,,0.62992124434,
70,P00178,Oryctolagus cuniculus,8,2,6,0.5,0.0088751523,0.012914048623333334
72,P00179,Oryctolagus cuniculus,2,2,0,,0.0152344773125,
285,P00183,Pseudomonas putida,10,5,5,0.84,0.4167873206,0.21688650359799996
288,P00183,Pseudomonas putida,2,1,1,0.0,0.0033844265,0.64361537
84,P04798,Homo sapiens,4,2,2,0.0,0.00050956406,0.11854684
263,P05108,Homo sapiens,3,2,1,0.0,0.28137436,0.5002259
64,P05181,Homo sapiens,5,0,5,,,0.00131966009312
54,P10613,Candida albicans,2,0,2,,,0.000110886758
189,P10614,Saccharomyces cerevisiae,2,1,1,1.0,0.09435877,0.004087786
76,P10632,Homo sapiens,4,4,0,,0.003023885885,
66,P10635,Homo sapiens,8,3,5,0.13333333333333333,0.015704659666666666,0.19064872719999998
74,P11509,Homo sapiens,8,4,4,0.6875,0.0088344157275,0.06151005524775
75,P11509,Homo sapiens,2,2,0,,0.023507144294999997,
85,P11712,Homo sapiens,2,2,0,,0.0019912578,
60,P11712,Homo sapiens,5,1,4,0.5,0.0105178645,0.01751590917575
9,P14779,Priestia megaterium,2,2,0,,0.307059365,
220,P14779,Priestia megaterium,14,3,11,1.0,0.4256195366666667,0.09459014058727276
121,P14779,Priestia megaterium NBRC 15308 = ATCC 14581,3,1,2,1.0,0.06245517,0.00030773805827069
206,P18326,Streptomyces griseolus,4,2,2,0.75,0.36387817499999997,0.09969326099999999
207,P18326,Streptomyces griseolus,2,2,0,,0.328871715,
67,P20813,Homo sapiens,7,4,3,1.0,0.268149875,0.012428142509999998
94,P20815,Homo sapiens,3,0,3,,,0.00018370263615
112,P48635,Saccharopolyspora erythraea,3,1,2,1.0,0.053529684,0.00034821778499999996
29,P9WPL5,Mycobacterium tuberculosis H37Rv,4,0,4,,,0.06709793555
142,P9WPL5,Mycobacterium tuberculosis H37Rv,2,1,1,0.0,0.00024896368,0.5826615
158,P9WPN5,Mycobacterium tuberculosis H37Rv,2,0,2,,,0.472341342
232,P9WPN8,Mycobacterium tuberculosis CDC1551,3,0,3,,,0.004457054750000001
201,P9WPP1,Mycobacterium tuberculosis H37Rv,2,0,2,,,0.0013369994500000001
252,P9WPP1,Mycobacterium tuberculosis H37Rv,2,0,2,,,0.00047328664
254,P9WPP1,Mycobacterium tuberculosis H37Rv,11,0,11,,,0.02858806906027273
151,P9WPP3,Mycobacterium tuberculosis H37Rv,4,3,1,0.6666666666666666,0.17117345313333332,0.00069410994
152,P9WPP3,Mycobacterium tuberculosis H37Rv,2,1,1,0.0,0.0010480639,0.09312256
204,P9WPP7,Mycobacterium tuberculosis,36,10,26,0.8923076923076922,0.2800198136,0.06829073591894039
264,P9WPP7,Mycobacterium tuberculosis,5,3,2,1.0,0.32252675,0.050653983635000004
192,P9WPP9,Mycobacterium tuberculosis,2,0,2,,,0.03321885125
194,P9WPP9,Mycobacterium tuberculosis H37Rv,6,0,6,,,0.27154420986666666
5,Q00441,Saccharopolyspora erythraea,2,1,1,0.0,0.004756631,0.013302547
149,Q0SCI3,Rhodococcus jostii RHA1,3,3,0,,0.28476032333333334,
73,Q16696,Homo sapiens,4,3,1,1.0,0.014409120000000003,0.00011517792
135,Q2GB12,Novosphingobium aromaticivorans,2,1,1,0.0,0.2865353,0.66674924
163,Q2IU02,Rhodopseudomonas palustris HaA2,33,27,6,0.4444444444444444,0.152948150137037,0.17896158182000002
279,Q2IU02,Rhodopseudomonas palustris,8,8,0,,0.16981785796249999,
