uniprot_id,reviewed,protein_name,gene_names,gene_id,organism,taxid,pmid,length,protein_existence,ec_number,subcellular_location
A0A061I7U6,unreviewed,Cytochrome P450 2E1 (EC 1.14.13.n7) (EC 1.14.14.1),H671_3g10614,,Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus),10029,23929341,580,Inferred from homology,1.14.13.n7; 1.14.14.1,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|RuleBase:RU368050}; Peripheral mem
A0A061IMH9,unreviewed,Lanosterol 14-alpha demethylase (EC 1.14.14.154) (CYPLI) (Cytochrome P450 51A1) (Cytochrome P450-14DM) (Cytochrome P450LI),H671_1g4046,,Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus),10029,23929341,376,Inferred from homology,1.14.14.154,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|ARBA:ARBA00004586}. Microsome memb
A0A087R570,unreviewed,Cholesterol 24-hydroxylase (EC 1.14.14.25) (Cholesterol 24-monooxygenase) (Cholesterol 24S-hydroxylase) (Cytochrome P450 46A1),AS27_04600,,Aptenodytes forsteri (Emperor penguin),9233,,394,Inferred from homology,1.14.14.25,"SUBCELLULAR LOCATION: Cell projection, dendrite {ECO:0000256|ARBA:ARBA00004279}. Endoplasmic reticul"
A0A087RKL6,unreviewed,24-hydroxycholesterol 7-alpha-hydroxylase (EC 1.14.14.154) (EC 1.14.14.26) (Cytochrome P450 39A1) (Lanosterol 14-alpha demethylase) (Oxysterol 7-alpha-hydroxylase),AS27_12663,,Aptenodytes forsteri (Emperor penguin),9233,,448,Inferred from homology,1.14.14.154; 1.14.14.26,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|ARBA:ARBA00004477}; Multi-pass mem
A0A087VFC0,unreviewed,24-hydroxycholesterol 7-alpha-hydroxylase (EC 1.14.14.154) (EC 1.14.14.26) (Cytochrome P450 39A1) (Lanosterol 14-alpha demethylase) (Oxysterol 7-alpha-hydroxylase),N312_01995,,Balearica regulorum gibbericeps (East African grey crowned-crane),100784,,448,Inferred from homology,1.14.14.154; 1.14.14.26,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|ARBA:ARBA00004477}; Multi-pass mem
A0A087VPC9,unreviewed,Cholesterol 24-hydroxylase (EC 1.14.14.25) (Cholesterol 24-monooxygenase) (Cholesterol 24S-hydroxylase) (Cytochrome P450 46A1),N312_03460,,Balearica regulorum gibbericeps (East African grey crowned-crane),100784,,342,Inferred from homology,1.14.14.25,"SUBCELLULAR LOCATION: Cell projection, dendrite {ECO:0000256|ARBA:ARBA00004279}. Endoplasmic reticul"
A0A087XB59,unreviewed,Cholesterol 24-hydroxylase (EC 1.14.14.25) (Cholesterol 24-monooxygenase) (Cholesterol 24S-hydroxylase) (Cytochrome P450 46A1),,,Poecilia formosa (Amazon molly) (Limia formosa),48698,,508,Inferred from homology,1.14.14.25,"SUBCELLULAR LOCATION: Cell projection, dendrite {ECO:0000256|ARBA:ARBA00004279}. Endoplasmic reticul"
A0A087XBR5,unreviewed,Cholesterol 24-hydroxylase (EC 1.14.14.25) (Cholesterol 24-monooxygenase) (Cholesterol 24S-hydroxylase) (Cytochrome P450 46A1),,103147688;,Poecilia formosa (Amazon molly) (Limia formosa),48698,,507,Inferred from homology,1.14.14.25,"SUBCELLULAR LOCATION: Cell projection, dendrite {ECO:0000256|ARBA:ARBA00004279}. Endoplasmic reticul"
A0A091CSN6,unreviewed,Cholesterol 24-hydroxylase (EC 1.14.14.25) (Cholesterol 24-monooxygenase) (Cholesterol 24S-hydroxylase) (Cytochrome P450 46A1),H920_17236,,Fukomys damarensis (Damaraland mole rat) (Cryptomys damarensis),885580,,794,Inferred from homology,1.14.14.25,"SUBCELLULAR LOCATION: Cell projection, dendrite {ECO:0000256|ARBA:ARBA00004279}. Endoplasmic reticul"
A0A091CW56,unreviewed,Lanosterol 14-alpha demethylase (EC 1.14.14.154) (CYPLI) (Cytochrome P450 51A1) (Cytochrome P450-14DM) (Cytochrome P450LI),H920_14722,,Fukomys damarensis (Damaraland mole rat) (Cryptomys damarensis),885580,,503,Inferred from homology,1.14.14.154,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|ARBA:ARBA00004389}; Single-pass me
A0A091E3Q0,unreviewed,Tyrosine-protein kinase (EC 2.7.10.2),H920_00592,,Fukomys damarensis (Damaraland mole rat) (Cryptomys damarensis),885580,,952,Inferred from homology,2.7.10.2,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496}. Endoplasmic reticulum membrane {ECO
A0A091E5H3,unreviewed,Cytochrome P450 1A (EC 1.14.14.1),H920_00593,,Fukomys damarensis (Damaraland mole rat) (Cryptomys damarensis),885580,,545,Inferred from homology,1.14.14.1,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|RuleBase:RU368045}; Peripheral mem
A0A091F2R5,unreviewed,Cholesterol 24-hydroxylase (EC 1.14.14.25) (Cholesterol 24-monooxygenase) (Cholesterol 24S-hydroxylase) (Cytochrome P450 46A1),N302_00123,,Corvus brachyrhynchos (American crow),85066,,394,Inferred from homology,1.14.14.25,"SUBCELLULAR LOCATION: Cell projection, dendrite {ECO:0000256|ARBA:ARBA00004279}. Endoplasmic reticul"
A0A091F598,unreviewed,24-hydroxycholesterol 7-alpha-hydroxylase (EC 1.14.14.154) (EC 1.14.14.26) (Cytochrome P450 39A1) (Lanosterol 14-alpha demethylase) (Oxysterol 7-alpha-hydroxylase),N302_01956,,Corvus brachyrhynchos (American crow),85066,,448,Inferred from homology,1.14.14.154; 1.14.14.26,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|ARBA:ARBA00004477}; Multi-pass mem
