pdb_id,uniprot_ids
4L6G,"[""Q8VQF6""]"
2Z3T,"[""Q83WG3""]"
3A51,"[""C4B644""]"
3AWM,"[""O24782""]"
3L4D,"[""A2TEF2""]"
5IKI,"[""Q06069""]"
5L1R,"[""E3VWI3""]"
8X3E,"[""Q6WG30""]"
9S7F,"[""Q9ZAU3""]"
1JFC,"[""P23295""]"
9YK4,"[""P08684""]"
7N6F,"[""Q9Y6A2""]"
3CZH,"[""Q6VVX0""]"
3V8D,"[""P22680""]"
3S79,"[""P11511""]"
6UEZ,"[""Q16850""]"
3K9V,"[""Q09128""]"
3MZS,"[""P00189""]"
3QZ1,"[""P00191""]"
6WR1,"[""P05093""]"
4DVQ,"[""P19099""]"
4GQS,"[""P33261""]"
7LYX,"[""Q9UNU6""]"
7M8I,"[""P10109"", ""P19099""]"
7CB9,"[""S4UX02""]"
6L8H,"[""Q6TBX7""]"
