enzyme_index,enzyme_input_id,global_enzyme_id,canonical_uniprot_id,receptor_status,enzyme_batch,has_heme,quality_tier,existing_pdb_path,alphafill_cif_path,heme_transplant_pdb_path,alphafold_pdb_path,heme_fe_x,heme_fe_y,heme_fe_z
0,A0A017SR40,ENZ_G000001,A0A017SR40,downloaded_with_heme,batch_1,1,,,data\structures\alphafill\cif\A0A017SR40-F1.cif,,,2.604,-2.588,-0.363
1,A0A024FAV2,ENZ_G000002,A0A024FAV2,heme_transplanted,batch_1,1,tier2,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A024FAV2-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A024FAV2-F1.pdb,5.312,-1.877,-0.184
2,A0A024FAY2,ENZ_G000003,A0A024FAY2,heme_transplanted,batch_1,1,tier2,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A024FAY2-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A024FAY2-F1.pdb,4.999,-1.744,0.527
3,A0A059WMF6,ENZ_G000004,A0A059WMF6,heme_transplanted,batch_1,1,tier1,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A059WMF6-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A059WMF6-F1.pdb,1.114,-4.73,1.25
4,A0A067DE75,ENZ_G000005,A0A067DE75,downloaded_with_heme,batch_1,1,,,data\structures\alphafill\cif\A0A067DE75-F1.cif,,,3.779,3.41,1.644
5,A0A067DT54,ENZ_G000006,A0A067DT54,downloaded_with_heme,batch_1,1,,,data\structures\alphafill\cif\A0A067DT54-F1.cif,,,3.457,-1.127,5.264
6,A0A067E1K2,ENZ_G000007,A0A067E1K2,downloaded_with_heme,batch_1,1,,,data\structures\alphafill\cif\A0A067E1K2-F1.cif,,,3.73,-2.175,4.224
7,A0A067ELB0,ENZ_G000008,A0A067ELB0,heme_transplanted,batch_1,1,tier3,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A067ELB0-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A067ELB0-F1.pdb,-0.473,-6.717,1.674
8,A0A067F4I6,ENZ_G000009,A0A067F4I6,heme_transplanted,batch_1,1,tier3,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A067F4I6-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A067F4I6-F1.pdb,2.544,-4.531,1.471
9,A0A067GFT7,ENZ_G000010,A0A067GFT7,heme_transplanted,batch_1,1,tier3,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A067GFT7-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A067GFT7-F1.pdb,3.81,-3.1,0.082
10,A0A067L1K9,ENZ_G000011,A0A067L1K9,heme_transplanted,batch_1,1,tier3,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A067L1K9-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A067L1K9-F1.pdb,3.369,-2.256,2.452
11,A0A067L546,ENZ_G000012,A0A067L546,pcpd_predicted,batch_1,1,,pcpd/CYP71D495.pdb,,,,55.971,-7.03,11.225
12,A0A067LCX8,ENZ_G000013,A0A067LCX8,pcpd_predicted,batch_1,1,,pcpd/CYP726A20.pdb,,,,55.02,-6.671,11.244
13,A0A067ZUX1,ENZ_G000014,A0A067ZUX1,no_template,batch_2,0,,,,data\structures\heme_transplant\pdb\ENZ_G000014_heme.pdb,data\structures\alphafold\pdb\AF-A0A067ZUX1-F1.pdb,4.063,5.705,-6.218
14,A0A068Q605,ENZ_G000015,A0A068Q605,downloaded_with_heme,batch_1,1,,,data\structures\alphafill\cif\A0A068Q605-F1.cif,,,1.337,1.624,4.865
15,A0A068Q609,ENZ_G000016,A0A068Q609,pcpd_predicted,batch_1,1,,pcpd/CYP71AN24.pdb,,,,55.536,-5.748,11.015
16,A0A068Q7V0,ENZ_G000017,A0A068Q7V0,heme_transplanted,batch_1,1,tier2,,data\structures\alphafill\cif\A0A068Q7V0-F1.cif,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A068Q7V0-F1_heme.pdb,,2.321,-5.424,-0.777
17,A0A072UPL5,ENZ_G000018,A0A072UPL5,heme_transplanted,batch_1,1,tier2,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A072UPL5-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A072UPL5-F1.pdb,3.677,-0.972,3.055
18,A0A072V9E9,ENZ_G000019,A0A072V9E9,heme_transplanted,batch_1,1,tier1,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A072V9E9-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A072V9E9-F1.pdb,1.809,-1.564,4.177
19,A0A075TMP8,ENZ_G000020,A0A075TMP8,downloaded_with_heme,batch_1,1,,,data\structures\alphafill\cif\A0A075TMP8-F1.cif,,,-0.045,7.183,-0.01
20,A0A075TRL5,ENZ_G000021,A0A075TRL5,downloaded_with_heme,batch_1,1,,,data\structures\alphafill\cif\A0A075TRL5-F1.cif,,,0.532,-5.028,1.583
21,A0A076MY51,ENZ_G000022,A0A076MY51,experimental_pdb,batch_1,1,,s1_rcsb/5NCB,,,,10.071,31.15,43.641
22,A0A076U5L2,ENZ_G000023,A0A076U5L2,heme_transplanted,batch_1,1,tier2,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A076U5L2-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A076U5L2-F1.pdb,3.847,-3.643,1.05
23,A0A077KEB8,ENZ_G000024,A0A077KEB8,experimental_pdb,batch_1,1,,s1_rcsb/6J83,,,,42.394,85.595,123.191
24,A0A087X1C5,ENZ_G000025,A0A087X1C5,downloaded_with_heme,batch_1,1,,,data\structures\alphafill\cif\A0A087X1C5-F1.cif,,,-3.024,-0.623,-2.563
25,A0A088FL33,ENZ_G000026,A0A088FL33,experimental_pdb,batch_1,1,,s1_rcsb/7V43,,,,-41.65,20.756,-4.798
26,A0A088LHH3,ENZ_G000027,A0A088LHH3,heme_transplanted,batch_1,1,tier1,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A088LHH3-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A088LHH3-F1.pdb,5.482,-0.352,1.594
27,A0A088LHH7,ENZ_G000028,A0A088LHH7,heme_transplanted,batch_1,1,tier1,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A088LHH7-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A088LHH7-F1.pdb,5.336,-2.953,1.242
28,A0A088LHV2,ENZ_G000029,A0A088LHV2,heme_transplanted,batch_1,1,tier1,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A088LHV2-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A088LHV2-F1.pdb,5.236,-2.394,1.754
29,A0A088LIS6,ENZ_G000030,A0A088LIS6,heme_transplanted,batch_1,1,tier1,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A088LIS6-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A088LIS6-F1.pdb,4.857,-1.182,1.538
30,A0A088LM09,ENZ_G000031,A0A088LM09,heme_transplanted,batch_1,1,tier1,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A088LM09-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A088LM09-F1.pdb,5.08,-1.978,1.662
31,A0A088LUP1,ENZ_G000032,A0A088LUP1,heme_transplanted,batch_1,1,tier1,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A088LUP1-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A088LUP1-F1.pdb,4.884,-0.363,1.703
32,A0A090ATL9,ENZ_G000033,A0A090ATL9,heme_transplanted,batch_1,1,tier1,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A090ATL9-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A090ATL9-F1.pdb,3.74,0.386,2.545
33,A0A090YLD3,ENZ_G000034,A0A090YLD3,heme_transplanted,batch_1,1,tier1,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A090YLD3-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A090YLD3-F1.pdb,11.869,-7.619,12.899
34,A0A097HUX0,ENZ_G000035,A0A097HUX0,downloaded_with_heme,batch_1,1,,,data\structures\alphafill\cif\A0A097HUX0-F1.cif,,,2.755,-1.229,2.768
35,A0A097PUC0,ENZ_G000036,A0A097PUC0,heme_transplanted,batch_1,1,tier2,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A097PUC0-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A097PUC0-F1.pdb,-1.602,5.867,-0.338
