global_enzyme_id,canonical_uniprot_id,source_category,structure_source,status,has_heme,alphafill_id,template_pdb,sequence_identity,global_rmsd,local_rmsd,clash_score,alphafill_json_path,alphafill_cif_path,existing_pdb_path,needs_colabfold,notes,alphafold_pdb_path,heme_transplant_pdb_path,heme_fe_x,heme_fe_y,heme_fe_z,aligned_ca_count,quality_tier,template_source
ENZ_G000001,A0A017SR40,alphafill_candidate,alphafill,downloaded_with_heme,1,A0A017SR40-F1,7X2Q,0.277778,1.91973,0.40359,0.763691,data\structures\alphafill\json\A0A017SR40-F1.json,data\structures\alphafill\cif\A0A017SR40-F1.cif,,0,,,,,,,,,
ENZ_G000002,A0A024FAV2,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A024FAV2-F1,ENZ_G000503,0.7697,2.28,,,,,,0,"tier2, rmsd=2.28, identity=0.770, n_ca=521",data\structures\alphafold\pdb\AF-A0A024FAV2-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A024FAV2-F1_heme.pdb,5.312,-1.877,-0.184,521,tier2,alphafill_cif
ENZ_G000003,A0A024FAY2,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A024FAY2-F1,ENZ_G000503,0.7857,2.36,,,,,,0,"tier2, rmsd=2.36, identity=0.786, n_ca=518",data\structures\alphafold\pdb\AF-A0A024FAY2-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A024FAY2-F1_heme.pdb,4.999,-1.744,0.527,518,tier2,alphafill_cif
ENZ_G000004,A0A059WMF6,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A059WMF6-F1,ENZ_G000645,0.8925,1.59,,,,,,0,"tier1, rmsd=1.59, identity=0.892, n_ca=493",data\structures\alphafold\pdb\AF-A0A059WMF6-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A059WMF6-F1_heme.pdb,1.114,-4.730,1.250,493,tier1,alphafill_cif
ENZ_G000005,A0A067DE75,alphafill_candidate,alphafill,downloaded_with_heme,1,A0A067DE75-F1,8X1W,0.368421,2.44856,3.3719,0.469863,data\structures\alphafill\json\A0A067DE75-F1.json,data\structures\alphafill\cif\A0A067DE75-F1.cif,,0,,,,,,,,,
ENZ_G000006,A0A067DT54,alphafill_candidate,alphafill,downloaded_with_heme,1,A0A067DT54-F1,6A17,0.283784,3.21976,0.907996,0.508816,data\structures\alphafill\json\A0A067DT54-F1.json,data\structures\alphafill\cif\A0A067DT54-F1.cif,,0,,,,,,,,,
ENZ_G000007,A0A067E1K2,alphafill_candidate,alphafill,downloaded_with_heme,1,A0A067E1K2-F1,1PQ2,0.318584,3.69178,0.258356,0.689733,data\structures\alphafill\json\A0A067E1K2-F1.json,data\structures\alphafill\cif\A0A067E1K2-F1.cif,,0,,,,,,,,,
ENZ_G000008,A0A067ELB0,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A067ELB0-F1,ENZ_G000630,0.4653,3.07,,,,,,0,"tier3, rmsd=3.07, identity=0.465, n_ca=475",data\structures\alphafold\pdb\AF-A0A067ELB0-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A067ELB0-F1_heme.pdb,-0.473,-6.717,1.674,475,tier3,alphafill_cif
ENZ_G000009,A0A067F4I6,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A067F4I6-F1,ENZ_G000094,0.5160,3.82,,,,,,0,"tier3, rmsd=3.82, identity=0.516, n_ca=500",data\structures\alphafold\pdb\AF-A0A067F4I6-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A067F4I6-F1_heme.pdb,2.544,-4.531,1.471,500,tier3,alphafill_cif
ENZ_G000010,A0A067GFT7,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A067GFT7-F1,ENZ_G000094,0.4770,3.49,,,,,,0,"tier3, rmsd=3.49, identity=0.477, n_ca=501",data\structures\alphafold\pdb\AF-A0A067GFT7-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A067GFT7-F1_heme.pdb,3.810,-3.100,0.082,501,tier3,alphafill_cif
