"dataset","structure_index","enzyme_index","uniprot","sequence_length","substrate","n_samples","n_positive"
"brenda","1722","21277","P48417","536","CC/C=C\C/C=C\C/C=C(\CCCCCCCC(=O)O)OO","1","1"
"brenda","6554","5361","O35084","507","C=C1CC[C@H](O)C/C1=C/C=C1/CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]12","1","1"
"brenda","6574","5123","P51589","502","CCCCC/C=C\C/C=C\C=C\[C@@H](C/C=C\CCCC(=O)O)OO","1","1"
"brenda","8656","21390","P24557","533","CCCCC[C@H](O)/C=C/[C@@H]1[C@H](C/C=C\CCCC(=O)O)[C@@H]2C[C@H]1OO2","1","1"
"brenda","8940","21390","P24557","533","CCCCC/C=C\C/C=C\C=C\CCCCCCCC(=O)O","1","1"
"brenda","10418","5290","A6YIH8","502","CC1=CC[C@@]23C[C@@H]1C(C)(C)[C@@H]2CC[C@H]3C","1","1"
"brenda","11340","5123","P51589","502","CCCCC/C=C\C/C=C\C/C=C\C=C\[C@H](CCCC(=O)O)OO","1","1"
"brenda","11509","5095","O48958","531","O/N=C\Cc1ccc(O)cc1","1","1"
"brenda","15444","5667","B1NF19","504","COc1cc2c(cc1O)[C@@H]1Cc3ccc4c(c3CN1CC2)OCO4","1","1"
"brenda","15793","21390","P24557","533","CCCCC/C=C\C[C@@H](/C=C/C=C\C/C=C\CCCC(=O)O)OO","1","1"
"brenda","15984","5099","A0A068Q609","526","O/N=C\Cc1ccccc1","1","1"
"brenda","17104","5287","F8S1I0","490","C=C(C(=O)O)[C@H]1C/C=C(\C)CC/C=C(\C)CC1","1","1"
"brenda","17401","5656","A0A140IL92","513","COc1cc2c(cc1O)[C@@H](Cc1ccc(O)cc1)NCC2","1","1"
"brenda","18550","5278","O02766","500","CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C","1","1"
"brenda","18796","5123","P51589","502","CCCCC/C=C\C[C@@H](/C=C/C=C\C/C=C\CCCC(=O)O)OO","1","1"
