dataset,structure_index,enzyme_index,uniprot,sequence_length,substrate,n_samples,n_positive,best_entry_id,best_entity_id,best_rcsb_polymer_entity_id,best_auth_asym_ids,best_reference_sequence_coverage,best_entity_sequence_coverage,best_ligand_comp_ids,best_target_file,n_heme_fe_candidates_for_uniprot,target_auth_asym_ids,file_path,exists,parse_ok,n_atoms,n_target_atoms,n_protein_atoms_total,n_protein_atoms_target_chain,heme_comp_ids_present,iron_comp_ids_present,n_heme_atoms_total,n_heme_atoms_target_chain,n_fe_atoms_total,n_fe_atoms_target_chain,heme_auth_asym_ids,fe_auth_asym_ids,target_has_heme,target_has_fe,target_has_heme_fe,any_has_heme,any_has_fe,first_fe_x,first_fe_y,first_fe_z,error,exp002_atom_audit_usable_target_heme_fe,found_in_drive_metadata,drive_path,pdb_name
brenda,31295,5109,P08684,503,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,1,1,9YK4,1.0,9YK4_1,A,0.9602385685884692,0.9917864476386036,EDO;GOL;HEM;IMD;PG4,9YK4.cif,122,A,/root/autodl-tmp/EZSpecificity/PathD/P450/data/q01_fe_embedding_patch/exp002_fe_heme_structures/raw_mmcif_rcsb_heme_fe_v1/9YK4.cif,True,True,4184,4184,3803,3803,HEM,HEM,43,43,1,1,A,A,True,True,True,True,True,-22.834,-26.299,-11.407,,True,True,ESIBank/brenda/structure/complex/31295.pdb,31295.pdb
brenda,31328,4928,Q9ZAU3,415,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,1,1,9O35,1.0,9O35_1,A;B,0.9975903614457832,0.9741176470588236,DM1;HEM;SO4,9O35.cif,3,A;B,/root/autodl-tmp/EZSpecificity/PathD/P450/data/q01_fe_embedding_patch/exp002_fe_heme_structures/raw_mmcif_rcsb_heme_fe_v1/9O35.cif,True,True,6702,6702,6204,6204,HEM,HEM,86,86,2,2,A;B,A;B,True,True,True,True,True,41.42,25.183,77.581,,True,True,ESIBank/brenda/structure/complex/31328.pdb,31328.pdb
brenda,33993,5064,Q6VVX0,501,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]12,1,1,3DL9,1.0,3DL9_1,A;B,0.93812375249501,0.9812108559498957,HEM;V2H,3DL9.cif,3,A;B,/root/autodl-tmp/EZSpecificity/PathD/P450/data/q01_fe_embedding_patch/exp002_fe_heme_structures/raw_mmcif_rcsb_heme_fe_v1/3DL9.cif,True,True,7959,7805,7453,7453,HEM,HEM,172,172,4,4,A;B,A;B,True,True,True,True,True,-53.912,-1.239,-33.144,,True,True,ESIBank/brenda/structure/complex/33993.pdb,33993.pdb
brenda,36017,5034,P05093,508,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,1,1,8FDA,1.0,8FDA_1,A;B;C;D,0.9547244094488188,0.9817813765182186,HEM;XPK,8FDA.cif,17,A;B;C;D,/root/autodl-tmp/EZSpecificity/PathD/P450/data/q01_fe_embedding_patch/exp002_fe_heme_structures/raw_mmcif_rcsb_heme_fe_v1/8FDA.cif,True,True,30965,30965,30039,30039,HEM,HEM,292,292,4,4,A;B;C;D,A;B;C;D,True,True,True,True,True,-14.293,8.275,-35.654,,True,True,ESIBank/brenda/structure/complex/36017.pdb,36017.pdb
brenda,37926,3383,P23295,403,[NH4+],1,1,7DVO,1.0,7DVO_1,A;B,1.0,1.0,GOL;HEM;NO,7DVO.cif,27,A;B,/root/autodl-tmp/EZSpecificity/PathD/P450/data/q01_fe_embedding_patch/exp002_fe_heme_structures/raw_mmcif_rcsb_heme_fe_v1/7DVO.cif,True,True,6969,6969,6241,6241,HEM,HEM,96,96,4,4,A;B,A;B,True,True,True,True,True,6.336,4.069,32.527,,True,True,ESIBank/brenda/structure/complex/37926.pdb,37926.pdb
brenda,40202,5068,Q9Y6A2,500,CC(C)CCCC(C)[C@H]1CCC2C3CC=C4C[C@@H](OS(=O)(=O)O)CC[C@]4(C)C3C[C@@H](C)C21,1,1,9NNO,1.0,9NNO_1,A,0.934,0.9852320675105484,A1BY9;EDO;HEM,9NNO.cif,21,A,/root/autodl-tmp/EZSpecificity/PathD/P450/data/q01_fe_embedding_patch/exp002_fe_heme_structures/raw_mmcif_rcsb_heme_fe_v1/9NNO.cif,True,True,3862,3862,3517,3517,HEM,HEM,43,43,1,1,A,A,True,True,True,True,True,10.591,-2.168,-21.724,,True,True,ESIBank/brenda/structure/complex/40202.pdb,40202.pdb
brenda,40212,5056,P22680,504,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,1,1,3V8D,1.0,3V8D_1,A;B,0.9503968253968254,0.9755600814663952,0GV;HEM;SO4;UNX,3V8D.cif,3,A;B,/root/autodl-tmp/EZSpecificity/PathD/P450/data/q01_fe_embedding_patch/exp002_fe_heme_structures/raw_mmcif_rcsb_heme_fe_v1/3V8D.cif,True,True,8129,8129,7584,7584,HEM,HEM,86,86,2,2,A;B,A;B,True,True,True,True,True,15.305,13.285,-43.404,,True,True,ESIBank/brenda/structure/complex/40212.pdb,40212.pdb
brenda,51408,5064,Q6VVX0,501,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,1,1,3DL9,1.0,3DL9_1,A;B,0.93812375249501,0.9812108559498957,HEM;V2H,3DL9.cif,3,A;B,/root/autodl-tmp/EZSpecificity/PathD/P450/data/q01_fe_embedding_patch/exp002_fe_heme_structures/raw_mmcif_rcsb_heme_fe_v1/3DL9.cif,True,True,7959,7805,7453,7453,HEM,HEM,172,172,4,4,A;B,A;B,True,True,True,True,True,-53.912,-1.239,-33.144,,True,True,ESIBank/brenda/structure/complex/51408.pdb,51408.pdb
brenda,54715,5354,Q06069,410,C[C@H]1[C@H](C)CC[C@]2(C)CC[C@]3(C)C(=CC(=O)[C@@H]4[C@@]5(C)CC[C@@H](O)[C@](C)(C(=O)O)[C@@H]5CC[C@]43C)[C@H]12,1,1,5IKI,1.0,5IKI_1,A;B,1.0,1.0,A9H;HEM,5IKI.cif,3,A;B,/root/autodl-tmp/EZSpecificity/PathD/P450/data/q01_fe_embedding_patch/exp002_fe_heme_structures/raw_mmcif_rcsb_heme_fe_v1/5IKI.cif,True,True,6410,6410,6248,6248,HEM,HEM,86,86,2,2,A;B,A;B,True,True,True,True,True,15.168,-5.521,16.912,,True,True,ESIBank/brenda/structure/complex/54715.pdb,54715.pdb
brenda,56046,5000,P00191,496,CC(=O)[C@@]1(O)CC[C@@H]2[C@H]3CC=C4C[C@@H](O)CC[C@@]4(C)[C@@H]3C(=O)C[C@]21C,1,1,3QZ1,1.0,3QZ1_1,A;B;C;D,1.0,1.0,3QZ;HEM,3QZ1.cif,1,A;B;C;D,/root/autodl-tmp/EZSpecificity/PathD/P450/data/q01_fe_embedding_patch/exp002_fe_heme_structures/raw_mmcif_rcsb_heme_fe_v1/3QZ1.cif,True,True,14525,14525,14064,14064,HEM,HEM,172,172,4,4,A;B;C;D,A;B;C;D,True,True,True,True,True,3.088,-41.117,53.258,,True,True,ESIBank/brenda/structure/complex/56046.pdb,56046.pdb
