enzyme,ecnumber,uniprot_id
0,1.14.14.86,P07327
1,1.14.14.1,P00329
2,1.14.14.11,Q938F2
3,1.14.14.127,S5RCH3
4,1.14.14.124,Q9UXF1
5,1.14.14.24,Q6XQ70
6,1.14.14.11,P19854
7,1.14.14.137,A0A483C063
9,1.14.14.33,W8VSK8
10,1.14.14.80,Q8L3C9
11,1.14.14.92,A0A5F0W319
13,1.14.14.29,A0A1F2Q3I2
14,1.14.14.33,Q7TQ90
15,1.14.14.127,P86885
16,1.14.14.21,A0A0K9HT90
17,1.14.14.81,H9DXW0
18,1.14.14.22,Q43263
21,1.14.14.107,A0A7W4I434
22,1.14.14.174,A0A833N806
23,1.14.14.92,A0A0U5B8R1
24,1.14.14.92,A0A857FP91
28,1.14.14.17,Q24803
29,1.14.14.82,A0A888VSF1
30,1.14.14.74,P28469
33,1.14.14.9,Q0PH30
36,1.14.14.22,Q9SK86
38,1.14.14.154,B4M8Y0
40,1.14.15.30,A0A5F9CY33
41,1.14.14.22,P80222
43,1.14.14.91,A0A377KBI8
47,1.14.14.32,A0A486U7M2
49,1.14.14.78,A0A6N3FQP4
53,1.14.14.92,B8QU18
59,1.14.14.17,P14550
60,1.14.14.11,P50578
61,1.14.14.91,O57380
62,1.14.14.95,Q9JII6
63,1.14.14.82,F8S123
64,1.14.14.149,P77990
65,1.14.14.148,O73949
68,1.14.14.82,C1IWT4
69,1.14.15.7,A0A378HFJ6
71,1.14.14.16,P14941
73,1.14.14.83,P07943
74,1.14.15.9,H0VM25
75,1.14.14.21,Q3ZCJ2
76,1.14.14.5,A0A5F9D4H1
77,1.14.14.139,A0A6P3TM78
79,1.14.14.91,P27800
80,1.14.14.1,A0A0V9L5Q4
81,1.14.14.32,Q9F1R1
83,1.14.15.4,A0A448UEX6
84,1.14.14.154,U6CL97
86,1.14.14.149,D5G304
87,1.14.15.16,M5A8V4
90,1.14.14.17,A0A0K9QQR5
93,1.14.14.154,A0A3P4AUB8
95,1.14.14.24,E9P9D5
103,1.14.14.176,A0A832TCH6
104,1.14.14.126,A0A832W8J3
108,1.14.14.126,A0A857HLI6
109,1.14.14.127,M4VRJ6
112,1.14.14.57,A0A7G4NVP2
113,1.14.15.30,F8TEL7
115,1.14.14.22,V5LLX4
117,1.14.14.35,A0A0E4A9D6
118,1.14.14.81,A0A0A8RAA2
123,1.14.14.81,A0A5T4ZZG8
124,1.14.14.82,A0A2Z2JJA3
125,1.14.14.29,A0A486LAG5
126,1.14.15.16,A0A8E1REV0
128,1.14.14.29,A0A378A3W4
132,1.14.14.11,Q8N335
140,1.14.14.151,O22216
141,1.14.14.173,B4XU25
148,1.14.14.36,A0A7M7GPG1
150,1.14.14.137,O02625
157,1.14.14.87,A0A141BGH5
159,1.14.15.18,A0A7W6ZL56
161,1.14.14.164,Q38JX5
162,1.14.14.90,A0A2X1SEQ3
164,1.14.14.95,A0A379ZCG7
166,1.14.14.12,A0A6P7EAQ6
167,1.14.14.58,E5G6H4
168,1.14.15.4,A0A1B4XTS0
172,1.14.14.45,A0A3S7PMC4
173,1.14.14.176,Q7Z4W1
174,1.14.14.9,Q91X52
175,1.14.15.7,Q920P0
176,1.14.14.23,Q920N9
177,1.14.14.1,Q91XV4
178,1.14.14.154,Q21929
182,1.14.14.11,A0A3S4I112
183,1.14.14.154,Q308C1
186,1.14.15.16,Q9KWR5
188,1.14.14.51,B4DKI2
190,1.14.14.72,F7A1C3
191,1.14.14.88,Q6EM39
194,1.14.14.24,Q71VF6
195,1.14.15.16,A0A3S4DY79
197,1.14.14.89,A0A6L2RHT5
199,1.14.14.71,A0A7H4UGD8
200,1.14.14.9,A0A376RAK6
211,1.14.15.16,A0A4R6I2V2
212,1.14.14.25,A0A0F1UZ52
217,1.14.14.1,A1IG83
218,1.14.14.67,P51635
219,1.14.14.89,A0A8C0SY59
221,1.14.14.79,E0D583
222,1.14.14.21,Q48436
223,1.14.14.148,H9XP47
224,1.14.14.137,A0A0F1TDA0
225,1.14.14.11,X5F726
226,1.14.14.82,Q5RJP0
227,1.14.15.4,O60218
228,1.14.14.137,P16116
229,1.14.14.21,A0A0M4HL56
231,1.14.14.154,P15122
234,1.14.14.17,A2T1W7
237,1.14.14.B11,Q5F3T9
241,1.14.14.19,O60701
242,1.14.14.91,O70199
250,1.14.14.87,A4UTT2
252,1.14.14.11,A0A2R3J4D1
254,1.14.14.19,A0A0J5WE55
257,1.14.14.1,B5L017
258,1.14.14.16,A0A558GE87
263,1.14.14.1,A0A7G6DV50
274,1.14.14.80,A0A2J6KPU5
275,1.14.14.80,A0A127VW84
277,1.14.14.1,A0A5H2WXM2
278,1.14.14.24,B9HSF2
279,1.14.14.11,A0A0U4XEB2
280,1.14.14.137,Q9SQT8
287,1.14.14.41,A0A2I0LDB2
290,1.14.14.32,A0A789RAA9
291,1.14.14.5,A0A832T1A5
293,1.14.14.32,A0A0M3CUN6
300,1.14.14.50,A0A149RWE2
301,1.14.14.86,A0A241Z9N8
302,1.14.14.11,A0A8D4ULJ9
